,Date,Open,High,Low,Close
2244,2025-10-17,19.0,19.8,17.7,19.5
2243,2025-10-16,19.5,19.5,19.5,19.5
2242,2025-10-15,19.5,19.5,19.0,19.5
2241,2025-10-14,19.8,19.8,19.6,19.6
2240,2025-10-13,19.6,20.3,19.5,20.3
2239,2025-10-10,19.6,19.6,19.5,19.6
2238,2025-10-09,19.6,19.6,19.6,19.6
2237,2025-10-08,19.2,19.9,19.0,19.6
2236,2025-10-07,19.2,19.2,19.2,19.2
2235,2025-10-06,19.0,19.0,18.1,18.9
2234,2025-10-03,19.0,19.3,18.5,19.3
2233,2025-10-02,19.4,19.4,18.2,19.0
2232,2025-10-01,19.4,19.5,18.6,18.6
2231,2025-09-30,18.7,19.9,18.3,19.7
2230,2025-09-29,22.5,22.5,20.2,20.3
2229,2025-09-26,18.7,20.6,18.7,20.6
2228,2025-09-25,18.1,18.8,18.1,18.8
2227,2025-09-23,18.0,18.2,18.0,18.2
2226,2025-09-22,18.2,18.4,18.0,18.4
2225,2025-09-18,18.3,18.3,18.1,18.3
2224,2025-09-17,18.7,18.7,18.3,18.3
2223,2025-09-16,18.4,19.0,18.4,18.7
2222,2025-09-15,17.8,18.5,17.8,18.5
2221,2025-09-12,17.8,18.1,17.8,18.1
2220,2025-09-11,17.6,18.0,17.6,18.0
2219,2025-09-10,17.8,18.0,17.8,18.0
2218,2025-09-09,17.7,17.8,17.5,17.8
2217,2025-09-08,17.5,17.9,17.5,17.9
2216,2025-09-05,17.9,17.9,17.8,17.8
2215,2025-09-04,17.8,17.8,17.6,17.8
2214,2025-09-03,17.7,17.8,17.6,17.8
2213,2025-08-29,17.9,18.0,17.7,17.7
2212,2025-08-28,17.6,17.7,17.6,17.7
2211,2025-08-27,17.6,17.8,17.6,17.6
2210,2025-08-26,17.5,17.6,17.5,17.6
2209,2025-08-25,17.5,17.5,17.4,17.4
2208,2025-08-22,17.6,17.6,17.5,17.5
2207,2025-08-21,17.8,17.9,17.6,17.9
2206,2025-08-20,18.1,18.1,17.6,18.0
2205,2025-08-19,17.8,18.1,17.7,18.1
2204,2025-08-18,18.0,18.0,17.6,18.0
2203,2025-08-15,18.1,18.3,17.7,18.0
2202,2025-08-14,18.3,18.3,17.8,18.1
2201,2025-08-13,18.2,18.3,17.9,18.3
2200,2025-08-12,18.2,18.3,18.0,18.3
2199,2025-08-11,18.1,18.4,17.9,18.4
2198,2025-08-08,18.4,18.4,18.0,18.4
2197,2025-08-07,18.1,18.4,18.0,18.4
2196,2025-08-06,18.1,18.6,17.6,18.4
2195,2025-08-05,18.5,18.8,18.3,18.4
2194,2025-08-04,19.0,19.0,18.3,18.7
2193,2025-08-01,18.1,19.9,18.1,18.9
2192,2025-07-31,18.3,18.3,17.6,18.1
2191,2025-07-30,17.9,18.1,17.6,18.1
2190,2025-07-29,18.0,18.7,17.6,17.8
2189,2025-07-28,18.3,18.6,18.3,18.6
2188,2025-07-25,18.2,18.9,18.1,18.3
2187,2025-07-24,19.0,19.0,18.0,18.1
2186,2025-07-23,19.4,19.6,18.5,19.0
2185,2025-07-22,18.8,19.6,18.6,19.4
2184,2025-07-21,17.6,18.8,17.6,18.5
2183,2025-07-18,17.9,18.2,17.7,17.9
2182,2025-07-17,18.1,18.1,17.8,18.0
2181,2025-07-16,17.6,18.1,17.5,18.0
2180,2025-07-15,18.0,18.0,17.5,17.6
2179,2025-07-14,18.3,18.3,17.6,17.6
2178,2025-07-11,18.1,19.0,18.1,18.2
2177,2025-07-10,18.2,18.2,17.8,18.0
2176,2025-07-09,17.8,18.4,17.8,18.0
2175,2025-07-08,18.1,18.1,17.5,17.8
2174,2025-07-07,17.7,17.9,17.5,17.7
2173,2025-07-04,18.0,18.0,17.6,17.9
2172,2025-07-03,18.3,18.6,17.9,17.9
2171,2025-07-02,18.2,18.2,18.0,18.0
2170,2025-07-01,18.0,18.4,17.8,18.2
2169,2025-06-30,18.2,18.4,18.2,18.4
2168,2025-06-27,18.1,18.2,17.9,18.2
2167,2025-06-26,19.8,19.8,18.5,18.6
2166,2025-06-25,17.7,18.6,17.7,18.0
2165,2025-06-24,18.0,18.0,17.7,17.8
2164,2025-06-23,17.9,18.0,17.8,18.0
2163,2025-06-20,18.2,18.2,17.9,18.0
2162,2025-06-19,18.4,18.5,18.0,18.2
2161,2025-06-18,18.3,18.4,18.1,18.3
2160,2025-06-17,18.4,18.4,18.0,18.2
2159,2025-06-16,18.0,18.6,18.0,18.1
2158,2025-06-13,18.5,18.7,18.1,18.2
2157,2025-06-12,18.5,18.7,17.7,18.4
2156,2025-06-11,18.5,18.7,17.8,17.8
