,Date,Open,High,Low,Close
231,2025-10-17,19.3,21.7,18.4,18.7
230,2025-10-16,18.9,20.0,18.4,18.9
229,2025-10-15,18.2,20.0,18.2,18.9
228,2025-10-14,17.5,18.9,17.4,18.3
227,2025-10-13,16.5,18.0,16.4,17.6
226,2025-10-10,16.6,16.8,16.5,16.7
225,2025-10-09,16.6,16.8,16.5,16.8
224,2025-10-08,16.5,17.2,16.5,16.8
223,2025-10-07,16.2,17.0,16.2,16.7
222,2025-10-06,15.0,17.0,14.7,16.7
221,2025-10-03,15.0,15.9,15.0,15.7
220,2025-10-02,15.4,16.2,14.8,15.4
219,2025-10-01,14.98,15.85,14.01,15.46
218,2025-09-30,15.65,16.91,13.62,15.36
217,2025-09-29,17.2,17.2,14.88,14.88
216,2025-09-26,17.1,17.29,16.81,17.2
215,2025-09-25,16.81,17.1,16.81,17.1
214,2025-09-24,16.62,17.2,16.43,16.91
213,2025-09-23,16.43,16.91,16.33,16.72
212,2025-09-22,16.72,16.72,16.23,16.62
211,2025-09-19,16.81,17.1,15.94,16.72
210,2025-09-18,17.2,17.2,16.52,16.81
209,2025-09-17,16.52,18.36,16.52,17.2
208,2025-09-16,16.04,16.62,15.94,16.62
207,2025-09-15,16.33,16.43,15.65,16.14
206,2025-09-12,16.81,17.39,15.75,16.14
205,2025-09-11,15.85,17.49,15.85,16.81
204,2025-09-10,14.98,15.94,14.78,15.65
203,2025-09-09,14.49,14.98,14.3,14.98
202,2025-09-08,14.49,14.69,14.3,14.49
201,2025-09-05,14.78,15.07,14.2,14.49
200,2025-09-04,14.78,14.98,14.4,14.69
199,2025-09-03,14.2,14.78,14.11,14.69
198,2025-08-29,14.11,14.49,13.53,14.11
197,2025-08-28,13.53,14.2,13.24,13.91
196,2025-08-27,13.62,13.82,13.33,13.53
195,2025-08-26,13.43,13.91,13.14,13.53
194,2025-08-25,13.24,13.72,13.14,13.24
193,2025-08-22,13.62,13.72,13.04,13.24
192,2025-08-21,13.62,13.82,13.33,13.62
191,2025-08-20,13.72,14.01,13.33,13.91
190,2025-08-19,13.62,14.4,13.43,13.82
189,2025-08-18,13.04,14.2,13.04,13.72
188,2025-08-15,12.37,13.72,12.17,13.53
187,2025-08-14,12.08,12.66,12.08,12.56
186,2025-08-13,12.37,12.37,11.98,11.98
185,2025-08-12,12.27,12.56,11.98,12.37
184,2025-08-11,11.69,12.37,11.3,12.27
183,2025-08-08,11.3,12.08,11.11,11.69
182,2025-08-07,11.5,11.5,11.01,11.3
181,2025-08-06,11.4,11.4,10.92,11.21
180,2025-08-05,11.4,11.59,10.92,10.92
179,2025-08-04,10.24,11.4,10.24,11.4
178,2025-08-01,9.18,10.24,8.99,10.24
177,2025-07-31,8.89,9.08,8.79,8.79
176,2025-07-30,8.7,8.99,8.7,8.89
175,2025-07-29,8.6,9.08,8.6,8.79
174,2025-07-28,9.18,9.18,8.89,8.89
