,Date,Open,High,Low,Close
4686,2025-10-17,18.35,18.35,17.55,17.55
4685,2025-10-16,18.35,18.35,18.0,18.35
4684,2025-10-15,18.3,18.3,17.5,17.5
4683,2025-10-14,18.4,18.4,18.3,18.3
4682,2025-10-13,17.5,17.5,17.5,17.5
4681,2025-10-10,17.6,17.6,17.5,17.5
4680,2025-10-09,17.55,17.55,17.5,17.5
4679,2025-10-08,18.5,18.5,18.5,18.5
4678,2025-10-07,18.65,18.65,18.65,18.65
4677,2025-10-02,18.7,18.7,18.65,18.65
4676,2025-10-01,18.6,18.7,18.6,18.7
4675,2025-09-30,18.4,18.4,18.4,18.4
4674,2025-09-29,18.2,18.4,18.2,18.4
4673,2025-09-26,18.2,18.2,18.2,18.2
4672,2025-09-25,18.25,18.25,18.2,18.2
4671,2025-09-24,18.0,18.0,18.0,18.0
4670,2025-09-23,18.0,18.0,18.0,18.0
4669,2025-09-22,17.55,17.55,17.55,17.55
4668,2025-09-19,18.05,18.05,17.55,17.55
4667,2025-09-18,17.35,18.1,17.35,18.1
4666,2025-09-17,18.45,18.5,18.45,18.5
4665,2025-09-15,17.6,17.9,17.6,17.9
4664,2025-09-12,17.45,17.45,17.45,17.45
4663,2025-09-11,17.3,17.35,17.3,17.35
4662,2025-09-10,17.6,18.0,17.6,17.8
4661,2025-09-09,17.6,17.6,17.35,17.35
4660,2025-09-08,17.1,17.6,17.1,17.6
4659,2025-09-05,18.0,18.05,17.95,18.05
4658,2025-09-04,18.1,18.1,17.0,18.05
4657,2025-09-03,18.2,18.2,17.5,18.1
4656,2025-08-29,18.2,18.5,18.2,18.2
4655,2025-08-28,18.2,18.2,18.2,18.2
4654,2025-08-27,18.15,19.3,18.15,18.2
4653,2025-08-26,17.2,18.15,17.2,18.15
4652,2025-08-25,16.85,17.5,16.85,17.0
4651,2025-08-22,17.6,17.7,17.0,17.0
4650,2025-08-21,18.85,18.94,17.56,17.7
4649,2025-08-20,19.14,19.14,18.85,18.85
4648,2025-08-19,19.14,19.14,18.75,18.9
4647,2025-08-18,19.14,19.14,18.37,18.37
4646,2025-08-15,17.7,18.85,17.7,18.37
4645,2025-08-14,17.89,17.89,17.65,17.65
4644,2025-08-13,17.8,17.89,17.51,17.51
4643,2025-08-12,17.51,17.8,17.51,17.8
4642,2025-08-11,17.89,17.89,17.08,17.51
4641,2025-08-08,17.22,17.22,16.98,17.22
4640,2025-08-07,17.94,17.94,16.84,17.51
4639,2025-08-06,17.51,17.61,17.41,17.51
4638,2025-08-05,17.22,17.51,17.03,17.51
4637,2025-08-04,16.94,17.03,16.94,17.03
4636,2025-08-01,17.65,17.65,16.94,16.94
4635,2025-07-31,17.75,17.75,16.84,16.94
4634,2025-07-30,17.84,17.84,16.74,17.03
4633,2025-07-29,17.94,17.94,16.36,16.79
4632,2025-07-28,16.74,17.03,16.74,16.79
4631,2025-07-25,16.74,16.74,16.27,16.74
4630,2025-07-24,16.79,16.79,16.65,16.74
4629,2025-07-23,16.7,16.89,16.7,16.7
4628,2025-07-22,16.6,16.65,16.17,16.6
4627,2025-07-21,16.65,16.65,16.55,16.65
4626,2025-07-18,16.65,16.65,16.27,16.65
4625,2025-07-17,16.41,16.65,16.41,16.65
4624,2025-07-16,16.55,16.6,16.41,16.41
4623,2025-07-15,17.03,17.03,16.41,16.6
4622,2025-07-14,17.61,17.61,17.03,17.03
4621,2025-07-11,16.36,16.5,16.36,16.46
4620,2025-07-10,16.31,16.31,16.27,16.31
4619,2025-07-09,16.5,16.55,16.31,16.31
4618,2025-07-08,16.74,16.74,16.41,16.41
4617,2025-07-07,16.46,16.46,16.22,16.46
4616,2025-07-04,16.27,16.27,16.27,16.27
4615,2025-07-03,16.46,16.46,16.46,16.46
4614,2025-07-02,16.27,16.46,16.27,16.46
4613,2025-07-01,16.31,16.31,16.27,16.27
4612,2025-06-30,16.5,16.5,16.5,16.5
4611,2025-06-27,16.65,16.65,16.55,16.55
4610,2025-06-26,16.17,16.74,16.17,16.7
4609,2025-06-25,16.17,16.17,16.17,16.17
4608,2025-06-24,16.7,16.7,16.12,16.12
4607,2025-06-23,16.74,16.84,16.6,16.7
4606,2025-06-20,16.27,16.74,16.12,16.74
4605,2025-06-19,16.36,16.36,16.27,16.27
4604,2025-06-18,16.74,16.74,16.27,16.27
4603,2025-06-17,16.22,17.08,16.22,17.08
4602,2025-06-16,16.22,16.22,16.22,16.22
4601,2025-06-13,16.17,16.27,16.17,16.22
4600,2025-06-12,16.55,16.55,16.17,16.17
4599,2025-06-11,16.36,16.36,16.36,16.36
4598,2025-06-10,16.27,16.41,16.27,16.36
4597,2025-06-09,16.74,16.74,16.17,16.17
4596,2025-06-06,16.27,16.27,16.07,16.27
4595,2025-06-05,16.74,16.74,16.27,16.27
4594,2025-06-04,17.13,17.13,16.27,16.27
4593,2025-06-03,16.27,16.74,16.27,16.27
4592,2025-06-02,16.94,16.94,16.17,16.17
4591,2025-05-30,17.56,17.56,16.98,16.98
4590,2025-05-29,16.46,16.46,16.41,16.41
4589,2025-05-28,16.84,16.84,16.31,16.31
4588,2025-05-27,16.55,16.84,16.5,16.84
4587,2025-05-26,16.84,16.84,16.55,16.55
4586,2025-05-23,16.84,16.84,16.74,16.74
4585,2025-05-22,17.13,17.13,16.46,16.74
4584,2025-05-21,16.12,17.17,15.98,17.17
4583,2025-05-20,16.27,16.27,16.12,16.12
4582,2025-05-19,16.27,16.27,16.27,16.27
4581,2025-05-16,16.55,16.84,15.6,16.84
4580,2025-05-15,16.84,16.84,16.74,16.74
4579,2025-05-14,16.65,16.65,16.65,16.65
4578,2025-05-13,17.16,17.16,16.56,16.65
4577,2025-05-12,17.21,17.21,17.21,17.21
4576,2025-05-09,16.32,16.74,16.28,16.7
4575,2025-05-08,17.21,17.21,17.21,17.21
4574,2025-05-07,16.74,17.25,16.74,17.25
4573,2025-05-06,16.74,17.3,16.74,17.3
4572,2025-05-05,16.74,16.74,16.74,16.74
4571,2025-04-29,16.74,16.74,16.74,16.74
4570,2025-04-28,15.77,16.74,15.77,16.74
4569,2025-04-25,16.23,16.23,16.23,16.23
4568,2025-04-24,16.37,16.37,16.28,16.28
4567,2025-04-23,16.28,16.28,16.28,16.28
4566,2025-04-22,17.21,17.21,15.95,16.04
4565,2025-04-21,17.11,17.11,17.11,17.11
4564,2025-04-18,16.88,17.11,16.88,17.11
4563,2025-04-17,15.9,16.97,15.9,16.97
4562,2025-04-16,16.0,16.09,15.9,15.9
4561,2025-04-15,15.95,15.95,15.95,15.95
4560,2025-04-14,15.86,15.86,15.86,15.86
4559,2025-04-11,15.53,15.53,15.53,15.53
4558,2025-04-10,15.81,16.18,15.81,16.18
4557,2025-04-09,15.16,15.16,15.16,15.16
4556,2025-04-08,16.74,16.74,16.28,16.28
4555,2025-04-04,16.74,16.74,16.74,16.74
4554,2025-04-03,17.21,17.21,16.42,16.74
4553,2025-04-02,17.44,17.44,17.44,17.44
4552,2025-04-01,17.44,17.44,17.44,17.44
4551,2025-03-31,17.12,17.67,16.44,17.44
4550,2025-03-28,17.67,17.67,17.67,17.67
4549,2025-03-27,17.67,17.67,17.67,17.67
4548,2025-03-26,18.12,18.12,18.12,18.12
4547,2025-03-25,18.89,18.89,18.57,18.57
4546,2025-03-24,18.8,18.8,18.57,18.57
4545,2025-03-21,18.93,18.93,18.93,18.93
4544,2025-03-20,18.21,18.98,17.76,18.98
4543,2025-03-19,19.02,19.02,19.02,19.02
4542,2025-03-18,18.84,19.02,18.84,19.02
4541,2025-03-17,17.76,18.84,17.76,18.84
4540,2025-03-14,17.53,18.71,17.53,18.71
4539,2025-03-13,18.84,18.84,18.84,18.84
4538,2025-03-12,18.84,18.84,18.84,18.84
4537,2025-03-11,18.84,18.84,18.66,18.84
4536,2025-03-10,17.76,18.48,17.76,18.12
4535,2025-03-07,17.57,17.76,17.57,17.76
4534,2025-03-06,16.35,17.67,16.35,17.67
4533,2025-03-05,16.85,17.03,16.85,16.94
4532,2025-03-04,17.67,17.67,17.67,17.67
4531,2025-03-03,17.67,17.67,16.76,17.67
4530,2025-02-28,17.21,17.21,17.21,17.21
4529,2025-02-27,18.03,18.03,16.94,16.94
4528,2025-02-26,17.21,17.21,17.21,17.21
4527,2025-02-25,17.21,17.48,17.21,17.21
4526,2025-02-24,17.21,17.21,17.17,17.21
4525,2025-02-21,16.67,16.67,16.67,16.67
4524,2025-02-20,16.99,16.99,16.99,16.99
4523,2025-02-19,16.85,16.85,16.76,16.76
4522,2025-02-18,17.12,17.12,16.76,16.76
4521,2025-02-17,16.35,16.58,16.35,16.58
4520,2025-02-14,16.58,16.58,16.49,16.49
4519,2025-02-13,16.35,16.35,16.35,16.35
4518,2025-02-12,16.85,17.12,16.4,16.4
4517,2025-02-11,16.49,17.21,16.4,16.4
4516,2025-02-10,16.58,16.58,16.35,16.4
4515,2025-02-07,16.44,16.53,16.4,16.53
4514,2025-02-06,17.21,17.21,16.22,16.22
4513,2025-02-05,17.21,17.21,17.21,17.21
4512,2025-02-04,17.21,17.21,17.21,17.21
4511,2025-02-03,17.21,17.21,17.21,17.21
4510,2025-01-24,17.21,17.21,17.21,17.21
4509,2025-01-23,17.21,17.21,17.21,17.21
4508,2025-01-22,17.21,17.21,17.21,17.21
4507,2025-01-21,16.22,17.21,16.22,17.21
4506,2025-01-20,16.31,16.31,16.31,16.31
4505,2025-01-17,17.08,17.21,17.08,17.21
4504,2025-01-16,17.12,17.12,17.12,17.12
4503,2025-01-15,17.12,17.12,17.12,17.12
4502,2025-01-14,17.12,17.12,17.12,17.12
4501,2025-01-13,17.12,17.12,17.12,17.12
4500,2025-01-10,16.76,16.76,16.76,16.76
4499,2025-01-09,16.76,16.76,16.76,16.76
4498,2025-01-08,17.44,17.44,16.76,16.76
4497,2025-01-07,16.4,16.4,16.4,16.4
4496,2025-01-06,17.03,17.03,17.03,17.03
4495,2025-01-03,17.03,17.03,17.03,17.03
4494,2025-01-02,17.48,17.48,17.48,17.48
4493,2024-12-31,17.48,17.48,17.48,17.48
4492,2024-12-30,17.39,17.48,17.39,17.48
