,Date,Open,High,Low,Close,Volume
2032,2025-10-22,12.2,13.0,12.2,12.5,3300
2031,2025-10-21,12.0,12.1,12.0,12.1,900
2030,2025-10-20,12.0,12.0,12.0,12.0,35900
2029,2025-10-17,12.2,12.2,12.0,12.0,7900
2028,2025-10-15,12.2,12.2,12.2,12.2,600
2027,2025-10-14,12.1,12.1,12.1,12.1,1000
2026,2025-10-13,12.0,12.4,12.0,12.4,1100
2025,2025-10-10,12.3,12.3,12.0,12.0,5200
2024,2025-10-09,12.4,12.4,12.4,12.4,4000
2023,2025-10-08,12.0,12.0,12.0,12.0,14800
2022,2025-10-07,12.0,12.0,12.0,12.0,2500
2021,2025-10-06,12.0,12.0,11.9,11.9,6500
2020,2025-10-03,12.0,12.0,12.0,12.0,10000
2019,2025-10-02,12.0,12.0,11.9,12.0,52000
2018,2025-10-01,12.0,12.0,12.0,12.0,32000
2017,2025-09-30,12.0,12.0,12.0,12.0,27600
2016,2025-09-29,11.9,12.0,11.9,12.0,7400
2015,2025-09-26,11.9,12.0,11.9,12.0,5300
2014,2025-09-25,11.9,12.0,11.9,11.9,18000
2013,2025-09-24,11.8,11.8,11.8,11.8,3100
2012,2025-09-23,11.7,11.9,11.7,11.9,9500
2011,2025-09-22,11.9,11.9,11.8,11.8,12400
2010,2025-09-18,11.9,12.0,11.9,11.9,19000
2009,2025-09-17,11.9,12.0,11.9,12.0,200
2008,2025-09-16,11.9,12.0,11.7,11.9,12500
2007,2025-09-15,12.0,12.0,12.0,12.0,1700
2006,2025-09-11,11.9,12.1,11.9,12.0,8700
2005,2025-09-10,12.0,12.0,11.9,11.9,3000
2004,2025-09-09,11.9,11.9,11.9,11.9,200
2003,2025-09-08,11.9,11.9,11.8,11.9,2100
2002,2025-09-05,11.9,11.9,11.9,11.9,200
2001,2025-09-04,12.0,12.0,11.9,11.9,7000
2000,2025-09-03,11.9,12.0,11.9,11.9,13100
1999,2025-08-29,12.0,12.0,11.9,11.9,800
1998,2025-08-28,11.9,11.9,11.9,11.9,200
1997,2025-08-26,11.8,11.9,11.8,11.9,2500
1996,2025-08-25,11.8,11.9,11.8,11.9,9600
1995,2025-08-22,11.9,11.9,11.9,11.9,3500
1994,2025-08-21,12.0,12.0,11.8,11.9,5400
1993,2025-08-20,11.9,11.9,11.9,11.9,2800
1992,2025-08-19,11.9,11.9,11.9,11.9,4800
1991,2025-08-18,11.9,11.9,11.8,11.8,1200
1990,2025-08-15,11.9,11.9,11.9,11.9,2800
1989,2025-08-14,11.9,12.0,11.9,12.0,6500
1988,2025-08-13,12.0,12.0,12.0,12.0,4000
1987,2025-08-12,11.8,11.9,11.8,11.9,2100
1986,2025-08-11,11.9,11.9,11.9,11.9,3400
1985,2025-08-08,11.9,11.9,11.8,11.8,400
1984,2025-08-07,11.8,11.8,11.8,11.8,1500
1983,2025-08-06,11.9,11.9,11.9,11.9,200
1982,2025-08-05,11.9,11.9,11.9,11.9,200
1981,2025-08-04,11.8,11.8,11.8,11.8,400
