,Date,Open,High,Low,Close,Volume
3934,2025-10-24,7.4,7.5,7.4,7.5,1600
3933,2025-10-23,7.4,7.5,7.4,7.5,3800
3932,2025-10-22,7.4,7.4,7.3,7.4,9700
3931,2025-10-21,7.5,7.5,7.4,7.5,5500
3930,2025-10-20,7.4,7.7,7.4,7.7,3800
3929,2025-10-17,7.5,7.9,7.5,7.7,9200
3928,2025-10-16,8.0,8.0,7.5,7.5,5900
3927,2025-10-15,8.1,8.1,8.0,8.0,14300
3926,2025-10-14,8.1,8.2,8.1,8.1,9900
3925,2025-10-13,8.1,8.2,8.1,8.2,4900
3924,2025-10-10,8.2,8.3,8.1,8.3,4900
3923,2025-10-09,8.0,8.2,8.0,8.0,5700
3922,2025-10-08,8.1,8.2,8.1,8.2,3200
3921,2025-10-07,8.2,8.2,8.1,8.1,28700
3920,2025-10-06,8.1,8.3,8.1,8.1,13700
3919,2025-10-03,8.0,8.2,8.0,8.1,20800
3918,2025-10-02,8.0,8.2,8.0,8.0,12300
3917,2025-10-01,8.0,8.2,8.0,8.0,67500
3916,2025-09-30,8.1,8.2,8.0,8.2,27800
3915,2025-09-29,8.0,8.3,8.0,8.2,8800
3914,2025-09-26,8.2,8.5,7.9,8.0,17400
3913,2025-09-25,8.1,8.6,8.1,8.1,129300
3912,2025-09-24,9.4,9.4,8.5,8.9,213800
3911,2025-09-23,9.4,10.0,9.4,9.4,50100
3910,2025-09-22,12.3,12.3,10.4,10.4,40800
3909,2025-09-19,12.7,12.8,11.5,11.5,357900
3908,2025-09-18,10.5,11.7,10.5,11.7,314000
3907,2025-09-17,10.2,10.7,10.2,10.7,7200
3906,2025-09-16,10.0,10.2,10.0,10.2,200
3905,2025-09-15,10.0,10.1,10.0,10.1,300
3904,2025-09-12,10.3,10.3,10.3,10.3,100
3903,2025-09-09,10.2,10.2,10.2,10.2,3000
3902,2025-09-08,10.2,10.2,10.2,10.2,100
3901,2025-08-29,10.3,10.3,10.0,10.1,8500
3900,2025-08-28,10.1,10.1,10.1,10.1,100
3899,2025-08-27,10.2,10.2,10.2,10.2,100
3898,2025-08-25,10.2,10.2,10.2,10.2,1100
3897,2025-08-20,10.3,10.3,10.3,10.3,5000
3896,2025-08-19,10.3,10.4,10.3,10.4,1200
3895,2025-08-18,10.2,10.5,10.2,10.5,1500
3894,2025-08-15,10.3,10.3,10.3,10.3,1300
3893,2025-08-14,10.3,10.3,10.2,10.2,1100
3892,2025-08-13,10.0,10.3,10.0,10.2,3400
3891,2025-08-12,10.4,10.4,10.0,10.3,12000
3890,2025-08-11,10.4,10.4,10.4,10.4,400
3889,2025-08-08,10.4,10.4,10.4,10.4,8300
3888,2025-08-07,10.3,10.3,10.3,10.3,1200
3887,2025-08-06,10.0,10.3,10.0,10.3,4000
3886,2025-08-05,10.1,10.2,10.1,10.2,1500
