,Date,Open,High,Low,Close
1491,2025-09-25,14.3,14.3,14.3,14.3
1490,2025-08-28,12.5,12.5,12.5,12.5
1489,2025-06-24,12.1,12.1,12.1,12.1
1488,2025-06-20,10.6,10.6,10.6,10.6
1487,2025-06-17,9.3,9.3,9.3,9.3
1486,2025-05-22,6.7,6.7,6.7,6.7
1485,2025-05-21,6.7,6.7,6.7,6.7
1484,2025-05-20,6.7,6.7,6.7,6.7
1483,2025-05-19,6.7,6.7,6.7,6.7
1482,2025-05-16,6.7,6.7,6.7,6.7
1481,2025-05-15,6.7,6.7,6.7,6.7
1480,2025-05-14,6.7,6.7,6.7,6.7
1479,2025-05-13,6.7,6.7,6.7,6.7
1478,2025-05-12,6.7,6.7,6.7,6.7
1477,2025-05-09,6.66,6.66,6.66,6.66
1476,2025-05-08,6.66,6.66,6.66,6.66
1475,2025-05-07,6.66,6.66,6.66,6.66
1474,2025-05-06,6.66,6.66,6.66,6.66
1473,2025-05-05,6.66,6.66,6.66,6.66
1472,2025-04-29,6.66,6.66,6.66,6.66
1471,2025-04-28,6.66,6.66,6.66,6.66
1470,2025-04-25,6.66,6.66,6.66,6.66
1469,2025-04-24,6.66,6.66,6.66,6.66
1468,2025-04-23,6.66,6.66,6.66,6.66
1467,2025-04-22,6.66,6.66,6.66,6.66
1466,2025-04-21,6.66,6.66,6.66,6.66
1465,2025-04-18,6.66,6.66,6.66,6.66
1464,2025-04-17,6.66,6.66,6.66,6.66
1463,2025-04-16,6.66,6.66,6.66,6.66
1462,2025-04-15,6.66,6.66,6.66,6.66
1461,2025-04-14,6.66,6.66,6.66,6.66
1460,2025-04-11,6.66,6.66,6.66,6.66
1459,2025-04-10,6.66,6.66,6.66,6.66
1458,2025-04-09,6.66,6.66,6.66,6.66
1457,2025-04-08,6.66,6.66,6.66,6.66
1456,2025-04-04,6.66,6.66,6.66,6.66
1455,2025-04-03,6.66,6.66,6.66,6.66
1454,2025-04-02,6.66,6.66,6.66,6.66
1453,2025-04-01,6.66,6.66,6.66,6.66
1452,2025-03-31,6.66,6.66,6.66,6.66
1451,2025-03-28,6.66,6.66,6.66,6.66
1450,2025-03-27,6.66,6.66,6.66,6.66
1449,2025-03-26,6.66,6.66,6.66,6.66
1448,2025-03-25,6.66,6.66,6.66,6.66
1447,2025-03-24,6.66,6.66,6.66,6.66
1446,2025-03-21,6.66,6.66,6.66,6.66
1445,2025-03-20,6.66,6.66,6.66,6.66
1444,2025-03-19,6.66,6.66,6.66,6.66
1443,2025-03-18,6.66,6.66,6.66,6.66
1442,2025-03-17,6.66,6.66,6.66,6.66
1441,2025-03-14,6.66,6.66,6.66,6.66
1440,2025-03-13,6.66,6.66,6.66,6.66
1439,2025-03-12,6.66,6.66,6.66,6.66
1438,2025-03-11,6.66,6.66,6.66,6.66
1437,2025-03-10,6.66,6.66,6.66,6.66
1436,2025-03-07,6.66,6.66,6.66,6.66
1435,2025-03-06,6.66,6.66,6.66,6.66
1434,2025-03-05,6.66,6.66,6.66,6.66
1433,2025-03-04,6.66,6.66,6.66,6.66
1432,2025-03-03,6.66,6.66,6.66,6.66
1431,2025-02-28,6.66,6.66,6.66,6.66
1430,2025-02-27,6.66,6.66,6.66,6.66
1429,2025-02-26,6.66,6.66,6.66,6.66
1428,2025-02-25,6.66,6.66,6.66,6.66
1427,2025-02-24,6.66,6.66,6.66,6.66
1426,2025-02-21,6.66,6.66,6.66,6.66
1425,2025-02-20,6.66,6.66,6.66,6.66
1424,2025-02-19,6.66,6.66,6.66,6.66
1423,2025-02-18,6.66,6.66,6.66,6.66
1422,2025-02-17,6.66,6.66,6.66,6.66
1421,2025-02-14,6.66,6.66,6.66,6.66
1420,2025-02-13,6.66,6.66,6.66,6.66
1419,2025-02-12,6.66,6.66,6.66,6.66
1418,2025-02-11,6.66,6.66,6.66,6.66
1417,2025-02-10,6.66,6.66,6.66,6.66
1416,2025-02-07,6.66,6.66,6.66,6.66
1415,2025-02-06,6.66,6.66,6.66,6.66
1414,2025-02-05,6.66,6.66,6.66,6.66
1413,2025-02-04,6.66,6.66,6.66,6.66
1412,2025-02-03,6.66,6.66,6.66,6.66
1411,2025-01-24,6.66,6.66,6.66,6.66
1410,2025-01-23,6.66,6.66,6.66,6.66
1409,2025-01-22,6.66,6.66,6.66,6.66
1408,2025-01-21,6.66,6.66,6.66,6.66
1407,2025-01-20,6.66,6.66,6.66,6.66
1406,2025-01-17,6.66,6.66,6.66,6.66
1405,2025-01-16,6.66,6.66,6.66,6.66
1404,2025-01-15,6.66,6.66,6.66,6.66
1403,2025-01-14,6.66,6.66,6.66,6.66
1402,2025-01-13,6.66,6.66,6.66,6.66
1401,2025-01-10,6.66,6.66,6.66,6.66
1400,2025-01-09,6.66,6.66,6.66,6.66
1399,2025-01-08,6.66,6.66,6.66,6.66
1398,2025-01-07,6.66,6.66,6.66,6.66
1397,2025-01-06,6.66,6.66,6.66,6.66
1396,2025-01-03,6.66,6.66,6.66,6.66
1395,2025-01-02,6.66,6.66,6.66,6.66
1394,2024-12-31,6.66,6.66,6.66,6.66
1393,2024-12-30,6.66,6.66,6.66,6.66
1392,2024-12-27,6.66,6.66,6.66,6.66
1391,2024-12-26,6.66,6.66,6.66,6.66
1390,2024-12-25,6.66,6.66,6.66,6.66
1389,2024-12-24,6.66,6.66,6.66,6.66
1388,2024-12-23,6.66,6.66,6.66,6.66
1387,2024-12-20,6.66,6.66,6.66,6.66
1386,2024-12-19,6.66,6.66,6.66,6.66
1385,2024-12-18,6.66,6.66,6.66,6.66
1384,2024-12-17,6.66,6.66,6.66,6.66
1383,2024-12-16,6.66,6.66,6.66,6.66
1382,2024-12-13,6.66,6.66,6.66,6.66
1381,2024-12-12,6.66,6.66,6.66,6.66
1380,2024-12-11,6.66,6.66,6.66,6.66
1379,2024-12-10,6.66,6.66,6.66,6.66
1378,2024-12-09,6.66,6.66,6.66,6.66
1377,2024-12-06,6.66,6.66,6.66,6.66
1376,2024-12-05,6.66,6.66,6.66,6.66
1375,2024-12-04,6.66,6.66,6.66,6.66
1374,2024-12-03,6.66,6.66,6.66,6.66
1373,2024-12-02,6.66,6.66,6.66,6.66
1372,2024-11-29,6.66,6.66,6.66,6.66
1371,2024-11-28,6.66,6.66,6.66,6.66
1370,2024-11-27,6.66,6.66,6.66,6.66
1369,2024-11-26,6.66,6.66,6.66,6.66
1368,2024-11-25,6.66,6.66,6.66,6.66
1367,2024-11-22,6.66,6.66,6.66,6.66
1366,2024-11-21,6.66,6.66,6.66,6.66
1365,2024-11-20,6.66,6.66,6.66,6.66
1364,2024-11-19,6.66,6.66,6.66,6.66
1363,2024-11-18,6.7,6.7,6.7,6.7
1362,2024-11-15,6.7,6.7,6.7,6.7
1361,2024-11-14,6.7,6.7,6.7,6.7
1360,2024-11-13,6.7,6.7,6.7,6.7
1359,2024-11-12,6.7,6.7,6.7,6.7
1358,2024-11-11,6.7,6.7,6.7,6.7
1357,2024-11-08,6.7,6.7,6.7,6.7
1356,2024-11-07,6.7,6.7,6.7,6.7
1355,2024-11-06,6.7,6.7,6.7,6.7
1354,2024-11-05,6.7,6.7,6.7,6.7
1353,2024-11-04,6.7,6.7,6.7,6.7
1352,2024-11-01,6.7,6.7,6.7,6.7
1351,2024-10-31,6.7,6.7,6.7,6.7
1350,2024-10-30,6.7,6.7,6.7,6.7
1349,2024-10-29,6.7,6.7,6.7,6.7
1348,2024-10-28,6.7,6.7,6.7,6.7
1347,2024-10-25,6.7,6.7,6.7,6.7
1346,2024-10-24,6.7,6.7,6.7,6.7
1345,2024-10-23,6.7,6.7,6.7,6.7
1344,2024-10-22,6.7,6.7,6.7,6.7
1343,2024-10-21,6.7,6.7,6.7,6.7
1342,2024-10-18,6.7,6.7,6.7,6.7
1341,2024-10-17,6.7,6.7,6.7,6.7
1340,2024-10-16,6.7,6.7,6.7,6.7
1339,2024-10-15,6.7,6.7,6.7,6.7
1338,2024-10-14,6.7,6.7,6.7,6.7
1337,2024-10-11,6.7,6.7,6.7,6.7
1336,2024-10-10,6.7,6.7,6.7,6.7
1335,2024-10-09,6.7,6.7,6.7,6.7
1334,2024-10-08,6.7,6.7,6.7,6.7
1333,2024-10-07,6.7,6.7,6.7,6.7
1332,2024-10-04,6.7,6.7,6.7,6.7
1331,2024-10-03,6.7,6.7,6.7,6.7
1330,2024-10-02,6.7,6.7,6.7,6.7
1329,2024-10-01,6.7,6.7,6.7,6.7
1328,2024-09-30,6.7,6.7,6.7,6.7
1327,2024-09-27,6.7,6.7,6.7,6.7
1326,2024-09-26,6.7,6.7,6.7,6.7
1325,2024-09-25,6.7,6.7,6.7,6.7
1324,2024-09-24,6.7,6.7,6.7,6.7
1323,2024-09-23,6.7,6.7,6.7,6.7
1322,2024-09-20,6.7,6.7,6.7,6.7
1321,2024-09-19,6.7,6.7,6.7,6.7
1320,2024-09-18,6.7,6.7,6.7,6.7
1319,2024-09-17,6.7,6.7,6.7,6.7
1318,2024-09-16,6.7,6.7,6.7,6.7
1317,2024-09-13,6.7,6.7,6.7,6.7
1316,2024-09-12,6.7,6.7,6.7,6.7
1315,2024-09-11,6.7,6.7,6.7,6.7
1314,2024-09-10,6.7,6.7,6.7,6.7
1313,2024-09-09,6.7,6.7,6.7,6.7
1312,2024-09-06,6.7,6.7,6.7,6.7
1311,2024-09-05,6.7,6.7,6.7,6.7
1310,2024-09-04,6.7,6.7,6.7,6.7
1309,2024-08-30,6.7,6.7,6.7,6.7
1308,2024-08-29,6.7,6.7,6.7,6.7
1307,2024-08-28,6.7,6.7,6.7,6.7
1306,2024-08-27,6.7,6.7,6.7,6.7
1305,2024-08-26,6.7,6.7,6.7,6.7
1304,2024-08-23,6.7,6.7,6.7,6.7
1303,2024-08-22,6.7,6.7,6.7,6.7
1302,2024-08-21,6.7,6.7,6.7,6.7
1301,2024-08-20,6.7,6.7,6.7,6.7
1300,2024-08-19,6.7,6.7,6.7,6.7
1299,2024-08-16,6.7,6.7,6.7,6.7
1298,2024-08-15,6.7,6.7,6.7,6.7
1297,2024-08-14,6.7,6.7,6.7,6.7
1296,2024-08-13,6.7,6.7,6.7,6.7
1295,2024-08-12,6.7,6.7,6.7,6.7
1294,2024-08-09,6.7,6.7,6.7,6.7
