,Date,Open,High,Low,Close,Volume
3772,2025-10-24,68.8,69.1,68.2,69.1,2400
3771,2025-10-23,69.0,69.0,68.6,68.8,1300
3770,2025-10-22,69.4,69.4,69.0,69.0,1100
3769,2025-10-21,69.1,69.4,68.3,69.4,4800
3768,2025-10-20,69.1,71.5,67.8,69.1,3200
3767,2025-10-17,71.9,72.0,67.9,69.1,6100
3766,2025-10-16,67.9,69.0,67.9,67.9,7200
3765,2025-10-15,68.5,68.5,67.7,67.7,10500
3764,2025-10-14,68.7,69.0,68.0,68.4,10400
3763,2025-10-13,69.9,69.9,67.5,69.1,3080
3762,2025-10-10,70.2,70.2,69.0,69.9,3436
3761,2025-10-09,70.6,70.6,65.0,69.9,8959
3760,2025-10-08,70.5,70.7,69.3,69.3,15560
3759,2025-10-07,71.1,71.1,70.0,70.5,6564
3758,2025-10-06,70.5,71.6,70.5,71.0,6277
3757,2025-10-03,72.5,72.5,70.0,70.5,7019
3756,2025-10-02,76.5,76.5,70.0,70.2,20718
3755,2025-10-01,80.0,82.0,70.0,72.2,30246
3754,2025-09-30,77.57,77.76,76.01,76.1,30381
3753,2025-09-29,77.85,78.03,77.2,77.57,58235
3752,2025-09-26,77.2,77.48,76.93,77.39,27919
3751,2025-09-25,76.47,76.84,75.55,76.74,28291
3750,2025-09-24,77.39,77.39,76.47,76.47,15168
3749,2025-09-23,78.68,78.68,76.84,77.02,21709
3748,2025-09-22,84.48,84.48,77.02,78.22,40103
3747,2025-09-19,75.45,77.02,75.45,77.02,21246
3746,2025-09-18,75.45,75.45,75.27,75.27,5813
3745,2025-09-17,74.99,75.45,74.81,75.27,6203
3744,2025-09-16,75.27,75.27,75.09,75.09,10400
3743,2025-09-15,74.63,75.45,74.63,75.27,4515
3742,2025-09-12,74.35,74.63,74.16,74.63,12800
3741,2025-09-11,75.45,75.45,74.16,74.16,3318
3740,2025-09-10,74.35,74.35,74.16,74.16,3925
3739,2025-09-09,74.16,74.35,73.98,74.35,3132
3738,2025-09-08,73.98,74.26,73.89,73.89,1384
3737,2025-09-05,74.63,74.99,74.63,74.63,4260
3736,2025-09-04,73.8,74.63,73.7,74.63,8300
3735,2025-09-03,73.7,73.8,72.87,73.7,7400
3734,2025-08-29,73.24,73.61,73.24,73.24,5007
3733,2025-08-28,72.78,72.87,72.78,72.87,780
3732,2025-08-27,72.05,72.6,72.05,72.32,2300
3731,2025-08-26,72.23,72.6,72.23,72.6,4149
3730,2025-08-25,71.86,73.43,71.86,72.05,5318
3729,2025-08-22,71.22,73.61,71.22,71.86,8035
3728,2025-08-21,71.49,71.49,71.22,71.22,406
3727,2025-08-20,71.68,71.86,71.12,71.59,4305
3726,2025-08-19,70.94,71.68,70.94,71.68,601
3725,2025-08-18,70.94,71.4,70.94,71.4,723
3724,2025-08-15,71.59,71.86,70.94,71.4,2208
