,Date,Open,High,Low,Close
2893,2025-10-17,59.0,59.7,59.0,59.7
2892,2025-10-16,57.7,57.8,54.3,54.3
2891,2025-10-15,55.0,59.1,54.4,54.4
2890,2025-10-14,53.8,53.8,53.8,53.8
2889,2025-10-13,58.0,58.9,53.6,58.9
2888,2025-10-10,53.6,53.6,53.6,53.6
2887,2025-10-06,53.0,57.6,53.0,57.6
2886,2025-10-03,53.2,59.0,53.2,57.6
2885,2025-09-30,58.0,58.0,57.8,57.8
2884,2025-09-24,58.0,60.0,57.6,57.6
2883,2025-09-19,57.5,60.0,57.5,57.9
2882,2025-09-18,57.2,57.2,57.2,57.2
2881,2025-09-17,57.6,59.5,57.6,59.5
2880,2025-09-16,59.9,60.0,57.5,57.5
2879,2025-09-15,60.0,61.0,60.0,60.2
2878,2025-09-12,59.0,60.0,59.0,60.0
2877,2025-09-11,57.5,57.5,57.2,57.2
2876,2025-09-10,57.5,57.7,57.5,57.5
2875,2025-09-09,57.0,60.0,57.0,59.9
2874,2025-09-08,59.1,59.2,56.7,57.0
2873,2025-09-05,59.1,59.2,59.0,59.2
2872,2025-09-04,57.5,59.5,57.5,59.5
2871,2025-09-03,56.7,57.5,56.5,57.5
2870,2025-08-28,56.5,56.7,56.5,56.7
2869,2025-08-27,58.3,58.4,56.2,56.2
2868,2025-08-25,53.1,53.1,53.1,53.1
2867,2025-08-22,57.2,57.2,52.8,52.8
2866,2025-08-21,52.0,52.0,52.0,52.0
2865,2025-08-20,55.7,55.7,54.9,55.1
2864,2025-08-19,56.0,56.0,55.2,55.2
2863,2025-08-18,56.0,56.6,55.2,55.2
2862,2025-08-15,55.4,60.9,55.0,55.7
2861,2025-08-14,55.5,55.6,55.4,55.4
2860,2025-08-13,55.0,60.0,55.0,55.4
2859,2025-08-12,59.6,59.7,59.6,59.7
2858,2025-08-11,58.5,59.9,58.5,59.7
2857,2025-08-08,53.5,58.5,53.5,55.6
2856,2025-08-07,60.0,60.0,52.0,53.2
2855,2025-08-06,60.9,62.1,57.5,57.5
2854,2025-08-05,58.2,62.7,58.2,62.1
2853,2025-08-04,58.9,59.0,57.0,57.0
2852,2025-08-01,58.6,60.0,58.6,60.0
2851,2025-07-31,63.0,63.0,55.0,61.1
2850,2025-07-30,62.0,62.0,57.6,57.6
2849,2025-07-29,62.1,62.1,62.1,62.1
2848,2025-07-28,62.1,65.9,62.1,62.1
2847,2025-07-25,63.0,68.8,58.2,68.8
2846,2025-07-24,63.3,63.3,63.0,63.0
2845,2025-07-23,62.0,63.5,57.6,57.6
2844,2025-07-22,61.0,63.2,55.3,62.3
2843,2025-07-21,56.0,60.5,56.0,60.5
2842,2025-07-18,53.5,55.0,51.2,55.0
2841,2025-07-17,50.3,55.0,50.0,50.0
2840,2025-07-16,50.4,55.3,48.5,50.1
2839,2025-07-15,55.0,55.0,49.6,50.3
2838,2025-07-14,55.0,55.0,55.0,55.0
