,Date,Open,High,Low,Close
3128,2025-10-17,40.05,40.1,38.55,38.65
3127,2025-10-16,36.24,38.53,36.19,38.53
3126,2025-10-15,36.33,36.47,35.14,36.01
3125,2025-10-14,37.66,37.66,36.33,36.33
3124,2025-10-13,36.19,37.52,36.19,37.39
3123,2025-10-10,35.96,37.02,35.92,36.97
3122,2025-10-09,35.74,35.83,34.77,35.83
3121,2025-10-08,36.47,36.47,35.23,35.64
3120,2025-10-07,36.61,36.61,35.96,36.01
3119,2025-10-06,34.32,36.19,34.32,36.19
3118,2025-10-03,35.64,35.64,34.04,34.22
3117,2025-10-02,36.97,37.11,35.74,35.74
3116,2025-10-01,37.25,37.25,36.65,36.79
3115,2025-09-30,38.21,38.21,36.33,36.84
3114,2025-09-29,38.03,38.44,37.75,38.3
3113,2025-09-26,37.57,38.48,37.2,37.57
3112,2025-09-25,37.2,37.84,36.74,37.48
3111,2025-09-24,35.64,36.65,35.14,36.65
3110,2025-09-23,37.34,37.34,35.69,35.74
3109,2025-09-22,37.11,37.75,36.79,36.88
3108,2025-09-19,37.43,37.61,36.97,37.11
3107,2025-09-18,37.29,37.48,36.79,37.16
3106,2025-09-17,38.03,38.35,37.2,37.34
3105,2025-09-16,38.12,38.48,37.71,38.03
3104,2025-09-15,37.98,38.3,37.66,37.8
3103,2025-09-12,37.11,37.93,37.02,37.8
3102,2025-09-11,37.52,37.57,36.24,37.02
3101,2025-09-10,38.39,38.48,37.52,37.84
3100,2025-09-09,38.12,38.62,37.52,38.39
3099,2025-09-08,39.86,39.86,38.03,38.03
3098,2025-09-05,40.45,41.6,40.09,40.13
3097,2025-09-04,40.32,40.82,39.95,40.09
3096,2025-09-03,39.58,40.59,39.26,40.09
3095,2025-08-29,40.59,40.78,39.54,39.54
3094,2025-08-28,40.87,40.87,39.26,40.5
3093,2025-08-27,39.22,41.23,39.22,40.23
3092,2025-08-26,37.39,39.13,37.16,39.13
3091,2025-08-25,38.85,38.9,37.29,37.29
3090,2025-08-22,37.2,38.94,37.2,38.76
3089,2025-08-21,39.63,39.68,37.39,38.21
3088,2025-08-20,41.42,41.42,38.76,39.49
3087,2025-08-19,41.28,42.42,40.18,41.42
3086,2025-08-18,40.91,41.97,40.04,41.05
3085,2025-08-15,43.11,43.16,40.09,40.96
3084,2025-08-14,45.63,45.63,42.79,43.07
3083,2025-08-13,40.13,42.65,40.13,42.65
3082,2025-08-12,39.08,40.09,38.03,39.9
3081,2025-08-11,39.63,40.87,38.48,38.94
3080,2025-08-08,38.71,39.08,36.93,38.85
3079,2025-08-07,38.3,38.9,38.07,38.44
3078,2025-08-06,37.29,38.35,37.25,38.07
3077,2025-08-05,38.16,39.03,36.74,37.61
3076,2025-08-04,36.88,38.26,36.88,38.26
3075,2025-08-01,38.12,38.12,36.84,36.84
3074,2025-07-31,38.07,38.44,36.61,38.03
3073,2025-07-30,36.47,38.03,35.6,38.03
3072,2025-07-29,39.13,39.13,36.42,36.42
3071,2025-07-28,38.58,39.63,38.3,39.13
3070,2025-07-25,37.16,38.16,36.79,38.16
3069,2025-07-24,36.65,38.26,36.47,37.06
3068,2025-07-23,36.7,36.88,36.15,36.47
3067,2025-07-22,35.92,36.47,35.64,36.42
3066,2025-07-21,37.2,37.48,36.51,36.65
3065,2025-07-18,37.98,39.4,37.29,37.29
3064,2025-07-17,36.65,37.98,36.42,37.89
3063,2025-07-16,36.65,37.52,36.24,36.33
3062,2025-07-15,36.56,37.06,35.74,36.33
3061,2025-07-14,35.51,37.43,34.77,35.69
3060,2025-07-11,36.24,36.24,35.6,35.6
3059,2025-07-10,36.56,37.06,36.15,36.19
3058,2025-07-09,36.47,36.61,36.06,36.42
3057,2025-07-08,36.24,36.29,35.83,36.19
3056,2025-07-07,35.92,36.65,35.55,36.19
3055,2025-07-04,36.01,37.06,35.64,35.87
3054,2025-07-03,35.69,36.19,35.0,35.74
3053,2025-07-02,35.74,35.74,34.87,35.69
3052,2025-07-01,36.06,36.06,35.46,35.74
3051,2025-06-30,34.09,36.01,34.09,35.83
3050,2025-06-27,33.99,33.99,33.49,33.99
3049,2025-06-26,34.27,34.27,33.26,33.77
3048,2025-06-25,33.9,34.18,33.81,33.99
3047,2025-06-24,33.63,34.32,33.31,33.9
3046,2025-06-23,32.53,33.31,32.35,33.17
3045,2025-06-20,33.9,33.95,32.67,32.71
3044,2025-06-19,34.64,34.77,33.67,33.86
3043,2025-06-18,35.64,36.01,34.91,34.91
3042,2025-06-17,34.82,35.83,34.82,35.37
3041,2025-06-16,34.09,34.82,33.81,34.82
3040,2025-06-13,33.99,34.68,33.35,34.32
3039,2025-06-12,34.82,35.19,34.45,34.82
3038,2025-06-11,34.45,35.51,34.41,34.82
3037,2025-06-10,34.32,34.96,34.09,34.45
3036,2025-06-09,34.27,34.68,33.49,34.32
3035,2025-06-06,33.49,34.82,33.49,34.13
3034,2025-06-05,34.27,34.64,33.44,33.72
3033,2025-06-04,34.63,35.27,34.09,34.36
3032,2025-06-03,34.54,34.59,33.91,34.59
3031,2025-06-02,34.36,35.67,34.14,34.36
3030,2025-05-30,34.68,35.0,34.23,34.91
3029,2025-05-29,33.73,35.18,33.41,34.68
3028,2025-05-28,33.46,33.55,33.05,33.46
3027,2025-05-27,32.15,33.46,32.06,33.37
3026,2025-05-26,31.61,32.1,30.29,32.1
3025,2025-05-23,31.15,31.65,30.75,31.33
3024,2025-05-22,31.06,31.2,30.66,31.11
3023,2025-05-21,30.88,31.42,30.47,31.15
3022,2025-05-20,30.29,31.11,30.29,30.84
3021,2025-05-19,30.2,30.88,30.2,30.75
3020,2025-05-16,30.11,30.93,30.07,30.7
3019,2025-05-15,30.61,30.61,30.11,30.52
3018,2025-05-14,29.84,30.61,29.57,30.61
3017,2025-05-13,28.94,30.11,28.53,30.11
3016,2025-05-12,28.85,29.03,28.08,28.67
3015,2025-05-09,28.94,28.94,28.21,28.71
3014,2025-05-08,28.12,28.58,27.63,28.49
3013,2025-05-07,25.95,27.76,25.95,27.76
3012,2025-05-06,26.27,26.5,25.95,25.95
3011,2025-05-05,25.37,26.22,25.05,26.22
3010,2025-04-29,25.14,25.5,24.87,24.91
3009,2025-04-28,25.59,25.59,24.91,24.91
3008,2025-04-25,25.46,25.86,25.05,25.32
3007,2025-04-24,24.87,25.41,24.69,25.28
3006,2025-04-23,24.51,24.96,23.6,24.87
3005,2025-04-22,24.73,24.73,23.29,24.14
3004,2025-04-21,25.37,25.73,24.96,25.0
3003,2025-04-18,25.91,26.13,25.32,25.32
3002,2025-04-17,25.0,25.68,24.64,25.68
3001,2025-04-16,26.22,26.22,25.46,25.68
3000,2025-04-15,26.09,26.36,25.41,26.22
2999,2025-04-14,26.5,26.86,25.73,26.77
2998,2025-04-11,25.09,26.68,23.51,26.5
2997,2025-04-10,25.09,25.09,25.09,25.09
2996,2025-04-09,23.47,23.87,23.47,23.47
2995,2025-04-08,25.18,25.5,25.18,25.18
2994,2025-04-04,27.04,27.85,27.04,27.04
2993,2025-04-03,29.84,30.47,29.03,29.03
2992,2025-04-02,31.2,31.79,31.15,31.2
2991,2025-04-01,31.2,31.65,30.97,31.42
2990,2025-03-31,30.47,31.24,30.02,30.97
2989,2025-03-28,30.88,31.15,30.66,30.7
2988,2025-03-27,30.61,31.15,30.57,30.66
2987,2025-03-26,30.88,31.29,30.57,30.66
2986,2025-03-25,30.97,31.42,30.75,30.97
2985,2025-03-24,31.02,31.02,30.34,30.93
2984,2025-03-21,31.11,31.56,30.84,31.02
2983,2025-03-20,32.01,32.01,30.47,31.11
2982,2025-03-19,31.15,31.92,31.15,31.83
2981,2025-03-18,32.1,32.1,31.29,31.33
2980,2025-03-17,30.47,32.06,30.38,31.92
2979,2025-03-14,30.11,30.84,29.84,30.25
2978,2025-03-13,29.98,30.43,29.84,30.29
2977,2025-03-12,30.38,30.66,29.84,29.93
2976,2025-03-11,29.89,30.29,29.66,30.29
2975,2025-03-10,30.75,30.75,30.07,30.29
2974,2025-03-07,30.07,31.02,30.02,30.38
2973,2025-03-06,29.93,30.2,29.43,29.89
2972,2025-03-05,30.84,30.84,29.71,29.75
2971,2025-03-04,31.15,31.33,30.66,30.84
2970,2025-03-03,31.38,31.42,31.02,31.15
2969,2025-02-28,30.25,31.47,30.2,31.38
2968,2025-02-27,29.75,30.07,29.53,30.07
2967,2025-02-26,29.71,29.98,29.62,29.75
2966,2025-02-25,29.84,30.25,29.53,29.71
2965,2025-02-24,29.71,29.75,29.25,29.57
2964,2025-02-21,29.75,29.98,29.57,29.75
2963,2025-02-20,29.75,30.02,29.57,29.75
2962,2025-02-19,28.8,29.48,28.49,29.43
2961,2025-02-18,28.67,29.34,28.58,28.58
2960,2025-02-17,29.16,29.57,28.58,28.67
2959,2025-02-14,29.34,29.62,29.12,29.12
2958,2025-02-13,30.07,30.07,29.25,29.25
2957,2025-02-12,30.38,30.57,29.84,29.84
2956,2025-02-11,30.47,30.57,30.07,30.07
2955,2025-02-10,30.97,31.11,30.57,30.57
2954,2025-02-07,31.33,31.38,30.79,31.33
2953,2025-02-06,31.65,31.7,31.02,31.15
2952,2025-02-05,31.42,32.06,31.38,31.56
2951,2025-02-04,31.74,31.79,30.84,31.2
2950,2025-02-03,32.1,32.24,31.38,31.56
2949,2025-01-24,30.93,32.96,30.66,32.96
2948,2025-01-23,30.47,30.93,30.07,30.93
2947,2025-01-22,29.75,30.52,29.71,30.29
2946,2025-01-21,29.84,29.93,29.53,29.71
2945,2025-01-20,29.93,29.98,29.75,29.75
2944,2025-01-17,30.02,30.02,29.39,29.93
2943,2025-01-16,29.12,29.62,29.12,29.57
2942,2025-01-15,29.34,29.34,29.12,29.12
2941,2025-01-14,29.43,29.62,29.16,29.21
2940,2025-01-13,28.98,29.43,28.98,29.3
2939,2025-01-10,29.39,30.2,29.07,29.07
2938,2025-01-09,30.29,30.29,29.48,29.48
2937,2025-01-08,29.89,30.43,29.62,29.93
2936,2025-01-07,32.01,32.01,29.66,30.25
2935,2025-01-06,32.6,32.74,31.56,31.7
