,Date,Open,High,Low,Close
3825,2025-10-17,53.0,53.5,51.5,52.7
3824,2025-10-16,52.3,53.0,51.8,52.8
3823,2025-10-15,51.8,53.4,51.8,53.2
3822,2025-10-14,52.0,52.8,51.0,52.6
3821,2025-10-13,50.2,52.0,49.6,51.9
3820,2025-10-10,50.6,50.7,49.4,50.7
3819,2025-10-09,50.8,50.8,49.0,50.7
3818,2025-10-08,50.0,51.2,49.95,50.8
3817,2025-10-07,50.0,50.0,48.9,50.0
3816,2025-10-06,50.0,50.9,49.0,49.9
3815,2025-10-03,50.3,51.0,49.5,50.3
3814,2025-10-02,48.65,52.1,48.65,51.7
3813,2025-10-01,51.5,52.9,48.35,51.9
3812,2025-09-30,52.5,52.5,50.8,51.8
3811,2025-09-29,48.25,53.7,48.25,51.5
3810,2025-09-26,47.8,51.0,47.8,51.0
3809,2025-09-25,50.8,52.0,49.2,49.75
3808,2025-09-24,49.0,50.3,47.25,50.1
3807,2025-09-23,50.0,51.0,47.25,48.8
3806,2025-09-22,53.7,53.7,50.6,50.6
3805,2025-09-19,53.4,54.6,53.1,54.4
3804,2025-09-18,52.6,54.0,52.4,53.9
3803,2025-09-17,52.6,54.5,52.6,54.0
3802,2025-09-16,54.0,54.9,52.1,54.0
3801,2025-09-15,53.9,55.3,53.1,54.3
3800,2025-09-12,49.2,52.0,49.2,51.7
3799,2025-09-11,46.0,49.3,45.2,49.2
3798,2025-09-10,44.5,46.1,44.0,46.1
3797,2025-09-09,45.2,45.2,44.0,45.2
3796,2025-09-08,45.75,45.8,43.6,45.2
3795,2025-09-05,46.5,46.5,44.45,45.8
3794,2025-09-04,44.7,44.7,43.5,44.65
3793,2025-09-03,44.0,44.5,43.25,44.5
3792,2025-08-29,43.15,45.0,43.15,44.5
3791,2025-08-28,43.7,44.2,43.0,44.2
3790,2025-08-27,44.95,44.95,43.0,44.2
3789,2025-08-26,42.9,44.0,42.6,44.0
3788,2025-08-25,44.85,44.85,42.9,43.95
3787,2025-08-22,44.3,44.3,42.1,44.3
3786,2025-08-21,43.0,45.5,42.55,44.0
3785,2025-08-20,43.0,44.0,42.3,44.0
3784,2025-08-19,44.1,44.1,42.75,43.85
3783,2025-08-18,44.0,44.5,43.0,43.7
3782,2025-08-15,42.0,43.9,41.55,43.0
3781,2025-08-14,43.7,44.3,40.7,43.0
3780,2025-08-13,41.7,43.95,41.7,43.7
3779,2025-08-12,39.0,41.7,39.0,41.45
3778,2025-08-11,38.2,39.2,38.2,39.0
3777,2025-08-08,37.9,38.4,37.6,38.2
3776,2025-08-07,36.8,37.9,36.6,37.9
3775,2025-08-06,35.87,36.8,35.53,36.8
3774,2025-08-05,35.73,35.73,35.24,35.53
3773,2025-08-04,35.05,35.73,35.05,35.34
3772,2025-08-01,35.34,35.34,34.85,35.24
3771,2025-07-31,35.19,35.63,34.61,35.05
3770,2025-07-30,35.53,35.63,34.75,35.53
3769,2025-07-29,35.82,35.87,35.14,35.68
3768,2025-07-28,36.9,36.9,35.73,36.02
3767,2025-07-25,36.17,36.9,36.02,36.9
3766,2025-07-24,36.99,36.99,36.02,36.99
3765,2025-07-23,36.99,36.99,36.12,36.8
3764,2025-07-22,35.73,36.99,35.73,36.7
3763,2025-07-21,37.24,37.24,36.51,36.99
3762,2025-07-18,33.1,35.0,32.47,35.0
3761,2025-07-17,31.49,32.71,31.49,32.71
3760,2025-07-16,32.17,32.22,31.83,32.08
3759,2025-07-15,32.13,32.32,31.83,32.17
3758,2025-07-14,31.78,32.32,31.64,32.13
3757,2025-07-11,31.83,32.32,31.74,32.32
3756,2025-07-10,32.17,32.37,31.74,32.37
3755,2025-07-09,32.22,32.47,31.78,32.47
3754,2025-07-08,31.83,32.51,31.83,32.47
3753,2025-07-07,32.08,32.71,31.83,32.61
3752,2025-07-04,31.78,32.61,31.64,32.61
3751,2025-07-03,31.78,32.51,31.59,32.51
3750,2025-07-02,31.93,32.42,31.78,32.42
3749,2025-07-01,33.0,33.49,31.64,32.51
3748,2025-06-30,32.32,32.9,31.64,32.9
3747,2025-06-27,33.39,33.39,30.81,32.9
3746,2025-06-26,33.1,33.39,32.61,33.1
3745,2025-06-25,32.61,33.49,32.56,33.1
3744,2025-06-24,32.32,32.61,32.08,32.56
3743,2025-06-23,32.13,32.42,31.74,32.37
3742,2025-06-20,31.44,32.22,31.44,32.22
3741,2025-06-19,32.32,32.32,31.69,32.03
