,Date,Open,High,Low,Close
3273,2025-10-07,63.0,63.0,63.0,63.0
3272,2025-10-03,62.0,62.0,62.0,62.0
3271,2025-10-02,63.4,63.4,63.4,63.4
3270,2025-10-01,63.5,63.5,63.5,63.5
3269,2025-09-30,62.9,62.9,62.9,62.9
3268,2025-09-29,62.9,62.9,62.9,62.9
3267,2025-09-25,62.0,62.0,62.0,62.0
3266,2025-09-24,61.0,61.0,61.0,61.0
3265,2025-09-23,62.0,62.0,61.0,61.0
3264,2025-09-22,62.2,62.2,62.0,62.0
3263,2025-09-16,62.1,62.1,62.1,62.1
3262,2025-09-15,63.0,63.0,62.2,62.2
3261,2025-09-04,61.5,61.5,61.5,61.5
3260,2025-09-03,62.1,62.1,62.1,62.1
3259,2025-08-26,62.0,63.0,62.0,63.0
3258,2025-08-14,61.2,61.2,61.2,61.2
3257,2025-08-11,62.0,62.0,60.8,60.8
3256,2025-08-08,60.1,60.1,60.1,60.1
3255,2025-08-01,63.0,63.0,63.0,63.0
3254,2025-07-25,63.0,63.0,63.0,63.0
3253,2025-07-22,63.0,63.0,63.0,63.0
3252,2025-07-21,61.0,61.0,61.0,61.0
3251,2025-07-11,63.4,67.0,63.4,67.0
3250,2025-07-10,63.4,63.4,63.4,63.4
3249,2025-07-08,63.9,63.9,63.9,63.9
3248,2025-07-07,63.0,63.0,63.0,63.0
3247,2025-07-04,63.0,63.0,63.0,63.0
3246,2025-07-03,60.6,60.7,59.0,60.2
3245,2025-07-02,60.6,60.6,60.6,60.6
3244,2025-06-30,61.1,61.1,58.6,60.1
3243,2025-06-27,61.1,61.1,61.1,61.1
3242,2025-06-26,63.0,63.0,63.0,63.0
3241,2025-06-25,63.0,63.0,63.0,63.0
3240,2025-06-24,71.1,71.1,60.1,60.1
3239,2025-06-23,66.5,66.5,59.2,60.1
3238,2025-06-19,66.6,66.6,66.6,66.6
3237,2025-06-18,67.8,67.8,67.0,67.0
3236,2025-06-17,67.5,67.8,67.5,67.8
3235,2025-06-16,66.0,68.0,66.0,68.0
3234,2025-06-11,66.0,66.0,66.0,66.0
3233,2025-06-10,66.0,66.0,66.0,66.0
3232,2025-06-09,66.0,66.0,66.0,66.0
3231,2025-06-05,65.1,66.0,65.1,66.0
3230,2025-06-04,67.0,67.0,63.0,65.0
3229,2025-06-03,66.0,66.0,66.0,66.0
3228,2025-06-02,65.0,66.0,65.0,66.0
3227,2025-05-29,65.7,65.7,65.7,65.7
3226,2025-05-28,65.1,65.1,65.1,65.1
3225,2025-05-27,68.4,68.4,65.1,65.1
3224,2025-05-26,74.7,74.7,65.1,65.1
3223,2025-05-23,65.0,65.0,65.0,65.0
3222,2025-05-22,65.0,65.0,65.0,65.0
3221,2025-05-21,65.0,65.0,65.0,65.0
3220,2025-05-20,65.3,65.6,64.0,65.0
3219,2025-05-19,65.0,65.5,65.0,65.5
3218,2025-05-16,65.9,65.9,65.9,65.9
3217,2025-05-15,66.0,66.0,65.5,65.5
3216,2025-05-14,65.5,66.9,65.5,66.0
3215,2025-05-13,65.38,65.38,59.2,59.29
3214,2025-05-12,61.83,61.83,61.83,61.83
3213,2025-05-09,61.83,61.83,61.83,61.83
3212,2025-05-08,59.1,59.1,59.1,59.1
3211,2025-05-07,63.2,69.83,63.2,69.83
3210,2025-05-06,61.83,61.83,61.83,61.83
3209,2025-05-05,62.65,62.65,62.65,62.65
3208,2025-04-29,55.01,55.01,55.01,55.01
3207,2025-04-28,57.74,60.92,57.29,60.92
3206,2025-04-25,58.1,58.1,58.1,58.1
3205,2025-04-24,58.1,58.1,58.1,58.1
3204,2025-04-23,58.01,58.1,58.01,58.1
3203,2025-04-22,57.56,57.56,57.56,57.56
3202,2025-04-21,57.56,57.56,57.56,57.56
3201,2025-04-18,57.56,57.56,57.56,57.56
3200,2025-04-17,57.56,57.56,57.56,57.56
3199,2025-04-16,57.56,57.56,57.47,57.47
3198,2025-04-15,56.38,57.38,56.38,57.38
3197,2025-04-14,54.1,54.1,54.1,54.1
3196,2025-04-11,54.1,54.1,54.1,54.1
3195,2025-04-10,54.1,54.1,54.1,54.1
3194,2025-04-09,49.56,56.38,49.56,56.38
3193,2025-04-08,54.56,58.65,54.56,56.38
3192,2025-04-04,51.38,51.38,51.38,51.38
3191,2025-04-03,59.38,59.38,59.38,59.38
3190,2025-04-02,59.38,59.38,59.38,59.38
3189,2025-04-01,57.38,63.56,57.38,61.83
3188,2025-03-31,56.01,63.65,56.01,59.65
3187,2025-03-28,63.56,63.56,63.56,63.56
3186,2025-03-27,59.2,59.2,59.2,59.2
3185,2025-03-26,59.2,59.2,59.2,59.2
3184,2025-03-25,57.83,60.56,57.83,60.56
3183,2025-03-24,59.2,59.2,59.2,59.2
3182,2025-03-21,55.56,55.56,55.56,55.56
3181,2025-03-20,60.47,60.56,60.47,60.56
3180,2025-03-19,59.1,59.1,59.1,59.1
3179,2025-03-18,55.56,59.1,55.56,59.1
3178,2025-03-17,59.1,59.1,59.1,59.1
3177,2025-03-14,59.1,59.1,59.1,59.1
3176,2025-03-13,59.1,59.1,59.1,59.1
3175,2025-03-12,58.2,58.2,58.2,58.2
3174,2025-03-11,58.2,58.2,58.2,58.2
3173,2025-03-10,55.47,60.83,55.47,60.83
3172,2025-03-07,54.1,54.1,54.1,54.1
3171,2025-03-06,59.01,59.01,59.01,59.01
3170,2025-03-05,59.01,59.01,59.01,59.01
3169,2025-03-04,59.1,59.1,59.1,59.1
3168,2025-03-03,59.1,59.1,59.1,59.1
3167,2025-02-28,59.1,59.1,59.1,59.1
3166,2025-02-27,58.65,59.1,58.65,59.01
3165,2025-02-26,58.65,58.65,58.65,58.65
3164,2025-02-25,58.65,58.65,58.65,58.65
3163,2025-02-24,53.28,63.65,53.28,59.1
3162,2025-02-21,58.2,59.1,58.2,59.1
3161,2025-02-20,55.47,55.47,55.47,55.47
3160,2025-02-19,55.47,55.47,55.47,55.47
3159,2025-02-18,55.47,55.47,55.47,55.47
3158,2025-02-17,52.28,52.28,52.28,52.28
3157,2025-02-14,52.28,52.28,52.28,52.28
3156,2025-02-13,52.28,52.28,52.28,52.28
3155,2025-02-12,60.01,60.01,59.1,59.1
3154,2025-02-11,52.74,52.74,52.74,52.74
3153,2025-02-10,52.74,52.74,52.74,52.74
