,Date,Open,High,Low,Close
4673,2025-10-17,80.0,83.0,80.0,83.0
4672,2025-10-16,80.0,80.1,80.0,80.0
4671,2025-10-15,80.0,80.3,80.0,80.0
4670,2025-10-14,80.1,80.2,80.0,80.0
4669,2025-10-13,80.2,80.2,79.5,80.0
4668,2025-10-10,80.0,80.0,80.0,80.0
4667,2025-10-03,79.9,80.0,79.8,80.0
4666,2025-10-02,79.8,79.9,79.8,79.9
4665,2025-10-01,79.0,79.0,79.0,79.0
4664,2025-09-30,80.0,80.0,80.0,80.0
4663,2025-09-29,78.1,79.5,78.1,79.5
4662,2025-09-25,78.5,80.0,77.1,77.1
4661,2025-09-24,78.6,78.6,78.5,78.5
4660,2025-09-23,80.1,80.1,78.5,78.6
4659,2025-09-22,80.0,80.0,79.0,79.0
4658,2025-09-19,80.4,80.4,80.4,80.4
4657,2025-09-18,80.0,80.5,80.0,80.5
4656,2025-09-16,82.0,82.0,82.0,82.0
4655,2025-09-15,79.5,81.0,79.5,81.0
4654,2025-09-12,79.0,80.6,78.6,80.6
4653,2025-09-11,79.9,79.9,79.9,79.9
4652,2025-09-10,78.6,79.9,78.6,79.9
4651,2025-09-09,79.0,79.0,79.0,79.0
4650,2025-09-08,79.0,79.6,79.0,79.6
4649,2025-09-05,79.8,79.8,79.8,79.8
4648,2025-09-04,79.5,79.9,79.5,79.5
4647,2025-08-29,79.5,79.5,79.5,79.5
4646,2025-08-27,79.5,79.8,79.5,79.8
4645,2025-08-26,79.0,79.5,79.0,79.5
4644,2025-08-22,79.8,79.8,79.2,79.2
4643,2025-08-21,79.9,79.9,79.8,79.8
4642,2025-08-20,79.8,79.9,79.7,79.7
4641,2025-08-19,79.7,79.8,79.7,79.8
4640,2025-08-18,79.8,79.8,79.2,79.5
4639,2025-08-15,79.9,79.9,79.0,79.8
4638,2025-08-14,79.0,79.4,78.9,79.0
4637,2025-08-13,80.9,80.9,78.8,78.8
4636,2025-08-12,81.0,81.0,81.0,81.0
4635,2025-08-11,80.7,81.6,75.4,81.0
4634,2025-08-08,81.4,81.4,81.0,81.0
4633,2025-08-07,81.6,81.7,81.0,81.0
4632,2025-08-06,81.4,81.4,81.4,81.4
4631,2025-08-05,81.4,81.4,81.4,81.4
4630,2025-08-04,82.0,82.0,81.9,81.9
4629,2025-08-01,81.9,81.9,81.9,81.9
4628,2025-07-31,81.9,81.9,81.9,81.9
4627,2025-07-30,81.02,82.0,81.02,82.0
4626,2025-07-29,82.68,82.68,81.22,81.22
4625,2025-07-28,82.68,82.68,82.68,82.68
4624,2025-07-25,82.98,82.98,82.68,82.68
4623,2025-07-24,82.98,82.98,82.98,82.98
4622,2025-07-23,83.47,83.56,82.98,82.98
4621,2025-07-22,82.98,83.47,82.98,83.47
4620,2025-07-21,82.98,83.47,82.98,82.98
4619,2025-07-18,82.49,83.56,82.49,83.17
4618,2025-07-17,82.49,82.78,82.1,82.39
4617,2025-07-16,81.42,82.1,81.42,82.1
4616,2025-07-15,82.0,82.0,82.0,82.0
4615,2025-07-14,82.1,82.1,82.1,82.1
4614,2025-07-11,82.1,82.1,82.1,82.1
4613,2025-07-10,81.51,82.0,81.51,81.51
4612,2025-07-09,82.0,82.0,81.51,81.51
4611,2025-07-08,81.32,82.98,81.32,82.98
4610,2025-07-07,82.49,82.59,82.49,82.59
4609,2025-07-04,82.49,82.49,82.49,82.49
4608,2025-07-03,82.49,82.49,82.49,82.49
4607,2025-07-02,81.51,82.49,81.51,82.49
4606,2025-07-01,81.51,81.51,81.51,81.51
4605,2025-06-30,81.32,82.0,81.32,82.0
4604,2025-06-27,82.0,82.0,81.81,81.81
4603,2025-06-26,82.0,82.0,82.0,82.0
4602,2025-06-25,82.0,82.0,82.0,82.0
4601,2025-06-24,82.0,82.0,82.0,82.0
4600,2025-06-23,82.0,82.0,81.51,81.51
4599,2025-06-20,83.37,83.37,81.22,81.71
4598,2025-06-19,82.0,82.0,82.0,82.0
4597,2025-06-18,82.0,82.0,82.0,82.0
4596,2025-06-17,82.0,82.0,82.0,82.0
4595,2025-06-16,82.0,82.0,82.0,82.0
4594,2025-06-13,82.1,82.1,81.02,81.02
4593,2025-06-12,81.51,81.51,81.51,81.51
4592,2025-06-11,81.42,81.51,81.42,81.51
4591,2025-06-10,81.22,81.51,81.02,81.51
4590,2025-06-09,81.61,81.61,81.51,81.51
4589,2025-06-06,82.0,82.0,81.61,81.61
4588,2025-06-05,82.59,82.59,82.59,82.59
4587,2025-06-04,83.56,83.56,83.56,83.56
4586,2025-06-03,81.81,83.86,81.22,83.86
4585,2025-06-02,82.1,82.1,81.81,81.81
4584,2025-05-30,82.49,82.49,82.2,82.2
4583,2025-05-29,82.49,82.49,82.49,82.49
4582,2025-05-28,82.78,82.78,82.49,82.49
4581,2025-05-27,82.98,82.98,82.98,82.98
4580,2025-05-26,82.98,82.98,82.98,82.98
4579,2025-05-23,81.9,81.9,81.9,81.9
4578,2025-05-22,82.0,82.0,82.0,82.0
4577,2025-05-21,82.0,82.0,82.0,82.0
4576,2025-05-20,81.81,81.81,81.81,81.81
4575,2025-05-19,81.81,81.81,81.81,81.81
4574,2025-05-16,82.59,82.59,82.59,82.59
