,Date,Open,High,Low,Close
4679,2025-10-15,13.5,13.8,13.5,13.8
4678,2025-10-14,13.0,13.0,12.9,12.9
4677,2025-10-13,13.0,13.8,13.0,13.8
4676,2025-10-10,12.9,13.0,12.9,13.0
4675,2025-10-09,12.4,12.4,12.4,12.4
4674,2025-10-01,12.1,12.4,12.1,12.4
4673,2025-09-30,12.4,12.4,12.2,12.4
4672,2025-09-29,12.4,12.4,12.4,12.4
4671,2025-09-25,12.4,12.4,12.4,12.4
4670,2025-09-24,12.1,12.1,12.0,12.0
4669,2025-09-23,12.2,12.5,12.2,12.5
4668,2025-09-22,12.4,12.5,12.4,12.4
4667,2025-09-19,12.4,12.4,12.4,12.4
4666,2025-09-18,12.4,12.4,12.4,12.4
4665,2025-09-17,13.1,13.1,12.3,12.4
4664,2025-09-16,13.1,13.1,13.1,13.1
4663,2025-09-15,12.9,13.1,12.9,13.1
4662,2025-09-12,13.05,13.05,13.05,13.05
4661,2025-09-11,12.68,12.77,12.68,12.68
4660,2025-09-10,12.77,12.77,12.77,12.77
4659,2025-09-09,12.77,12.77,12.77,12.77
4658,2025-09-08,12.77,12.77,12.77,12.77
4657,2025-09-05,12.77,12.77,12.77,12.77
4656,2025-09-04,12.68,12.77,12.68,12.77
4655,2025-09-03,12.03,12.68,12.03,12.68
4654,2025-08-29,12.59,12.77,11.94,12.77
4653,2025-08-28,12.49,12.49,12.49,12.49
4652,2025-08-27,11.94,12.49,11.85,12.49
4651,2025-08-26,12.77,12.77,12.77,12.77
4650,2025-08-25,12.77,12.77,12.77,12.77
4649,2025-08-22,12.03,12.77,12.03,12.77
4648,2025-08-21,12.4,12.4,12.4,12.4
4647,2025-08-20,12.03,12.68,12.03,12.4
4646,2025-08-19,12.03,12.03,12.03,12.03
4645,2025-08-18,12.12,12.12,12.03,12.03
4644,2025-08-15,12.12,12.12,12.12,12.12
4643,2025-08-14,11.85,12.77,11.85,12.12
4642,2025-08-13,12.86,12.86,12.86,12.86
4641,2025-08-12,12.03,12.86,12.03,12.86
4640,2025-08-11,13.23,13.23,13.23,13.23
4639,2025-08-08,12.12,12.12,12.03,12.03
4638,2025-08-07,13.05,13.05,12.12,12.12
4637,2025-08-06,12.03,12.68,12.03,12.12
4636,2025-08-05,12.22,12.22,12.12,12.12
4635,2025-08-04,12.49,13.42,12.49,13.42
4634,2025-08-01,12.22,13.7,12.22,13.7
4633,2025-07-31,12.96,12.96,12.96,12.96
4632,2025-07-30,12.96,12.96,12.96,12.96
4631,2025-07-29,12.96,12.96,12.96,12.96
4630,2025-07-28,13.88,13.88,12.96,12.96
4629,2025-07-25,14.81,15.09,13.88,13.88
4628,2025-07-24,13.79,13.79,13.79,13.79
4627,2025-07-23,13.79,13.88,13.79,13.79
4626,2025-07-22,12.77,12.77,12.68,12.68
4625,2025-07-21,11.66,12.68,11.66,12.68
4624,2025-07-18,12.03,12.03,12.03,12.03
4623,2025-07-17,12.03,12.03,12.03,12.03
4622,2025-07-16,12.03,12.03,12.03,12.03
4621,2025-07-15,11.57,12.03,11.57,12.03
4620,2025-07-14,11.2,11.2,11.01,11.01
4619,2025-07-11,11.66,11.66,11.66,11.66
4618,2025-07-10,11.57,11.66,11.57,11.66
4617,2025-07-09,11.57,11.57,11.57,11.57
4616,2025-07-08,12.49,12.49,10.92,11.38
4615,2025-07-07,11.11,11.57,11.11,11.57
4614,2025-07-04,11.48,11.48,11.29,11.29
4613,2025-07-03,11.2,11.2,11.2,11.2
4612,2025-07-02,12.31,12.31,12.31,12.31
4611,2025-07-01,12.31,12.31,12.31,12.31
