,Date,Open,High,Low,Close,Volume
2133,2025-10-24,10.3,10.3,10.3,10.3,500
2132,2025-10-16,10.3,10.3,10.3,10.3,200
2131,2025-10-15,10.2,10.2,10.2,10.2,1400
2130,2025-10-14,10.5,10.5,10.3,10.3,400
2129,2025-10-07,10.2,10.2,10.2,10.2,500
2128,2025-10-03,10.4,10.4,10.4,10.4,100
2127,2025-10-02,10.6,10.6,10.6,10.6,100
2126,2025-09-26,10.3,10.3,10.3,10.3,1400
2125,2025-09-24,10.3,10.4,10.3,10.4,2100
2124,2025-09-17,10.3,10.3,10.3,10.3,1300
2123,2025-09-16,10.3,10.3,10.3,10.3,100
2122,2025-09-10,11.1,11.1,10.7,10.7,200
2121,2025-09-05,10.2,10.2,10.2,10.2,2100
2120,2025-08-29,10.2,10.2,10.2,10.2,900
2119,2025-08-26,10.1,10.1,10.1,10.1,2400
2118,2025-08-22,10.1,10.1,10.1,10.1,3100
2117,2025-08-21,10.2,10.2,10.0,10.0,2300
2116,2025-08-19,10.1,10.1,10.1,10.1,900
2115,2025-08-15,10.2,10.2,10.2,10.2,100
2114,2025-08-14,10.2,10.2,10.2,10.2,300
2113,2025-08-13,10.2,10.2,10.2,10.2,200
2112,2025-08-11,10.1,10.1,10.1,10.1,4000
2111,2025-08-06,10.0,10.0,10.0,10.0,500
2110,2025-08-04,10.0,10.0,10.0,10.0,2600
2109,2025-08-01,9.9,10.1,9.9,10.1,300
2108,2025-07-30,10.4,10.4,10.0,10.4,6900
2107,2025-07-24,10.4,10.4,10.4,10.4,0
2106,2025-07-23,10.4,10.4,10.4,10.4,100
2105,2025-07-22,9.5,9.5,9.5,9.5,0
2104,2025-07-21,9.5,9.5,9.5,9.5,1
2103,2025-07-18,9.5,9.7,9.5,9.7,6900
2102,2025-07-17,10.5,10.5,10.5,10.5,200
2101,2025-07-16,10.6,10.6,10.6,10.6,1
2100,2025-07-15,10.6,10.6,10.6,10.6,0
2099,2025-07-14,10.6,11.0,10.6,10.6,7303
2098,2025-07-11,9.82,9.82,9.82,9.82,1200
2097,2025-07-10,9.72,10.46,9.72,10.46,2000
2096,2025-07-09,9.82,9.82,9.26,9.72,10300
2095,2025-07-08,10.09,10.09,10.09,10.09,100
2094,2025-07-07,9.54,10.09,9.54,10.09,400
2093,2025-07-04,9.91,10.0,9.91,10.0,400
2092,2025-07-03,9.91,9.91,9.82,9.82,801
2091,2025-07-02,9.82,9.82,9.82,9.82,0
2090,2025-07-01,9.82,9.82,9.82,9.82,0
2089,2025-06-30,9.82,9.82,9.82,9.82,0
2088,2025-06-27,9.82,9.82,9.82,9.82,0
2087,2025-06-26,9.82,9.82,9.82,9.82,0
2086,2025-06-25,9.82,9.82,9.82,9.82,400
2085,2025-06-24,9.82,9.82,9.82,9.82,100
2084,2025-06-23,9.82,9.82,9.82,9.82,0
2083,2025-06-20,9.82,9.82,9.82,9.82,0
2082,2025-06-19,9.82,9.82,9.82,9.82,100
2081,2025-06-18,9.82,9.82,9.82,9.82,0
2080,2025-06-17,9.82,9.82,9.82,9.82,100
2079,2025-06-16,9.82,9.82,9.82,9.82,0
2078,2025-06-13,9.82,9.82,9.82,9.82,300
2077,2025-06-12,9.82,10.0,9.82,10.0,506
2076,2025-06-11,9.82,9.82,9.72,9.72,400
2075,2025-06-10,9.91,9.91,9.72,9.72,1601
2074,2025-06-09,9.91,9.91,9.91,9.91,0
2073,2025-06-06,9.91,9.91,9.91,9.91,0
2072,2025-06-05,9.91,9.91,9.91,9.91,100
2071,2025-06-04,9.54,9.54,9.54,9.54,800
2070,2025-06-03,9.63,9.63,9.63,9.63,0
2069,2025-06-02,9.63,9.63,9.63,9.63,100
2068,2025-05-30,9.63,9.63,9.63,9.63,0
2067,2025-05-29,9.63,9.63,9.63,9.63,1200
2066,2025-05-28,9.72,9.72,9.72,9.72,0
2065,2025-05-27,9.72,9.72,9.72,9.72,100
2064,2025-05-26,9.35,9.35,9.35,9.35,1
2063,2025-05-23,9.35,9.35,9.35,9.35,0
2062,2025-05-22,9.35,9.35,9.35,9.35,20
2061,2025-05-21,9.35,9.35,9.35,9.35,263
2060,2025-05-20,9.72,9.72,9.26,9.26,4700
2059,2025-05-19,9.72,9.72,9.72,9.72,1000
2058,2025-05-16,9.72,9.72,9.72,9.72,200
2057,2025-05-15,9.72,9.72,9.72,9.72,301
2056,2025-05-14,10.19,10.19,10.19,10.19,103
2055,2025-05-13,9.26,9.26,9.26,9.26,0
2054,2025-05-12,9.26,9.26,9.26,9.26,28300
2053,2025-05-09,9.26,9.26,9.26,9.26,1100
2052,2025-05-08,9.26,9.26,9.26,9.26,1600
2051,2025-05-07,9.26,9.26,9.26,9.26,22000
2050,2025-05-06,9.26,9.26,9.26,9.26,100
2049,2025-05-05,9.26,9.26,9.26,9.26,0
2048,2025-04-29,9.26,9.26,9.26,9.26,100
2047,2025-04-28,9.07,9.07,9.07,9.07,10
2046,2025-04-25,9.07,9.07,9.07,9.07,0
2045,2025-04-24,9.07,9.07,9.07,9.07,0
2044,2025-04-23,9.07,9.07,9.07,9.07,0
2043,2025-04-22,9.17,9.17,8.7,8.7,400
2042,2025-04-21,10.0,10.0,10.0,10.0,0
2041,2025-04-18,10.0,10.0,10.0,10.0,0
2040,2025-04-17,10.0,10.0,10.0,10.0,0
2039,2025-04-16,10.0,10.0,10.0,10.0,0
2038,2025-04-15,10.0,10.0,10.0,10.0,0
2037,2025-04-14,10.0,10.0,10.0,10.0,0
2036,2025-04-11,10.0,10.0,10.0,10.0,0
2035,2025-04-10,10.19,10.19,9.72,9.72,201
2034,2025-04-09,9.07,9.07,9.07,9.07,20
2033,2025-04-08,9.07,9.07,9.07,9.07,800
2032,2025-04-04,9.17,9.17,9.17,9.17,201
2031,2025-04-03,9.26,9.26,9.26,9.26,6
2030,2025-04-02,9.26,9.26,9.26,9.26,0
2029,2025-04-01,9.26,9.26,9.26,9.26,0
2028,2025-03-31,9.26,9.26,9.26,9.26,1
2027,2025-03-28,9.26,9.26,9.26,9.26,0
2026,2025-03-27,9.26,9.26,9.26,9.26,100
2025,2025-03-26,9.26,9.26,9.26,9.26,1400
2024,2025-03-25,9.35,9.35,9.35,9.35,0
2023,2025-03-24,9.35,9.35,9.26,9.26,201
2022,2025-03-21,9.35,9.35,9.35,9.35,0
2021,2025-03-20,9.35,9.35,9.35,9.35,1200
2020,2025-03-19,9.35,9.35,9.26,9.26,300
2019,2025-03-18,9.45,9.45,9.45,9.45,102
2018,2025-03-17,9.26,9.26,9.26,9.26,200
2017,2025-03-14,9.26,9.26,9.26,9.26,100
2016,2025-03-13,9.54,9.54,9.26,9.26,400
2015,2025-03-12,9.07,9.26,9.07,9.26,400
2014,2025-03-11,9.26,9.26,9.26,9.26,0
2013,2025-03-10,9.26,9.26,9.26,9.26,900
2012,2025-03-07,9.07,9.07,9.07,9.07,300
2011,2025-03-06,9.17,9.17,9.17,9.17,500
2010,2025-03-05,9.17,9.17,9.17,9.17,300
2009,2025-03-04,9.17,9.17,9.17,9.17,500
2008,2025-03-03,9.17,9.17,9.17,9.17,2002
2007,2025-02-28,9.17,9.17,9.17,9.17,100
2006,2025-02-27,9.17,9.17,9.17,9.17,100
2005,2025-02-26,9.72,9.72,9.72,9.72,0
2004,2025-02-25,9.72,9.72,9.72,9.72,0
2003,2025-02-24,9.72,9.72,9.72,9.72,0
2002,2025-02-21,9.72,9.72,9.72,9.72,0
2001,2025-02-20,9.72,9.72,9.72,9.72,0
2000,2025-02-19,9.72,9.72,9.72,9.72,0
1999,2025-02-18,9.72,9.72,9.72,9.72,6000
1998,2025-02-17,9.35,10.0,9.35,10.0,34200
1997,2025-02-14,9.17,9.17,9.17,9.17,0
1996,2025-02-13,9.17,9.17,9.17,9.17,100
1995,2025-02-12,10.46,10.46,9.17,9.17,1102
1994,2025-02-11,9.17,9.17,9.17,9.17,1000
1993,2025-02-10,9.26,9.26,9.07,9.07,4100
1992,2025-02-07,9.17,9.17,9.17,9.17,4000
1991,2025-02-06,9.07,9.54,9.07,9.17,8910
1990,2025-02-05,9.54,9.54,9.54,9.54,0
1989,2025-02-04,9.17,10.28,9.17,10.28,300
1988,2025-02-03,8.98,9.07,8.98,9.07,500
1987,2025-01-24,8.98,8.98,8.98,8.98,300
1986,2025-01-23,8.98,8.98,8.98,8.98,2800
1985,2025-01-22,9.26,9.26,9.17,9.26,2800
1984,2025-01-21,9.26,9.26,9.26,9.26,200
1983,2025-01-20,8.98,9.17,8.89,9.17,2501
1982,2025-01-17,9.26,9.35,9.26,9.26,400
1981,2025-01-16,9.35,12.41,9.35,9.35,9519
1980,2025-01-15,10.93,10.93,10.93,10.93,100
1979,2025-01-14,10.0,10.0,10.0,10.0,3
1978,2025-01-13,10.0,10.0,10.0,10.0,0
1977,2025-01-10,10.0,10.0,10.0,10.0,0
1976,2025-01-09,10.0,10.0,10.0,10.0,0
1975,2025-01-08,10.0,10.0,9.82,9.82,1000
1974,2025-01-07,9.07,9.07,9.07,9.07,0
1973,2025-01-06,9.07,9.07,9.07,9.07,0
1972,2025-01-03,9.07,9.07,9.07,9.07,100
1971,2025-01-02,8.8,8.8,8.8,8.8,0
1970,2024-12-31,8.8,8.8,8.8,8.8,0
1969,2024-12-30,8.8,8.89,8.7,8.8,3000
1968,2024-12-27,8.98,8.98,8.98,8.98,0
1967,2024-12-26,8.98,8.98,8.98,8.98,1700
1966,2024-12-25,8.98,8.98,8.98,8.98,9001
1965,2024-12-24,8.8,8.8,8.52,8.8,1500
1964,2024-12-23,8.8,8.8,8.8,8.8,1
1963,2024-12-20,8.8,8.8,8.8,8.8,100
1962,2024-12-19,8.98,8.98,8.8,8.98,2600
1961,2024-12-18,8.98,8.98,8.98,8.98,4000
1960,2024-12-17,8.98,8.98,8.98,8.98,2000
1959,2024-12-16,8.7,8.98,8.7,8.98,5900
1958,2024-12-13,8.89,8.89,8.7,8.7,500
1957,2024-12-12,8.61,8.89,8.61,8.7,600
1956,2024-12-11,8.7,8.89,8.43,8.8,2000
1955,2024-12-10,8.89,9.17,8.89,9.17,600
1954,2024-12-09,8.89,8.89,8.89,8.89,0
1953,2024-12-06,8.89,8.89,8.89,8.89,1000
1952,2024-12-05,8.89,8.89,8.89,8.89,500
1951,2024-12-04,8.89,8.89,8.89,8.89,400
1950,2024-12-03,8.89,8.89,8.89,8.89,700
1949,2024-12-02,8.89,8.89,8.89,8.89,1500
1948,2024-11-29,8.52,8.89,8.52,8.89,902
1947,2024-11-28,8.89,8.89,8.89,8.89,300
1946,2024-11-27,8.89,9.07,8.89,9.07,2400
1945,2024-11-26,8.89,8.89,8.89,8.89,0
1944,2024-11-25,8.89,8.89,8.89,8.89,100
1943,2024-11-22,8.89,8.89,8.89,8.89,0
1942,2024-11-21,8.89,8.89,8.89,8.89,0
1941,2024-11-20,8.89,8.89,8.89,8.89,100
1940,2024-11-19,8.98,8.98,8.61,8.61,2100
1939,2024-11-18,8.89,8.89,8.89,8.89,5000
1938,2024-11-15,8.89,8.89,8.89,8.89,1500
1937,2024-11-14,8.89,8.89,8.89,8.89,0
1936,2024-11-13,8.89,8.89,8.89,8.89,0
1935,2024-11-12,8.89,8.89,8.89,8.89,51
1934,2024-11-11,8.89,8.89,8.89,8.89,500
1933,2024-11-08,8.89,8.89,8.89,8.89,0
1932,2024-11-07,8.89,8.89,8.89,8.89,2200
1931,2024-11-06,8.8,8.8,8.8,8.8,1
1930,2024-11-05,8.7,8.89,8.7,8.7,6100
1929,2024-11-04,8.61,8.61,8.61,8.61,7800
1928,2024-11-01,8.7,8.7,8.7,8.7,0
1927,2024-10-31,8.61,8.7,8.61,8.7,500
1926,2024-10-30,8.7,8.7,8.43,8.43,1800
1925,2024-10-29,8.7,8.7,8.7,8.7,600
1924,2024-10-28,8.7,8.7,8.7,8.7,700
1923,2024-10-25,8.61,8.7,8.61,8.61,1000
1922,2024-10-24,8.7,8.7,8.43,8.61,15610
1921,2024-10-23,8.61,8.89,8.43,8.89,1400
1920,2024-10-22,8.8,9.17,8.43,9.17,1600
1919,2024-10-21,8.7,9.17,8.7,9.17,1650
1918,2024-10-18,8.52,8.52,8.33,8.43,1600
1917,2024-10-17,8.8,8.8,8.8,8.8,200
1916,2024-10-16,8.52,8.52,8.52,8.52,2000
1915,2024-10-15,8.52,8.52,8.52,8.52,1200
1914,2024-10-14,8.52,8.52,8.52,8.52,0
1913,2024-10-11,8.52,8.52,8.52,8.52,10
1912,2024-10-10,8.7,8.7,8.43,8.7,1700
1911,2024-10-09,8.52,8.52,8.52,8.52,100
1910,2024-10-08,8.52,8.52,8.43,8.43,2000
1909,2024-10-07,8.89,8.89,8.61,8.61,300
1908,2024-10-04,8.61,8.61,8.61,8.61,500
1907,2024-10-03,8.7,8.7,8.7,8.7,100
1906,2024-10-02,8.33,8.43,8.33,8.43,1100
1905,2024-10-01,8.52,8.52,8.52,8.52,20
1904,2024-09-30,8.52,8.52,8.52,8.52,0
1903,2024-09-27,8.52,8.61,8.52,8.52,2600
1902,2024-09-26,8.33,8.33,8.33,8.33,0
1901,2024-09-25,8.33,8.33,8.33,8.33,0
1900,2024-09-24,8.33,8.33,8.33,8.33,0
1899,2024-09-23,8.33,8.33,8.33,8.33,600
1898,2024-09-20,8.33,8.33,8.33,8.33,2
1897,2024-09-19,8.43,8.43,8.06,8.06,1920
1896,2024-09-18,8.61,8.61,8.61,8.61,0
1895,2024-09-17,8.61,8.61,8.61,8.61,0
1894,2024-09-16,8.61,8.61,8.61,8.61,200
1893,2024-09-13,8.33,8.33,8.33,8.33,0
1892,2024-09-12,8.33,8.33,8.33,8.33,1600
1891,2024-09-11,8.43,8.43,8.43,8.43,100
1890,2024-09-10,8.43,8.43,8.33,8.33,342
1889,2024-09-09,8.33,8.33,8.33,8.33,0
1888,2024-09-06,8.33,8.33,8.33,8.33,300
1887,2024-09-05,8.33,8.33,8.33,8.33,3400
1886,2024-09-04,8.33,8.33,8.15,8.15,2400
1885,2024-08-30,8.52,8.8,8.52,8.8,4500
1884,2024-08-29,8.24,8.43,8.06,8.33,5600
1883,2024-08-28,8.33,8.33,8.33,8.33,2015
1882,2024-08-27,8.43,8.52,8.43,8.52,550
1881,2024-08-26,8.33,8.33,8.33,8.33,100
1880,2024-08-23,8.24,8.43,8.15,8.43,2800
1879,2024-08-22,8.24,8.43,8.15,8.43,1400
1878,2024-08-21,8.24,8.24,8.24,8.24,0
1877,2024-08-20,8.24,8.24,8.24,8.24,410
1876,2024-08-19,8.61,8.61,8.61,8.61,305
1875,2024-08-16,8.52,8.52,8.43,8.43,3850
1874,2024-08-15,8.33,8.33,8.33,8.33,5
1873,2024-08-14,8.61,9.35,8.06,8.06,4200
1872,2024-08-13,8.89,8.89,8.52,8.61,4500
1871,2024-08-12,9.54,9.54,8.89,8.89,19900
1870,2024-08-09,9.72,9.72,9.72,9.72,200
1869,2024-08-08,9.35,9.35,9.35,9.35,500
1868,2024-08-07,8.61,9.82,8.15,9.82,16400
1867,2024-08-06,8.61,9.17,8.61,9.17,1000
1866,2024-08-05,8.98,8.98,8.98,8.98,700
