,Date,Open,High,Low,Close
915,2025-10-17,4.4,4.4,4.0,4.0
914,2025-10-16,4.0,4.0,4.0,4.0
913,2025-10-15,4.0,4.0,3.9,4.0
912,2025-10-14,4.5,4.5,3.9,4.1
911,2025-10-13,4.1,4.1,3.9,3.9
910,2025-10-10,4.0,4.0,3.8,3.9
909,2025-10-09,4.3,4.3,4.0,4.3
908,2025-10-08,4.3,4.4,4.0,4.0
907,2025-10-07,3.9,4.4,3.9,4.4
906,2025-10-06,4.6,4.6,3.9,3.9
905,2025-10-03,4.7,4.7,3.9,3.9
904,2025-10-02,4.4,4.4,4.4,4.4
903,2025-10-01,4.7,4.7,4.5,4.5
902,2025-09-30,4.5,4.7,4.5,4.7
901,2025-09-25,4.8,4.8,4.8,4.8
900,2025-09-24,5.0,5.0,4.7,4.7
899,2025-09-23,4.8,4.8,4.5,4.5
898,2025-09-22,4.8,4.8,4.5,4.5
897,2025-09-19,4.5,4.7,4.2,4.7
896,2025-09-18,5.0,5.0,4.6,4.6
895,2025-09-17,6.2,6.2,4.8,4.8
894,2025-09-16,6.3,6.3,5.5,5.6
893,2025-09-15,5.3,5.8,5.3,5.8
892,2025-09-12,5.5,5.9,5.1,5.1
891,2025-09-11,6.2,6.2,5.7,5.7
890,2025-09-10,6.0,6.9,6.0,6.2
889,2025-09-09,6.0,6.0,6.0,6.0
888,2025-09-08,4.8,5.4,4.8,5.4
887,2025-09-05,6.4,6.4,5.5,5.5
886,2025-09-04,6.9,6.9,6.3,6.5
885,2025-09-03,5.6,6.3,5.6,6.3
884,2025-08-29,5.5,5.5,5.3,5.5
883,2025-08-28,4.6,4.8,4.6,4.8
882,2025-08-27,3.9,4.4,3.9,4.4
881,2025-08-26,3.9,3.9,3.9,3.9
880,2025-08-25,3.7,4.0,3.7,3.8
879,2025-08-22,3.5,3.5,3.5,3.5
878,2025-08-21,3.6,3.6,3.5,3.6
877,2025-08-20,3.6,3.6,3.6,3.6
876,2025-08-19,3.6,3.6,3.6,3.6
875,2025-08-18,3.6,3.7,3.5,3.6
874,2025-08-15,3.6,3.6,3.6,3.6
873,2025-08-14,3.6,3.6,3.6,3.6
872,2025-08-13,3.6,3.7,3.5,3.7
871,2025-08-12,3.7,3.7,3.7,3.7
870,2025-08-11,3.6,3.6,3.6,3.6
869,2025-08-08,3.6,3.6,3.5,3.6
868,2025-08-07,3.6,3.7,3.5,3.6
867,2025-08-06,3.6,3.8,3.6,3.6
866,2025-08-05,3.6,3.8,3.5,3.8
865,2025-08-01,3.8,3.8,3.7,3.7
864,2025-07-31,3.8,3.8,3.7,3.7
863,2025-07-30,3.7,3.7,3.7,3.7
862,2025-07-29,3.8,4.0,3.7,3.8
861,2025-07-28,3.8,3.9,3.6,3.8
860,2025-07-25,3.6,3.7,3.6,3.7
859,2025-07-24,3.8,3.8,3.8,3.8
858,2025-07-23,3.7,3.7,3.7,3.7
857,2025-07-22,3.7,3.7,3.7,3.7
856,2025-07-21,3.8,3.8,3.8,3.8
855,2025-07-18,3.8,3.8,3.6,3.7
854,2025-07-17,3.8,3.9,3.7,3.8
853,2025-07-16,3.7,3.9,3.7,3.8
852,2025-07-15,3.6,3.6,3.6,3.6
851,2025-07-14,3.6,3.8,3.5,3.7
850,2025-07-11,3.5,3.6,3.5,3.6
849,2025-07-10,3.5,3.7,3.5,3.7
848,2025-07-09,3.7,3.7,3.6,3.6
847,2025-07-08,3.7,3.8,3.6,3.6
846,2025-07-07,3.6,3.6,3.6,3.6
845,2025-07-03,3.7,3.7,3.7,3.7
844,2025-07-02,3.6,3.8,3.5,3.8
843,2025-07-01,4.0,4.0,3.8,3.8
842,2025-06-27,3.8,3.8,3.6,3.8
841,2025-06-26,3.6,3.8,3.6,3.8
840,2025-06-25,3.5,3.5,3.5,3.5
839,2025-06-24,3.6,3.6,3.6,3.6
838,2025-06-23,3.5,3.5,3.5,3.5
837,2025-06-20,3.5,3.5,3.5,3.5
836,2025-06-19,3.6,3.6,3.5,3.5
835,2025-06-18,3.6,3.6,3.5,3.5
834,2025-06-17,3.6,3.6,3.5,3.5
833,2025-06-16,3.7,3.7,3.7,3.7
832,2025-06-13,3.7,3.7,3.7,3.7
831,2025-06-12,3.7,3.7,3.5,3.7
830,2025-06-11,3.8,3.8,3.7,3.7
829,2025-06-10,3.6,3.6,3.6,3.6
828,2025-06-09,3.6,3.7,3.5,3.7
827,2025-06-05,3.6,3.6,3.6,3.6
826,2025-06-04,3.8,3.8,3.6,3.6
825,2025-06-03,3.7,3.8,3.6,3.8
824,2025-06-02,3.6,3.8,3.6,3.8
823,2025-05-30,3.6,3.7,3.6,3.7
822,2025-05-29,3.7,3.7,3.5,3.5
821,2025-05-28,3.8,3.8,3.7,3.7
820,2025-05-27,3.8,3.8,3.6,3.6
819,2025-05-26,3.5,3.5,3.5,3.5
818,2025-05-23,3.6,3.7,3.6,3.6
817,2025-05-22,3.8,3.8,3.7,3.7
816,2025-05-21,3.7,4.0,3.7,4.0
815,2025-05-20,3.7,3.8,3.5,3.8
814,2025-05-19,3.7,4.0,3.7,4.0
813,2025-05-16,3.7,4.0,3.7,3.9
812,2025-05-15,3.7,3.8,3.7,3.7
811,2025-05-14,3.7,4.0,3.7,3.8
810,2025-05-13,3.7,4.1,3.6,3.6
809,2025-05-12,4.1,4.1,3.6,3.8
808,2025-05-09,4.1,4.1,4.1,4.1
807,2025-05-08,4.1,4.4,3.8,3.8
806,2025-05-07,4.0,4.1,4.0,4.0
805,2025-05-06,3.8,4.1,3.5,3.9
804,2025-05-05,3.9,3.9,3.8,3.8
803,2025-04-29,3.6,4.0,3.5,4.0
802,2025-04-28,4.0,4.0,3.4,3.9
801,2025-04-25,3.9,4.0,3.9,4.0
800,2025-04-24,4.2,4.2,3.8,3.8
799,2025-04-23,3.3,4.1,3.3,4.1
798,2025-04-22,4.0,4.1,3.6,4.1
797,2025-04-21,4.3,4.3,4.2,4.2
796,2025-04-18,4.5,4.5,4.4,4.4
795,2025-04-17,4.3,4.7,4.3,4.7
794,2025-04-16,4.2,4.2,4.2,4.2
793,2025-04-15,4.2,4.2,4.2,4.2
792,2025-04-11,4.9,4.9,4.9,4.9
791,2025-04-10,4.9,4.9,4.1,4.1
790,2025-04-09,5.5,5.5,4.3,4.3
789,2025-04-04,5.1,5.1,5.0,5.0
788,2025-04-03,5.1,5.1,4.5,4.5
787,2025-04-02,4.3,4.5,4.3,4.4
786,2025-03-27,4.5,4.5,4.5,4.5
785,2025-03-25,4.5,4.5,4.5,4.5
784,2025-03-24,4.4,4.4,4.4,4.4
783,2025-03-21,4.2,4.4,4.2,4.4
782,2025-03-20,4.1,4.5,4.1,4.5
781,2025-03-19,4.6,4.6,4.0,4.6
780,2025-03-18,4.7,4.7,4.1,4.6
779,2025-03-17,4.8,5.0,4.1,5.0
778,2025-03-14,5.1,5.2,4.6,5.2
777,2025-03-13,5.2,5.2,5.2,5.2
776,2025-03-12,5.0,5.4,5.0,5.4
775,2025-03-11,5.7,5.7,5.4,5.4
774,2025-03-10,5.2,5.9,5.2,5.9
773,2025-03-07,7.0,7.0,5.3,5.4
772,2025-03-05,6.4,6.4,6.0,6.0
771,2025-03-04,5.8,6.1,5.0,5.5
770,2025-03-03,5.5,5.5,5.3,5.4
769,2025-02-28,5.3,5.3,5.3,5.3
768,2025-02-27,5.5,5.5,5.4,5.4
767,2025-02-26,5.6,5.8,5.0,5.8
766,2025-02-25,5.3,5.3,5.1,5.3
765,2025-02-21,5.9,5.9,5.9,5.9
764,2025-02-20,5.3,5.3,5.3,5.3
763,2025-02-18,6.3,6.3,6.1,6.1
762,2025-02-14,6.4,6.4,6.3,6.3
761,2025-02-13,6.4,6.4,6.4,6.4
760,2025-02-12,5.6,5.6,5.6,5.6
759,2025-02-11,5.6,5.6,5.6,5.6
758,2025-02-10,5.6,5.6,5.6,5.6
757,2025-02-07,4.7,6.0,4.7,6.0
756,2025-02-05,5.1,5.9,5.1,5.5
755,2025-02-04,6.0,6.0,6.0,6.0
754,2025-02-03,6.6,6.6,6.6,6.6
753,2025-01-15,7.7,7.7,7.7,7.7
752,2025-01-10,5.6,7.3,5.6,7.3
751,2025-01-08,6.5,6.5,6.5,6.5
750,2025-01-07,5.8,5.8,5.8,5.8
749,2025-01-03,5.2,5.2,5.2,5.2
