,Date,Open,High,Low,Close
939,2025-10-17,45.8,45.9,45.7,45.7
938,2025-10-16,45.7,46.0,45.7,45.9
937,2025-10-15,45.9,46.2,45.9,46.1
936,2025-10-14,45.8,46.0,45.7,46.0
935,2025-10-13,46.0,46.0,45.8,45.9
934,2025-10-10,45.7,46.1,45.7,46.1
933,2025-10-09,45.6,45.8,45.6,45.8
932,2025-10-08,45.5,45.7,45.5,45.6
931,2025-10-07,45.7,45.8,45.4,45.5
930,2025-10-06,45.3,45.7,45.3,45.7
929,2025-10-03,45.5,45.6,45.3,45.4
928,2025-10-02,45.6,45.7,45.5,45.5
927,2025-10-01,45.5,45.8,45.5,45.8
926,2025-09-30,45.7,45.9,45.5,45.6
925,2025-09-29,45.7,45.8,45.6,45.8
924,2025-09-26,45.8,45.9,45.6,45.8
923,2025-09-25,45.7,46.0,45.7,46.0
922,2025-09-24,45.6,45.7,45.4,45.7
921,2025-09-23,45.4,45.6,45.4,45.6
920,2025-09-22,45.6,45.7,45.4,45.5
919,2025-09-19,45.6,45.7,45.4,45.5
918,2025-09-18,45.6,45.7,45.5,45.6
917,2025-09-17,45.8,45.8,45.6,45.6
916,2025-09-16,45.7,45.9,45.7,45.9
915,2025-09-15,45.6,45.8,45.6,45.7
914,2025-09-12,45.4,45.7,45.4,45.7
913,2025-09-11,45.5,45.6,45.3,45.5
912,2025-09-10,45.4,45.6,45.4,45.5
911,2025-09-09,45.5,45.7,45.4,45.6
910,2025-09-08,45.8,45.8,45.6,45.6
909,2025-09-05,45.7,46.0,45.6,45.9
908,2025-09-04,45.6,45.8,45.6,45.7
907,2025-09-03,45.7,45.7,45.5,45.6
906,2025-08-29,45.4,45.7,45.4,45.6
905,2025-08-28,45.5,45.7,45.5,45.5
904,2025-08-27,45.3,45.5,45.3,45.5
903,2025-08-26,45.1,45.4,45.1,45.4
902,2025-08-25,45.4,45.5,44.9,45.1
901,2025-08-22,45.5,45.5,45.2,45.3
900,2025-08-21,45.4,45.8,45.4,45.7
899,2025-08-20,45.5,45.7,45.3,45.3
898,2025-08-19,45.2,45.7,45.2,45.6
897,2025-08-18,45.1,45.3,45.0,45.3
896,2025-08-15,45.1,45.3,44.9,44.9
895,2025-08-14,45.0,45.2,45.0,45.1
894,2025-08-13,45.1,45.3,44.8,44.9
893,2025-08-12,45.4,45.4,45.0,45.2
892,2025-08-11,45.4,45.5,45.2,45.4
891,2025-08-08,45.5,45.6,45.2,45.3
890,2025-08-07,45.5,45.8,45.5,45.7
889,2025-08-06,45.6,45.8,45.5,45.6
