,Date,Open,High,Low,Close
4314,2025-10-17,5.4,5.4,5.3,5.4
4313,2025-10-16,5.4,5.4,5.4,5.4
4312,2025-10-15,5.4,5.4,5.4,5.4
4311,2025-10-14,5.4,5.5,5.4,5.5
4310,2025-10-13,5.4,5.4,5.4,5.4
4309,2025-10-10,5.4,5.4,5.4,5.4
4308,2025-10-09,5.5,5.5,5.5,5.5
4307,2025-10-08,5.4,5.5,5.4,5.5
4306,2025-10-07,5.4,5.4,5.4,5.4
4305,2025-10-06,5.4,5.4,5.4,5.4
4304,2025-10-03,5.4,5.4,5.3,5.4
4303,2025-10-02,5.4,5.4,5.4,5.4
4302,2025-10-01,5.4,5.4,5.4,5.4
4301,2025-09-30,5.4,5.5,5.3,5.4
4300,2025-09-29,5.5,5.6,5.5,5.6
4299,2025-09-26,5.5,5.5,5.5,5.5
4298,2025-09-25,5.5,5.5,5.4,5.5
4297,2025-09-24,5.5,5.5,5.5,5.5
4296,2025-09-23,5.4,5.4,5.4,5.4
4295,2025-09-22,5.4,5.5,5.4,5.5
4294,2025-09-19,5.4,5.4,5.4,5.4
4293,2025-09-18,5.4,5.4,5.3,5.3
4292,2025-09-17,5.4,5.4,5.3,5.4
4291,2025-09-16,5.2,5.4,5.2,5.3
4290,2025-09-15,5.1,5.3,5.1,5.2
4289,2025-09-12,5.3,5.3,5.3,5.3
4288,2025-09-11,5.2,5.3,5.2,5.3
4287,2025-09-10,5.3,5.3,5.2,5.2
4286,2025-09-09,5.4,5.4,5.1,5.2
4285,2025-09-08,5.3,5.3,5.2,5.2
4284,2025-09-05,5.4,5.4,5.3,5.3
4283,2025-09-04,5.4,5.4,5.4,5.4
4282,2025-09-03,5.5,5.5,5.3,5.4
4281,2025-08-29,5.5,5.5,5.5,5.5
4280,2025-08-28,5.3,5.5,5.3,5.5
4279,2025-08-27,5.3,5.4,5.3,5.4
4278,2025-08-25,5.4,5.4,5.3,5.3
4277,2025-08-22,5.4,5.6,5.3,5.3
4276,2025-08-21,5.5,5.5,5.5,5.5
4275,2025-08-20,5.4,5.5,5.4,5.4
4274,2025-08-19,5.4,5.5,5.3,5.5
4273,2025-08-18,5.3,5.4,5.3,5.4
4272,2025-08-15,5.5,5.5,5.4,5.4
4271,2025-08-14,5.4,5.6,5.4,5.6
4270,2025-08-13,5.3,5.4,5.3,5.4
4269,2025-08-12,5.4,5.6,5.2,5.4
4268,2025-08-11,5.3,5.3,5.3,5.3
4267,2025-08-08,5.2,5.4,5.2,5.3
4266,2025-08-07,5.3,5.3,5.2,5.3
4265,2025-08-06,5.3,5.4,5.3,5.3
4264,2025-08-05,5.5,5.5,5.3,5.3
4263,2025-08-04,5.4,5.6,5.3,5.5
4262,2025-08-01,5.3,5.4,5.3,5.4
4261,2025-07-31,5.2,5.3,5.2,5.3
4260,2025-07-30,5.3,5.4,5.2,5.3
4259,2025-07-29,5.5,5.5,5.3,5.3
4258,2025-07-28,5.4,5.5,5.3,5.5
4257,2025-07-25,5.2,5.4,5.1,5.4
4256,2025-07-24,5.2,5.2,5.1,5.2
