,Date,Open,High,Low,Close
3695,2025-10-17,31.4,32.0,31.4,31.85
3694,2025-10-16,31.0,31.7,31.0,31.35
3693,2025-10-15,30.65,31.7,30.65,31.1
3692,2025-10-14,31.5,31.75,30.85,30.85
3691,2025-10-13,30.75,31.5,30.7,31.5
3690,2025-10-10,31.5,31.55,30.95,31.3
3689,2025-10-09,31.15,31.4,30.8,30.9
3688,2025-10-08,31.5,31.75,31.1,31.1
3687,2025-10-07,32.45,32.45,31.2,31.25
3686,2025-10-06,32.0,32.3,31.7,31.7
3685,2025-10-03,31.55,32.2,31.55,32.0
3684,2025-10-02,31.2,32.2,31.15,31.8
3683,2025-10-01,31.55,31.8,31.25,31.3
3682,2025-09-30,31.9,32.0,31.0,31.55
3681,2025-09-29,32.4,32.4,31.75,31.9
3680,2025-09-26,33.7,33.7,31.7,32.4
3679,2025-09-25,33.9,33.9,33.25,33.4
3678,2025-09-24,33.2,33.75,32.8,33.75
3677,2025-09-23,33.3,33.45,32.8,33.3
3676,2025-09-22,33.35,33.75,32.6,33.3
3675,2025-09-19,33.15,33.3,32.65,33.3
3674,2025-09-18,33.3,33.4,33.05,33.15
3673,2025-09-17,34.7,34.8,33.0,33.3
3672,2025-09-16,35.5,35.6,34.6,34.7
3671,2025-09-15,33.6,35.5,33.5,35.35
3670,2025-09-12,33.15,33.6,32.8,33.4
3669,2025-09-11,33.25,33.5,32.2,33.05
3668,2025-09-10,32.0,33.25,31.35,33.25
3667,2025-09-09,31.1,32.0,30.95,32.0
3666,2025-09-08,32.3,32.75,31.0,31.0
3665,2025-09-05,33.6,33.9,32.8,32.8
3664,2025-09-04,34.15,34.3,33.4,33.4
3663,2025-09-03,32.9,34.1,32.75,34.1
3662,2025-08-29,33.7,34.15,32.7,33.1
3661,2025-08-28,34.0,34.1,33.5,33.75
3660,2025-08-27,32.03,33.7,31.88,33.7
3659,2025-08-26,31.09,31.53,30.94,31.53
3658,2025-08-25,30.94,31.19,30.65,30.99
3657,2025-08-22,30.05,31.04,29.86,30.94
3656,2025-08-21,31.83,32.03,30.3,30.5
3655,2025-08-20,33.45,33.45,31.53,32.03
3654,2025-08-19,33.36,33.7,33.06,33.31
3653,2025-08-18,32.91,33.75,32.72,33.31
3652,2025-08-15,33.31,33.41,32.03,32.52
3651,2025-08-14,34.0,34.83,33.21,33.26
3650,2025-08-13,34.39,34.93,33.7,34.0
3649,2025-08-12,34.78,35.08,34.24,34.39
3648,2025-08-11,34.34,34.44,33.8,34.39
3647,2025-08-08,34.49,34.49,33.8,34.34
3646,2025-08-07,34.54,34.74,33.65,34.39
3645,2025-08-06,33.8,34.64,32.72,34.24
3644,2025-08-05,34.44,34.44,32.22,33.9
3643,2025-08-04,34.09,34.49,33.65,34.49
3642,2025-08-01,33.5,34.78,32.91,34.14
3641,2025-07-31,33.31,34.0,32.32,33.5
3640,2025-07-30,32.81,33.16,32.12,33.11
3639,2025-07-29,33.01,33.7,31.53,32.52
3638,2025-07-28,33.85,33.85,32.96,33.11
3637,2025-07-25,33.7,34.24,32.86,33.21
3636,2025-07-24,32.17,33.5,32.17,33.45
3635,2025-07-23,32.12,32.42,31.63,32.03
3634,2025-07-22,30.05,32.03,29.86,32.03
3633,2025-07-21,30.35,30.4,29.91,29.96
3632,2025-07-18,29.96,30.65,29.66,29.96
3631,2025-07-17,29.66,30.05,29.46,29.66
3630,2025-07-16,29.07,29.96,29.07,29.56
3629,2025-07-15,29.46,30.1,29.07,29.32
3628,2025-07-14,28.18,29.86,28.03,29.46
3627,2025-07-11,28.53,28.63,27.89,28.43
3626,2025-07-10,28.18,29.17,28.18,28.48
3625,2025-07-09,28.28,28.68,27.99,28.33
3624,2025-07-08,28.08,28.72,28.03,28.23
3623,2025-07-07,28.18,28.18,27.54,27.89
3622,2025-07-04,28.23,28.43,27.69,27.84
3621,2025-07-03,28.68,29.12,28.08,28.13
3620,2025-07-02,27.05,28.92,27.05,28.92
3619,2025-07-01,27.54,27.54,26.95,27.05
3618,2025-06-30,26.61,27.59,26.41,27.39
3617,2025-06-27,26.36,27.39,26.31,26.56
3616,2025-06-26,26.41,26.51,26.26,26.31
3615,2025-06-25,26.8,26.95,26.51,26.51
3614,2025-06-24,26.7,26.9,26.36,26.75
