,Date,Open,High,Low,Close,Volume
3700,2025-10-24,29.6,30.75,29.6,30.75,1027900
3699,2025-10-23,29.55,30.15,29.55,29.9,337900
3698,2025-10-22,29.55,30.15,28.6,30.0,1185400
3697,2025-10-21,30.0,30.0,29.0,29.6,1356300
3696,2025-10-20,31.85,31.85,29.65,29.65,2340200
3695,2025-10-17,31.4,32.0,31.4,31.85,1620600
3694,2025-10-16,31.0,31.7,31.0,31.35,1193800
3693,2025-10-15,30.65,31.7,30.65,31.1,765400
3692,2025-10-14,31.5,31.75,30.85,30.85,1232800
3691,2025-10-13,30.75,31.5,30.7,31.5,634000
3690,2025-10-10,31.5,31.55,30.95,31.3,811200
3689,2025-10-09,31.15,31.4,30.8,30.9,1018600
3688,2025-10-08,31.5,31.75,31.1,31.1,722100
3687,2025-10-07,32.45,32.45,31.2,31.25,861200
3686,2025-10-06,32.0,32.3,31.7,31.7,662900
3685,2025-10-03,31.55,32.2,31.55,32.0,555000
3684,2025-10-02,31.2,32.2,31.15,31.8,840900
3683,2025-10-01,31.55,31.8,31.25,31.3,652800
3682,2025-09-30,31.9,32.0,31.0,31.55,993900
3681,2025-09-29,32.4,32.4,31.75,31.9,539100
3680,2025-09-26,33.7,33.7,31.7,32.4,3486500
3679,2025-09-25,33.9,33.9,33.25,33.4,906500
3678,2025-09-24,33.2,33.75,32.8,33.75,899300
3677,2025-09-23,33.3,33.45,32.8,33.3,774300
3676,2025-09-22,33.35,33.75,32.6,33.3,2248000
3675,2025-09-19,33.15,33.3,32.65,33.3,1216700
3674,2025-09-18,33.3,33.4,33.05,33.15,1072900
3673,2025-09-17,34.7,34.8,33.0,33.3,2098600
3672,2025-09-16,35.5,35.6,34.6,34.7,1329700
3671,2025-09-15,33.6,35.5,33.5,35.35,5357400
3670,2025-09-12,33.15,33.6,32.8,33.4,1919700
3669,2025-09-11,33.25,33.5,32.2,33.05,1177621
3668,2025-09-10,32.0,33.25,31.35,33.25,1818052
3667,2025-09-09,31.1,32.0,30.95,32.0,695865
3666,2025-09-08,32.3,32.75,31.0,31.0,1013195
3665,2025-09-05,33.6,33.9,32.8,32.8,1459057
3664,2025-09-04,34.15,34.3,33.4,33.4,1549681
3663,2025-09-03,32.9,34.1,32.75,34.1,925903
3662,2025-08-29,33.7,34.15,32.7,33.1,1590438
3661,2025-08-28,34.0,34.1,33.5,33.75,1231171
3660,2025-08-27,32.03,33.7,31.88,33.7,6094556
3659,2025-08-26,31.09,31.53,30.94,31.53,1396357
3658,2025-08-25,30.94,31.19,30.65,30.99,1301921
3657,2025-08-22,30.05,31.04,29.86,30.94,1379783
3656,2025-08-21,31.83,32.03,30.3,30.5,4758949
3655,2025-08-20,33.45,33.45,31.53,32.03,2755285
3654,2025-08-19,33.36,33.7,33.06,33.31,1604134
3653,2025-08-18,32.91,33.75,32.72,33.31,1164057
3652,2025-08-15,33.31,33.41,32.03,32.52,3045560
3651,2025-08-14,34.0,34.83,33.21,33.26,4573060
3650,2025-08-13,34.39,34.93,33.7,34.0,2103665
3649,2025-08-12,34.78,35.08,34.24,34.39,2550758
3648,2025-08-11,34.34,34.44,33.8,34.39,1198015
3647,2025-08-08,34.49,34.49,33.8,34.34,1794931
3646,2025-08-07,34.54,34.74,33.65,34.39,2532469
3645,2025-08-06,33.8,34.64,32.72,34.24,2608722
3644,2025-08-05,34.44,34.44,32.22,33.9,3785231
3643,2025-08-04,34.09,34.49,33.65,34.49,1294508
3642,2025-08-01,33.5,34.78,32.91,34.14,2900804
3641,2025-07-31,33.31,34.0,32.32,33.5,1371236
3640,2025-07-30,32.81,33.16,32.12,33.11,1013744
3639,2025-07-29,33.01,33.7,31.53,32.52,2990509
3638,2025-07-28,33.85,33.85,32.96,33.11,2523378
3637,2025-07-25,33.7,34.24,32.86,33.21,2604423
3636,2025-07-24,32.17,33.5,32.17,33.45,2674555
3635,2025-07-23,32.12,32.42,31.63,32.03,2103022
3634,2025-07-22,30.05,32.03,29.86,32.03,6695287
3633,2025-07-21,30.35,30.4,29.91,29.96,1415842
3632,2025-07-18,29.96,30.65,29.66,29.96,1948484
