,Date,Open,High,Low,Close
2507,2025-09-30,10.8,10.8,10.8,10.8
2506,2025-09-17,9.9,9.9,9.9,9.9
2505,2025-08-28,11.0,11.0,11.0,11.0
2504,2025-08-21,9.5,10.0,9.5,10.0
2503,2025-08-18,11.0,11.0,10.5,10.5
2502,2025-08-05,9.7,10.0,9.7,10.0
2501,2025-07-28,9.6,10.5,9.6,9.7
2500,2025-07-24,9.6,9.6,8.5,9.6
2499,2025-07-23,8.8,8.8,8.8,8.8
2498,2025-07-22,8.5,9.3,8.0,8.0
2497,2025-07-21,9.9,10.0,8.5,8.5
2496,2025-07-18,9.9,10.0,9.1,9.1
2495,2025-07-15,9.1,9.9,9.1,9.1
2494,2025-07-14,9.8,9.9,9.0,9.0
2493,2025-07-03,8.2,9.0,8.2,9.0
2492,2025-07-02,8.1,8.2,8.1,8.2
2491,2025-06-30,9.0,9.2,9.0,9.0
2490,2025-06-26,7.7,8.9,7.7,8.4
2489,2025-06-24,8.5,8.5,8.5,8.5
2488,2025-06-23,7.9,7.9,7.9,7.9
2487,2025-05-22,7.2,7.2,7.2,7.2
2486,2025-05-19,7.9,7.9,7.9,7.9
2485,2025-05-08,7.2,7.2,7.2,7.2
2484,2025-04-17,6.6,6.6,6.6,6.6
2483,2025-04-10,6.6,6.6,6.6,6.6
2482,2025-04-04,6.0,6.0,6.0,6.0
2481,2025-03-10,6.6,6.6,6.6,6.6
2480,2025-02-26,7.3,7.3,7.3,7.3
2479,2025-02-25,7.2,7.2,7.2,7.2
2478,2025-02-19,7.3,7.3,7.3,7.3
2477,2025-02-17,7.2,7.2,7.2,7.2
2476,2025-02-06,7.9,7.9,7.9,7.9
2475,2025-01-03,7.2,7.2,7.2,7.2
2474,2025-01-02,6.6,6.6,6.6,6.6
2473,2024-12-30,6.0,6.0,6.0,6.0
2472,2024-12-27,6.4,6.4,6.4,6.4
2471,2024-12-26,7.0,7.0,7.0,7.0
2470,2024-12-24,6.5,6.5,6.5,6.5
2469,2024-12-23,6.9,6.9,6.9,6.9
2468,2024-12-19,6.3,6.3,6.3,6.3
2467,2024-11-20,7.0,7.0,7.0,7.0
2466,2024-11-14,6.8,6.8,6.8,6.8
2465,2024-10-10,6.8,6.8,6.8,6.8
2464,2024-09-30,7.2,7.5,7.2,7.5
2463,2024-09-12,8.0,8.0,8.0,8.0
2462,2024-08-30,8.0,8.0,8.0,8.0
2461,2024-08-28,7.3,7.3,7.3,7.3
2460,2024-08-21,7.3,7.3,7.3,7.3
2459,2024-08-07,7.3,7.3,7.3,7.3
2458,2024-08-05,7.3,7.3,7.3,7.3
2457,2024-07-25,7.3,7.3,7.3,7.3
2456,2024-07-24,7.3,7.3,7.3,7.3
2455,2024-07-23,7.3,7.3,7.3,7.3
2454,2024-07-22,7.3,7.3,7.3,7.3
2453,2024-07-19,7.3,7.3,7.3,7.3
2452,2024-07-18,7.3,7.3,7.3,7.3
2451,2024-07-17,7.3,7.3,7.3,7.3
2450,2024-07-16,7.3,7.3,7.3,7.3
2449,2024-07-15,7.3,7.3,7.3,7.3
2448,2024-07-12,7.3,7.3,7.3,7.3
2447,2024-07-11,7.3,7.3,7.3,7.3
2446,2024-07-10,7.3,7.3,7.3,7.3
2445,2024-07-09,7.3,7.3,7.3,7.3
2444,2024-07-08,7.3,7.3,7.3,7.3
2443,2024-07-05,7.3,7.3,7.3,7.3
2442,2024-07-04,7.3,7.3,7.3,7.3
2441,2024-07-03,7.3,7.3,7.3,7.3
2440,2024-07-02,7.3,7.3,7.3,7.3
2439,2024-07-01,7.0,7.0,7.0,7.0
2438,2024-06-28,7.0,7.0,7.0,7.0
2437,2024-06-27,7.0,7.0,7.0,7.0
2436,2024-06-26,7.5,7.5,7.5,7.5
2435,2024-06-25,7.5,7.5,7.5,7.5
2434,2024-06-24,7.5,7.5,7.5,7.5
2433,2024-06-21,7.5,7.5,7.5,7.5
2432,2024-06-20,7.5,7.5,7.5,7.5
2431,2024-06-19,7.5,7.5,7.5,7.5
2430,2024-06-18,7.5,7.5,7.5,7.5
2429,2024-06-17,7.5,7.5,7.5,7.5
2428,2024-06-14,7.5,7.5,7.5,7.5
2427,2024-06-13,7.5,7.5,7.5,7.5
2426,2024-06-12,8.2,8.2,8.2,8.2
2425,2024-06-11,8.2,8.2,8.2,8.2
2424,2024-06-10,7.5,7.5,7.5,7.5
2423,2024-06-07,6.9,6.9,6.9,6.9
2422,2024-06-06,6.3,6.3,6.3,6.3
2421,2024-06-05,6.3,6.3,6.3,6.3
2420,2024-06-04,6.7,6.7,6.7,6.7
2419,2024-06-03,7.0,7.2,7.0,7.2
2418,2024-05-31,7.3,7.5,7.3,7.5
2417,2024-05-30,8.0,8.0,8.0,8.0
2416,2024-05-29,8.5,8.5,8.5,8.5
2415,2024-05-28,7.3,8.6,7.3,8.6
2414,2024-05-27,7.8,7.9,7.7,7.9
2413,2024-05-24,7.6,7.6,7.6,7.6
2412,2024-05-23,7.0,7.0,7.0,7.0
2411,2024-05-22,5.7,6.7,5.7,6.7
2410,2024-05-21,6.1,6.1,6.1,6.1
2409,2024-05-20,6.4,6.5,6.4,6.5
2408,2024-05-17,6.5,6.5,6.5,6.5
2407,2024-05-16,7.2,7.2,7.2,7.2
2406,2024-05-15,7.2,7.2,7.2,7.2
2405,2024-05-14,7.2,7.2,7.2,7.2
2404,2024-05-13,7.2,7.2,7.2,7.2
2403,2024-05-10,7.2,7.2,7.2,7.2
2402,2024-05-09,7.2,7.2,7.2,7.2
2401,2024-05-08,7.2,7.2,7.2,7.2
2400,2024-05-07,7.2,7.2,7.2,7.2
2399,2024-05-06,7.2,7.2,7.2,7.2
2398,2024-05-03,7.2,7.2,7.2,7.2
2397,2024-05-02,7.2,7.2,7.2,7.2
2396,2024-04-26,7.2,7.2,7.2,7.2
2395,2024-04-25,6.6,6.6,6.6,6.6
2394,2024-04-24,7.2,7.2,7.2,7.2
2393,2024-04-23,7.2,7.2,7.2,7.2
2392,2024-04-22,7.2,7.2,7.2,7.2
2391,2024-04-19,7.2,7.2,7.2,7.2
2390,2024-04-17,7.2,7.2,7.2,7.2
2389,2024-04-16,7.2,7.2,7.2,7.2
2388,2024-04-15,7.2,7.2,7.2,7.2
2387,2024-04-12,7.2,7.2,7.2,7.2
2386,2024-04-11,7.2,7.2,7.2,7.2
2385,2024-04-10,7.2,7.2,7.2,7.2
2384,2024-04-09,7.2,7.2,7.2,7.2
2383,2024-04-08,7.2,7.2,7.2,7.2
2382,2024-04-05,7.2,7.2,7.2,7.2
2381,2024-04-04,6.6,6.6,6.6,6.6
2380,2024-04-03,6.6,6.6,6.6,6.6
2379,2024-04-02,6.9,6.9,6.9,6.9
2378,2024-04-01,6.9,6.9,6.9,6.9
2377,2024-03-29,6.9,6.9,6.9,6.9
2376,2024-03-28,7.4,7.4,7.4,7.4
2375,2024-03-27,7.4,7.4,7.4,7.4
2374,2024-03-26,7.4,7.4,7.4,7.4
2373,2024-03-25,8.2,8.2,8.2,8.2
2372,2024-03-22,8.2,8.2,8.2,8.2
2371,2024-03-21,8.2,8.2,8.2,8.2
2370,2024-03-20,8.2,8.2,8.2,8.2
2369,2024-03-19,8.2,8.2,8.2,8.2
2368,2024-03-18,8.2,8.2,8.2,8.2
2367,2024-03-15,8.2,8.2,8.2,8.2
2366,2024-03-14,8.2,8.2,8.2,8.2
2365,2024-03-13,8.0,8.0,8.0,8.0
2364,2024-03-12,8.0,8.0,8.0,8.0
2363,2024-03-11,8.0,8.0,8.0,8.0
2362,2024-03-08,8.0,8.0,8.0,8.0
2361,2024-03-07,8.0,8.0,8.0,8.0
2360,2024-03-06,8.0,8.0,8.0,8.0
2359,2024-03-05,8.5,8.5,8.5,8.5
2358,2024-03-04,8.5,8.5,8.5,8.5
2357,2024-03-01,8.5,8.5,8.5,8.5
2356,2024-02-29,8.5,8.5,8.5,8.5
2355,2024-02-28,8.5,8.5,8.5,8.5
