,Date,Open,High,Low,Close
2366,2025-10-03,40.0,40.0,40.0,40.0
2365,2025-09-29,39.6,39.6,39.6,39.6
2364,2025-09-22,39.0,39.0,39.0,39.0
2363,2025-09-17,44.5,44.5,44.5,44.5
2362,2025-09-16,44.5,44.5,44.5,44.5
2361,2025-08-27,42.0,42.0,42.0,42.0
2360,2025-08-22,42.0,42.0,42.0,42.0
2359,2025-08-21,42.5,44.5,42.0,44.5
2358,2025-08-20,43.0,43.5,43.0,43.5
2357,2025-08-19,42.5,43.0,42.5,43.0
2356,2025-08-18,44.0,44.0,44.0,44.0
2355,2025-08-15,43.3,43.3,43.3,43.3
2354,2025-08-13,43.3,43.3,43.3,43.3
2353,2025-08-12,42.5,43.5,42.5,43.5
2352,2025-08-11,43.0,43.0,43.0,43.0
2351,2025-08-08,42.9,42.9,42.9,42.9
2350,2025-08-06,42.8,42.8,42.8,42.8
2349,2025-08-05,42.8,43.0,42.1,43.0
2348,2025-08-04,41.9,42.7,41.8,42.7
2347,2025-08-01,41.8,41.8,41.8,41.8
2346,2025-07-31,42.1,42.1,42.0,42.0
2345,2025-07-30,42.0,42.0,42.0,42.0
2344,2025-07-29,43.0,43.0,42.0,42.0
2343,2025-07-28,42.0,42.0,42.0,42.0
2342,2025-07-18,42.0,42.0,42.0,42.0
2341,2025-07-17,42.0,42.0,42.0,42.0
2340,2025-07-11,42.0,42.0,42.0,42.0
2339,2025-06-27,46.0,46.0,43.1,43.1
2338,2025-06-11,46.0,46.0,41.0,41.0
2337,2025-06-09,48.0,48.5,48.0,48.5
2336,2025-06-02,48.0,48.0,48.0,48.0
2335,2025-05-27,42.8,42.8,42.8,42.8
2334,2025-05-26,42.5,42.5,42.5,42.5
2333,2025-05-23,45.0,45.0,45.0,45.0
2332,2025-05-22,46.7,46.7,46.7,46.7
2331,2025-05-21,48.0,48.0,48.0,48.0
2330,2025-05-20,48.0,48.0,48.0,48.0
2329,2025-05-19,48.0,48.0,48.0,48.0
2328,2025-05-16,48.0,48.0,48.0,48.0
2327,2025-05-15,48.0,48.0,48.0,48.0
2326,2025-05-14,46.5,46.5,46.5,46.5
2325,2025-05-13,45.55,46.03,45.55,46.03
2324,2025-05-12,47.45,47.92,47.45,47.45
2323,2025-05-09,47.45,47.45,47.45,47.45
2322,2025-05-08,47.45,47.45,47.45,47.45
2321,2025-05-07,47.45,47.45,47.45,47.45
2320,2025-05-06,47.45,47.45,47.45,47.45
2319,2025-05-05,47.45,47.45,47.45,47.45
2318,2025-04-29,43.46,43.46,43.46,43.46
2317,2025-04-28,47.45,47.45,41.85,41.85
2316,2025-04-25,46.31,46.31,46.31,46.31
2315,2025-04-24,44.6,47.45,44.6,47.45
2314,2025-04-23,43.65,43.65,43.65,43.65
2313,2025-04-22,42.7,42.7,42.7,42.7
2312,2025-04-21,43.46,43.46,43.46,43.46
2311,2025-04-18,43.46,43.46,43.46,43.46
2310,2025-04-17,42.7,42.7,42.7,42.7
2309,2025-04-16,42.7,42.7,42.7,42.7
2308,2025-04-15,42.7,42.7,42.7,42.7
2307,2025-04-14,42.7,42.7,42.7,42.7
2306,2025-04-11,42.7,42.7,41.76,41.76
2305,2025-04-10,45.65,45.65,45.65,45.65
2304,2025-04-09,39.76,39.76,39.76,39.76
2303,2025-04-08,40.52,40.52,39.19,39.19
2302,2025-04-04,40.9,51.15,38.24,51.06
2301,2025-04-03,44.6,44.6,44.6,44.6
2300,2025-04-02,45.17,45.17,45.17,45.17
2299,2025-04-01,45.17,45.17,45.17,45.17
2298,2025-03-31,46.69,46.69,40.9,46.6
2297,2025-03-28,47.17,47.17,47.17,47.17
2296,2025-03-27,40.81,41.57,40.81,41.57
2295,2025-03-26,42.23,48.11,41.09,46.5
2294,2025-03-25,51.06,51.06,47.36,47.36
2293,2025-03-24,51.15,52.2,51.15,51.15
2292,2025-03-21,60.17,60.17,59.79,59.79
2291,2025-03-20,52.38,52.38,52.38,52.38
2290,2025-03-19,45.55,45.55,45.55,45.55
2289,2025-03-18,39.86,39.86,39.86,39.86
2288,2025-03-17,39.86,39.86,39.86,39.86
2287,2025-03-14,39.86,39.86,39.86,39.86
2286,2025-03-13,39.86,39.86,39.86,39.86
2285,2025-03-12,39.86,39.86,39.86,39.86
2284,2025-03-11,39.86,39.86,39.86,39.86
2283,2025-03-10,39.86,39.86,39.86,39.86
2282,2025-03-07,39.86,39.86,39.86,39.86
2281,2025-03-06,39.86,39.86,39.86,39.86
2280,2025-03-05,39.86,39.86,39.86,39.86
2279,2025-03-04,39.86,39.86,39.86,39.86
2278,2025-03-03,39.86,39.86,39.86,39.86
2277,2025-02-28,39.86,39.86,39.86,39.86
2276,2025-02-27,39.86,39.86,39.86,39.86
2275,2025-02-26,39.86,39.86,39.86,39.86
2274,2025-02-25,39.86,39.86,39.86,39.86
2273,2025-02-24,39.86,39.86,39.86,39.86
2272,2025-02-21,39.86,39.86,39.86,39.86
2271,2025-02-20,39.86,39.86,39.86,39.86
2270,2025-02-19,39.86,39.86,39.86,39.86
2269,2025-02-18,39.86,39.86,39.86,39.86
2268,2025-02-17,39.86,39.86,39.86,39.86
2267,2025-02-14,39.86,39.86,39.86,39.86
2266,2025-02-13,39.86,39.86,39.86,39.86
2265,2025-02-12,39.86,39.86,39.86,39.86
2264,2025-02-11,39.86,39.86,39.86,39.86
2263,2025-02-10,39.86,39.86,39.86,39.86
2262,2025-02-07,37.96,37.96,37.96,37.96
2261,2025-02-06,37.96,37.96,37.96,37.96
2260,2025-02-05,37.96,37.96,37.96,37.96
2259,2025-02-04,37.96,37.96,37.96,37.96
2258,2025-02-03,37.96,37.96,37.96,37.96
2257,2025-01-24,37.96,37.96,37.96,37.96
2256,2025-01-23,37.96,37.96,37.96,37.96
2255,2025-01-22,37.96,37.96,37.96,37.96
2254,2025-01-21,37.96,37.96,37.96,37.96
2253,2025-01-20,37.96,37.96,37.96,37.96
2252,2025-01-17,37.96,37.96,37.96,37.96
2251,2025-01-16,37.96,37.96,37.96,37.96
2250,2025-01-15,37.96,37.96,37.96,37.96
2249,2025-01-14,37.96,37.96,37.96,37.96
2248,2025-01-13,37.96,37.96,37.96,37.96
2247,2025-01-10,37.96,37.96,37.96,37.96
2246,2025-01-09,37.96,37.96,37.96,37.96
2245,2025-01-08,37.96,37.96,37.96,37.96
2244,2025-01-07,37.96,37.96,37.96,37.96
2243,2025-01-06,37.96,37.96,37.96,37.96
2242,2025-01-03,37.96,37.96,37.96,37.96
2241,2025-01-02,37.96,37.96,37.96,37.96
2240,2024-12-31,37.96,37.96,37.96,37.96
2239,2024-12-30,37.96,37.96,37.96,37.96
2238,2024-12-27,37.96,37.96,37.96,37.96
2237,2024-12-26,37.96,37.96,37.96,37.96
2236,2024-12-25,37.96,37.96,37.96,37.96
2235,2024-12-24,37.96,37.96,37.96,37.96
2234,2024-12-23,37.96,37.96,37.96,37.96
2233,2024-12-20,37.96,37.96,37.96,37.96
2232,2024-12-19,37.96,37.96,37.96,37.96
2231,2024-12-18,37.96,37.96,37.96,37.96
2230,2024-12-17,37.96,37.96,37.96,37.96
2229,2024-12-16,37.96,37.96,37.96,37.96
2228,2024-12-13,43.27,43.27,43.27,43.27
2227,2024-12-12,43.27,43.27,43.27,43.27
2226,2024-12-11,43.27,43.27,43.27,43.27
2225,2024-12-10,37.68,37.68,37.68,37.68
2224,2024-12-09,37.68,37.68,37.68,37.68
2223,2024-12-06,37.68,37.68,37.68,37.68
2222,2024-12-05,37.68,37.68,37.68,37.68
2221,2024-12-04,37.68,37.68,37.68,37.68
2220,2024-12-03,37.68,37.68,37.68,37.68
2219,2024-12-02,37.68,37.68,37.68,37.68
2218,2024-11-29,37.68,37.68,37.68,37.68
2217,2024-11-28,37.68,37.68,37.68,37.68
