,Date,Open,High,Low,Close,Volume
1204,2025-10-24,13.6,14.0,13.1,13.8,6000
1203,2025-10-23,13.2,14.9,13.2,13.6,16050
1202,2025-10-22,13.2,15.1,12.5,14.1,53762
1201,2025-10-21,13.2,13.5,12.8,13.0,42360
1200,2025-10-20,13.6,13.8,12.0,12.7,18734
1199,2025-10-17,14.5,14.5,13.5,13.8,99194
1198,2025-10-16,13.08,13.15,12.92,13.08,139483
1197,2025-10-15,13.08,13.23,12.92,13.08,120979
1196,2025-10-14,13.23,13.46,13.15,13.15,147943
1195,2025-10-13,13.15,13.54,13.0,13.23,173335
1194,2025-10-10,12.92,13.0,12.85,12.92,47724
1193,2025-10-09,12.69,13.08,12.69,12.92,89849
1192,2025-10-08,12.69,12.77,12.54,12.69,38587
1191,2025-10-07,12.69,12.69,12.54,12.62,39816
1190,2025-10-06,12.31,12.62,12.24,12.54,87324
1189,2025-10-03,12.46,12.46,11.93,12.16,40222
1188,2025-10-02,12.16,12.31,12.08,12.08,13901
1187,2025-10-01,12.16,12.24,12.08,12.08,16901
1186,2025-09-30,12.16,12.16,12.01,12.01,10662
1185,2025-09-29,12.24,12.62,12.16,12.24,59827
1184,2025-09-26,12.39,12.54,12.24,12.24,7342
1183,2025-09-25,12.31,12.77,12.01,12.62,46767
1182,2025-09-24,12.24,12.39,12.16,12.39,26822
1181,2025-09-23,12.39,12.39,12.08,12.08,51646
1180,2025-09-22,12.16,12.85,12.01,12.39,68728
1179,2025-09-19,12.16,12.39,12.16,12.24,40595
1178,2025-09-18,12.24,12.46,12.01,12.16,60436
1177,2025-09-17,12.39,12.62,12.39,12.46,17952
1176,2025-09-16,12.54,12.62,12.31,12.46,44160
1175,2025-09-15,13.0,13.0,12.39,12.39,13861
1174,2025-09-12,12.62,12.77,12.39,12.54,25305
1173,2025-09-11,12.69,12.69,12.39,12.46,36102
1172,2025-09-10,12.69,12.77,12.54,12.62,19005
1171,2025-09-09,12.69,12.85,12.54,12.77,21085
1170,2025-09-08,12.92,13.0,12.69,12.77,56508
1169,2025-09-05,13.0,13.08,12.85,13.0,72995
1168,2025-09-04,13.0,13.08,12.92,13.0,31536
1167,2025-09-03,13.31,13.31,12.92,13.0,81125
1166,2025-08-29,12.92,13.15,12.54,13.0,190504
1165,2025-08-28,12.77,12.77,12.54,12.69,42609
1164,2025-08-27,12.62,13.0,12.62,12.69,66442
1163,2025-08-26,12.39,12.77,12.39,12.54,53054
1162,2025-08-25,13.15,13.15,12.39,12.39,100347
1161,2025-08-22,13.84,14.15,12.69,13.0,148939
1160,2025-08-21,13.38,14.15,13.38,13.76,187644
1159,2025-08-20,12.69,13.46,12.69,13.31,296428
1158,2025-08-19,12.39,12.85,12.39,12.69,110949
1157,2025-08-18,12.46,12.54,12.31,12.31,93939
1156,2025-08-15,12.62,12.85,12.39,12.46,118425
1155,2025-08-14,12.31,12.62,12.24,12.62,79088
1154,2025-08-13,12.39,12.54,12.16,12.31,164104
1153,2025-08-12,12.54,12.54,12.24,12.31,71623
1152,2025-08-11,12.69,12.69,12.31,12.46,91661
1151,2025-08-08,12.85,13.0,12.46,12.69,58509
1150,2025-08-07,12.77,13.08,12.54,12.85,69702
1149,2025-08-06,12.92,13.0,12.54,12.92,67414
1148,2025-08-05,12.85,13.38,12.39,13.0,257166
1147,2025-08-04,12.62,12.92,12.54,12.85,67102
1146,2025-08-01,12.24,12.85,12.24,12.62,210552
1145,2025-07-31,11.93,12.24,11.85,12.24,173713
1144,2025-07-30,11.7,11.78,11.47,11.7,178056
1143,2025-07-29,12.08,12.54,11.7,11.7,65109
1142,2025-07-28,11.93,12.31,11.85,12.31,161401
1141,2025-07-25,11.93,11.93,11.62,11.85,47826
1140,2025-07-24,12.08,12.08,11.7,11.85,74345
1139,2025-07-23,12.01,12.08,11.62,11.62,58650
1138,2025-07-22,12.08,12.08,11.47,11.85,128138
1137,2025-07-21,11.93,12.31,11.93,12.16,155788
1136,2025-07-18,10.86,11.85,10.86,11.78,256464
1135,2025-07-17,10.78,10.86,10.71,10.86,15409
1134,2025-07-16,10.78,10.86,10.63,10.86,14319
1133,2025-07-15,10.71,10.86,10.71,10.78,48453
1132,2025-07-14,10.63,10.71,10.63,10.71,8323
1131,2025-07-11,10.78,10.86,10.55,10.63,47099
1130,2025-07-10,10.71,10.86,10.71,10.78,9276
1129,2025-07-09,10.63,10.86,10.63,10.71,78350
1128,2025-07-08,10.71,10.71,10.55,10.71,6906
1127,2025-07-07,10.71,10.86,10.71,10.71,12374
1126,2025-07-04,10.86,10.86,10.71,10.71,4720
1125,2025-07-03,10.63,10.71,10.63,10.71,27028
1124,2025-07-02,10.63,10.63,10.48,10.48,19200
1123,2025-07-01,10.63,10.63,10.48,10.48,2600
1122,2025-06-30,10.55,10.63,10.4,10.63,3929
1121,2025-06-27,10.4,10.55,10.4,10.55,16424
1120,2025-06-26,10.48,10.55,10.4,10.55,5408
1119,2025-06-25,10.48,10.55,10.4,10.48,3322
1118,2025-06-24,10.48,10.55,10.32,10.48,4889
1117,2025-06-23,10.55,10.71,10.4,10.48,3963
1116,2025-06-20,10.48,10.63,10.25,10.4,53101
