,Date,Open,High,Low,Close
4423,2025-10-15,39.0,47.4,39.0,47.2
4422,2025-10-14,43.2,43.2,43.2,43.2
4421,2025-10-13,48.0,48.0,48.0,48.0
4420,2025-10-10,41.9,45.5,41.9,45.5
4419,2025-10-08,40.5,47.0,40.5,46.5
4418,2025-10-06,44.0,44.0,44.0,44.0
4417,2025-10-03,40.5,44.3,40.5,44.3
4416,2025-09-29,43.0,45.0,43.0,45.0
4415,2025-09-26,39.5,43.2,39.5,43.2
4414,2025-09-25,39.6,43.8,39.6,43.8
4413,2025-09-17,44.0,44.0,44.0,44.0
4412,2025-09-09,44.4,44.4,44.4,44.4
4411,2025-09-08,45.0,45.0,45.0,45.0
4410,2025-09-05,42.6,43.6,42.6,43.6
4409,2025-09-04,42.9,45.0,38.8,42.6
4408,2025-08-29,39.7,42.9,39.6,42.9
4407,2025-08-28,39.6,44.0,39.6,43.9
4406,2025-08-12,39.3,44.0,39.3,44.0
4405,2025-08-08,39.5,43.6,39.5,43.6
4404,2025-08-07,43.9,43.9,39.5,43.8
4403,2025-08-06,43.3,43.3,43.3,43.3
4402,2025-08-04,41.9,41.9,41.9,41.9
4401,2025-08-01,39.5,40.0,37.0,40.0
4400,2025-07-31,36.0,39.3,36.0,38.9
4399,2025-07-30,34.3,37.0,34.3,37.0
4398,2025-07-29,34.0,34.8,34.0,34.8
4397,2025-07-28,33.0,34.1,33.0,34.0
4396,2025-07-24,33.0,34.9,33.0,34.9
4395,2025-07-23,33.0,34.9,33.0,34.9
4394,2025-07-22,32.8,35.3,32.8,35.0
4393,2025-07-18,31.6,35.6,31.1,35.6
4392,2025-07-17,33.2,34.0,33.2,34.0
4391,2025-07-16,33.5,34.0,33.5,34.0
4390,2025-07-11,37.5,38.9,33.8,37.1
4389,2025-07-10,35.5,37.5,35.5,37.5
4388,2025-07-09,31.5,35.5,31.5,35.5
4387,2025-07-08,32.0,35.5,32.0,34.4
4386,2025-07-07,30.8,32.5,30.7,32.5
4385,2025-07-01,30.9,30.9,30.9,30.9
4384,2025-06-30,31.3,31.3,31.1,31.1
4383,2025-06-23,32.0,32.0,29.2,32.0
4382,2025-06-17,32.6,32.6,32.0,32.4
4381,2025-06-16,32.6,32.6,30.0,32.0
4380,2025-06-13,32.6,32.6,31.0,31.0
4379,2025-06-12,31.0,32.0,30.0,30.2
4378,2025-06-09,30.1,32.5,30.0,32.5
4377,2025-06-06,30.1,30.1,30.1,30.1
4376,2025-06-05,32.0,32.0,32.0,32.0
4375,2025-06-04,32.0,32.0,32.0,32.0
4374,2025-06-03,32.0,32.0,32.0,32.0
4373,2025-06-02,28.3,32.6,28.2,32.0
4372,2025-05-30,30.4,30.4,30.3,30.3
4371,2025-05-29,31.6,31.6,30.2,30.2
4370,2025-05-28,32.0,32.0,32.0,32.0
4369,2025-05-27,32.0,32.0,32.0,32.0
4368,2025-05-26,30.49,30.49,30.02,30.3
4367,2025-05-23,30.3,30.3,30.3,30.3
4366,2025-05-22,30.21,30.21,29.93,30.21
4365,2025-05-21,30.02,30.02,29.93,29.93
4364,2025-05-20,30.02,30.02,30.02,30.02
4363,2025-05-19,30.02,30.02,29.83,30.02
4362,2025-05-16,30.49,30.49,29.93,30.02
