,Date,Open,High,Low,Close,Volume
3912,2025-10-22,8.4,8.4,8.4,8.4,100
3911,2025-10-21,7.6,8.2,7.6,8.2,1200
3910,2025-10-20,8.5,8.5,7.7,8.4,1300
3909,2025-10-17,7.8,8.5,7.8,8.5,1100
3908,2025-10-16,8.0,8.6,8.0,8.6,400
3907,2025-10-15,8.8,8.8,8.1,8.7,400
3906,2025-10-14,8.2,8.9,8.2,8.9,900
3905,2025-10-10,9.1,9.1,9.1,9.1,100
3904,2025-10-08,9.0,9.0,9.0,9.0,100
3903,2025-10-01,8.9,8.9,7.5,8.9,1800
3902,2025-09-30,9.0,9.0,8.2,8.2,2100
3901,2025-09-26,9.1,9.1,9.1,9.1,100
3900,2025-09-25,9.1,9.1,9.1,9.1,100
3899,2025-09-24,8.1,8.8,8.1,8.8,300
3898,2025-09-23,9.1,9.1,8.9,8.9,200
3897,2025-09-22,8.4,8.8,8.4,8.6,10400
3896,2025-09-17,9.3,9.3,9.3,9.3,100
3895,2025-09-16,8.6,9.4,8.5,8.8,7500
3894,2025-09-15,9.4,9.4,9.4,9.4,100
3893,2025-09-12,8.4,9.1,7.8,8.8,2600
3892,2025-09-11,8.2,8.4,8.2,8.4,1400
3891,2025-09-10,8.3,9.0,8.3,9.0,500
3890,2025-09-09,8.8,8.8,8.1,8.8,1400
3889,2025-09-08,8.8,8.8,8.8,8.8,200
3888,2025-09-05,8.1,8.9,8.1,8.8,600
3887,2025-09-04,8.1,8.9,8.1,8.1,9900
3886,2025-09-03,9.0,9.0,9.0,9.0,100
3885,2025-08-28,9.9,9.9,9.9,9.9,100
3884,2025-08-25,9.3,9.3,9.3,9.3,100
3883,2025-08-22,8.9,9.0,8.9,9.0,200
3882,2025-08-21,8.9,9.1,8.8,9.1,300
3881,2025-08-19,9.3,9.3,8.9,9.2,2600
3880,2025-08-18,9.3,9.3,8.9,9.2,700
3879,2025-08-15,9.9,9.9,8.8,9.5,1400
3878,2025-08-14,9.8,9.8,9.0,9.4,1300
3877,2025-08-13,9.1,9.7,9.1,9.3,4600
3876,2025-08-12,9.1,10.0,9.1,10.0,4500
3875,2025-08-11,9.9,10.0,9.9,10.0,200
3874,2025-08-08,9.1,9.1,9.0,9.1,3800
3873,2025-08-07,9.2,9.2,9.1,9.2,1100
3872,2025-08-06,8.6,9.2,8.5,9.1,2200
3871,2025-08-05,9.2,9.2,8.3,9.2,700
3870,2025-08-04,8.8,9.1,8.7,9.1,1200
3869,2025-07-29,8.7,9.2,8.6,9.0,800
3868,2025-07-28,8.8,8.8,8.6,8.7,1300
3867,2025-07-25,8.8,8.9,8.8,8.9,400
3866,2025-07-24,8.6,9.2,8.4,9.2,2200
3865,2025-07-23,8.6,9.2,8.6,9.2,400
3864,2025-07-22,9.5,9.5,8.5,9.4,5900
3863,2025-07-21,9.0,9.1,8.5,9.0,900
3862,2025-07-18,8.7,9.1,8.7,9.0,3400
3861,2025-07-17,9.0,9.5,9.0,9.5,200
3860,2025-07-16,8.7,9.2,8.1,9.2,900
3859,2025-07-15,9.4,9.4,8.8,8.9,400
