,Date,Open,High,Low,Close,Volume
4041,2025-10-24,51.7,52.5,50.7,52.0,182900
4040,2025-10-23,51.8,51.8,51.0,51.0,115200
4039,2025-10-22,50.2,51.3,50.0,50.6,160000
4038,2025-10-21,49.75,51.0,48.65,50.2,356600
4037,2025-10-20,52.5,52.6,48.65,48.65,330900
4036,2025-10-17,53.2,53.6,52.3,52.3,162900
4035,2025-10-16,53.4,53.9,53.0,53.3,145600
4034,2025-10-15,54.3,54.3,53.1,53.3,354300
4033,2025-10-14,55.1,55.5,54.3,54.3,187400
4032,2025-10-13,54.4,55.6,54.3,55.0,204600
4031,2025-10-10,55.6,55.6,54.4,54.5,369100
4030,2025-10-09,55.8,55.9,55.0,55.3,131300
4029,2025-10-08,56.1,56.1,55.0,55.3,96400
4028,2025-10-07,56.3,56.3,55.2,55.3,130500
4027,2025-10-06,54.9,56.3,54.9,56.3,61800
4026,2025-10-03,56.0,56.0,54.9,54.9,116500
4025,2025-10-02,56.5,56.5,55.7,56.0,128800
4024,2025-10-01,57.2,57.2,56.3,56.5,222000
4023,2025-09-30,55.6,55.6,54.0,55.3,283200
4022,2025-09-29,56.3,56.3,54.9,55.4,199400
4021,2025-09-26,57.1,57.1,56.4,56.4,93300
4020,2025-09-25,56.6,57.3,56.6,56.6,94000
4019,2025-09-24,56.9,57.0,56.0,56.6,155700
4018,2025-09-23,56.6,57.4,56.6,56.9,106500
4017,2025-09-22,56.5,56.9,56.2,56.6,175400
4016,2025-09-19,56.8,57.3,56.4,56.4,80700
4015,2025-09-18,57.4,57.4,56.8,56.9,86900
4014,2025-09-17,58.5,58.8,57.1,57.4,236900
4013,2025-09-16,59.0,59.0,58.0,58.5,179900
4012,2025-09-15,58.4,59.0,57.9,58.9,331900
4011,2025-09-12,57.8,58.7,57.0,58.4,443600
4010,2025-09-11,55.4,57.0,54.3,57.0,550600
4009,2025-09-10,55.6,55.8,55.2,55.3,262424
4008,2025-09-09,55.8,56.3,55.1,55.4,374192
4007,2025-09-08,56.7,57.2,55.6,55.6,365964
4006,2025-09-05,56.9,58.2,56.6,56.6,605551
4005,2025-09-04,56.0,56.9,56.0,56.5,329839
4004,2025-09-03,55.5,56.0,55.1,55.9,189852
4003,2025-08-29,56.1,56.2,55.5,55.5,436718
4002,2025-08-28,56.0,56.4,55.6,56.0,278216
4001,2025-08-27,55.4,56.6,55.3,56.0,541696
4000,2025-08-26,54.67,55.74,54.57,55.35,330654
3999,2025-08-25,55.16,55.25,54.08,54.57,646493
3998,2025-08-22,57.01,57.01,53.59,54.18,1389738
