,Date,Open,High,Low,Close,Volume
2550,2025-10-24,17.3,17.3,16.8,16.8,1700
2549,2025-10-23,16.8,17.3,16.8,17.3,7000
2548,2025-10-22,16.8,16.8,16.8,16.8,300
2547,2025-10-21,16.8,16.8,16.7,16.8,8400
2546,2025-10-20,16.7,16.8,16.7,16.7,6100
2545,2025-10-17,16.6,16.8,16.6,16.7,4200
2544,2025-10-16,16.8,16.8,16.8,16.8,100
2543,2025-10-15,16.8,16.8,16.8,16.8,200
2542,2025-10-14,16.5,16.9,16.5,16.9,1000
2541,2025-10-13,16.9,16.9,16.6,16.6,900
2540,2025-10-10,16.8,16.9,16.5,16.9,3900
2539,2025-10-09,16.8,16.9,16.8,16.8,3800
2538,2025-10-08,16.8,16.8,16.7,16.8,5500
2537,2025-10-07,16.7,16.9,16.7,16.8,1300
2536,2025-10-06,16.9,16.9,16.7,16.9,1900
2535,2025-10-02,16.8,16.9,16.7,16.9,500
2534,2025-09-30,16.6,16.9,16.4,16.9,1500
2533,2025-09-29,16.9,16.9,16.9,16.9,100
2532,2025-09-26,16.9,16.9,16.9,16.9,100
2531,2025-09-25,16.9,16.9,16.6,16.9,700
2530,2025-09-24,16.9,16.9,16.9,16.9,2400
2529,2025-09-23,16.7,16.9,16.7,16.8,6300
2528,2025-09-22,16.8,16.8,16.7,16.7,3100
2527,2025-09-19,16.7,16.9,16.7,16.9,3300
2526,2025-09-18,16.8,16.9,16.7,16.9,1300
2525,2025-09-17,16.8,17.0,16.7,16.8,2800
2524,2025-09-16,16.8,17.0,16.7,16.9,2600
2523,2025-09-15,17.0,17.0,16.8,16.9,1900
2522,2025-09-12,16.9,16.9,16.8,16.9,1500
2521,2025-09-11,17.0,17.0,16.7,16.9,2400
2520,2025-09-10,17.0,17.0,16.7,16.7,1000
2519,2025-09-09,16.7,17.0,16.6,16.6,1700
2518,2025-09-08,16.8,17.0,16.5,17.0,2200
2517,2025-09-05,17.0,17.0,16.7,17.0,9200
2516,2025-09-04,16.9,16.9,16.9,16.9,2300
2515,2025-09-03,17.4,17.4,16.9,16.9,1600
2514,2025-08-29,17.0,17.0,17.0,17.0,800
2513,2025-08-28,16.8,17.0,16.8,17.0,1300
2512,2025-08-27,16.9,16.9,16.7,16.9,6700
2511,2025-08-26,16.7,17.0,16.7,16.9,4400
2510,2025-08-25,17.0,17.0,16.6,17.0,8600
2509,2025-08-22,18.0,18.0,16.4,16.9,15400
2508,2025-08-21,17.8,17.8,17.1,17.2,10600
2507,2025-08-20,17.7,17.8,17.0,17.8,13200
2506,2025-08-19,18.0,18.0,17.7,17.8,14900
2505,2025-08-18,18.0,18.0,17.8,18.0,8900
2504,2025-08-15,18.1,18.3,18.0,18.0,5700
2503,2025-08-14,18.2,18.2,17.9,18.1,4000
2502,2025-08-13,18.1,18.2,18.1,18.2,4600
2501,2025-08-12,18.3,18.3,18.0,18.0,9700
2500,2025-08-11,18.3,18.4,17.9,18.3,19900
2499,2025-08-08,18.3,18.4,18.1,18.4,9100
2498,2025-08-07,18.3,18.4,18.2,18.4,5900
2497,2025-08-06,18.4,18.5,18.4,18.4,2900
2496,2025-08-05,18.3,18.5,18.3,18.4,8000
2495,2025-08-04,18.4,18.5,18.4,18.5,13500
2494,2025-08-01,18.5,18.6,18.3,18.5,12600
2493,2025-07-31,18.5,18.6,18.5,18.6,6700
2492,2025-07-30,18.5,18.5,18.4,18.4,1900
2491,2025-07-29,18.9,18.9,18.4,18.4,19300
2490,2025-07-28,18.9,19.0,18.8,18.9,6600
2489,2025-07-25,19.2,19.4,18.9,19.2,23758
2488,2025-07-24,19.3,19.3,18.8,19.2,44730
2487,2025-07-23,19.3,19.4,19.0,19.4,27793
2486,2025-07-22,19.4,19.4,19.0,19.3,21553
2485,2025-07-21,18.8,19.7,18.8,19.5,8601
2484,2025-07-18,19.7,20.0,19.7,19.8,27094
2483,2025-07-17,19.8,20.6,19.7,19.7,48019
2482,2025-07-16,20.6,20.6,19.5,19.8,47926
2481,2025-07-15,18.94,20.19,18.84,19.8,38387
2480,2025-07-14,18.84,18.84,18.74,18.84,25872
2479,2025-07-11,18.84,18.84,18.84,18.84,6197
2478,2025-07-10,18.84,18.84,18.65,18.84,3308
2477,2025-07-09,19.03,19.03,18.74,18.94,4121
2476,2025-07-08,18.84,18.94,18.74,18.74,18276
2475,2025-07-07,18.84,19.13,18.74,19.13,10419
2474,2025-07-04,19.42,19.61,18.74,19.61,32828
2473,2025-07-03,19.42,19.42,19.03,19.42,9112
2472,2025-07-02,19.32,19.61,19.32,19.42,4028
2471,2025-07-01,19.32,19.32,19.32,19.32,2
2470,2025-06-30,18.84,19.42,18.74,19.32,5901
2469,2025-06-27,19.61,19.7,19.32,19.32,4801
2468,2025-06-26,19.8,19.8,18.94,18.94,31000
2467,2025-06-25,20.09,20.09,20.09,20.09,2
2466,2025-06-24,18.46,20.09,18.46,20.09,700
2465,2025-06-23,18.94,19.61,18.94,19.61,1800
2464,2025-06-20,19.51,19.51,18.94,18.94,3234
2463,2025-06-19,19.51,20.95,19.42,20.95,1500
2462,2025-06-18,20.09,22.01,18.17,21.15,19100
2461,2025-06-17,18.84,20.09,18.36,20.09,12100
2460,2025-06-16,17.88,18.84,17.88,18.84,272
2459,2025-06-13,19.22,19.22,18.94,19.13,2800
2458,2025-06-12,18.94,19.22,18.84,19.22,4010
2457,2025-06-11,20.76,20.76,20.76,20.76,35
2456,2025-06-10,19.32,20.76,19.22,20.76,2668
2455,2025-06-09,19.7,21.15,19.7,21.15,9800
2454,2025-06-06,19.99,21.82,19.99,21.82,400
2453,2025-06-05,20.67,20.67,20.47,20.47,2700
2452,2025-06-04,21.24,22.59,21.15,22.59,1925
2451,2025-06-03,23.07,23.07,23.07,23.07,0
2450,2025-06-02,21.34,23.07,21.24,23.07,1957
2449,2025-05-30,21.63,23.55,21.63,23.55,2314
2448,2025-05-29,23.93,23.93,23.93,23.93,146
2447,2025-05-28,22.11,22.11,21.92,21.92,2740
2446,2025-05-27,24.22,24.22,23.93,24.22,1400
2445,2025-05-26,22.11,22.11,22.11,22.11,131
2444,2025-05-23,22.3,22.49,22.11,22.11,4506
2443,2025-05-22,22.59,24.51,22.59,24.51,201
2442,2025-05-21,22.59,24.8,21.15,22.59,2731
2441,2025-05-20,22.59,22.59,22.59,22.59,0
2440,2025-05-19,22.59,22.59,22.59,22.59,14
2439,2025-05-16,20.95,22.59,20.95,22.59,1127
2438,2025-05-15,20.95,22.88,20.95,22.88,3140
2437,2025-05-14,20.95,23.07,20.95,23.07,4643
2436,2025-05-13,21.63,23.36,21.63,23.26,12158
2435,2025-05-12,21.63,23.93,21.63,23.93,416
2434,2025-05-09,23.93,23.93,23.93,23.93,0
2433,2025-05-08,22.49,23.93,22.49,23.93,1423
2432,2025-05-07,24.99,24.99,24.99,24.99,0
2431,2025-05-06,22.88,24.99,22.88,24.99,279
2430,2025-05-05,23.07,25.38,23.07,25.38,4100
2429,2025-04-29,21.15,23.07,20.86,23.07,2200
2428,2025-04-28,20.19,23.16,20.19,23.16,4500
2427,2025-04-25,18.74,21.53,18.74,21.15,10643
2426,2025-04-24,18.74,19.7,18.74,19.7,200
2425,2025-04-23,17.3,20.67,17.3,20.67,6900
2424,2025-04-22,17.78,19.22,17.78,19.22,300
2423,2025-04-21,18.94,19.61,18.84,19.61,5927
2422,2025-04-18,18.84,20.57,18.84,19.03,779
2421,2025-04-17,21.05,21.05,19.99,20.67,4465
2420,2025-04-16,20.19,20.19,20.09,20.09,1279
2419,2025-04-15,22.4,22.4,18.65,20.67,2189
2418,2025-04-14,18.84,20.47,18.84,20.47,600
2417,2025-04-11,20.76,20.76,20.76,20.76,102
2416,2025-04-10,20.86,23.07,20.86,23.07,300
2415,2025-04-09,21.05,21.05,21.05,21.05,0
2414,2025-04-08,19.13,21.05,19.13,21.05,200
2413,2025-04-04,21.24,22.01,21.24,21.24,500
2412,2025-04-03,23.55,23.55,23.55,23.55,1
2411,2025-04-02,21.63,24.03,19.9,23.55,2903
2410,2025-04-01,19.9,22.11,19.9,22.11,5624
2409,2025-03-31,18.55,22.11,18.55,22.11,5000
2408,2025-03-28,17.78,20.57,17.78,20.57,10151
2407,2025-03-27,17.88,18.94,17.78,18.94,1744
2406,2025-03-26,18.17,19.22,18.17,19.22,300
2405,2025-03-25,17.59,20.09,17.59,20.09,4963
2404,2025-03-24,19.13,19.13,19.13,19.13,400
