,Date,Open,High,Low,Close
4407,2025-10-17,6.3,6.3,6.0,6.0
4406,2025-10-16,6.38,6.39,6.3,6.3
4405,2025-10-15,6.39,6.39,6.38,6.39
4404,2025-10-14,6.36,6.4,6.36,6.4
4403,2025-10-13,6.35,6.48,6.3,6.48
4402,2025-10-10,6.22,6.35,6.22,6.35
4401,2025-10-09,6.03,6.3,6.03,6.25
4400,2025-10-08,6.3,6.3,6.3,6.3
4399,2025-10-06,6.33,6.35,6.3,6.3
4398,2025-10-03,6.35,6.35,6.35,6.35
4397,2025-10-02,6.8,6.8,6.35,6.35
4396,2025-10-01,6.5,6.5,6.44,6.45
4395,2025-09-30,6.5,6.5,6.5,6.5
4394,2025-09-29,6.5,6.5,6.5,6.5
4393,2025-09-26,6.5,6.5,6.2,6.5
4392,2025-09-25,6.6,6.6,6.6,6.6
4391,2025-09-24,6.5,6.85,6.5,6.6
4390,2025-09-23,6.5,6.5,6.5,6.5
4389,2025-09-22,6.9,6.9,6.5,6.5
4388,2025-09-19,6.9,6.9,6.9,6.9
4387,2025-09-18,6.9,6.9,6.9,6.9
4386,2025-09-17,6.9,6.9,6.8,6.9
4385,2025-09-16,6.9,6.9,6.9,6.9
4384,2025-09-15,6.6,6.9,6.5,6.9
4383,2025-09-12,6.9,6.9,6.9,6.9
4382,2025-09-11,6.2,7.0,6.2,6.9
4381,2025-09-10,6.65,6.65,6.55,6.55
4380,2025-09-09,6.6,6.6,6.6,6.6
4379,2025-09-08,6.4,6.8,6.4,6.8
4378,2025-09-04,6.8,6.8,6.8,6.8
4377,2025-09-03,6.8,6.8,6.8,6.8
4376,2025-08-29,6.7,6.7,6.6,6.7
4375,2025-08-28,6.7,6.7,6.7,6.7
4374,2025-08-26,6.81,6.81,6.7,6.7
4373,2025-08-25,6.82,6.82,6.81,6.81
4372,2025-08-22,6.97,6.97,6.8,6.81
4371,2025-08-21,6.7,6.7,6.7,6.7
4370,2025-08-20,6.89,6.89,6.89,6.89
4369,2025-08-19,6.85,6.89,6.85,6.89
4368,2025-08-18,6.85,6.85,6.85,6.85
4367,2025-08-15,7.0,7.0,6.84,6.85
4366,2025-08-14,7.1,7.11,7.0,7.0
4365,2025-08-13,7.21,7.21,7.1,7.1
4364,2025-08-12,6.89,7.7,6.89,7.21
4363,2025-08-11,7.1,7.35,7.1,7.2
4362,2025-08-08,7.09,7.35,7.09,7.1
4361,2025-08-07,6.83,7.4,6.83,7.09
4360,2025-08-06,7.5,7.5,7.24,7.24
4359,2025-08-05,7.2,7.7,7.1,7.5
4358,2025-08-04,7.2,7.2,7.1,7.2
4357,2025-08-01,7.5,7.5,7.15,7.4
4356,2025-07-31,7.16,7.16,7.0,7.05
4355,2025-07-30,7.16,7.16,7.1,7.16
4354,2025-07-29,7.25,7.25,7.0,7.18
4353,2025-07-28,7.28,7.3,7.18,7.25
4352,2025-07-25,7.15,7.2,7.15,7.2
4351,2025-07-24,7.01,7.26,7.01,7.25
4350,2025-07-23,7.14,7.14,6.96,7.03
4349,2025-07-22,7.01,7.2,7.0,7.16
4348,2025-07-21,7.16,7.27,7.0,7.0
4347,2025-07-18,7.24,7.24,7.02,7.16
4346,2025-07-17,7.16,7.25,7.15,7.24
4345,2025-07-16,7.28,7.28,7.18,7.2
4344,2025-07-15,7.0,7.29,7.0,7.28
4343,2025-07-14,7.29,7.3,7.0,7.0
4342,2025-07-11,7.18,7.2,7.16,7.2
4341,2025-07-10,7.1,7.16,7.1,7.16
4340,2025-07-09,7.02,7.03,7.02,7.02
4339,2025-07-08,7.01,7.02,7.0,7.02
4338,2025-07-07,7.0,7.01,6.81,7.01
4337,2025-07-04,7.0,7.0,7.0,7.0
4336,2025-07-03,7.26,7.26,6.8,7.2
4335,2025-07-02,7.26,7.27,7.26,7.27
4334,2025-07-01,7.2,7.2,6.8,6.8
4333,2025-06-30,7.25,7.25,7.23,7.23
4332,2025-06-27,7.25,7.25,7.25,7.25
4331,2025-06-26,7.27,7.27,7.0,7.25
4330,2025-06-25,7.7,7.7,7.2,7.27
4329,2025-06-24,7.59,7.79,7.05,7.7
4328,2025-06-23,7.7,7.7,7.55,7.57
4327,2025-06-20,8.0,8.0,7.61,7.7
4326,2025-06-19,8.0,8.0,7.6,7.94
4325,2025-06-18,8.12,8.12,7.8,7.8
4324,2025-06-17,8.05,8.14,7.61,8.12
4323,2025-06-16,7.5,7.61,7.5,7.61
4322,2025-06-13,7.12,7.12,7.1,7.12
4321,2025-06-12,7.39,7.39,6.61,6.66
4320,2025-06-11,7.45,7.45,6.5,6.98
4319,2025-06-10,6.53,6.98,6.53,6.98
4318,2025-06-09,7.0,7.0,6.52,6.53
4317,2025-06-06,7.29,7.29,7.0,7.0
4316,2025-06-05,7.4,7.4,7.29,7.3
4315,2025-06-04,7.29,7.5,7.29,7.4
4314,2025-06-03,7.5,7.5,7.29,7.49
4313,2025-06-02,7.65,7.74,7.25,7.5
4312,2025-05-30,7.81,7.81,7.26,7.74
4311,2025-05-29,7.32,7.83,6.81,7.8
4310,2025-05-28,6.85,7.32,6.8,7.32
4309,2025-05-27,6.46,6.9,6.46,6.85
4308,2025-05-26,6.48,6.5,6.48,6.5
4307,2025-05-23,6.5,6.5,6.4,6.5
4306,2025-05-22,6.35,6.6,6.35,6.5
4305,2025-05-21,6.5,6.52,6.5,6.5
4304,2025-05-20,6.5,6.5,6.5,6.5
4303,2025-05-19,6.5,6.5,6.5,6.5
4302,2025-05-16,6.35,6.5,6.35,6.5
4301,2025-05-15,6.5,6.51,6.5,6.5
4300,2025-05-14,6.54,6.54,6.54,6.54
4299,2025-05-13,6.65,6.65,6.4,6.53
4298,2025-05-12,6.65,6.67,6.5,6.5
4297,2025-05-09,6.6,6.68,6.6,6.65
4296,2025-05-08,6.51,6.51,6.51,6.51
4295,2025-05-07,6.5,6.51,6.5,6.51
4294,2025-05-06,6.7,6.7,6.5,6.5
4293,2025-05-05,6.8,6.8,6.48,6.5
4292,2025-04-29,6.83,6.83,6.79,6.8
4291,2025-04-28,6.6,6.6,6.3,6.39
4290,2025-04-25,6.46,6.9,6.46,6.7
4289,2025-04-24,6.45,6.45,6.45,6.45
4288,2025-04-23,6.44,6.5,6.44,6.45
