,Date,Open,High,Low,Close
1840,2025-10-17,4.2,4.2,4.2,4.2
1839,2025-10-16,4.2,4.2,4.2,4.2
1838,2025-10-15,4.2,4.3,4.2,4.3
1837,2025-10-10,4.4,4.4,4.4,4.4
1836,2025-10-09,4.2,4.2,4.2,4.2
1835,2025-10-03,4.3,4.3,4.3,4.3
1834,2025-10-01,4.2,4.2,4.2,4.2
1833,2025-09-30,4.2,4.3,4.2,4.3
1832,2025-09-29,4.2,4.2,4.2,4.2
1831,2025-09-25,4.2,4.2,4.2,4.2
1830,2025-09-23,4.1,4.1,4.1,4.1
1829,2025-09-19,4.3,4.3,4.3,4.3
1828,2025-09-16,4.2,4.2,4.1,4.1
1827,2025-09-15,4.1,4.2,4.1,4.2
1826,2025-09-12,4.3,4.3,4.3,4.3
1825,2025-09-10,4.1,4.1,4.1,4.1
1824,2025-09-09,4.2,4.2,4.1,4.1
1823,2025-08-27,4.2,4.2,4.2,4.2
1822,2025-08-25,4.2,4.2,4.2,4.2
1821,2025-08-22,4.2,4.2,4.2,4.2
1820,2025-08-21,4.2,4.2,4.1,4.1
1819,2025-08-20,4.2,4.2,4.2,4.2
1818,2025-08-19,4.2,4.2,4.1,4.1
1817,2025-08-15,4.1,4.1,4.1,4.1
1816,2025-08-14,4.1,4.3,4.1,4.1
1815,2025-08-12,4.2,4.2,4.2,4.2
1814,2025-08-08,4.1,4.1,4.1,4.1
1813,2025-08-07,4.1,4.3,4.1,4.3
1812,2025-08-04,4.3,4.3,4.3,4.3
1811,2025-07-30,4.9,5.5,4.2,4.5
1810,2025-07-29,4.9,4.9,4.9,4.9
1809,2025-07-28,4.3,4.3,4.3,4.3
1808,2025-07-25,4.3,4.3,4.3,4.3
1807,2025-07-24,4.1,4.6,4.1,4.6
1806,2025-07-23,4.1,4.1,4.1,4.1
1805,2025-07-15,4.3,4.3,4.3,4.3
1804,2025-07-08,4.1,4.3,4.1,4.3
1803,2025-07-07,4.1,4.1,4.1,4.1
1802,2025-07-04,4.0,4.0,4.0,4.0
1801,2025-07-03,4.1,4.1,4.1,4.1
1800,2025-06-30,4.0,4.0,4.0,4.0
1799,2025-06-27,4.2,4.3,4.2,4.2
1798,2025-06-23,4.1,4.1,4.1,4.1
1797,2025-06-19,4.0,4.0,4.0,4.0
1796,2025-06-16,4.1,4.1,4.1,4.1
1795,2025-06-13,4.1,4.1,4.1,4.1
1794,2025-06-12,3.9,3.9,3.9,3.9
1793,2025-06-10,4.2,4.2,4.2,4.2
1792,2025-06-06,4.2,4.2,4.2,4.2
1791,2025-06-05,4.0,4.0,4.0,4.0
1790,2025-06-04,3.9,4.0,3.9,4.0
1789,2025-06-02,4.0,4.0,3.9,3.9
1788,2025-05-30,4.0,4.0,4.0,4.0
1787,2025-05-28,4.1,4.5,4.1,4.2
1786,2025-05-27,4.1,4.1,4.0,4.0
1785,2025-05-22,3.9,4.0,3.9,4.0
1784,2025-05-21,3.9,3.9,3.9,3.9
1783,2025-05-20,4.1,4.1,3.8,4.0
1782,2025-05-19,3.8,3.8,3.6,3.6
1781,2025-05-16,4.1,4.1,4.0,4.1
1780,2025-05-15,4.0,4.1,3.8,4.1
1779,2025-05-14,4.4,4.4,4.4,4.4
1778,2025-05-13,4.4,4.4,4.1,4.3
1777,2025-05-12,4.0,4.0,4.0,4.0
1776,2025-05-08,4.3,4.7,4.3,4.7
1775,2025-05-07,5.0,5.0,5.0,5.0
1774,2025-05-06,4.4,4.4,4.4,4.4
1773,2025-05-05,4.3,4.3,4.1,4.3
1772,2025-04-29,4.1,4.3,4.1,4.3
1771,2025-04-23,4.4,4.4,4.3,4.3
1770,2025-04-22,4.0,4.3,4.0,4.3
1769,2025-04-21,4.2,4.2,4.2,4.2
1768,2025-04-18,4.1,4.1,4.1,4.1
1767,2025-04-17,4.0,4.1,3.9,4.0
1766,2025-04-15,4.3,4.3,4.0,4.0
1765,2025-04-14,4.6,4.6,4.1,4.1
1764,2025-04-11,4.0,4.0,4.0,4.0
1763,2025-04-10,4.1,4.1,4.0,4.0
1762,2025-04-09,3.6,3.8,3.5,3.5
1761,2025-04-08,4.0,4.0,4.0,4.0
1760,2025-04-04,4.0,4.0,4.0,4.0
1759,2025-04-03,4.0,4.0,3.9,3.9
1758,2025-03-26,4.3,4.3,4.1,4.1
1757,2025-03-24,4.6,4.6,4.5,4.5
1756,2025-03-21,4.0,4.0,4.0,4.0
1755,2025-03-20,4.0,4.3,4.0,4.0
1754,2025-03-19,4.2,4.2,4.0,4.0
1753,2025-03-18,4.3,4.3,4.1,4.2
1752,2025-03-14,4.3,4.3,4.3,4.3
1751,2025-03-12,4.2,4.4,4.2,4.3
1750,2025-03-07,4.2,4.2,4.2,4.2
1749,2025-03-06,4.2,4.2,4.1,4.1
1748,2025-03-05,4.1,4.2,4.1,4.2
1747,2025-03-04,4.7,4.7,4.0,4.5
1746,2025-03-03,4.7,4.7,4.7,4.7
1745,2025-02-28,4.5,5.0,4.5,4.7
1744,2025-02-25,4.9,4.9,4.9,4.9
1743,2025-02-20,4.5,4.5,4.5,4.5
1742,2025-02-19,4.4,4.4,4.4,4.4
1741,2025-02-18,4.4,4.4,4.3,4.3
1740,2025-02-12,4.2,4.2,4.2,4.2
1739,2025-02-11,4.2,4.2,4.2,4.2
1738,2025-02-07,4.1,4.1,4.1,4.1
1737,2025-02-06,4.1,4.1,4.1,4.1
1736,2025-02-04,4.1,4.1,4.1,4.1
1735,2025-02-03,4.2,4.2,4.0,4.1
1734,2025-01-24,4.2,4.2,4.2,4.2
1733,2025-01-22,4.2,4.2,4.2,4.2
1732,2025-01-21,4.7,4.7,4.7,4.7
1731,2025-01-20,4.2,4.2,4.2,4.2
1730,2025-01-17,4.4,4.4,4.3,4.3
1729,2025-01-16,4.8,4.8,4.8,4.8
1728,2025-01-14,4.2,4.2,4.2,4.2
1727,2025-01-13,4.2,4.2,4.2,4.2
1726,2025-01-10,4.3,4.3,4.3,4.3
1725,2025-01-09,4.3,4.3,4.3,4.3
1724,2025-01-08,4.5,4.5,4.5,4.5
1723,2025-01-06,4.3,4.3,4.3,4.3
1722,2025-01-02,4.3,5.1,4.3,5.1
1721,2024-12-30,4.5,4.5,4.5,4.5
1720,2024-12-27,5.1,5.1,5.1,5.1
1719,2024-12-26,4.5,4.5,4.5,4.5
1718,2024-12-24,4.6,4.6,4.4,4.4
1717,2024-12-23,4.6,4.6,4.6,4.6
1716,2024-12-20,4.7,4.7,4.5,4.6
1715,2024-12-18,4.7,4.7,4.7,4.7
1714,2024-12-11,4.2,4.7,4.2,4.7
1713,2024-12-06,4.2,4.3,4.2,4.3
1712,2024-11-26,4.2,4.2,4.2,4.2
1711,2024-11-25,4.3,4.3,4.3,4.3
1710,2024-11-20,4.4,4.4,4.1,4.1
1709,2024-11-11,4.5,4.5,4.2,4.2
1708,2024-11-08,4.4,4.4,4.4,4.4
1707,2024-11-07,4.3,4.4,4.3,4.4
1706,2024-11-04,4.1,4.1,4.1,4.1
1705,2024-11-01,4.2,4.2,4.1,4.1
1704,2024-10-30,4.0,4.5,4.0,4.5
1703,2024-10-29,4.2,4.2,4.2,4.2
1702,2024-10-28,4.1,4.1,4.1,4.1
1701,2024-10-25,4.0,4.5,4.0,4.3
1700,2024-10-21,4.0,4.4,4.0,4.4
1699,2024-10-17,4.5,4.5,4.5,4.5
1698,2024-10-16,4.2,4.2,4.2,4.2
1697,2024-10-15,3.8,4.6,3.8,4.6
1696,2024-10-11,4.2,4.2,4.2,4.2
1695,2024-10-10,4.2,4.2,4.2,4.2
1694,2024-10-09,4.3,4.3,4.3,4.3
1693,2024-10-08,4.3,4.3,4.3,4.3
1692,2024-10-04,4.3,4.5,4.3,4.5
1691,2024-10-03,4.3,4.3,4.3,4.3
1690,2024-10-02,4.3,4.4,4.3,4.4
1689,2024-10-01,4.5,4.5,4.4,4.4
1688,2024-09-30,4.8,4.8,4.4,4.4
1687,2024-09-27,4.4,4.4,4.4,4.4
1686,2024-09-17,4.9,4.9,4.9,4.9
