,Date,Open,High,Low,Close
4069,2025-10-17,34.6,34.6,34.6,34.6
4068,2025-10-15,34.1,34.6,34.1,34.6
4067,2025-10-14,34.8,34.8,34.0,34.0
4066,2025-10-13,34.0,34.0,34.0,34.0
4065,2025-10-10,34.1,35.7,34.0,35.7
4064,2025-10-09,34.1,34.1,34.1,34.1
4063,2025-10-08,34.1,34.1,34.1,34.1
4062,2025-10-07,35.0,35.0,35.0,35.0
4061,2025-10-06,34.9,35.1,34.9,35.0
4060,2025-10-03,34.5,34.9,34.2,34.9
4059,2025-09-30,34.2,35.2,34.2,35.2
4058,2025-09-29,34.9,35.2,34.9,35.2
4057,2025-09-26,34.0,35.0,34.0,34.8
4056,2025-09-25,34.0,34.8,34.0,34.8
4055,2025-09-24,33.6,34.8,33.6,34.8
4054,2025-09-23,34.8,34.8,34.8,34.8
4053,2025-09-17,33.4,34.8,33.4,34.8
4052,2025-09-16,34.8,34.9,34.8,34.9
4051,2025-09-15,34.5,34.8,33.1,34.8
4050,2025-09-12,33.5,34.0,33.5,34.0
4049,2025-09-11,33.0,33.0,33.0,33.0
4048,2025-09-10,33.0,33.0,33.0,33.0
4047,2025-09-09,33.0,33.0,33.0,33.0
4046,2025-09-05,33.5,34.0,33.5,33.5
4045,2025-09-04,33.3,33.3,33.3,33.3
4044,2025-09-03,32.9,33.3,32.6,33.3
4043,2025-08-27,33.1,33.1,33.1,33.1
4042,2025-08-22,33.1,33.1,33.1,33.1
4041,2025-08-21,33.4,34.3,33.4,34.3
4040,2025-08-20,33.1,33.1,33.1,33.1
4039,2025-08-19,33.0,33.0,33.0,33.0
4038,2025-08-15,33.0,33.0,33.0,33.0
4037,2025-08-13,33.0,33.5,33.0,33.0
4036,2025-08-12,33.0,33.1,33.0,33.1
4035,2025-08-11,32.9,33.3,32.9,33.0
4034,2025-08-08,33.0,33.0,33.0,33.0
4033,2025-08-07,33.4,33.4,32.8,33.4
4032,2025-08-06,33.0,33.1,32.5,33.1
4031,2025-08-05,32.3,32.3,32.3,32.3
4030,2025-08-04,32.5,33.6,32.5,33.6
4029,2025-07-31,32.4,32.4,30.0,32.4
4028,2025-07-30,32.6,32.6,32.6,32.6
4027,2025-07-29,32.5,32.5,32.5,32.5
4026,2025-07-28,33.0,33.3,32.5,33.3
4025,2025-07-25,32.4,32.5,32.3,32.5
4024,2025-07-24,32.4,32.5,32.4,32.5
4023,2025-07-23,32.4,32.4,32.4,32.4
4022,2025-07-22,32.6,32.6,32.4,32.4
4021,2025-07-21,32.7,32.7,32.7,32.7
4020,2025-07-18,32.6,33.0,32.6,32.9
4019,2025-07-16,33.1,33.1,33.0,33.0
4018,2025-07-15,33.0,33.0,33.0,33.0
4017,2025-07-14,33.1,33.1,33.0,33.0
4016,2025-07-11,32.7,33.1,32.7,33.1
4015,2025-07-09,32.5,32.5,32.5,32.5
4014,2025-07-08,32.4,32.5,32.4,32.5
4013,2025-07-07,32.4,32.4,32.4,32.4
4012,2025-07-04,32.6,33.0,30.6,32.3
4011,2025-07-03,33.5,33.5,33.5,33.5
4010,2025-07-02,32.6,32.7,32.6,32.7
4009,2025-07-01,33.5,33.5,32.6,32.6
4008,2025-06-30,33.7,35.4,32.6,32.6
4007,2025-06-27,32.6,32.6,32.6,32.6
4006,2025-06-26,32.6,32.6,32.6,32.6
4005,2025-06-25,32.7,32.7,32.6,32.6
4004,2025-06-24,32.4,32.7,32.4,32.7
4003,2025-06-23,32.8,32.8,32.7,32.7
4002,2025-06-19,33.9,33.9,33.9,33.9
4001,2025-06-18,33.0,35.7,32.7,32.7
4000,2025-06-17,32.6,32.7,32.6,32.7
3999,2025-06-16,32.6,32.6,32.6,32.6
3998,2025-06-13,32.6,32.6,32.6,32.6
3997,2025-06-12,32.8,33.0,32.6,32.6
3996,2025-06-11,32.9,32.9,32.9,32.9
3995,2025-06-10,33.0,33.0,32.8,32.8
3994,2025-06-09,33.0,33.1,33.0,33.0
3993,2025-06-06,33.0,33.0,32.8,33.0
3992,2025-06-05,32.7,33.0,32.6,33.0
3991,2025-06-04,32.7,32.7,32.6,32.7
3990,2025-06-03,32.7,32.7,32.7,32.7
3989,2025-06-02,32.8,32.8,32.5,32.7
3988,2025-05-30,37.3,37.3,32.6,33.7
3987,2025-05-29,35.6,35.69,35.42,35.6
3986,2025-05-28,35.42,35.69,35.32,35.69
3985,2025-05-27,35.51,35.69,35.42,35.42
3984,2025-05-26,35.51,35.69,35.05,35.51
3983,2025-05-23,34.68,35.42,34.68,35.42
3982,2025-05-22,34.49,35.05,34.31,34.68
3981,2025-05-21,35.05,35.05,34.31,34.49
3980,2025-05-20,35.05,35.05,35.05,35.05
3979,2025-05-19,33.66,35.05,32.74,35.05
3978,2025-05-16,33.3,33.3,33.3,33.3
3977,2025-05-15,33.48,33.48,33.2,33.3
3976,2025-05-14,33.2,33.2,33.2,33.2
3975,2025-05-13,33.2,33.2,32.1,33.2
3974,2025-05-12,33.2,33.2,33.2,33.2
3973,2025-05-09,33.2,33.2,33.2,33.2
3972,2025-05-08,33.2,33.2,33.2,33.2
3971,2025-05-07,34.13,34.13,33.2,33.2
3970,2025-05-06,32.28,36.06,32.28,34.77
3969,2025-05-05,33.57,33.57,33.57,33.57
3968,2025-04-29,29.88,33.57,29.88,33.57
3967,2025-04-28,30.9,30.9,30.9,30.9
3966,2025-04-25,33.94,33.94,33.94,33.94
3965,2025-04-24,33.2,33.94,33.2,33.94
3964,2025-04-23,32.37,33.2,32.37,33.2
3963,2025-04-22,31.91,31.91,31.91,31.91
3962,2025-04-21,31.91,31.91,31.91,31.91
3961,2025-04-18,31.91,31.91,31.91,31.91
3960,2025-04-17,31.91,31.91,31.91,31.91
3959,2025-04-16,31.91,31.91,31.91,31.91
3958,2025-04-15,31.91,31.91,31.91,31.91
3957,2025-04-14,29.05,31.91,29.05,31.91
3956,2025-04-11,31.82,31.82,31.82,31.82
3955,2025-04-10,31.82,31.82,31.82,31.82
3954,2025-04-09,32.28,32.28,31.82,31.82
3953,2025-04-08,32.28,32.28,29.51,29.51
3952,2025-04-04,31.82,32.28,31.82,32.28
3951,2025-04-03,32.28,32.28,31.73,31.91
3950,2025-04-02,33.39,33.39,33.39,33.39
3949,2025-04-01,33.39,33.39,33.39,33.39
3948,2025-03-31,33.66,33.66,33.39,33.39
3947,2025-03-28,33.94,33.94,33.57,33.57
3946,2025-03-27,33.48,33.48,33.48,33.48
3945,2025-03-26,33.39,33.39,33.39,33.39
3944,2025-03-25,33.2,33.2,33.2,33.2
3943,2025-03-24,33.2,33.66,33.2,33.2
3942,2025-03-21,33.66,33.66,32.74,32.74
3941,2025-03-20,32.56,32.56,32.56,32.56
3940,2025-03-19,33.85,34.03,32.65,32.65
3939,2025-03-18,33.66,33.66,33.66,33.66
3938,2025-03-17,33.2,33.66,33.2,33.57
3937,2025-03-14,33.2,33.2,33.2,33.2
3936,2025-03-13,33.11,33.11,33.11,33.11
3935,2025-03-12,33.11,33.11,33.11,33.11
3934,2025-03-11,33.2,33.94,33.2,33.94
3933,2025-03-10,33.2,33.2,33.2,33.2
3932,2025-03-07,33.2,33.2,33.2,33.2
3931,2025-03-06,33.2,34.13,33.2,34.13
3930,2025-03-05,33.66,33.66,32.1,32.19
3929,2025-03-04,33.66,33.76,30.71,30.71
3928,2025-03-03,33.48,33.48,33.48,33.48
3927,2025-02-28,33.48,33.48,33.48,33.48
3926,2025-02-27,33.2,33.66,33.2,33.66
3925,2025-02-26,33.57,33.57,33.11,33.11
3924,2025-02-25,33.57,33.57,33.57,33.57
3923,2025-02-24,33.57,33.57,33.57,33.57
3922,2025-02-21,33.66,33.66,33.57,33.57
3921,2025-02-20,32.37,32.37,32.37,32.37
3920,2025-02-19,33.02,33.02,32.83,32.83
3919,2025-02-18,32.83,32.83,32.83,32.83
3918,2025-02-17,32.46,32.46,32.46,32.46
3917,2025-02-14,32.28,32.37,32.19,32.28
3916,2025-02-13,33.2,33.2,32.74,32.74
3915,2025-02-12,32.56,32.74,32.56,32.74
3914,2025-02-11,32.46,32.46,32.46,32.46
3913,2025-02-10,33.66,34.13,32.37,32.37
3912,2025-02-07,32.1,34.13,32.1,34.13
3911,2025-02-06,31.36,32.1,31.36,31.36
3910,2025-02-05,31.36,31.36,31.36,31.36
3909,2025-02-04,31.36,31.36,31.36,31.36
3908,2025-02-03,30.8,31.27,30.8,31.27
3907,2025-01-24,30.9,30.9,30.71,30.71
3906,2025-01-23,30.62,30.62,30.62,30.62
3905,2025-01-22,30.62,30.62,30.62,30.62
3904,2025-01-21,30.53,30.53,30.53,30.53
3903,2025-01-20,32.74,32.74,32.74,32.74
3902,2025-01-17,32.74,32.74,32.74,32.74
3901,2025-01-16,30.44,30.53,30.44,30.44
3900,2025-01-15,30.44,30.44,30.44,30.44
3899,2025-01-14,29.97,30.44,29.97,30.44
3898,2025-01-13,29.51,29.51,29.51,29.51
3897,2025-01-10,29.51,29.51,29.51,29.51
3896,2025-01-09,29.51,29.51,29.51,29.51
3895,2025-01-08,29.51,29.51,29.51,29.51
3894,2025-01-07,29.05,29.88,29.05,29.88
3893,2025-01-06,29.42,29.42,29.42,29.42
3892,2025-01-03,29.42,29.42,29.42,29.42
3891,2025-01-02,29.42,29.42,29.42,29.42
3890,2024-12-31,29.42,29.42,29.42,29.42
3889,2024-12-30,29.14,29.14,29.05,29.05
3888,2024-12-27,29.24,29.24,29.24,29.24
3887,2024-12-26,29.24,29.24,29.14,29.14
3886,2024-12-25,29.14,29.14,29.14,29.14
3885,2024-12-24,29.14,29.14,29.14,29.14
3884,2024-12-23,29.14,29.14,29.14,29.14
3883,2024-12-20,28.5,28.5,28.5,28.5
3882,2024-12-19,32.74,32.74,29.51,31.45
3881,2024-12-18,30.44,30.44,30.44,30.44
3880,2024-12-17,30.44,30.44,30.44,30.44
3879,2024-12-16,30.71,30.71,30.71,30.71
3878,2024-12-13,30.71,30.71,30.71,30.71
3877,2024-12-12,29.24,29.24,29.24,29.24
3876,2024-12-11,29.24,29.24,29.24,29.24
3875,2024-12-10,29.14,29.24,29.14,29.24
3874,2024-12-09,29.14,29.14,29.05,29.05
3873,2024-12-06,30.71,30.71,30.71,30.71
3872,2024-12-05,30.71,30.71,30.71,30.71
3871,2024-12-04,29.14,29.14,29.14,29.14
3870,2024-12-03,29.14,29.14,29.14,29.14
3869,2024-12-02,28.96,29.05,28.96,29.05
3868,2024-11-29,29.05,29.05,29.05,29.05
3867,2024-11-28,29.05,29.05,29.05,29.05
3866,2024-11-27,29.05,29.05,29.05,29.05
3865,2024-11-26,29.05,29.05,29.05,29.05
3864,2024-11-25,30.44,30.44,30.44,30.44
3863,2024-11-22,27.76,27.76,27.76,27.76
3862,2024-11-21,30.8,30.8,30.8,30.8
3861,2024-11-20,27.95,30.8,27.95,30.8
3860,2024-11-19,30.9,30.9,30.9,30.9
3859,2024-11-18,30.9,30.9,30.9,30.9
3858,2024-11-15,28.59,28.78,28.59,28.78
3857,2024-11-14,28.78,28.78,28.78,28.78
3856,2024-11-13,28.78,28.78,28.78,28.78
3855,2024-11-12,28.78,28.78,28.78,28.78
3854,2024-11-11,28.87,28.87,28.78,28.78
3853,2024-11-08,26.29,26.29,26.29,26.29
3852,2024-11-07,29.05,29.05,29.05,29.05
3851,2024-11-06,29.05,29.05,29.05,29.05
3850,2024-11-05,29.05,29.05,29.05,29.05
3849,2024-11-04,29.05,29.05,29.05,29.05
3848,2024-11-01,29.05,29.05,29.05,29.05
3847,2024-10-31,29.7,29.7,29.7,29.7
3846,2024-10-30,29.51,29.79,29.51,29.79
3845,2024-10-29,29.51,29.51,29.51,29.51
3844,2024-10-28,29.51,29.51,29.51,29.51
3843,2024-10-25,29.33,29.51,29.14,29.51
3842,2024-10-24,29.51,29.51,29.51,29.51
3841,2024-10-23,29.51,29.97,29.51,29.51
3840,2024-10-22,29.61,29.61,29.51,29.51
3839,2024-10-21,31.63,31.63,31.63,31.63
3838,2024-10-18,31.63,31.63,31.63,31.63
3837,2024-10-17,31.63,31.63,31.63,31.63
3836,2024-10-16,31.63,31.63,31.63,31.63
3835,2024-10-15,31.63,31.63,31.63,31.63
3834,2024-10-14,31.63,31.63,31.63,31.63
3833,2024-10-11,29.61,31.63,29.61,31.63
3832,2024-10-10,29.61,29.61,29.61,29.61
3831,2024-10-09,29.61,29.61,29.61,29.61
3830,2024-10-08,29.61,29.61,29.61,29.61
3829,2024-10-07,29.61,29.61,29.61,29.61
3828,2024-10-04,29.7,29.7,29.61,29.61
3827,2024-10-03,29.51,29.97,29.51,29.97
3826,2024-10-02,29.97,29.97,29.97,29.97
3825,2024-10-01,29.97,29.97,29.97,29.97
3824,2024-09-30,29.42,29.97,28.87,29.97
3823,2024-09-27,29.33,29.33,29.33,29.33
3822,2024-09-26,29.97,30.25,29.97,30.25
3821,2024-09-25,29.97,30.07,29.97,29.97
3820,2024-09-24,29.97,29.97,29.97,29.97
3819,2024-09-23,30.44,30.44,30.44,30.44
3818,2024-09-20,30.44,30.44,29.61,30.44
