,Date,Open,High,Low,Close
2220,2025-10-17,15.4,15.4,15.4,15.4
2219,2025-10-15,15.7,15.7,15.5,15.5
2218,2025-10-14,15.7,15.7,15.7,15.7
2217,2025-10-13,15.8,15.8,15.8,15.8
2216,2025-10-10,15.8,15.8,15.8,15.8
2215,2025-10-09,15.8,15.8,15.8,15.8
2214,2025-10-08,15.8,15.8,15.7,15.8
2213,2025-10-07,15.7,15.7,15.5,15.6
2212,2025-10-06,15.7,15.7,15.7,15.7
2211,2025-10-03,15.7,15.8,15.7,15.8
2210,2025-10-02,15.5,15.8,15.5,15.8
2209,2025-10-01,15.7,15.7,15.7,15.7
2208,2025-09-30,15.8,15.8,15.6,15.7
2207,2025-09-29,17.3,17.3,15.1,15.8
2206,2025-09-26,15.57,15.57,15.39,15.57
2205,2025-09-25,15.57,15.57,15.48,15.57
2204,2025-09-24,15.65,15.65,15.65,15.65
2203,2025-09-23,15.48,15.65,15.48,15.48
2202,2025-09-22,15.39,15.65,15.3,15.3
2201,2025-09-19,15.39,15.57,15.39,15.57
2200,2025-09-18,15.48,15.57,15.22,15.39
2199,2025-09-17,15.83,15.83,15.39,15.65
2198,2025-09-16,15.3,15.48,15.3,15.48
2197,2025-09-15,15.22,15.3,15.22,15.3
2196,2025-09-12,14.87,15.22,14.87,15.22
2195,2025-09-11,14.87,14.87,14.87,14.87
2194,2025-09-10,14.78,15.22,14.78,15.22
2193,2025-09-09,14.78,15.13,14.78,14.78
2192,2025-09-08,14.78,14.78,14.78,14.78
2191,2025-09-05,14.78,14.96,14.78,14.87
2190,2025-09-04,14.7,14.78,14.7,14.78
2189,2025-09-03,14.7,14.7,14.61,14.61
2188,2025-08-29,14.78,14.78,14.61,14.78
2187,2025-08-28,14.87,14.87,14.78,14.78
2186,2025-08-27,15.22,15.22,15.22,15.22
2185,2025-08-26,14.78,15.48,14.78,15.48
2184,2025-08-25,15.13,15.13,14.78,14.78
2183,2025-08-22,15.04,15.04,15.04,15.04
2182,2025-08-21,15.3,15.3,14.96,15.04
2181,2025-08-20,15.3,15.65,15.13,15.13
2180,2025-08-19,15.3,15.57,15.22,15.22
2179,2025-08-18,15.39,15.39,15.22,15.22
2178,2025-08-15,15.39,15.39,15.3,15.39
2177,2025-08-14,15.65,15.65,15.39,15.39
2176,2025-08-13,15.83,15.83,15.65,15.65
2175,2025-08-12,15.74,15.74,15.39,15.57
2174,2025-08-11,15.74,15.74,15.65,15.65
2173,2025-08-08,15.74,15.74,15.65,15.74
2172,2025-08-07,15.57,15.57,15.48,15.48
2171,2025-08-06,15.74,15.74,15.65,15.65
2170,2025-08-05,15.91,15.91,15.65,15.65
2169,2025-08-04,16.0,16.0,15.91,15.91
2168,2025-08-01,16.0,16.0,15.83,16.0
2167,2025-07-31,15.91,15.91,15.83,15.91
2166,2025-07-30,15.74,16.0,15.65,15.91
2165,2025-07-29,16.09,16.09,15.83,16.0
2164,2025-07-28,15.91,16.09,15.91,16.09
2163,2025-07-25,16.09,16.09,15.74,16.0
2162,2025-07-24,15.91,16.44,15.91,16.44
2161,2025-07-23,16.09,16.26,15.83,15.91
2160,2025-07-22,16.09,16.09,16.09,16.09
2159,2025-07-21,16.17,16.17,16.09,16.09
2158,2025-07-18,16.26,16.52,16.09,16.52
2157,2025-07-17,16.35,16.52,16.35,16.35
2156,2025-07-16,16.09,16.52,16.0,16.52
2155,2025-07-15,16.52,16.61,16.52,16.52
2154,2025-07-14,16.52,16.52,16.52,16.52
2153,2025-07-11,16.52,16.52,16.52,16.52
2152,2025-07-10,16.17,16.61,16.17,16.52
2151,2025-07-09,16.44,16.52,16.17,16.17
2150,2025-07-08,16.09,16.35,16.09,16.35
2149,2025-07-07,16.17,16.17,16.17,16.17
2148,2025-07-04,16.09,16.52,16.09,16.52
2147,2025-07-03,16.09,16.09,16.09,16.09
2146,2025-07-02,16.17,16.17,16.17,16.17
2145,2025-07-01,16.17,16.17,16.17,16.17
2144,2025-06-30,16.52,16.52,15.65,16.17
2143,2025-06-27,16.87,16.87,16.87,16.87
2142,2025-06-26,16.87,16.87,16.87,16.87
2141,2025-06-25,16.96,16.96,16.52,16.78
2140,2025-06-24,17.39,17.39,17.39,17.39
2139,2025-06-23,17.39,17.39,17.39,17.39
2138,2025-06-20,16.7,16.7,16.52,16.52
2137,2025-06-19,16.44,16.52,16.44,16.44
2136,2025-06-18,17.65,17.65,16.17,16.17
2135,2025-06-17,17.57,18.17,17.39,17.39
2134,2025-06-16,16.7,18.26,16.7,18.26
2133,2025-06-13,15.83,16.7,15.83,16.7
2132,2025-06-12,15.65,15.74,15.65,15.74
2131,2025-06-11,15.48,15.65,15.04,15.65
2130,2025-06-10,15.74,15.74,15.22,15.22
2129,2025-06-09,15.22,15.83,15.22,15.83
2128,2025-06-06,15.83,15.83,15.83,15.83
2127,2025-06-05,15.83,16.09,15.65,16.09
2126,2025-06-04,15.74,15.91,15.74,15.74
2125,2025-06-03,15.74,16.0,15.65,15.65
2124,2025-06-02,14.96,16.09,14.96,16.09
2123,2025-05-30,15.3,15.48,15.22,15.22
2122,2025-05-29,15.22,15.22,15.22,15.22
2121,2025-05-28,15.22,15.22,15.22,15.22
2120,2025-05-27,15.22,15.39,15.22,15.22
2119,2025-05-26,14.78,15.22,14.78,15.22
2118,2025-05-23,14.78,14.78,14.61,14.61
2117,2025-05-22,15.22,15.22,14.78,14.78
2116,2025-05-21,15.3,15.3,15.04,15.04
2115,2025-05-20,15.48,15.48,15.48,15.48
2114,2025-05-19,15.74,15.74,15.13,15.13
2113,2025-05-16,15.74,15.74,15.74,15.74
2112,2025-05-15,15.83,15.83,15.65,15.65
2111,2025-05-14,15.74,15.74,15.74,15.74
2110,2025-05-13,15.65,15.74,15.65,15.74
2109,2025-05-12,15.48,15.65,15.48,15.65
2108,2025-05-09,15.39,15.39,15.39,15.39
2107,2025-05-08,15.48,15.48,14.78,14.78
2106,2025-05-07,15.39,15.39,15.39,15.39
2105,2025-05-06,14.87,15.74,14.87,15.74
2104,2025-05-05,14.87,14.87,14.87,14.87
2103,2025-04-29,15.22,15.22,14.52,14.78
2102,2025-04-28,15.22,15.22,15.22,15.22
2101,2025-04-25,14.7,15.22,14.7,15.13
2100,2025-04-24,14.52,14.52,14.52,14.52
2099,2025-04-23,14.44,14.44,14.35,14.44
2098,2025-04-22,14.35,14.78,14.35,14.78
2097,2025-04-21,15.83,15.83,15.13,15.13
2096,2025-04-18,15.13,15.57,15.13,15.57
2095,2025-04-17,15.65,15.65,15.04,15.57
2094,2025-04-16,15.57,15.65,15.22,15.65
2093,2025-04-15,15.83,15.91,15.22,15.65
2092,2025-04-14,15.65,16.61,15.65,15.83
2091,2025-04-11,16.52,16.52,15.65,16.09
2090,2025-04-10,16.26,16.26,16.26,16.26
2089,2025-04-09,14.35,14.52,13.13,13.91
2088,2025-04-08,16.35,16.35,14.09,14.09
2087,2025-04-04,16.26,17.22,16.17,16.78
2086,2025-04-03,18.44,19.13,16.26,16.26
2085,2025-04-02,19.13,19.39,19.04,19.31
2084,2025-04-01,19.48,20.0,19.31,19.31
2083,2025-03-31,20.0,20.17,19.31,19.57
2082,2025-03-28,20.26,20.26,20.26,20.26
2081,2025-03-27,19.65,20.87,19.65,20.87
2080,2025-03-26,20.52,20.52,20.0,20.0
2079,2025-03-25,20.61,20.61,20.09,20.44
2078,2025-03-24,20.87,20.87,20.87,20.87
2077,2025-03-21,20.87,20.87,20.87,20.87
2076,2025-03-20,20.96,20.96,20.87,20.87
2075,2025-03-19,20.96,22.87,20.87,22.87
2074,2025-03-18,21.31,21.91,20.87,21.74
2073,2025-03-17,21.57,21.57,21.31,21.31
2072,2025-03-14,21.91,22.44,21.31,22.35
2071,2025-03-13,22.44,22.44,21.74,22.26
2070,2025-03-12,22.26,23.13,22.26,22.44
2069,2025-03-11,22.61,22.78,22.26,22.7
2068,2025-03-10,22.26,23.31,22.26,22.96
2067,2025-03-07,23.39,23.39,22.35,22.35
2066,2025-03-06,22.61,23.22,22.61,22.61
2065,2025-03-05,23.48,23.57,22.78,22.78
2064,2025-03-04,25.31,25.31,24.17,24.35
2063,2025-03-03,23.48,24.7,23.39,24.61
2062,2025-02-28,23.04,23.74,22.78,23.48
2061,2025-02-27,22.61,23.39,22.0,23.04
2060,2025-02-26,21.91,22.35,21.91,22.35
2059,2025-02-25,21.74,22.0,21.57,22.0
2058,2025-02-24,21.83,21.83,21.74,21.74
2057,2025-02-21,20.96,22.52,20.96,21.83
2056,2025-02-20,21.48,21.91,21.48,21.74
2055,2025-02-19,22.35,22.35,21.39,21.39
2054,2025-02-18,22.35,22.35,20.96,21.65
2053,2025-02-17,21.91,23.39,21.65,22.44
2052,2025-02-14,21.91,22.61,21.48,22.44
2051,2025-02-13,22.61,22.61,21.31,21.65
2050,2025-02-12,21.39,23.74,21.39,22.52
2049,2025-02-11,20.52,21.22,20.44,20.61
2048,2025-02-10,22.61,22.61,20.44,20.7
2047,2025-02-07,22.17,23.04,21.39,21.74
2046,2025-02-06,20.0,22.09,20.0,22.09
2045,2025-02-05,18.35,19.74,18.35,19.65
2044,2025-02-04,19.13,19.13,18.44,18.61
2043,2025-02-03,18.78,18.78,17.57,18.26
2042,2025-01-24,18.26,19.39,18.26,18.78
2041,2025-01-23,18.35,18.87,17.91,18.44
2040,2025-01-22,17.39,17.57,17.39,17.57
2039,2025-01-21,17.39,17.39,17.39,17.39
2038,2025-01-20,17.48,17.48,17.39,17.39
2037,2025-01-17,17.83,17.83,17.83,17.83
2036,2025-01-16,17.83,17.83,17.83,17.83
2035,2025-01-15,17.83,17.83,17.83,17.83
2034,2025-01-14,16.44,18.44,16.44,18.44
2033,2025-01-13,16.96,17.57,16.78,16.78
2032,2025-01-10,17.91,17.91,16.96,16.96
2031,2025-01-09,16.78,16.78,16.78,16.78
2030,2025-01-08,16.96,17.04,16.96,17.04
2029,2025-01-07,16.96,16.96,16.96,16.96
2028,2025-01-06,16.96,16.96,16.87,16.87
2027,2025-01-03,16.78,16.87,16.78,16.87
2026,2025-01-02,16.78,16.78,16.78,16.78
2025,2024-12-31,16.7,16.78,16.7,16.78
2024,2024-12-30,16.78,16.78,16.7,16.7
2023,2024-12-27,16.61,18.17,16.17,18.17
2022,2024-12-26,16.52,16.7,16.52,16.7
2021,2024-12-25,17.48,17.48,17.48,17.48
