,Date,Open,High,Low,Close,Volume
3756,2025-10-24,7.8,7.8,7.8,7.8,2500
3755,2025-10-15,7.9,7.9,7.9,7.9,1200
3754,2025-10-13,7.9,7.9,7.9,7.9,500
3753,2025-10-09,7.7,7.7,7.7,7.7,100
3752,2025-10-07,7.9,7.9,7.9,7.9,6
3751,2025-10-06,7.9,7.9,7.9,7.9,151
3750,2025-10-03,7.9,7.9,7.9,7.9,0
3749,2025-10-02,7.9,7.9,7.9,7.9,0
3748,2025-10-01,7.9,7.9,7.9,7.9,0
3747,2025-09-30,7.9,7.9,7.9,7.9,100
3746,2025-09-29,7.9,7.9,7.9,7.9,100
3745,2025-09-26,7.7,7.7,7.7,7.7,2
3744,2025-09-25,7.7,7.7,7.7,7.7,1860
3743,2025-09-24,7.41,7.7,7.41,7.7,20000
3742,2025-09-23,7.79,7.79,7.79,7.79,403
3741,2025-09-22,7.6,7.79,7.6,7.79,1106
3740,2025-09-19,7.6,7.6,7.6,7.6,2500
3739,2025-09-18,7.51,7.79,7.51,7.7,10000
3738,2025-09-17,7.99,7.99,7.99,7.99,17
3737,2025-09-16,7.99,7.99,7.99,7.99,0
3736,2025-09-15,7.7,8.08,7.7,7.89,501
3735,2025-09-12,7.22,7.7,7.22,7.7,900
3734,2025-09-11,7.79,7.79,7.79,7.79,0
3733,2025-09-10,7.79,7.79,7.79,7.79,300
3732,2025-09-09,7.7,7.7,7.7,7.7,300
3731,2025-09-08,7.41,7.41,7.41,7.41,500
3730,2025-09-05,7.6,7.6,7.31,7.41,5600
3729,2025-09-04,7.41,7.7,7.41,7.7,2600
3728,2025-09-03,7.99,7.99,7.99,7.99,1
3727,2025-08-29,7.99,7.99,7.99,7.99,0
3726,2025-08-28,7.99,7.99,7.99,7.99,41
3725,2025-08-27,7.99,7.99,7.99,7.99,0
3724,2025-08-26,7.99,7.99,7.99,7.99,10
3723,2025-08-25,7.99,7.99,7.99,7.99,20
3722,2025-08-22,7.99,7.99,7.99,7.99,141
3721,2025-08-21,7.99,7.99,7.99,7.99,100
3720,2025-08-20,7.89,7.89,7.89,7.89,500
3719,2025-08-19,7.89,7.89,7.89,7.89,1309
