,Date,Open,High,Low,Close
1177,2025-03-11,1.77,1.89,1.77,1.77
1176,2025-03-10,1.9,2.04,1.9,1.9
1175,2025-03-07,2.04,2.04,2.04,2.04
1174,2025-03-06,2.19,2.19,2.19,2.19
1173,2025-03-05,2.45,2.45,2.35,2.35
1172,2025-03-04,2.7,2.7,2.52,2.52
1171,2025-03-03,2.74,2.74,2.68,2.7
1170,2025-02-28,2.72,2.78,2.7,2.73
1169,2025-02-27,2.73,2.77,2.7,2.72
1168,2025-02-26,2.73,2.8,2.73,2.73
1167,2025-02-25,2.73,2.79,2.72,2.73
1166,2025-02-24,2.75,2.77,2.71,2.73
1165,2025-02-21,2.76,2.8,2.72,2.75
1164,2025-02-20,2.78,2.8,2.72,2.76
1163,2025-02-19,2.75,2.83,2.75,2.78
1162,2025-02-18,2.77,2.81,2.72,2.75
1161,2025-02-17,2.8,2.83,2.76,2.76
1160,2025-02-14,2.85,2.85,2.8,2.82
1159,2025-02-13,2.85,2.89,2.8,2.8
1158,2025-02-12,2.83,2.89,2.82,2.89
1157,2025-02-11,2.8,2.87,2.8,2.83
1156,2025-02-10,2.96,2.96,2.8,2.8
1155,2025-02-07,2.89,3.07,2.89,2.96
1154,2025-02-06,2.89,3.0,2.89,2.95
1153,2025-02-05,2.89,2.99,2.88,2.89
1152,2025-02-04,2.95,2.95,2.77,2.88
1151,2025-02-03,2.78,2.8,2.73,2.77
1150,2025-01-24,2.87,2.92,2.66,2.7
1149,2025-01-23,2.85,2.94,2.85,2.86
1148,2025-01-22,2.9,2.97,2.85,2.85
1147,2025-01-21,2.91,3.05,2.9,2.9
1146,2025-01-20,3.08,3.11,2.99,2.99
1145,2025-01-17,3.05,3.15,3.05,3.08
1144,2025-01-16,3.05,3.15,3.05,3.05
1143,2025-01-15,3.05,3.1,3.05,3.05
1142,2025-01-14,3.12,3.19,3.04,3.05
1141,2025-01-13,3.19,3.2,3.05,3.12
1140,2025-01-10,3.14,3.2,3.0,3.19
1139,2025-01-09,3.27,3.31,3.07,3.14
1138,2025-01-08,3.13,3.34,3.13,3.28
1137,2025-01-07,2.93,3.13,2.85,3.13
1136,2025-01-06,3.11,3.11,2.9,2.93
1135,2025-01-03,3.13,3.19,3.11,3.11
1134,2025-01-02,3.22,3.3,3.13,3.13
1133,2024-12-31,3.23,3.3,3.1,3.22
1132,2024-12-30,3.29,3.35,3.2,3.25
1131,2024-12-27,3.46,3.5,3.22,3.27
1130,2024-12-26,3.47,3.55,3.42,3.46
1129,2024-12-25,3.49,3.59,3.4,3.49
1128,2024-12-24,3.43,3.5,3.4,3.48
1127,2024-12-23,3.41,3.55,3.4,3.43
1126,2024-12-20,3.58,3.59,3.4,3.41
1125,2024-12-19,3.6,3.62,3.57,3.58
1124,2024-12-18,3.58,3.67,3.53,3.66
1123,2024-12-17,3.58,3.67,3.55,3.58
1122,2024-12-16,3.75,3.76,3.57,3.58
1121,2024-12-13,3.8,3.9,3.6,3.75
1120,2024-12-12,4.06,4.06,3.8,3.84
1119,2024-12-11,3.55,3.8,3.55,3.8
1118,2024-12-10,3.57,3.59,3.55,3.56
1117,2024-12-09,3.59,3.59,3.52,3.56
1116,2024-12-06,3.6,3.65,3.52,3.53
1115,2024-12-05,3.48,3.57,3.48,3.52
1114,2024-12-04,3.5,3.54,3.47,3.48
1113,2024-12-03,3.5,3.55,3.48,3.5
1112,2024-12-02,3.55,3.63,3.5,3.5
1111,2024-11-29,3.5,3.63,3.5,3.59
1110,2024-11-28,3.5,3.63,3.5,3.58
1109,2024-11-27,3.48,3.6,3.4,3.49
1108,2024-11-26,3.47,3.58,3.36,3.48
1107,2024-11-25,3.48,3.62,3.46,3.47
1106,2024-11-22,3.36,3.58,3.25,3.45
1105,2024-11-21,3.58,3.7,3.36,3.36
1104,2024-11-20,3.51,3.7,3.51,3.58
1103,2024-11-19,3.66,3.77,3.51,3.51
1102,2024-11-18,3.84,4.0,3.65,3.66
1101,2024-11-15,3.85,4.09,3.84,3.84
1100,2024-11-14,3.6,3.85,3.5,3.85
1099,2024-11-13,3.49,3.75,3.49,3.6
1098,2024-11-12,4.03,4.03,3.75,3.75
1097,2024-11-11,4.25,4.25,3.99,4.03
1096,2024-11-08,4.6,4.7,4.25,4.25
1095,2024-11-07,4.3,4.6,4.3,4.54
1094,2024-11-06,4.12,4.32,4.11,4.3
1093,2024-11-05,3.99,4.25,3.99,4.12
1092,2024-11-04,3.68,4.05,3.68,3.99
1091,2024-11-01,3.6,3.85,3.45,3.85
1090,2024-10-31,3.37,3.6,3.2,3.6
1089,2024-10-30,3.46,3.46,3.24,3.37
1088,2024-10-29,3.03,3.24,2.85,3.24
1087,2024-10-28,3.24,3.24,3.01,3.03
1086,2024-10-25,3.38,3.38,3.21,3.23
1085,2024-10-24,3.62,3.62,3.38,3.38
1084,2024-10-23,3.72,3.72,3.53,3.62
1083,2024-10-22,3.6,3.8,3.6,3.72
1082,2024-10-21,3.9,3.9,3.68,3.73
1081,2024-10-18,4.0,4.0,3.8,3.9
1080,2024-10-17,4.0,4.13,3.94,4.03
1079,2024-10-16,3.91,4.1,3.91,4.03
1078,2024-10-15,3.9,4.03,3.9,3.91
1077,2024-10-14,4.14,4.15,4.02,4.03
1076,2024-10-11,4.18,4.19,4.06,4.13
1075,2024-10-10,4.38,4.38,4.14,4.18
1074,2024-10-09,4.25,4.25,4.16,4.2
1073,2024-10-08,4.31,4.44,4.14,4.15
1072,2024-10-07,4.5,4.7,4.45,4.45
1071,2024-10-04,5.08,5.08,4.7,4.78
1070,2024-10-03,5.14,5.14,4.95,5.0
1069,2024-10-02,4.52,4.81,4.52,4.81
1068,2024-10-01,4.48,4.6,4.48,4.5
1067,2024-09-30,4.55,4.6,4.47,4.5
1066,2024-09-27,4.57,4.6,4.47,4.54
1065,2024-09-26,4.55,4.64,4.52,4.56
1064,2024-09-25,4.45,4.68,4.45,4.53
1063,2024-09-24,4.65,4.69,4.41,4.45
1062,2024-09-23,4.83,4.84,4.68,4.68
1061,2024-09-20,4.83,4.95,4.81,4.82
1060,2024-09-19,4.82,4.83,4.8,4.81
1059,2024-09-18,4.9,4.92,4.8,4.81
1058,2024-09-17,4.87,4.89,4.7,4.74
1057,2024-09-16,4.9,5.0,4.87,4.87
1056,2024-09-13,5.0,5.01,4.93,4.94
1055,2024-09-12,5.06,5.06,4.96,4.96
1054,2024-09-11,5.07,5.13,4.98,4.99
1053,2024-09-10,5.15,5.22,5.06,5.06
1052,2024-09-09,5.17,5.23,5.11,5.12
1051,2024-09-06,5.23,5.3,5.15,5.16
1050,2024-09-05,5.15,5.31,5.15,5.21
1049,2024-09-04,5.14,5.28,5.14,5.2
1048,2024-08-30,5.3,5.33,5.27,5.28
1047,2024-08-29,5.32,5.32,5.25,5.28
1046,2024-08-28,5.32,5.36,5.27,5.29
1045,2024-08-27,5.45,5.45,5.3,5.3
1044,2024-08-26,5.42,5.42,5.37,5.4
1043,2024-08-23,5.37,5.49,5.35,5.37
1042,2024-08-22,5.42,5.42,5.31,5.36
1041,2024-08-21,5.42,5.5,5.4,5.44
1040,2024-08-20,5.44,5.6,5.44,5.47
1039,2024-08-19,5.5,5.59,5.38,5.44
1038,2024-08-16,5.1,5.35,5.1,5.28
1037,2024-08-15,5.21,5.25,5.1,5.1
1036,2024-08-14,5.39,5.39,5.2,5.21
1035,2024-08-13,5.4,5.4,5.29,5.32
1034,2024-08-12,5.14,5.44,5.14,5.32
1033,2024-08-09,5.2,5.24,5.14,5.18
1032,2024-08-08,5.16,5.25,5.1,5.13
1031,2024-08-07,5.12,5.19,5.07,5.11
1030,2024-08-06,5.03,5.16,5.03,5.12
1029,2024-08-05,5.03,5.17,4.9,5.01
1028,2024-08-02,5.3,5.3,5.06,5.1
1027,2024-08-01,5.1,5.27,5.07,5.09
1026,2024-07-31,5.28,5.37,5.2,5.22
1025,2024-07-30,5.82,5.82,5.42,5.42
1024,2024-07-29,5.66,5.79,5.66,5.72
1023,2024-07-26,5.35,5.69,5.16,5.65
1022,2024-07-25,5.53,5.65,5.42,5.43
1021,2024-07-24,5.75,5.8,5.59,5.65
1020,2024-07-23,6.08,6.2,5.8,5.8
1019,2024-07-22,6.15,6.3,6.0,6.1
1018,2024-07-19,6.2,6.25,6.1,6.18
1017,2024-07-18,6.07,6.3,6.06,6.2
1016,2024-07-17,6.49,6.49,6.03,6.06
1015,2024-07-16,6.65,6.65,6.48,6.48
1014,2024-07-15,6.65,6.7,6.41,6.63
1013,2024-07-12,6.35,6.4,6.3,6.3
1012,2024-07-11,6.49,6.49,6.32,6.33
1011,2024-07-10,6.6,6.6,6.35,6.35
1010,2024-07-09,6.53,6.56,6.4,6.5
1009,2024-07-08,6.19,6.6,6.19,6.48
1008,2024-07-05,6.3,6.3,6.15,6.2
1007,2024-07-04,6.25,6.42,6.25,6.3
1006,2024-07-03,6.5,6.5,6.32,6.34
1005,2024-07-02,6.32,6.41,6.32,6.36
1004,2024-07-01,6.4,6.41,6.18,6.32
1003,2024-06-28,6.9,6.9,6.18,6.18
1002,2024-06-27,6.74,6.75,6.52,6.62
1001,2024-06-26,6.08,6.38,6.07,6.38
1000,2024-06-25,5.9,6.05,5.88,5.97
999,2024-06-24,6.05,6.1,5.88,5.92
998,2024-06-21,6.09,6.09,5.96,6.05
997,2024-06-20,6.14,6.2,5.96,6.09
996,2024-06-19,6.2,6.22,6.09,6.13
995,2024-06-18,5.95,6.2,5.95,6.14
994,2024-06-17,5.84,6.04,5.84,5.92
993,2024-06-14,6.1,6.24,6.01,6.04
992,2024-06-13,6.23,6.23,5.98,6.1
991,2024-06-12,6.6,6.6,6.14,6.16
990,2024-06-11,6.62,6.77,6.57,6.6
989,2024-06-10,6.8,6.95,6.56,6.6
988,2024-06-07,6.98,6.98,6.79,6.8
987,2024-06-06,6.84,6.97,6.8,6.95
986,2024-06-05,6.81,7.13,6.75,6.8
985,2024-06-04,7.27,7.27,6.9,6.96
984,2024-06-03,7.3,7.5,7.0,7.2
983,2024-05-31,6.67,7.4,6.67,7.19
982,2024-05-30,7.17,7.39,7.17,7.17
981,2024-05-29,7.8,8.0,7.7,7.7
980,2024-05-28,7.7,7.7,7.41,7.66
979,2024-05-27,6.75,7.21,6.75,7.21
978,2024-05-24,6.9,6.95,6.42,6.74
977,2024-05-23,6.62,6.9,6.46,6.9
976,2024-05-22,6.59,6.9,6.59,6.62
975,2024-05-21,6.19,6.58,6.19,6.58
974,2024-05-20,6.0,6.32,5.96,6.18
973,2024-05-17,5.79,6.02,5.71,5.92
972,2024-05-16,5.65,5.88,5.65,5.76
971,2024-05-15,5.78,5.89,5.64,5.7
970,2024-05-14,5.94,5.96,5.65,5.78
969,2024-05-13,6.07,6.07,5.62,5.94
968,2024-05-10,5.68,5.68,5.68,5.68
967,2024-05-09,5.29,5.31,5.1,5.31
966,2024-05-08,4.71,4.97,4.65,4.97
965,2024-05-07,4.7,4.7,4.59,4.65
964,2024-05-06,4.65,4.73,4.6,4.67
963,2024-05-03,4.59,4.69,4.4,4.6
962,2024-05-02,4.53,4.7,4.53,4.53
961,2024-04-26,4.55,4.69,4.51,4.53
960,2024-04-25,4.39,4.69,4.3,4.66
959,2024-04-24,4.49,4.55,4.15,4.39
958,2024-04-23,4.34,4.5,4.34,4.34
957,2024-04-22,5.36,5.36,4.66,4.66
956,2024-04-19,5.01,5.01,4.75,5.01
955,2024-04-17,4.09,4.69,4.09,4.69
954,2024-04-16,4.39,4.39,4.39,4.39
953,2024-04-15,4.72,4.72,4.72,4.72
952,2024-04-12,5.07,5.07,5.07,5.07
951,2024-04-11,5.45,5.45,5.45,5.45
950,2024-04-10,6.39,6.39,5.85,5.85
949,2024-04-09,6.14,6.39,6.14,6.29
948,2024-04-08,6.6,6.7,6.6,6.6
