,Date,Open,High,Low,Close
1483,2025-10-17,3.7,3.8,3.7,3.8
1482,2025-10-16,3.7,3.8,3.7,3.7
1481,2025-10-15,3.8,3.8,3.8,3.8
1480,2025-10-14,3.8,3.9,3.8,3.8
1479,2025-10-13,3.8,3.9,3.8,3.9
1478,2025-10-10,3.8,4.0,3.8,3.9
1477,2025-10-09,3.7,3.7,3.7,3.7
1476,2025-10-08,3.9,3.9,3.7,3.9
1475,2025-10-07,3.8,4.0,3.8,3.8
1474,2025-10-06,4.0,4.0,4.0,4.0
1473,2025-10-03,3.8,3.8,3.8,3.8
1472,2025-10-01,3.7,3.9,3.7,3.9
1471,2025-09-30,3.9,3.9,3.9,3.9
1470,2025-09-29,3.9,3.9,3.9,3.9
1469,2025-09-26,3.9,3.9,3.9,3.9
1468,2025-09-25,3.9,4.0,3.9,3.9
1467,2025-09-24,3.9,3.9,3.8,3.8
1466,2025-09-23,3.9,3.9,3.8,3.8
1465,2025-09-22,3.8,3.9,3.8,3.9
1464,2025-09-19,3.8,3.9,3.8,3.8
1463,2025-09-18,3.9,3.9,3.8,3.9
1462,2025-09-17,3.8,3.9,3.8,3.9
1461,2025-09-16,3.9,4.0,3.9,3.9
1460,2025-09-15,3.9,4.0,3.9,3.9
1459,2025-09-12,3.9,4.0,3.9,3.9
1458,2025-09-11,3.9,3.9,3.9,3.9
1457,2025-09-10,4.0,4.0,3.9,3.9
1456,2025-09-09,3.8,4.0,3.8,4.0
1455,2025-09-08,3.9,3.9,3.9,3.9
1454,2025-09-05,4.0,4.0,3.9,4.0
1453,2025-09-04,3.9,4.0,3.9,4.0
1452,2025-09-03,4.0,4.0,3.9,4.0
1451,2025-08-29,4.0,4.1,4.0,4.1
1450,2025-08-28,4.0,4.0,3.9,4.0
1449,2025-08-27,4.0,4.0,3.9,3.9
1448,2025-08-26,3.9,4.0,3.9,4.0
1447,2025-08-25,3.9,4.0,3.9,3.9
1446,2025-08-22,4.0,4.0,3.8,3.9
1445,2025-08-21,4.0,4.1,4.0,4.1
1444,2025-08-20,4.1,4.2,4.0,4.1
1443,2025-08-19,4.1,4.2,4.1,4.1
1442,2025-08-18,4.1,4.1,4.0,4.1
1441,2025-08-15,4.1,4.2,4.0,4.1
1440,2025-08-14,4.1,4.2,4.1,4.2
1439,2025-08-13,4.1,4.2,4.1,4.2
1438,2025-08-12,4.2,4.2,4.1,4.1
1437,2025-08-11,4.1,4.3,4.1,4.1
1436,2025-08-08,4.1,4.2,4.1,4.1
1435,2025-08-07,4.3,4.4,4.0,4.0
1434,2025-08-06,4.1,4.3,4.1,4.3
1433,2025-08-05,4.2,4.3,4.2,4.2
1432,2025-08-04,4.4,4.4,4.2,4.4
1431,2025-08-01,4.4,4.6,4.4,4.4
1430,2025-07-31,4.2,4.6,4.2,4.4
1429,2025-07-30,4.2,4.2,4.0,4.1
1428,2025-07-29,4.1,4.2,4.1,4.1
1427,2025-07-28,4.1,4.2,4.0,4.2
1426,2025-07-25,4.1,4.1,4.0,4.1
1425,2025-07-24,4.2,4.2,4.0,4.1
1424,2025-07-23,4.1,4.2,4.1,4.2
1423,2025-07-22,4.1,4.2,4.1,4.2
1422,2025-07-21,4.2,4.2,4.1,4.2
1421,2025-07-18,4.1,4.3,4.1,4.2
1420,2025-07-17,4.3,4.3,4.1,4.1
1419,2025-07-16,4.1,4.3,4.1,4.2
1418,2025-07-15,4.1,4.1,4.1,4.1
1417,2025-07-14,4.2,4.2,4.1,4.1
1416,2025-07-11,4.1,4.2,4.1,4.1
1415,2025-07-10,4.0,4.2,4.0,4.2
1414,2025-07-09,3.9,4.1,3.9,4.0
1413,2025-07-08,3.9,3.9,3.8,3.9
1412,2025-07-07,3.9,4.0,3.9,3.9
1411,2025-07-04,3.9,4.0,3.8,3.9
1410,2025-07-03,3.9,4.0,3.8,3.9
1409,2025-07-02,3.9,4.0,3.8,3.9
1408,2025-07-01,3.9,4.0,3.8,3.9
1407,2025-06-30,4.0,4.0,3.9,3.9
1406,2025-06-27,3.9,4.0,3.9,3.9
1405,2025-06-26,3.9,4.0,3.9,3.9
1404,2025-06-25,4.1,4.1,3.8,4.0
1403,2025-06-24,4.4,4.4,4.0,4.2
1402,2025-06-23,4.0,4.4,4.0,4.4
1401,2025-06-20,4.0,4.0,3.9,4.0
1400,2025-06-19,4.0,4.2,4.0,4.2
1399,2025-06-18,4.2,4.4,4.2,4.2
1398,2025-06-17,4.4,4.7,3.9,4.0
1397,2025-06-16,4.0,4.3,4.0,4.3
1396,2025-06-13,3.7,4.2,3.7,4.0
1395,2025-06-12,3.7,3.7,3.7,3.7
1394,2025-06-11,3.7,3.7,3.7,3.7
1393,2025-06-10,3.6,3.7,3.6,3.7
1392,2025-06-09,3.6,3.6,3.6,3.6
1391,2025-06-06,3.6,3.6,3.6,3.6
1390,2025-06-05,3.6,3.7,3.6,3.6
1389,2025-06-04,3.7,3.7,3.6,3.7
1388,2025-06-03,3.6,3.7,3.6,3.7
1387,2025-06-02,3.7,3.7,3.2,3.6
1386,2025-05-30,3.6,3.7,3.6,3.7
1385,2025-05-29,3.7,3.7,3.6,3.6
1384,2025-05-28,3.7,3.8,3.7,3.7
1383,2025-05-27,3.6,3.6,3.6,3.6
1382,2025-05-26,3.7,3.7,3.6,3.6
1381,2025-05-23,3.6,3.6,3.6,3.6
1380,2025-05-22,3.6,3.7,3.6,3.6
1379,2025-05-21,3.7,3.7,3.6,3.7
1378,2025-05-20,3.6,3.7,3.6,3.7
1377,2025-05-19,3.6,3.8,3.6,3.6
1376,2025-05-16,3.8,3.9,3.6,3.6
1375,2025-05-15,3.8,3.8,3.8,3.8
1374,2025-05-14,3.8,4.0,3.7,3.7
1373,2025-05-13,4.0,4.0,3.7,3.7
1372,2025-05-12,4.0,4.1,3.7,3.7
1371,2025-05-09,4.2,4.2,4.0,4.0
1370,2025-05-08,3.8,4.2,3.8,4.2
1369,2025-05-07,3.7,3.7,3.7,3.7
1368,2025-05-06,3.7,3.7,3.7,3.7
1367,2025-05-05,3.7,3.7,3.7,3.7
1366,2025-04-29,3.7,3.7,3.7,3.7
1365,2025-04-28,3.7,3.7,3.7,3.7
1364,2025-04-25,3.8,3.8,3.8,3.8
1363,2025-04-24,3.7,3.7,3.7,3.7
1362,2025-04-23,3.7,3.7,3.7,3.7
1361,2025-04-22,3.7,3.8,3.7,3.7
1360,2025-04-21,3.8,3.8,3.7,3.7
1359,2025-04-18,3.7,3.8,3.7,3.8
1358,2025-04-17,3.8,3.8,3.7,3.7
1357,2025-04-16,3.6,3.7,3.6,3.7
1356,2025-04-15,3.6,3.7,3.6,3.6
1355,2025-04-14,3.8,3.8,3.7,3.8
1354,2025-04-11,3.5,3.8,3.5,3.8
1353,2025-04-10,3.5,3.5,3.5,3.5
1352,2025-04-09,3.1,3.3,3.1,3.3
1351,2025-04-08,3.4,3.4,3.1,3.1
1350,2025-04-04,3.4,3.8,3.3,3.8
1349,2025-04-03,3.9,3.9,3.6,3.7
1348,2025-04-02,4.0,4.1,3.9,4.0
1347,2025-04-01,3.9,4.1,3.9,4.0
1346,2025-03-31,4.0,4.0,4.0,4.0
1345,2025-03-28,4.1,4.1,4.0,4.0
1344,2025-03-27,4.0,4.0,4.0,4.0
1343,2025-03-26,4.1,4.1,4.1,4.1
1342,2025-03-25,4.1,4.1,4.0,4.0
1341,2025-03-24,4.0,4.1,3.9,4.1
1340,2025-03-21,4.0,4.1,4.0,4.0
1339,2025-03-20,4.1,4.1,4.0,4.0
1338,2025-03-19,4.2,4.2,4.0,4.0
1337,2025-03-18,3.9,4.2,3.9,4.1
1336,2025-03-17,4.0,4.0,3.9,4.0
1335,2025-03-14,4.0,4.1,4.0,4.1
1334,2025-03-13,4.0,4.0,3.9,4.0
1333,2025-03-12,3.9,4.0,3.9,4.0
1332,2025-03-11,4.2,4.2,4.0,4.0
1331,2025-03-10,4.1,4.2,4.0,4.0
1330,2025-03-07,4.1,4.2,4.0,4.2
1329,2025-03-06,4.2,4.2,4.1,4.1
1328,2025-03-05,4.1,4.2,4.1,4.2
1327,2025-03-04,4.1,4.1,4.1,4.1
1326,2025-03-03,4.1,4.2,4.1,4.1
1325,2025-02-28,4.2,4.3,4.1,4.2
1324,2025-02-27,4.3,4.3,4.2,4.2
1323,2025-02-26,4.2,4.3,4.1,4.2
1322,2025-02-25,4.1,4.2,4.1,4.2
1321,2025-02-24,4.2,4.2,4.1,4.2
1320,2025-02-21,4.3,4.3,4.2,4.2
1319,2025-02-20,4.3,4.4,4.2,4.3
1318,2025-02-19,4.2,4.3,4.2,4.3
1317,2025-02-18,4.1,4.3,4.1,4.2
1316,2025-02-17,4.2,4.2,4.1,4.2
1315,2025-02-14,4.1,4.2,4.1,4.2
1314,2025-02-13,4.1,4.3,4.1,4.2
1313,2025-02-12,4.1,4.1,4.1,4.1
1312,2025-02-11,4.1,4.1,4.1,4.1
1311,2025-02-10,4.0,4.2,4.0,4.1
1310,2025-02-07,4.1,4.1,4.1,4.1
1309,2025-02-06,4.0,4.0,4.0,4.0
1308,2025-02-05,4.0,4.0,4.0,4.0
1307,2025-02-04,4.0,4.1,4.0,4.1
1306,2025-01-24,4.0,4.0,4.0,4.0
1305,2025-01-23,4.0,4.0,4.0,4.0
1304,2025-01-22,4.0,4.0,4.0,4.0
1303,2025-01-21,4.0,4.0,4.0,4.0
1302,2025-01-20,4.0,4.0,4.0,4.0
1301,2025-01-17,4.0,4.1,4.0,4.1
1300,2025-01-16,4.0,4.0,4.0,4.0
1299,2025-01-15,4.4,4.4,4.0,4.0
1298,2025-01-14,4.0,4.0,4.0,4.0
1297,2025-01-13,4.0,4.2,4.0,4.2
1296,2025-01-10,4.0,4.0,4.0,4.0
1295,2025-01-09,4.0,4.0,4.0,4.0
1294,2025-01-08,4.0,4.0,4.0,4.0
1293,2025-01-07,4.0,4.0,4.0,4.0
1292,2025-01-06,4.0,4.0,4.0,4.0
1291,2025-01-03,4.0,4.1,4.0,4.1
1290,2025-01-02,4.0,4.0,4.0,4.0
1289,2024-12-31,4.0,4.0,4.0,4.0
1288,2024-12-30,4.1,4.1,4.1,4.1
1287,2024-12-27,4.0,4.1,4.0,4.1
1286,2024-12-26,4.0,4.0,4.0,4.0
1285,2024-12-25,4.0,4.1,4.0,4.0
1284,2024-12-24,4.0,4.1,4.0,4.1
1283,2024-12-23,4.0,4.0,4.0,4.0
1282,2024-12-20,4.2,4.2,4.1,4.2
1281,2024-12-19,4.0,4.0,4.0,4.0
1280,2024-12-18,4.0,4.0,4.0,4.0
1279,2024-12-17,4.0,4.0,4.0,4.0
1278,2024-12-13,4.1,4.1,4.0,4.0
1277,2024-12-12,4.0,4.0,4.0,4.0
1276,2024-12-11,4.0,4.0,3.9,4.0
1275,2024-12-10,4.1,4.1,4.0,4.0
1274,2024-12-09,4.1,4.1,4.1,4.1
1273,2024-12-06,3.9,4.0,3.9,4.0
1272,2024-12-05,4.0,4.0,3.9,3.9
1271,2024-12-04,4.0,4.0,4.0,4.0
1270,2024-12-03,4.1,4.1,4.0,4.0
1269,2024-12-02,4.1,4.1,4.1,4.1
1268,2024-11-29,4.0,4.1,4.0,4.1
1267,2024-11-28,4.0,4.1,4.0,4.1
1266,2024-11-27,4.1,4.1,4.0,4.0
1265,2024-11-26,4.2,4.2,4.2,4.2
1264,2024-11-25,4.1,4.1,4.0,4.1
1263,2024-11-22,4.0,4.1,4.0,4.0
1262,2024-11-21,4.1,4.1,4.0,4.0
1261,2024-11-20,4.1,4.1,4.1,4.1
1260,2024-11-19,4.1,4.1,4.1,4.1
1259,2024-11-18,4.0,4.1,4.0,4.1
1258,2024-11-15,4.1,4.1,4.0,4.0
1257,2024-11-14,4.1,4.1,3.9,4.1
1256,2024-11-13,4.1,4.1,4.1,4.1
1255,2024-11-12,4.1,4.1,4.1,4.1
1254,2024-11-11,4.2,4.2,4.0,4.2
1253,2024-11-08,4.2,4.3,4.2,4.2
1252,2024-11-07,4.3,4.3,4.2,4.3
1251,2024-11-06,4.2,4.3,4.1,4.3
1250,2024-11-05,4.3,4.5,4.2,4.2
1249,2024-11-04,4.0,4.4,4.0,4.3
1248,2024-11-01,4.2,4.2,4.0,4.2
1247,2024-10-31,4.1,4.2,4.1,4.2
1246,2024-10-30,4.2,4.2,4.1,4.2
1245,2024-10-29,4.2,4.3,4.1,4.3
1244,2024-10-28,4.2,4.2,4.1,4.2
1243,2024-10-25,4.2,4.4,4.2,4.3
1242,2024-10-24,4.4,4.4,4.2,4.4
1241,2024-10-23,4.2,4.4,4.1,4.4
1240,2024-10-22,4.3,4.4,4.2,4.4
1239,2024-10-21,4.4,4.4,4.2,4.3
1238,2024-10-18,4.3,4.4,4.2,4.3
1237,2024-10-17,4.7,4.7,4.2,4.3
1236,2024-10-16,4.7,4.9,4.5,4.7
1235,2024-10-15,4.6,4.7,4.6,4.7
1234,2024-10-14,4.4,4.6,3.8,4.6
1233,2024-10-11,4.3,4.5,4.3,4.4
1232,2024-10-10,4.5,4.6,4.4,4.4
1231,2024-10-09,4.8,4.9,4.4,4.5
1230,2024-10-08,5.5,5.5,4.7,4.8
1229,2024-10-07,4.5,4.8,4.5,4.8
1228,2024-10-04,4.5,4.5,4.1,4.4
1227,2024-10-03,4.4,4.5,4.4,4.5
1226,2024-10-02,4.5,4.5,4.4,4.4
1225,2024-10-01,4.5,4.5,4.4,4.4
