,Date,Open,High,Low,Close
4510,2025-10-17,31.2,31.2,30.4,30.4
4509,2025-10-16,30.5,31.4,30.3,31.1
4508,2025-10-15,31.5,31.6,30.4,30.5
4507,2025-10-14,31.9,32.5,31.2,31.4
4506,2025-10-13,32.8,32.8,31.8,31.9
4505,2025-10-10,33.3,33.6,32.8,32.8
4504,2025-10-09,32.6,33.5,32.1,33.4
4503,2025-10-08,32.9,33.0,32.1,32.4
4502,2025-10-07,32.5,32.9,32.0,32.0
4501,2025-10-06,31.5,32.5,31.5,32.3
4500,2025-10-03,32.5,32.6,31.4,31.5
4499,2025-10-02,32.9,33.1,32.3,32.5
4498,2025-10-01,32.8,33.1,32.7,32.8
4497,2025-09-30,33.7,33.9,32.5,32.8
4496,2025-09-29,33.7,34.3,33.7,33.7
4495,2025-09-26,34.6,34.6,33.9,33.9
4494,2025-09-25,34.2,34.7,34.2,34.4
4493,2025-09-24,34.0,34.4,33.6,34.0
4492,2025-09-23,33.8,34.3,33.8,33.8
4491,2025-09-22,34.6,34.8,33.6,33.8
4490,2025-09-19,34.7,35.1,34.5,34.5
4489,2025-09-18,35.4,35.6,34.6,34.7
4488,2025-09-17,35.6,36.2,35.2,35.4
4487,2025-09-16,35.8,36.1,35.0,35.1
4486,2025-09-15,35.4,36.0,35.1,35.4
4485,2025-09-12,34.4,35.8,34.2,35.4
4484,2025-09-11,34.6,34.9,33.9,34.2
4483,2025-09-10,34.2,34.8,34.0,34.3
4482,2025-09-09,33.7,34.1,33.6,33.8
4481,2025-09-08,35.2,35.5,33.7,33.7
4480,2025-09-05,35.1,36.1,34.8,35.1
4479,2025-09-04,35.5,35.5,34.9,35.1
4478,2025-09-03,34.1,35.3,34.1,35.1
4477,2025-08-29,34.0,34.3,33.8,33.9
4476,2025-08-28,34.3,34.6,33.8,34.0
4475,2025-08-27,33.7,34.8,33.5,34.4
4474,2025-08-26,33.0,33.8,32.7,33.7
4473,2025-08-25,34.3,34.7,32.9,33.0
4472,2025-08-22,35.0,35.9,33.9,34.2
4471,2025-08-21,35.5,35.8,34.8,35.0
4470,2025-08-20,37.1,37.4,34.5,35.3
4469,2025-08-19,37.2,38.2,36.8,37.0
4468,2025-08-18,37.0,38.2,36.8,37.2
4467,2025-08-15,37.5,38.5,36.5,36.9
4466,2025-08-14,36.7,37.5,36.3,37.5
4465,2025-08-13,37.9,38.1,36.4,36.7
4464,2025-08-12,38.5,39.0,37.0,37.9
4463,2025-08-11,38.0,38.6,37.0,37.4
4462,2025-08-08,34.6,38.0,34.6,37.7
4461,2025-08-07,34.6,35.2,34.3,34.6
4460,2025-08-06,33.5,35.2,33.1,34.6
4459,2025-08-05,34.1,34.6,33.0,33.5
4458,2025-08-04,34.8,34.8,33.8,34.1
4457,2025-08-01,34.3,35.1,34.3,34.5
4456,2025-07-31,35.3,36.3,34.2,34.3
4455,2025-07-30,34.4,35.2,34.2,35.1
4454,2025-07-29,34.2,35.8,34.2,34.2
4453,2025-07-28,34.3,34.7,34.0,34.2
4452,2025-07-25,34.7,35.3,34.3,34.3
4451,2025-07-24,34.1,35.0,33.9,34.6
4450,2025-07-23,33.5,34.1,33.2,33.8
4449,2025-07-22,33.5,33.7,33.1,33.4
4448,2025-07-21,34.2,34.7,33.4,33.4
4447,2025-07-18,33.5,34.5,33.4,34.2
4446,2025-07-17,33.1,34.0,33.0,33.4
4445,2025-07-16,33.1,33.2,32.9,33.0
4444,2025-07-15,33.3,33.9,33.1,33.1
4443,2025-07-14,33.2,33.6,33.0,33.3
4442,2025-07-11,33.7,33.7,33.0,33.1
4441,2025-07-10,32.9,33.8,32.6,33.6
4440,2025-07-09,32.6,33.3,32.6,32.8
4439,2025-07-08,32.2,32.8,32.2,32.6
4438,2025-07-07,32.4,32.5,32.0,32.1
4437,2025-07-04,32.1,32.5,32.0,32.2
4436,2025-07-03,32.3,32.8,31.9,32.1
4435,2025-07-02,32.1,32.3,31.8,32.2
4434,2025-07-01,31.7,33.0,29.8,32.1
4433,2025-06-30,32.1,32.9,31.5,32.9
