,Date,Open,High,Low,Close
3405,2025-10-17,0.7,0.8,0.7,0.8
3404,2025-10-10,0.7,0.8,0.7,0.8
3403,2025-10-03,0.8,0.8,0.7,0.8
3402,2025-09-26,0.8,0.8,0.8,0.8
3401,2025-09-19,0.7,0.8,0.7,0.8
3400,2025-09-12,0.8,0.9,0.7,0.9
3399,2025-09-05,0.7,0.8,0.7,0.8
3398,2025-08-29,0.9,0.9,0.7,0.8
3397,2025-08-22,0.9,0.9,0.8,0.8
3396,2025-08-15,0.8,0.9,0.7,0.8
3395,2025-08-08,0.8,0.9,0.7,0.8
3394,2025-08-01,0.8,0.9,0.8,0.8
3393,2025-07-25,0.8,0.9,0.8,0.9
3392,2025-07-18,0.8,0.8,0.8,0.8
3391,2025-07-11,0.7,0.7,0.7,0.7
3390,2025-07-04,0.6,0.7,0.6,0.7
3389,2025-06-27,0.6,0.7,0.6,0.6
3388,2025-06-20,0.7,0.7,0.6,0.7
3387,2025-06-13,0.7,0.8,0.7,0.8
3386,2025-06-06,0.9,0.9,0.7,0.7
3385,2025-05-30,0.9,0.9,0.7,0.8
3384,2025-05-23,0.9,0.9,0.8,0.9
3383,2025-05-16,0.9,1.0,0.9,0.9
3382,2025-05-09,1.0,1.1,1.0,1.0
3381,2025-04-25,1.1,1.1,1.1,1.1
3380,2025-04-18,1.1,1.1,1.0,1.1
3379,2025-04-11,0.9,1.0,0.9,1.0
3378,2025-04-04,0.9,0.9,0.9,0.9
3377,2025-03-28,1.0,1.0,1.0,1.0
3376,2025-03-21,1.2,1.2,1.0,1.0
3375,2025-03-14,1.1,1.2,1.1,1.1
3374,2025-03-07,1.3,1.3,1.1,1.2
3373,2025-02-28,1.2,1.2,1.1,1.2
3372,2025-02-21,1.0,1.1,1.0,1.1
3371,2025-02-14,1.0,1.0,0.9,1.0
3370,2025-02-07,0.9,0.9,0.8,0.9
3369,2025-01-24,1.0,1.0,0.8,1.0
3368,2025-01-17,0.9,0.9,0.9,0.9
3367,2025-01-10,1.0,1.0,1.0,1.0
3366,2025-01-03,1.1,1.1,1.1,1.1
3365,2024-12-27,1.2,1.2,1.2,1.2
3364,2024-12-06,1.3,1.3,1.3,1.3
3363,2024-11-22,1.0,1.2,1.0,1.2
3362,2024-11-15,1.1,1.1,1.1,1.1
3361,2024-11-01,1.1,1.2,1.1,1.2
3360,2024-10-25,1.1,1.1,1.1,1.1
3359,2024-10-11,1.0,1.2,1.0,1.2
3358,2024-10-04,1.1,1.1,1.1,1.1
3357,2024-09-27,1.2,1.2,1.2,1.2
3356,2024-09-20,1.1,1.1,1.1,1.1
3355,2024-09-13,1.2,1.2,1.2,1.2
3354,2024-09-06,1.4,1.4,1.2,1.2
3353,2024-08-30,1.2,1.3,1.2,1.3
3352,2024-08-23,1.2,1.2,1.2,1.2
3351,2024-08-16,1.0,1.2,1.0,1.2
3350,2024-08-09,1.2,1.2,1.0,1.1
3349,2024-08-02,1.1,1.1,1.0,1.1
3348,2024-07-26,1.1,1.1,1.1,1.1
3347,2024-07-25,1.2,1.2,1.2,1.2
3346,2024-07-24,1.2,1.2,1.2,1.2
3345,2024-07-23,1.2,1.2,1.2,1.2
3344,2024-07-22,1.2,1.2,1.2,1.2
3343,2024-07-19,1.2,1.2,1.2,1.2
3342,2024-07-18,1.2,1.2,1.2,1.2
3341,2024-07-17,1.2,1.2,1.2,1.2
3340,2024-07-16,1.2,1.2,1.2,1.2
3339,2024-07-15,1.2,1.2,1.2,1.2
3338,2024-07-12,1.2,1.2,1.0,1.2
3337,2024-07-11,1.1,1.1,1.1,1.1
3336,2024-07-10,1.1,1.1,1.1,1.1
3335,2024-07-09,1.1,1.1,1.1,1.1
3334,2024-07-08,1.1,1.1,1.1,1.1
3333,2024-07-05,1.2,1.2,1.1,1.1
3332,2024-07-04,1.2,1.2,1.2,1.2
3331,2024-07-03,1.2,1.2,1.2,1.2
3330,2024-07-02,1.2,1.2,1.2,1.2
3329,2024-07-01,1.2,1.2,1.2,1.2
3328,2024-06-28,1.2,1.2,1.2,1.2
3327,2024-06-27,1.2,1.2,1.2,1.2
3326,2024-06-26,1.2,1.2,1.2,1.2
3325,2024-06-25,1.2,1.2,1.2,1.2
3324,2024-06-24,1.2,1.2,1.2,1.2
3323,2024-06-21,1.1,1.2,1.1,1.2
3322,2024-06-20,1.2,1.2,1.2,1.2
3321,2024-06-19,1.2,1.2,1.2,1.2
3320,2024-06-18,1.2,1.2,1.2,1.2
3319,2024-06-17,1.2,1.2,1.2,1.2
3318,2024-06-14,1.2,1.3,1.1,1.3
3317,2024-06-13,1.2,1.2,1.2,1.2
3316,2024-06-12,1.2,1.2,1.2,1.2
3315,2024-06-11,1.2,1.2,1.2,1.2
3314,2024-06-10,1.2,1.2,1.2,1.2
3313,2024-06-07,1.3,1.3,1.1,1.2
3312,2024-06-06,1.2,1.2,1.2,1.2
3311,2024-06-05,1.2,1.2,1.2,1.2
3310,2024-06-04,1.2,1.2,1.2,1.2
3309,2024-06-03,1.2,1.2,1.2,1.2
3308,2024-05-31,1.2,1.2,1.2,1.2
3307,2024-05-30,1.1,1.1,1.1,1.1
3306,2024-05-29,1.1,1.1,1.1,1.1
3305,2024-05-28,1.1,1.1,1.1,1.1
3304,2024-05-27,1.1,1.1,1.1,1.1
3303,2024-05-24,1.1,1.1,1.1,1.1
3302,2024-05-23,1.0,1.0,1.0,1.0
3301,2024-05-22,1.0,1.0,1.0,1.0
3300,2024-05-21,1.0,1.0,1.0,1.0
3299,2024-05-20,1.0,1.0,1.0,1.0
3298,2024-05-17,1.0,1.0,1.0,1.0
3297,2024-05-16,0.9,0.9,0.9,0.9
3296,2024-05-15,0.9,0.9,0.9,0.9
3295,2024-05-14,0.9,0.9,0.9,0.9
3294,2024-05-13,0.9,0.9,0.9,0.9
3293,2024-05-10,0.9,0.9,0.9,0.9
3292,2024-05-09,1.0,1.0,1.0,1.0
3291,2024-05-08,1.0,1.0,1.0,1.0
3290,2024-05-07,1.0,1.0,1.0,1.0
3289,2024-05-06,1.0,1.0,1.0,1.0
3288,2024-05-03,1.0,1.0,1.0,1.0
3287,2024-05-02,1.1,1.1,1.1,1.1
3286,2024-04-26,1.2,1.2,1.1,1.1
3285,2024-04-25,1.2,1.2,1.2,1.2
3284,2024-04-24,1.2,1.2,1.2,1.2
3283,2024-04-23,1.2,1.2,1.2,1.2
3282,2024-04-22,1.2,1.2,1.2,1.2
3281,2024-04-19,1.2,1.2,1.2,1.2
3280,2024-04-17,1.2,1.2,1.2,1.2
3279,2024-04-16,1.2,1.2,1.2,1.2
3278,2024-04-15,1.2,1.2,1.2,1.2
3277,2024-04-12,1.1,1.2,1.1,1.2
3276,2024-04-11,1.1,1.1,1.1,1.1
3275,2024-04-10,1.1,1.1,1.1,1.1
3274,2024-04-09,1.1,1.1,1.1,1.1
3273,2024-04-08,1.1,1.1,1.1,1.1
3272,2024-04-05,1.1,1.1,1.1,1.1
3271,2024-04-04,1.1,1.1,1.1,1.1
3270,2024-04-03,1.1,1.1,1.1,1.1
3269,2024-04-02,1.1,1.1,1.1,1.1
3268,2024-04-01,1.1,1.1,1.1,1.1
3267,2024-03-29,1.2,1.2,1.1,1.1
3266,2024-03-28,1.1,1.1,1.1,1.1
3265,2024-03-27,1.1,1.1,1.1,1.1
3264,2024-03-26,1.1,1.1,1.1,1.1
3263,2024-03-25,1.1,1.1,1.1,1.1
3262,2024-03-22,1.1,1.2,1.1,1.1
3261,2024-03-21,1.1,1.1,1.1,1.1
3260,2024-03-20,1.1,1.1,1.1,1.1
3259,2024-03-19,1.1,1.1,1.1,1.1
3258,2024-03-18,1.1,1.1,1.1,1.1
3257,2024-03-15,1.1,1.1,1.0,1.0
3256,2024-03-14,1.1,1.1,1.1,1.1
3255,2024-03-13,1.1,1.1,1.1,1.1
3254,2024-03-12,1.1,1.1,1.1,1.1
3253,2024-03-11,1.1,1.1,1.1,1.1
3252,2024-03-08,1.0,1.1,1.0,1.1
3251,2024-03-07,1.0,1.0,1.0,1.0
3250,2024-03-06,1.0,1.0,1.0,1.0
3249,2024-03-05,1.0,1.0,1.0,1.0
3248,2024-03-04,1.0,1.0,1.0,1.0
3247,2024-03-01,1.0,1.2,1.0,1.2
3246,2024-02-29,1.1,1.1,1.1,1.1
3245,2024-02-28,1.1,1.1,1.1,1.1
3244,2024-02-27,1.1,1.1,1.1,1.1
3243,2024-02-26,1.1,1.1,1.1,1.1
3242,2024-02-23,1.1,1.1,1.1,1.1
3241,2024-02-22,1.2,1.2,1.2,1.2
3240,2024-02-21,1.2,1.2,1.2,1.2
3239,2024-02-20,1.2,1.2,1.2,1.2
3238,2024-02-19,1.2,1.2,1.2,1.2
3237,2024-02-16,1.2,1.2,1.2,1.2
3236,2024-02-15,1.2,1.2,1.2,1.2
3235,2024-02-07,1.2,1.2,1.2,1.2
3234,2024-02-06,1.2,1.2,1.2,1.2
3233,2024-02-05,1.2,1.2,1.2,1.2
3232,2024-02-02,1.2,1.2,1.2,1.2
3231,2024-02-01,1.2,1.2,1.2,1.2
3230,2024-01-31,1.2,1.2,1.2,1.2
3229,2024-01-30,1.2,1.2,1.2,1.2
3228,2024-01-29,1.2,1.2,1.2,1.2
3227,2024-01-26,1.2,1.2,1.2,1.2
3226,2024-01-25,1.2,1.2,1.2,1.2
3225,2024-01-24,1.2,1.2,1.2,1.2
3224,2024-01-23,1.2,1.2,1.2,1.2
3223,2024-01-22,1.2,1.2,1.2,1.2
3222,2024-01-19,1.1,1.2,1.1,1.2
3221,2024-01-18,1.2,1.2,1.2,1.2
3220,2024-01-17,1.2,1.2,1.2,1.2
3219,2024-01-16,1.2,1.2,1.2,1.2
3218,2024-01-15,1.2,1.2,1.2,1.2
3217,2024-01-12,1.2,1.2,1.2,1.2
3216,2024-01-11,1.2,1.2,1.2,1.2
3215,2024-01-10,1.2,1.2,1.2,1.2
3214,2024-01-09,1.2,1.2,1.2,1.2
3213,2024-01-08,1.2,1.2,1.2,1.2
3212,2024-01-05,1.0,1.2,1.0,1.2
3211,2024-01-04,1.1,1.1,1.1,1.1
3210,2024-01-03,1.1,1.1,1.1,1.1
3209,2024-01-02,1.1,1.1,1.1,1.1
3208,2023-12-29,1.2,1.2,1.1,1.2
3207,2023-12-28,1.1,1.1,1.1,1.1
3206,2023-12-27,1.1,1.1,1.1,1.1
3205,2023-12-26,1.1,1.1,1.1,1.1
3204,2023-12-25,1.1,1.1,1.1,1.1
3203,2023-12-22,0.9,1.1,0.9,1.1
3202,2023-12-21,1.0,1.0,1.0,1.0
3201,2023-12-20,1.0,1.0,1.0,1.0
3200,2023-12-19,1.0,1.0,1.0,1.0
3199,2023-12-18,1.0,1.0,1.0,1.0
3198,2023-12-15,1.1,1.1,1.0,1.0
3197,2023-12-14,1.1,1.1,1.1,1.1
3196,2023-12-13,1.1,1.1,1.1,1.1
3195,2023-12-12,1.1,1.1,1.1,1.1
3194,2023-12-11,1.1,1.1,1.1,1.1
3193,2023-12-08,1.1,1.1,1.1,1.1
3192,2023-12-07,1.1,1.1,1.1,1.1
3191,2023-12-06,1.1,1.1,1.1,1.1
3190,2023-12-05,1.1,1.1,1.1,1.1
3189,2023-12-04,1.1,1.1,1.1,1.1
3188,2023-12-01,1.1,1.2,1.1,1.2
3187,2023-11-30,1.1,1.1,1.1,1.1
3186,2023-11-29,1.1,1.1,1.1,1.1
3185,2023-11-28,1.1,1.1,1.1,1.1
3184,2023-11-27,1.1,1.1,1.1,1.1
3183,2023-11-24,1.1,1.3,1.1,1.3
