,Date,Open,High,Low,Close
3586,2025-10-17,3.1,3.1,3.0,3.0
3585,2025-10-10,3.0,3.2,3.0,3.1
3584,2025-10-03,3.1,3.2,3.0,3.1
3583,2025-09-26,3.2,3.3,3.1,3.1
3582,2025-09-19,3.3,3.3,3.1,3.2
3581,2025-09-12,3.2,3.3,3.1,3.2
3580,2025-09-05,3.2,3.3,3.1,3.3
3579,2025-08-29,3.3,3.3,3.2,3.2
3578,2025-08-22,3.3,3.4,3.1,3.2
3577,2025-08-15,3.3,3.5,3.2,3.2
3576,2025-08-08,3.2,3.5,3.2,3.3
3575,2025-08-01,3.3,3.3,3.0,3.0
3574,2025-07-25,3.3,3.4,3.2,3.2
3573,2025-07-18,3.4,3.4,3.2,3.3
3572,2025-07-11,3.6,3.6,3.2,3.3
3571,2025-07-04,3.2,3.3,3.1,3.1
3570,2025-06-27,3.4,3.7,3.1,3.2
3569,2025-06-20,3.0,3.3,3.0,3.3
3568,2025-06-13,2.8,3.0,2.8,3.0
3567,2025-06-06,2.5,2.8,2.5,2.8
3566,2025-05-30,2.5,2.6,2.5,2.5
3565,2025-05-23,2.6,2.6,2.5,2.5
3564,2025-05-16,2.5,2.7,2.4,2.6
3563,2025-05-09,2.5,2.5,2.4,2.4
3562,2025-04-25,2.3,2.4,2.3,2.4
3561,2025-04-18,2.7,2.7,2.3,2.4
3560,2025-04-11,2.4,2.6,2.4,2.5
3559,2025-04-04,2.4,2.4,2.3,2.4
3558,2025-03-28,2.8,2.8,2.6,2.7
3557,2025-03-21,2.9,3.0,2.8,2.8
3556,2025-03-14,3.0,3.0,2.9,2.9
3555,2025-03-07,3.0,3.1,2.9,2.9
3554,2025-02-28,3.0,3.1,2.9,3.0
3553,2025-02-21,3.1,3.3,2.9,3.0
3552,2025-02-14,3.2,3.2,3.0,3.1
3551,2025-02-07,2.8,3.1,2.8,3.1
3550,2025-01-24,2.7,2.8,2.6,2.7
3549,2025-01-17,2.6,2.7,2.5,2.6
3548,2025-01-10,2.6,2.7,2.5,2.6
3547,2025-01-03,2.5,2.7,2.5,2.6
3546,2024-12-27,2.3,2.6,2.3,2.5
3545,2024-12-20,2.4,2.5,2.3,2.4
3544,2024-12-13,2.4,2.4,2.3,2.3
3543,2024-12-06,2.6,2.6,2.3,2.4
3542,2024-11-29,2.7,2.7,2.5,2.5
3541,2024-11-22,2.6,2.6,2.4,2.6
3540,2024-11-15,2.6,2.6,2.5,2.5
3539,2024-11-08,2.7,2.8,2.6,2.6
3538,2024-11-01,2.7,2.7,2.5,2.6
3537,2024-10-25,2.6,2.8,2.5,2.6
3536,2024-10-18,2.7,2.7,2.5,2.6
3535,2024-10-11,2.8,2.9,2.6,2.7
3534,2024-10-04,2.9,2.9,2.7,2.7
3533,2024-09-27,2.9,3.1,2.8,2.9
3532,2024-09-20,3.0,3.0,2.9,3.0
3531,2024-09-13,3.0,3.0,2.8,2.9
3530,2024-09-06,3.0,3.0,2.9,3.0
3529,2024-08-30,3.1,3.2,3.0,3.0
3528,2024-08-23,3.1,3.2,3.0,3.1
3527,2024-08-16,3.0,3.1,2.9,3.0
3526,2024-08-09,3.1,3.2,3.0,3.0
3525,2024-08-02,3.0,3.0,2.9,3.0
3524,2024-07-26,3.0,3.1,2.9,3.0
3523,2024-07-25,3.1,3.1,3.1,3.1
3522,2024-07-24,3.1,3.1,3.1,3.1
3521,2024-07-23,3.1,3.1,3.1,3.1
3520,2024-07-22,3.1,3.1,3.1,3.1
3519,2024-07-19,3.2,3.2,3.0,3.1
3518,2024-07-18,3.2,3.2,3.2,3.2
3517,2024-07-17,3.2,3.2,3.2,3.2
3516,2024-07-16,3.2,3.2,3.2,3.2
3515,2024-07-15,3.2,3.2,3.2,3.2
3514,2024-07-12,3.1,3.4,3.1,3.1
3513,2024-07-11,3.1,3.1,3.1,3.1
3512,2024-07-10,3.1,3.1,3.1,3.1
3511,2024-07-09,3.1,3.1,3.1,3.1
3510,2024-07-08,3.1,3.1,3.1,3.1
3509,2024-07-05,3.5,3.5,2.9,3.2
3508,2024-07-04,3.3,3.3,3.3,3.3
3507,2024-07-03,3.3,3.3,3.3,3.3
3506,2024-07-02,3.3,3.3,3.3,3.3
3505,2024-07-01,3.3,3.3,3.3,3.3
3504,2024-06-28,3.2,3.6,3.0,3.6
3503,2024-06-27,3.2,3.2,3.2,3.2
3502,2024-06-26,3.2,3.2,3.2,3.2
3501,2024-06-25,3.2,3.2,3.2,3.2
3500,2024-06-24,3.2,3.2,3.2,3.2
3499,2024-06-21,3.3,3.4,3.2,3.2
3498,2024-06-20,3.3,3.3,3.3,3.3
3497,2024-06-19,3.3,3.3,3.3,3.3
3496,2024-06-18,3.3,3.3,3.3,3.3
3495,2024-06-17,3.3,3.3,3.3,3.3
3494,2024-06-14,3.4,3.5,3.2,3.2
3493,2024-06-13,3.3,3.3,3.3,3.3
3492,2024-06-12,3.3,3.3,3.3,3.3
3491,2024-06-11,3.3,3.3,3.3,3.3
3490,2024-06-10,3.3,3.3,3.3,3.3
3489,2024-06-07,3.1,3.4,3.1,3.3
3488,2024-06-06,3.1,3.1,3.1,3.1
3487,2024-06-05,3.1,3.1,3.1,3.1
3486,2024-06-04,3.1,3.1,3.1,3.1
3485,2024-06-03,3.1,3.1,3.1,3.1
3484,2024-05-31,3.0,3.2,3.0,3.2
3483,2024-05-30,2.9,2.9,2.9,2.9
3482,2024-05-29,2.9,2.9,2.9,2.9
3481,2024-05-28,2.9,2.9,2.9,2.9
3480,2024-05-27,2.9,2.9,2.9,2.9
3479,2024-05-24,3.0,3.1,2.8,2.9
3478,2024-05-23,3.0,3.0,3.0,3.0
3477,2024-05-22,3.0,3.0,3.0,3.0
3476,2024-05-21,3.0,3.0,3.0,3.0
3475,2024-05-20,3.0,3.0,3.0,3.0
3474,2024-05-17,3.1,3.2,2.8,2.9
3473,2024-05-16,3.1,3.1,3.1,3.1
3472,2024-05-15,3.1,3.1,3.1,3.1
3471,2024-05-14,3.1,3.1,3.1,3.1
3470,2024-05-13,3.1,3.1,3.1,3.1
3469,2024-05-10,3.3,3.3,3.0,3.0
3468,2024-05-09,3.2,3.2,3.2,3.2
