,Date,Open,High,Low,Close,Volume
3786,2025-09-08,25.8,25.8,25.8,25.8,300
3785,2025-08-04,28.5,28.5,28.5,28.5,200
3784,2025-06-23,28.5,28.5,28.5,28.5,0
3783,2025-06-20,28.5,28.5,28.5,28.5,0
3782,2025-06-19,28.5,28.5,28.5,28.5,0
3781,2025-06-18,28.5,28.5,28.5,28.5,0
3780,2025-06-17,28.5,28.5,28.5,28.5,0
3779,2025-06-16,28.5,28.5,28.5,28.5,0
3778,2025-06-13,28.5,28.5,28.5,28.5,1
3777,2025-06-12,28.5,28.5,28.5,28.5,0
3776,2025-06-11,28.5,28.5,28.5,28.5,0
3775,2025-06-10,28.5,28.5,28.5,28.5,0
3774,2025-06-09,28.5,28.5,28.5,28.5,1
3773,2025-06-06,28.5,28.5,28.5,28.5,0
3772,2025-06-05,28.5,28.5,28.5,28.5,0
3771,2025-06-04,28.5,28.5,28.5,28.5,0
3770,2025-06-03,28.5,28.5,28.5,28.5,0
3769,2025-06-02,28.5,28.5,28.5,28.5,0
3768,2025-05-30,28.5,28.5,28.5,28.5,0
3767,2025-05-29,28.5,28.5,28.5,28.5,0
3766,2025-05-28,28.5,28.5,28.5,28.5,0
3765,2025-05-27,28.5,28.5,28.5,28.5,0
3764,2025-05-26,28.5,28.5,28.5,28.5,0
3763,2025-05-23,28.5,28.5,28.5,28.5,0
3762,2025-05-22,28.5,28.5,28.5,28.5,0
3761,2025-05-21,28.5,28.5,28.5,28.5,0
3760,2025-05-20,28.5,28.5,28.5,28.5,0
3759,2025-05-19,28.5,28.5,28.5,28.5,0
3758,2025-05-16,28.5,28.5,28.5,28.5,0
3757,2025-05-15,28.5,28.5,28.5,28.5,0
3756,2025-05-14,28.5,28.5,28.5,28.5,0
3755,2025-05-13,28.5,28.5,28.5,28.5,0
3754,2025-05-12,28.5,28.5,28.5,28.5,0
3753,2025-05-09,28.5,28.5,28.5,28.5,0
3752,2025-05-08,28.5,28.5,28.5,28.5,0
3751,2025-05-07,28.5,28.5,28.5,28.5,0
3750,2025-05-06,28.5,28.5,28.5,28.5,0
3749,2025-05-05,28.5,28.5,28.5,28.5,0
3748,2025-04-29,28.5,28.5,28.5,28.5,0
3747,2025-04-28,28.5,28.5,28.5,28.5,0
3746,2025-04-25,28.5,28.5,28.5,28.5,0
3745,2025-04-24,28.5,28.5,28.5,28.5,0
3744,2025-04-23,28.5,28.5,28.5,28.5,0
3743,2025-04-22,28.5,28.5,28.5,28.5,0
3742,2025-04-21,28.5,28.5,28.5,28.5,0
3741,2025-04-18,28.5,28.5,28.5,28.5,0
3740,2025-04-17,28.5,28.5,28.5,28.5,0
3739,2025-04-16,28.5,28.5,28.5,28.5,0
3738,2025-04-15,28.5,28.5,28.5,28.5,0
3737,2025-04-14,28.5,28.5,28.5,28.5,0
3736,2025-04-11,28.5,28.5,28.5,28.5,0
3735,2025-04-10,28.5,28.5,28.5,28.5,0
3734,2025-04-09,28.5,28.5,28.5,28.5,0
3733,2025-04-08,28.5,28.5,28.5,28.5,0
3732,2025-04-04,28.5,28.5,28.5,28.5,0
3731,2025-04-03,28.5,28.5,28.5,28.5,0
3730,2025-04-02,28.5,28.5,28.5,28.5,0
3729,2025-04-01,28.5,28.5,28.5,28.5,0
3728,2025-03-31,28.5,28.5,28.5,28.5,0
3727,2025-03-28,28.5,28.5,28.5,28.5,0
3726,2025-03-27,28.5,28.5,28.5,28.5,0
3725,2025-03-26,28.5,28.5,28.5,28.5,0
3724,2025-03-25,28.5,28.5,28.5,28.5,0
3723,2025-03-24,28.5,28.5,28.5,28.5,0
3722,2025-03-21,28.5,28.5,28.5,28.5,0
3721,2025-03-20,28.5,28.5,28.5,28.5,0
3720,2025-03-19,28.5,28.5,28.5,28.5,0
3719,2025-03-18,28.5,28.5,28.5,28.5,0
3718,2025-03-17,28.5,28.5,28.5,28.5,0
3717,2025-03-14,28.5,28.5,28.5,28.5,0
3716,2025-03-13,28.5,28.5,28.5,28.5,0
3715,2025-03-12,28.5,28.5,28.5,28.5,0
3714,2025-03-11,28.5,28.5,28.5,28.5,0
3713,2025-03-10,28.5,28.5,28.5,28.5,0
3712,2025-03-07,28.5,28.5,28.5,28.5,0
3711,2025-03-06,28.5,28.5,28.5,28.5,0
3710,2025-03-05,28.5,28.5,28.5,28.5,0
3709,2025-03-04,28.5,28.5,28.5,28.5,0
3708,2025-03-03,28.5,28.5,28.5,28.5,0
3707,2025-02-28,28.5,28.5,28.5,28.5,2
