,Date,Open,High,Low,Close
2204,2025-10-17,47.0,47.0,46.6,46.9
2203,2025-10-16,46.7,47.1,46.6,46.9
2202,2025-10-15,47.0,47.1,46.5,46.7
2201,2025-10-14,47.1,47.2,46.8,47.1
2200,2025-10-13,47.5,47.5,46.6,46.7
2199,2025-10-10,47.5,47.6,47.3,47.5
2198,2025-10-09,47.5,47.7,47.4,47.5
2197,2025-10-08,47.4,47.7,47.4,47.5
2196,2025-10-07,47.5,47.5,47.3,47.4
2195,2025-10-06,47.4,47.5,47.2,47.4
2194,2025-10-03,47.5,47.5,47.3,47.4
2193,2025-10-02,47.4,47.6,47.3,47.4
2192,2025-10-01,47.4,47.5,47.3,47.5
2191,2025-09-30,47.5,47.6,47.3,47.6
2190,2025-09-29,47.3,47.7,47.3,47.5
2189,2025-09-26,47.5,47.5,47.2,47.2
2188,2025-09-25,47.3,47.6,47.3,47.5
2187,2025-09-24,47.3,47.4,47.2,47.3
2186,2025-09-23,47.5,47.6,47.2,47.2
2185,2025-09-22,47.6,47.7,47.2,47.5
2184,2025-09-19,47.7,47.7,47.5,47.5
2183,2025-09-18,47.7,47.9,47.3,47.8
2182,2025-09-17,47.8,47.9,47.4,47.4
2181,2025-09-16,47.6,47.8,47.5,47.8
2180,2025-09-15,47.3,47.6,47.3,47.5
2179,2025-09-12,47.6,47.6,47.3,47.3
2178,2025-09-11,47.3,47.3,47.0,47.3
2177,2025-09-10,47.4,47.6,47.0,47.0
2176,2025-09-09,47.3,47.5,47.3,47.4
2175,2025-09-08,47.3,47.6,47.3,47.3
2174,2025-09-05,47.6,47.8,47.2,47.2
2173,2025-09-04,47.4,47.6,47.4,47.6
2172,2025-09-03,47.2,47.6,47.2,47.5
2171,2025-08-29,47.3,47.6,47.1,47.6
2170,2025-08-28,47.3,47.4,47.3,47.3
2169,2025-08-27,47.3,47.4,47.2,47.2
2168,2025-08-26,47.0,47.2,47.0,47.2
2167,2025-08-25,47.5,47.5,46.9,47.0
2166,2025-08-22,46.9,47.4,46.7,47.0
2165,2025-08-21,47.5,47.9,46.6,46.8
2164,2025-08-20,48.0,48.5,47.4,47.9
2163,2025-08-19,47.9,48.0,47.8,48.0
2162,2025-08-18,48.0,48.2,47.8,48.0
2161,2025-08-15,48.4,48.4,47.9,48.0
2160,2025-08-14,48.3,48.5,47.9,48.1
2159,2025-08-13,49.1,49.1,48.1,48.3
2158,2025-08-12,48.3,48.3,48.2,48.3
2157,2025-08-11,48.3,48.4,48.2,48.3
2156,2025-08-08,48.2,48.3,48.1,48.3
2155,2025-08-07,48.2,48.5,48.1,48.4
2154,2025-08-06,47.81,48.1,47.81,47.81
2153,2025-08-05,48.1,48.1,47.81,48.01
2152,2025-08-04,47.91,48.1,47.71,47.91
2151,2025-08-01,47.91,48.01,47.71,47.71
2150,2025-07-31,47.61,47.91,47.52,47.81
2149,2025-07-30,47.61,47.71,47.32,47.61
2148,2025-07-29,48.2,48.2,47.42,47.81
2147,2025-07-28,48.3,48.3,48.1,48.1
2146,2025-07-25,48.1,48.4,47.91,48.3
2145,2025-07-24,47.91,48.1,47.81,47.91
2144,2025-07-23,47.81,47.81,47.61,47.81
2143,2025-07-22,47.61,47.81,47.61,47.61
2142,2025-07-21,47.71,47.71,47.61,47.71
2141,2025-07-18,47.81,47.91,47.61,47.71
2140,2025-07-17,48.01,48.01,47.52,47.52
2139,2025-07-16,47.71,48.01,47.52,48.01
2138,2025-07-15,47.71,48.1,47.22,47.81
2137,2025-07-14,47.61,47.71,47.61,47.71
2136,2025-07-11,47.71,47.81,47.42,47.61
2135,2025-07-10,45.56,47.71,45.56,47.52
2134,2025-07-09,47.52,47.71,47.52,47.52
2133,2025-07-08,47.42,47.52,47.32,47.52
2132,2025-07-07,47.22,47.52,47.22,47.52
