,Date,Open,High,Low,Close
2068,2025-10-08,10.0,10.0,10.0,10.0
2067,2025-08-11,10.0,10.0,10.0,10.0
2066,2025-07-02,10.0,10.0,10.0,10.0
2065,2025-06-04,9.6,9.6,9.6,9.6
2064,2025-06-03,9.6,9.6,9.6,9.6
2063,2025-06-02,9.6,9.6,9.6,9.6
2062,2025-05-30,9.6,9.6,9.6,9.6
2061,2025-05-29,9.6,9.6,9.6,9.6
2060,2025-05-28,9.6,9.6,9.6,9.6
2059,2025-05-27,9.6,9.6,9.6,9.6
2058,2025-05-26,9.6,9.6,9.6,9.6
2057,2025-05-23,9.6,9.6,9.6,9.6
2056,2025-05-22,9.6,9.6,9.6,9.6
2055,2025-05-21,9.21,9.21,9.21,9.21
2054,2025-05-20,9.21,9.21,9.21,9.21
2053,2025-05-19,9.21,9.21,9.21,9.21
2052,2025-05-16,9.21,9.21,9.21,9.21
2051,2025-05-15,9.21,9.21,9.21,9.21
2050,2025-05-14,9.21,9.21,9.21,9.21
2049,2025-05-13,9.21,9.21,9.21,9.21
2048,2025-05-12,9.21,9.21,9.21,9.21
2047,2025-05-09,9.21,9.21,9.21,9.21
2046,2025-05-08,9.21,9.21,9.21,9.21
2045,2025-05-07,9.21,9.21,9.21,9.21
2044,2025-05-06,9.21,9.21,9.21,9.21
2043,2025-05-05,9.21,9.21,9.21,9.21
2042,2025-04-29,9.21,9.21,9.21,9.21
2041,2025-04-28,9.21,9.21,9.21,9.21
2040,2025-04-25,9.21,9.21,9.21,9.21
2039,2025-04-24,9.21,9.21,9.21,9.21
2038,2025-04-23,9.21,9.21,9.21,9.21
2037,2025-04-22,9.21,9.21,9.21,9.21
2036,2025-04-21,9.21,9.21,9.21,9.21
2035,2025-04-18,9.21,9.21,9.21,9.21
2034,2025-04-17,9.21,9.21,9.21,9.21
2033,2025-04-16,9.21,9.21,9.21,9.21
2032,2025-04-15,9.21,9.21,9.21,9.21
2031,2025-04-14,9.21,9.21,9.21,9.21
2030,2025-04-11,9.21,9.21,9.21,9.21
2029,2025-04-10,9.21,9.21,9.21,9.21
2028,2025-04-09,9.21,9.21,9.21,9.21
2027,2025-04-08,9.21,9.21,9.21,9.21
2026,2025-04-04,9.21,9.21,9.21,9.21
2025,2025-04-03,9.21,9.21,9.21,9.21
2024,2025-04-02,9.21,9.21,9.21,9.21
2023,2025-04-01,9.21,9.21,9.21,9.21
2022,2025-03-31,9.21,9.21,9.21,9.21
2021,2025-03-28,9.21,9.21,9.21,9.21
2020,2025-03-27,9.21,9.21,9.21,9.21
2019,2025-03-26,9.21,9.21,9.21,9.21
2018,2025-03-25,9.21,9.21,9.21,9.21
2017,2025-03-24,9.21,9.21,9.21,9.21
2016,2025-03-21,9.21,9.21,9.21,9.21
2015,2025-03-20,9.21,9.21,9.21,9.21
2014,2025-03-19,9.21,9.21,9.21,9.21
2013,2025-03-18,9.21,9.21,9.21,9.21
2012,2025-03-17,9.21,9.21,9.21,9.21
2011,2025-03-14,9.21,9.21,9.21,9.21
2010,2025-03-13,9.21,9.21,9.21,9.21
2009,2025-03-12,9.21,9.21,9.21,9.21
2008,2025-03-11,9.21,9.21,9.21,9.21
