,Date,Open,High,Low,Close
4573,2025-10-17,12.4,12.4,12.4,12.4
4572,2025-10-16,12.1,13.2,11.8,13.2
4571,2025-10-14,12.2,13.2,11.4,12.9
4570,2025-10-13,13.5,13.5,12.6,12.6
4569,2025-10-10,12.9,13.6,12.8,13.6
4568,2025-10-09,12.9,12.9,12.9,12.9
4567,2025-10-08,12.9,13.0,12.9,13.0
4566,2025-10-07,13.0,13.0,13.0,13.0
4565,2025-10-06,12.8,13.1,12.8,13.1
4564,2025-10-03,12.1,12.9,12.1,12.9
4563,2025-10-02,13.4,13.4,13.4,13.4
4562,2025-10-01,13.2,14.1,13.2,14.1
4561,2025-09-30,12.9,13.3,12.9,13.3
4560,2025-09-29,12.6,12.9,11.5,12.9
4559,2025-09-26,12.4,12.4,12.4,12.4
4558,2025-09-25,12.2,13.4,12.2,13.4
4557,2025-09-24,12.0,13.2,12.0,13.2
4556,2025-09-23,12.1,12.9,12.0,12.9
4555,2025-09-22,13.0,13.0,13.0,13.0
4554,2025-09-19,13.2,14.0,13.2,14.0
4553,2025-09-18,13.2,13.2,13.2,13.2
4552,2025-09-16,13.3,13.3,13.2,13.2
4551,2025-09-15,13.4,13.5,13.4,13.5
4550,2025-09-12,13.0,13.5,13.0,13.5
4549,2025-09-11,11.9,13.0,11.9,13.0
4548,2025-09-10,13.3,13.6,12.5,12.5
4547,2025-09-04,13.7,13.7,13.7,13.7
4546,2025-08-29,13.9,14.0,13.9,14.0
4545,2025-08-28,13.2,14.0,13.2,14.0
4544,2025-08-27,13.2,13.3,12.1,13.3
4543,2025-08-26,13.2,13.3,13.2,13.3
4542,2025-08-25,13.2,13.3,13.2,13.3
4541,2025-08-22,13.3,13.3,13.3,13.3
4540,2025-08-21,13.3,13.4,12.4,13.3
4539,2025-08-20,13.3,13.4,13.3,13.4
4538,2025-08-19,12.0,13.4,11.8,13.4
4537,2025-08-18,12.94,13.04,12.94,12.94
4536,2025-08-15,12.94,13.04,12.94,13.04
4535,2025-08-14,11.67,13.04,11.67,13.04
4534,2025-08-13,12.26,12.84,12.06,12.16
4533,2025-08-12,13.04,13.04,12.94,13.04
4532,2025-08-11,12.06,13.24,12.06,13.24
4531,2025-08-08,12.16,13.14,12.16,13.14
4530,2025-08-07,12.06,13.33,12.06,13.33
4529,2025-08-06,13.04,13.24,13.04,13.24
4528,2025-08-05,11.47,13.24,11.47,13.04
4527,2025-08-04,13.24,13.24,12.65,12.65
4526,2025-08-01,13.63,13.63,13.63,13.63
4525,2025-07-31,13.63,13.73,13.63,13.73
4524,2025-07-30,13.73,13.73,13.73,13.73
4523,2025-07-29,13.63,13.73,13.63,13.73
4522,2025-07-28,13.73,13.73,13.73,13.73
4521,2025-07-25,13.73,13.73,13.73,13.73
4520,2025-07-24,13.63,13.73,13.63,13.73
4519,2025-07-23,13.63,13.73,13.63,13.73
4518,2025-07-22,13.33,13.73,13.33,13.73
4517,2025-07-21,12.26,13.43,12.26,13.43
4516,2025-07-18,13.53,13.53,13.53,13.53
4515,2025-07-17,13.43,13.53,13.43,13.53
4514,2025-07-16,13.53,13.53,13.53,13.53
4513,2025-07-15,13.53,13.53,13.53,13.53
4512,2025-07-14,13.53,13.53,13.53,13.53
4511,2025-07-11,13.53,13.53,13.53,13.53
4510,2025-07-10,13.53,13.82,12.45,13.53
4509,2025-07-09,13.43,13.43,13.43,13.43
4508,2025-07-08,13.43,13.53,13.43,13.53
4507,2025-07-07,13.43,13.53,13.43,13.53
4506,2025-07-04,13.53,13.63,12.65,13.53
4505,2025-07-03,13.43,13.63,13.43,13.63
4504,2025-07-02,13.33,13.53,13.33,13.53
4503,2025-07-01,13.43,13.53,13.43,13.43
4502,2025-06-30,13.43,13.53,13.43,13.53
4501,2025-06-27,13.33,13.53,13.33,13.53
4500,2025-06-26,13.43,13.43,13.43,13.43
4499,2025-06-25,13.43,13.43,13.43,13.43
4498,2025-06-24,13.24,13.43,13.24,13.43
4497,2025-06-23,13.14,13.33,13.14,13.33
4496,2025-06-20,13.14,13.24,13.14,13.24
4495,2025-06-19,13.14,13.24,13.14,13.24
4494,2025-06-18,13.14,13.24,13.14,13.24
4493,2025-06-17,13.04,13.24,13.04,13.24
4492,2025-06-16,13.14,13.14,13.14,13.14
4491,2025-06-13,13.14,13.14,13.14,13.14
4490,2025-06-12,12.84,13.14,12.84,13.14
