,Date,Open,High,Low,Close
2627,2025-10-17,36.6,36.7,36.6,36.7
2626,2025-10-16,36.5,36.6,36.4,36.6
2625,2025-10-15,36.7,36.7,36.4,36.5
2624,2025-10-14,37.0,37.0,36.5,36.6
2623,2025-10-13,36.7,36.9,36.5,36.9
2622,2025-10-10,36.8,37.1,36.6,37.0
2621,2025-10-09,36.8,37.5,36.8,37.2
2620,2025-10-08,37.0,37.0,36.5,36.8
2619,2025-10-07,36.5,37.1,36.4,36.5
2618,2025-10-06,36.4,36.7,36.4,36.7
2617,2025-10-03,36.6,36.6,36.1,36.6
2616,2025-10-02,37.0,37.0,36.5,36.8
2615,2025-10-01,36.5,37.3,36.5,37.0
2614,2025-09-30,37.0,37.4,36.4,36.4
2613,2025-09-29,37.8,38.3,37.4,37.4
2612,2025-09-26,38.0,38.3,37.6,38.0
2611,2025-09-25,37.5,37.7,37.5,37.7
2610,2025-09-24,37.1,37.8,37.1,37.5
2609,2025-09-23,37.3,38.7,36.5,37.9
2608,2025-09-22,38.0,39.0,36.9,37.8
2607,2025-09-19,38.1,38.8,37.8,38.8
2606,2025-09-18,38.4,38.5,38.0,38.0
2605,2025-09-17,38.5,38.5,38.2,38.2
2604,2025-09-16,38.5,38.9,38.5,38.6
2603,2025-09-15,38.7,38.9,38.4,38.7
2602,2025-09-12,38.4,39.0,38.4,38.9
2601,2025-09-11,38.1,38.4,37.8,38.4
2600,2025-09-10,38.5,38.6,38.1,38.3
2599,2025-09-09,38.1,38.8,38.1,38.5
2598,2025-09-08,39.0,39.0,38.3,38.6
2597,2025-09-05,39.0,39.2,38.5,38.5
2596,2025-09-04,39.0,39.4,38.0,38.9
2595,2025-09-03,38.6,39.3,38.6,39.1
2594,2025-08-29,38.0,39.0,38.0,38.7
2593,2025-08-28,37.8,38.0,37.6,37.9
2592,2025-08-27,37.7,38.0,37.7,38.0
2591,2025-08-26,37.5,37.7,37.1,37.7
2590,2025-08-25,37.4,37.8,37.2,37.5
2589,2025-08-22,38.0,38.5,37.4,37.5
2588,2025-08-21,38.6,38.8,37.8,38.0
2587,2025-08-20,38.5,38.6,37.5,37.5
2586,2025-08-19,38.9,38.9,38.3,38.5
2585,2025-08-18,39.0,39.0,38.6,38.9
2584,2025-08-15,39.4,39.4,38.6,38.9
2583,2025-08-14,41.0,41.0,39.0,39.4
2582,2025-08-13,39.6,39.7,39.2,39.4
2581,2025-08-12,39.5,39.8,39.3,39.5
2580,2025-08-11,39.9,39.9,39.5,39.8
2579,2025-08-08,40.0,40.0,39.6,39.9
2578,2025-08-07,39.9,40.1,39.6,40.0
2577,2025-08-06,40.0,40.0,39.4,40.0
2576,2025-08-05,40.8,40.8,39.8,39.8
2575,2025-08-04,40.0,40.1,39.3,40.0
2574,2025-08-01,39.8,40.0,39.3,39.5
2573,2025-07-31,39.2,40.2,39.2,39.9
2572,2025-07-30,39.8,39.8,38.9,39.4
2571,2025-07-29,41.4,41.9,38.5,38.6
2570,2025-07-28,42.4,42.9,41.4,41.4
2569,2025-07-25,43.5,43.5,40.0,42.3
2568,2025-07-24,44.0,44.0,42.3,42.4
2567,2025-07-23,44.2,44.2,42.5,42.6
2566,2025-07-22,44.4,45.0,42.0,43.3
2565,2025-07-21,44.76,44.76,43.81,44.1
2564,2025-07-18,43.81,43.91,43.52,43.72
2563,2025-07-17,43.43,44.1,43.33,43.52
2562,2025-07-16,43.81,44.1,43.33,43.72
2561,2025-07-15,44.1,44.48,43.81,43.81
2560,2025-07-14,44.0,44.57,43.62,44.1
2559,2025-07-11,42.86,44.38,42.86,43.62
2558,2025-07-10,42.38,42.76,42.38,42.57
2557,2025-07-09,41.72,42.86,41.72,42.57
2556,2025-07-08,41.91,42.0,41.52,41.81
2555,2025-07-07,41.52,41.81,41.52,41.62
2554,2025-07-04,42.29,42.29,41.24,41.52
2553,2025-07-03,41.43,42.0,41.14,41.62
2552,2025-07-02,41.81,41.81,40.95,41.14
2551,2025-07-01,41.81,41.81,40.67,41.05
2550,2025-06-30,42.86,42.86,41.43,41.72
2549,2025-06-27,42.38,42.38,41.62,41.91
2548,2025-06-26,41.24,42.38,40.29,41.52
2547,2025-06-25,40.95,41.91,40.95,41.91
2546,2025-06-24,41.72,41.72,40.76,41.24
2545,2025-06-23,40.67,41.24,40.1,41.05
2544,2025-06-20,41.81,41.91,40.67,40.95
2543,2025-06-19,42.19,42.29,41.91,41.91
2542,2025-06-18,42.86,42.86,42.1,42.38
2541,2025-06-17,42.19,42.57,41.91,42.19
2540,2025-06-16,40.95,42.38,40.95,42.19
2539,2025-06-13,42.29,42.76,41.81,41.81
2538,2025-06-12,42.38,43.62,42.29,42.86
2537,2025-06-11,41.91,42.19,41.52,42.1
2536,2025-06-10,41.91,42.0,41.14,41.52
2535,2025-06-09,40.57,42.86,40.57,41.52
2534,2025-06-06,40.67,40.95,40.1,40.57
2533,2025-06-05,41.52,41.62,40.86,40.95
2532,2025-06-04,41.72,41.91,41.14,41.43
2531,2025-06-03,41.72,42.1,41.33,41.52
2530,2025-06-02,40.95,41.91,40.48,41.91
2529,2025-05-30,40.48,40.76,40.38,40.57
2528,2025-05-29,41.33,41.43,40.67,40.67
2527,2025-05-28,41.72,41.72,41.05,41.24
2526,2025-05-27,40.95,42.86,40.86,41.62
2525,2025-05-26,42.1,42.1,40.0,40.95
2524,2025-05-23,42.1,42.86,41.72,41.72
2523,2025-05-22,41.91,43.24,41.24,42.86
2522,2025-05-21,42.29,42.48,40.48,42.29
