,Date,Open,High,Low,Close
450,2025-10-17,16.0,16.0,16.0,16.0
449,2025-10-16,16.0,16.0,16.0,16.0
448,2025-10-15,16.0,16.0,16.0,16.0
447,2025-10-14,16.0,16.0,15.7,15.7
446,2025-10-10,16.2,16.2,16.2,16.2
445,2025-10-09,16.2,16.2,16.2,16.2
444,2025-10-08,16.2,16.3,16.2,16.3
443,2025-10-07,16.2,16.2,16.2,16.2
442,2025-10-06,16.5,16.5,16.0,16.0
441,2025-10-03,16.7,16.7,15.8,15.8
440,2025-10-02,16.0,16.0,16.0,16.0
439,2025-10-01,16.5,16.5,16.5,16.5
438,2025-09-30,16.5,16.5,15.8,16.0
437,2025-09-29,16.1,16.1,15.9,15.9
436,2025-09-26,16.7,16.7,16.0,16.0
435,2025-09-25,16.0,16.1,16.0,16.1
434,2025-09-24,16.7,16.7,16.7,16.7
433,2025-09-23,16.7,16.7,16.7,16.7
432,2025-09-22,16.8,16.8,16.3,16.3
431,2025-09-19,16.8,16.8,16.8,16.8
430,2025-09-17,16.4,16.8,16.3,16.3
429,2025-09-16,16.4,16.5,16.3,16.4
428,2025-09-15,16.7,16.7,16.5,16.5
427,2025-09-12,16.7,16.7,16.7,16.7
426,2025-09-11,16.0,16.7,16.0,16.3
425,2025-09-10,16.5,16.5,16.5,16.5
424,2025-09-09,16.6,16.6,16.5,16.5
423,2025-09-08,16.5,16.5,16.5,16.5
422,2025-09-05,16.6,16.6,16.5,16.5
421,2025-09-04,16.5,16.6,16.3,16.6
420,2025-08-29,16.5,16.6,16.4,16.4
419,2025-08-28,16.6,16.6,16.6,16.6
418,2025-08-27,15.7,16.8,15.7,16.3
417,2025-08-25,16.1,16.1,15.0,15.6
416,2025-08-22,16.8,16.8,16.2,16.2
415,2025-08-21,16.2,16.3,16.2,16.2
414,2025-08-20,16.5,16.8,15.2,16.8
413,2025-08-19,17.1,17.1,16.5,16.5
412,2025-08-15,17.1,17.2,17.1,17.1
411,2025-08-14,17.1,17.2,17.1,17.1
410,2025-08-13,17.4,17.4,17.1,17.1
409,2025-08-12,17.2,17.4,17.2,17.4
408,2025-08-11,17.0,17.4,17.0,17.4
407,2025-08-08,17.1,17.1,17.0,17.0
406,2025-08-07,16.8,17.5,16.8,17.2
405,2025-08-06,16.6,17.0,16.6,17.0
404,2025-08-05,17.5,17.5,16.5,16.5
403,2025-08-04,16.1,17.8,16.1,17.0
402,2025-08-01,16.1,16.1,16.1,16.1
401,2025-07-31,16.2,16.2,16.0,16.0
400,2025-07-30,16.2,16.2,16.2,16.2
399,2025-07-29,16.2,16.2,16.2,16.2
398,2025-07-28,16.1,16.4,16.1,16.2
397,2025-07-25,15.9,16.3,15.9,16.3
396,2025-07-24,15.9,15.9,15.9,15.9
395,2025-07-23,15.8,15.8,15.8,15.8
394,2025-07-22,15.8,16.2,15.8,16.2
393,2025-07-21,15.7,15.8,15.7,15.8
392,2025-07-18,15.6,15.6,15.6,15.6
391,2025-07-17,15.7,15.7,15.4,15.4
390,2025-07-16,15.4,15.4,15.3,15.4
389,2025-07-15,15.9,15.9,15.2,15.4
388,2025-07-14,15.2,15.2,15.2,15.2
387,2025-07-11,15.2,15.2,15.2,15.2
386,2025-07-10,15.1,15.2,15.1,15.2
385,2025-07-09,15.1,15.2,15.1,15.1
384,2025-07-08,15.0,15.1,15.0,15.0
383,2025-07-07,15.0,15.0,14.9,14.9
382,2025-07-04,14.9,15.0,14.9,15.0
381,2025-07-03,14.8,14.9,14.8,14.9
380,2025-07-02,14.8,14.9,14.8,14.9
379,2025-07-01,14.7,14.8,14.7,14.8
378,2025-06-30,14.7,14.7,14.7,14.7
377,2025-06-27,14.7,14.8,14.7,14.8
376,2025-06-26,14.7,14.8,14.7,14.8
375,2025-06-25,14.9,14.9,14.9,14.9
374,2025-06-24,14.7,14.7,14.7,14.7
373,2025-06-23,14.8,14.8,14.7,14.8
372,2025-06-20,14.9,14.9,14.8,14.8
371,2025-06-19,14.9,14.9,14.7,14.9
370,2025-06-18,14.8,14.8,14.8,14.8
369,2025-06-17,14.8,14.8,14.8,14.8
368,2025-06-16,14.6,14.9,14.5,14.7
367,2025-06-13,14.7,14.9,14.7,14.9
