,Date,Open,High,Low,Close
466,2025-10-17,12.1,12.4,12.1,12.25
465,2025-10-16,12.2,12.45,12.15,12.25
464,2025-10-15,12.35,12.4,12.15,12.2
463,2025-10-14,12.4,12.45,12.3,12.35
462,2025-10-13,12.4,12.55,12.35,12.45
461,2025-10-10,12.5,12.6,12.15,12.5
460,2025-10-09,12.5,12.55,12.3,12.5
459,2025-10-08,12.55,12.6,12.45,12.5
458,2025-10-07,12.6,12.7,12.4,12.5
457,2025-10-06,12.4,12.6,12.4,12.55
456,2025-10-03,12.4,12.4,12.3,12.4
455,2025-10-02,12.45,12.5,12.35,12.4
454,2025-10-01,12.5,12.55,12.4,12.45
453,2025-09-30,12.45,12.55,12.35,12.45
452,2025-09-29,12.4,12.5,12.3,12.45
451,2025-09-26,12.4,12.45,12.25,12.35
450,2025-09-25,12.3,12.5,12.25,12.45
449,2025-09-24,12.35,12.35,12.25,12.35
448,2025-09-23,12.3,12.45,12.25,12.35
447,2025-09-22,12.25,12.3,12.15,12.3
446,2025-09-19,12.3,12.35,12.2,12.25
445,2025-09-18,12.4,12.4,12.25,12.3
444,2025-09-17,12.45,12.5,12.2,12.35
443,2025-09-16,12.4,12.5,12.35,12.45
442,2025-09-15,12.65,12.65,12.25,12.45
441,2025-09-12,12.65,12.7,12.55,12.65
440,2025-09-11,12.6,12.65,12.45,12.65
439,2025-09-10,12.65,12.7,12.55,12.6
438,2025-09-09,12.55,12.6,12.45,12.6
437,2025-09-08,12.65,12.7,12.5,12.6
436,2025-09-05,12.7,12.8,12.65,12.7
435,2025-09-04,12.8,12.85,12.65,12.75
434,2025-09-03,12.9,12.9,12.75,12.8
433,2025-08-29,12.95,13.0,12.8,12.9
432,2025-08-28,12.75,12.9,12.65,12.9
431,2025-08-27,12.8,12.85,12.65,12.7
430,2025-08-26,12.7,12.85,12.6,12.8
429,2025-08-25,12.8,12.85,12.65,12.75
428,2025-08-22,12.85,12.85,12.75,12.85
427,2025-08-21,12.9,12.95,12.8,12.9
426,2025-08-20,13.05,13.05,12.75,12.9
425,2025-08-19,12.8,13.05,12.7,13.05
424,2025-08-18,12.8,12.85,12.65,12.75
423,2025-08-15,12.85,12.85,12.7,12.8
422,2025-08-14,12.8,13.0,12.45,12.9
421,2025-08-13,12.85,12.95,12.75,12.9
420,2025-08-12,13.0,13.0,12.8,12.95
419,2025-08-11,12.8,13.0,12.8,13.0
418,2025-08-08,12.85,12.9,12.65,12.8
417,2025-08-07,12.7,12.85,12.55,12.8
416,2025-08-06,12.65,12.7,12.6,12.65
415,2025-08-05,12.55,12.75,12.5,12.65
414,2025-08-04,12.6,12.65,12.5,12.55
413,2025-08-01,12.65,12.65,12.35,12.6
412,2025-07-31,12.5,12.65,12.45,12.6
411,2025-07-30,12.45,12.6,12.4,12.5
410,2025-07-29,12.45,12.5,12.3,12.45
409,2025-07-28,12.4,12.5,12.35,12.45
408,2025-07-25,12.35,12.45,12.3,12.4
407,2025-07-24,12.4,12.45,12.05,12.35
406,2025-07-23,12.5,12.5,12.3,12.35
405,2025-07-22,12.3,12.5,12.2,12.45
404,2025-07-21,12.05,12.3,12.05,12.25
403,2025-07-18,12.1,12.15,12.0,12.1
402,2025-07-17,12.15,12.2,12.05,12.1
401,2025-07-16,12.1,12.15,11.75,12.1
400,2025-07-15,12.1,12.15,11.9,12.1
399,2025-07-14,12.15,12.2,12.0,12.2
398,2025-07-11,12.55,12.55,12.2,12.2
397,2025-07-10,12.55,12.6,12.4,12.5
396,2025-07-09,12.55,12.55,12.45,12.5
395,2025-07-08,12.65,12.75,12.55,12.6
394,2025-07-07,12.6,12.65,12.45,12.6
393,2025-07-04,12.6,12.7,12.5,12.55
392,2025-07-03,12.65,12.75,12.6,12.65
391,2025-07-02,12.6,12.7,12.45,12.65
390,2025-07-01,12.65,12.65,12.45,12.6
389,2025-06-30,12.55,12.6,12.5,12.6
388,2025-06-27,12.55,12.55,12.45,12.55
387,2025-06-26,12.5,12.55,12.45,12.55
386,2025-06-25,12.65,12.65,12.4,12.55
385,2025-06-24,12.55,12.65,12.4,12.6
384,2025-06-23,12.6,12.75,12.4,12.55
383,2025-06-20,12.75,12.75,12.55,12.65
