,Date,Open,High,Low,Close,Volume
1846,2025-10-24,41.5,41.5,41.5,41.5,200
1845,2025-10-23,43.7,43.7,43.6,43.6,300
1844,2025-10-22,42.4,42.9,42.4,42.9,200
1843,2025-10-21,42.5,42.5,42.5,42.5,300
1842,2025-10-20,43.5,43.5,41.5,41.5,400
1841,2025-10-17,43.8,43.9,40.8,43.7,1000
1840,2025-10-16,43.5,43.5,43.5,43.5,200
1839,2025-10-15,43.0,44.0,43.0,43.9,5200
1838,2025-10-14,43.6,43.7,43.6,43.7,200
1837,2025-10-13,44.0,44.0,43.5,43.5,1400
1836,2025-10-10,44.0,44.0,40.7,40.7,2300
1835,2025-10-09,43.2,43.2,43.2,43.2,100
1834,2025-10-08,43.0,44.2,43.0,43.3,1500
1833,2025-10-07,42.9,43.2,42.9,43.0,1400
1832,2025-10-06,43.4,43.4,43.4,43.4,100
1831,2025-10-03,43.5,43.5,42.5,42.5,600
1830,2025-10-02,42.5,42.5,41.0,41.0,4100
1829,2025-10-01,42.3,42.3,42.3,42.3,1000
1828,2025-09-30,42.3,42.3,42.3,42.3,100
1827,2025-09-29,36.3,42.7,36.3,40.8,1000
1826,2025-09-26,42.6,42.6,42.5,42.5,7010
1825,2025-09-25,40.6,40.6,40.6,40.6,8
1824,2025-09-24,40.7,40.7,40.6,40.6,14700
1823,2025-09-23,40.7,41.0,40.7,40.8,1405
1822,2025-09-22,40.8,40.8,40.5,40.6,2302
1821,2025-09-19,40.7,40.7,40.7,40.7,100
1820,2025-09-18,41.8,41.8,41.8,41.8,700
1819,2025-09-17,41.8,41.8,41.8,41.8,201
1818,2025-09-16,40.3,42.4,40.3,42.1,632
1817,2025-09-15,42.0,42.0,42.0,42.0,1800
1816,2025-09-12,42.0,43.95,41.51,41.51,3610
1815,2025-09-11,40.14,41.51,39.95,41.02,9421
1814,2025-09-10,39.95,39.95,39.75,39.75,1300
1813,2025-09-09,39.56,40.14,39.56,40.14,311
1812,2025-09-08,39.56,40.24,39.56,39.85,2200
1811,2025-09-05,39.26,39.26,39.26,39.26,1555
1810,2025-09-04,39.56,40.53,38.97,40.53,8633
1809,2025-09-03,40.04,41.02,39.17,39.17,8500
1808,2025-08-29,39.85,40.44,39.85,40.04,1700
1807,2025-08-28,40.53,40.53,40.53,40.53,100
1806,2025-08-27,39.75,40.73,39.75,40.73,212
1805,2025-08-26,40.53,40.53,40.53,40.53,1300
1804,2025-08-25,39.56,39.56,39.56,39.56,200
1803,2025-08-22,39.85,40.63,39.46,39.46,3700
1802,2025-08-21,40.53,40.53,39.85,39.85,601
1801,2025-08-20,40.53,40.53,40.53,40.53,2
1800,2025-08-19,40.44,40.53,40.44,40.53,200
1799,2025-08-18,39.17,40.14,39.17,40.14,3400
1798,2025-08-15,39.65,39.65,38.97,39.65,3302
1797,2025-08-14,39.75,39.75,39.65,39.65,700
1796,2025-08-13,39.56,40.04,39.56,39.56,6227
1795,2025-08-12,39.56,39.56,39.56,39.56,2000
1794,2025-08-11,40.53,40.53,39.07,39.07,6500
1793,2025-08-08,40.53,41.51,40.44,41.51,2605
1792,2025-08-07,41.02,41.51,40.34,40.34,907
1791,2025-08-06,41.51,41.51,41.51,41.51,103
1790,2025-08-05,41.02,41.41,41.02,41.41,600
1789,2025-08-04,41.02,41.12,40.92,40.92,905
1788,2025-08-01,41.31,41.31,41.31,41.31,5
1787,2025-07-31,41.61,41.61,41.02,41.41,1200
1786,2025-07-30,41.51,41.51,41.51,41.51,100
1785,2025-07-29,42.0,42.0,40.24,41.41,800
1784,2025-07-28,40.92,40.92,40.53,40.53,5004
1783,2025-07-25,40.83,42.0,40.83,42.0,900
1782,2025-07-24,41.12,41.12,40.53,40.53,8800
1781,2025-07-23,40.53,41.51,40.53,40.53,6500
1780,2025-07-22,40.92,40.92,39.56,40.53,5700
1779,2025-07-21,41.12,41.12,40.34,40.34,2407
1778,2025-07-18,41.8,43.46,40.44,41.02,10300
1777,2025-07-17,42.49,42.49,41.02,41.51,7300
1776,2025-07-16,42.39,42.49,42.39,42.39,2600
1775,2025-07-15,44.24,44.24,39.17,39.17,6609
1774,2025-07-14,44.44,44.44,44.24,44.24,1700
1773,2025-07-11,44.44,45.42,44.44,44.44,1200
1772,2025-07-10,44.73,44.73,44.73,44.73,200
1771,2025-07-09,44.64,44.64,44.64,44.64,378
1770,2025-07-08,44.64,44.64,44.64,44.64,1000
1769,2025-07-07,44.73,44.73,44.54,44.64,10500
1768,2025-07-04,44.83,44.83,44.64,44.73,4000
1767,2025-07-03,46.39,46.39,44.73,44.83,400
1766,2025-07-02,45.03,45.03,44.64,45.03,2500
1765,2025-07-01,44.93,45.71,44.93,45.03,800
1764,2025-06-30,46.78,46.78,46.3,46.3,904
1763,2025-06-27,44.73,44.73,44.64,44.64,1800
1762,2025-06-26,44.73,44.73,44.64,44.64,1500
1761,2025-06-25,45.03,45.03,44.73,44.73,1300
1760,2025-06-24,44.93,44.93,44.93,44.93,210
1759,2025-06-23,45.51,45.51,45.51,45.51,0
1758,2025-06-20,45.51,45.51,45.51,45.51,2100
1757,2025-06-19,45.61,45.61,45.51,45.51,300
1756,2025-06-18,45.9,45.9,45.9,45.9,1100
1755,2025-06-17,46.49,46.49,46.49,46.49,0
1754,2025-06-16,46.49,46.49,46.49,46.49,300
1753,2025-06-13,45.9,45.9,45.9,45.9,1
1752,2025-06-12,45.9,45.9,45.9,45.9,602
1751,2025-06-11,45.9,45.9,45.9,45.9,300
1750,2025-06-10,45.9,45.9,45.9,45.9,1000
1749,2025-06-09,46.39,46.39,46.2,46.2,500
1748,2025-06-06,47.37,47.37,46.39,46.39,500
1747,2025-06-05,46.98,46.98,46.98,46.98,303
1746,2025-06-04,46.98,46.98,46.98,46.98,1
1745,2025-06-03,46.78,47.37,46.39,47.37,500
1744,2025-06-02,47.08,47.37,47.08,47.37,200
1743,2025-05-30,46.49,46.49,46.49,46.49,200
1742,2025-05-29,46.39,47.08,46.1,47.08,900
1741,2025-05-28,46.78,46.78,46.59,46.59,501
1740,2025-05-27,47.08,47.08,46.59,46.59,300
1739,2025-05-26,47.08,47.08,47.08,47.08,0
1738,2025-05-23,47.37,47.66,46.39,46.78,1800
1737,2025-05-22,47.27,47.27,47.17,47.17,207
1736,2025-05-21,46.39,46.39,45.42,45.42,4024
1735,2025-05-20,45.42,47.47,45.42,47.37,4900
1734,2025-05-19,46.39,47.76,45.03,47.76,1500
1733,2025-05-16,46.88,46.98,46.88,46.88,6101
1732,2025-05-15,47.08,47.08,47.08,47.08,500
1731,2025-05-14,47.08,47.57,47.08,47.57,1205
1730,2025-05-13,47.66,47.66,47.66,47.66,100
1729,2025-05-12,47.76,47.86,47.08,47.27,1200
1728,2025-05-09,47.76,47.76,47.76,47.76,136
1727,2025-05-08,47.76,47.76,47.76,47.76,201
1726,2025-05-07,46.69,46.78,46.39,46.39,2101
1725,2025-05-06,48.15,48.15,48.15,48.15,0
1724,2025-05-05,48.25,48.25,47.86,47.86,300
1723,2025-04-29,46.78,47.66,46.39,46.49,2300
1722,2025-04-28,48.35,48.35,48.35,48.35,100
1721,2025-04-25,48.25,48.25,46.39,46.39,4700
1720,2025-04-24,48.25,48.25,48.25,48.25,0
1719,2025-04-23,47.86,48.64,47.86,47.86,902
1718,2025-04-22,46.0,46.0,45.9,45.9,1000
1717,2025-04-21,46.1,46.1,46.1,46.1,100
1716,2025-04-18,46.49,46.59,45.9,46.59,71100
1715,2025-04-17,46.88,46.88,46.88,46.88,100
1714,2025-04-16,47.37,47.37,47.17,47.17,600
1713,2025-04-15,47.47,47.47,47.47,47.47,0
1712,2025-04-14,47.37,47.47,47.37,47.47,600
1711,2025-04-11,46.59,46.88,46.59,46.78,10900
1710,2025-04-10,47.47,47.47,46.49,46.49,13501
1709,2025-04-09,46.59,46.59,46.0,46.0,16652
1708,2025-04-08,48.05,48.05,46.1,46.1,400
1707,2025-04-04,46.88,47.76,46.39,47.76,2402
1706,2025-04-03,47.57,47.57,47.08,47.08,1800
1705,2025-04-02,48.74,48.74,48.74,48.74,0
1704,2025-04-01,48.54,48.84,48.54,48.84,600
1703,2025-03-31,48.35,48.35,48.35,48.35,0
1702,2025-03-28,48.35,48.35,48.35,48.35,100
1701,2025-03-27,48.84,48.84,48.84,48.84,1000
1700,2025-03-26,47.86,47.86,47.86,47.86,0
1699,2025-03-25,47.86,47.86,47.86,47.86,692
1698,2025-03-24,47.86,47.86,47.86,47.86,708
1697,2025-03-21,47.47,47.47,47.47,47.47,110
1696,2025-03-20,48.84,48.84,48.84,48.84,100
1695,2025-03-19,48.35,48.35,48.35,48.35,0
1694,2025-03-18,48.35,48.35,48.35,48.35,5600
1693,2025-03-17,47.37,48.35,46.88,48.35,800
1692,2025-03-14,47.37,47.37,47.37,47.37,100
1691,2025-03-13,48.74,48.84,48.74,48.84,7000
1690,2025-03-12,48.35,48.84,48.35,48.35,2676
1689,2025-03-11,47.86,48.84,47.86,48.35,5100
1688,2025-03-10,47.47,48.84,47.47,48.84,1700
1687,2025-03-07,47.37,47.37,47.37,47.37,200
1686,2025-03-06,50.2,50.2,50.2,50.2,301
1685,2025-03-05,49.81,49.81,49.81,49.81,700
1684,2025-03-04,49.81,49.81,48.84,48.84,700
1683,2025-03-03,49.81,49.81,49.81,49.81,200
1682,2025-02-28,48.84,49.62,48.84,48.84,511
1681,2025-02-27,48.35,48.35,48.35,48.35,0
1680,2025-02-26,48.84,48.84,47.86,47.86,200
