,Date,Open,High,Low,Close
4423,2025-10-17,14.9,15.0,14.9,15.0
4422,2025-10-10,13.0,13.8,13.0,13.8
4421,2025-10-03,12.0,12.5,12.0,12.5
4420,2025-09-26,13.1,13.1,13.1,13.1
4419,2025-09-12,12.8,13.0,12.8,13.0
4418,2025-09-05,13.0,13.0,13.0,13.0
4417,2025-08-29,13.0,13.1,13.0,13.0
4416,2025-08-22,13.5,13.5,13.1,13.1
4415,2025-08-15,13.8,13.8,13.8,13.8
4414,2025-08-08,13.9,13.9,13.8,13.8
4413,2025-08-01,13.7,13.7,13.5,13.5
4412,2025-07-25,12.8,14.7,12.8,14.7
4411,2025-07-18,11.1,12.9,11.1,12.9
4410,2025-07-04,12.9,12.9,12.9,12.9
4409,2025-06-27,12.9,12.9,12.9,12.9
4408,2025-06-20,12.8,12.9,12.8,12.9
4407,2025-06-13,11.3,11.3,11.3,11.3
4406,2025-06-06,13.2,13.2,13.2,13.2
4405,2025-05-30,11.5,11.5,11.5,11.5
4404,2025-05-16,13.5,13.5,13.5,13.5
4403,2025-04-11,13.9,13.9,13.5,13.5
4402,2025-04-04,14.3,14.3,14.1,14.1
4401,2025-03-28,16.5,16.5,16.5,16.5
4400,2025-03-21,15.4,15.4,15.4,15.4
4399,2025-03-07,15.5,15.5,15.0,15.0
4398,2025-02-28,15.0,15.0,15.0,15.0
4397,2025-02-14,16.1,16.1,14.1,14.1
4396,2025-02-07,16.1,16.1,14.0,14.0
4395,2025-01-24,14.0,14.0,14.0,14.0
4394,2025-01-17,14.0,14.0,14.0,14.0
4393,2025-01-10,14.0,14.0,14.0,14.0
4392,2025-01-03,16.4,16.4,16.4,16.4
4391,2024-12-20,14.1,14.3,14.1,14.3
4390,2024-12-06,15.7,15.7,15.5,15.5
4389,2024-11-29,13.5,13.5,13.5,13.5
4388,2024-11-22,15.5,15.5,14.0,14.0
4387,2024-11-15,13.5,13.5,13.5,13.5
4386,2024-11-08,13.0,13.0,13.0,13.0
4385,2024-11-01,17.1,17.1,14.8,14.8
4384,2024-10-25,15.0,15.0,14.4,14.4
4383,2024-10-04,16.0,16.0,16.0,16.0
4382,2024-09-27,16.9,16.9,16.9,16.9
4381,2024-09-20,16.9,16.9,16.9,16.9
4380,2024-09-13,16.0,18.5,16.0,18.5
4379,2024-09-06,17.2,17.2,17.2,17.2
4378,2024-08-30,14.2,18.4,14.2,18.4
4377,2024-08-23,16.1,16.1,16.1,16.1
4376,2024-08-09,14.1,14.1,14.1,14.1
