,Date,Open,High,Low,Close
1122,2025-10-17,63.2,63.3,63.0,63.0
1121,2025-10-16,63.1,63.4,62.7,63.1
1120,2025-10-15,62.9,63.2,62.6,63.2
1119,2025-10-14,63.9,64.2,63.1,63.2
1118,2025-10-13,64.2,64.2,63.0,64.0
1117,2025-10-10,65.3,65.4,63.0,64.2
1116,2025-10-09,66.7,66.9,64.8,65.5
1115,2025-10-08,66.6,66.9,64.8,66.8
1114,2025-10-07,66.8,67.2,66.6,66.6
1113,2025-10-06,66.5,66.9,66.5,66.9
1112,2025-10-03,66.1,66.7,66.0,66.5
1111,2025-10-02,65.7,66.4,65.7,66.3
1110,2025-10-01,65.6,65.9,65.5,65.9
1109,2025-09-30,65.7,65.9,65.5,65.6
1108,2025-09-29,64.8,66.0,64.0,65.8
1107,2025-09-26,64.5,64.8,64.5,64.8
1106,2025-09-25,64.2,64.7,64.2,64.6
1105,2025-09-24,64.0,64.2,63.8,64.2
1104,2025-09-23,63.7,64.1,63.7,64.1
1103,2025-09-22,63.8,64.0,63.6,63.6
1102,2025-09-19,64.0,64.2,63.8,63.9
1101,2025-09-18,64.0,64.1,63.9,64.1
1100,2025-09-17,64.2,64.3,63.9,64.1
1099,2025-09-16,64.1,64.4,64.1,64.3
1098,2025-09-15,63.7,64.0,63.7,64.0
1097,2025-09-12,63.5,63.9,63.5,63.7
1096,2025-09-11,63.5,63.6,63.3,63.4
1095,2025-09-10,63.2,63.6,63.2,63.5
1094,2025-09-09,63.6,63.8,62.7,63.3
1093,2025-09-08,64.2,64.2,63.6,63.6
1092,2025-09-05,64.0,64.3,63.6,64.2
1091,2025-09-04,63.8,64.1,63.7,63.9
1090,2025-09-03,63.0,63.5,63.0,63.5
1089,2025-08-29,64.3,64.5,63.0,63.2
1088,2025-08-28,63.9,64.3,63.9,64.3
1087,2025-08-27,63.6,64.0,62.5,63.9
1086,2025-08-26,63.0,63.8,63.0,63.5
1085,2025-08-25,64.6,64.7,63.0,63.0
1084,2025-08-22,65.0,65.0,64.4,64.6
1083,2025-08-21,65.1,65.8,65.1,65.2
1082,2025-08-20,65.6,65.7,65.2,65.3
1081,2025-08-19,64.6,65.0,64.6,64.9
1080,2025-08-18,64.5,64.7,64.3,64.6
1079,2025-08-15,64.4,64.8,64.4,64.5
1078,2025-08-14,64.5,64.8,64.5,64.5
1077,2025-08-13,64.4,64.6,64.2,64.4
1076,2025-08-12,64.5,64.5,64.2,64.4
1075,2025-08-11,64.2,64.6,64.2,64.5
1074,2025-08-08,64.3,64.6,64.3,64.3
1073,2025-08-07,64.6,64.7,64.4,64.4
1072,2025-08-06,64.7,64.8,64.5,64.7
1071,2025-08-05,64.5,64.8,64.5,64.6
1070,2025-08-04,64.3,64.6,64.3,64.5
1069,2025-08-01,64.3,64.7,64.2,64.3
1068,2025-07-31,64.8,64.9,64.4,64.4
1067,2025-07-30,64.9,65.0,64.8,64.9
1066,2025-07-29,65.0,65.0,64.6,64.9
1065,2025-07-28,64.7,65.2,64.7,65.0
1064,2025-07-25,64.3,64.7,64.0,64.7
1063,2025-07-24,64.7,64.8,64.4,64.4
1062,2025-07-23,64.7,64.9,64.6,64.7
1061,2025-07-22,64.4,64.7,64.1,64.7
1060,2025-07-21,64.4,64.6,64.1,64.5
1059,2025-07-18,64.6,64.6,64.3,64.4
1058,2025-07-17,64.7,64.9,64.6,64.7
1057,2025-07-16,64.8,65.0,64.5,64.6
1056,2025-07-15,64.6,64.9,63.5,64.7
1055,2025-07-14,64.9,64.9,64.3,64.6
1054,2025-07-11,65.6,65.8,65.1,65.1
1053,2025-07-10,65.7,65.9,65.7,65.8
1052,2025-07-09,65.5,65.7,65.5,65.7
1051,2025-07-08,65.1,65.5,65.0,65.5
1050,2025-07-07,64.5,65.2,62.0,65.1
1049,2025-07-04,64.9,65.0,64.3,64.5
1048,2025-07-03,65.3,65.3,64.8,64.8
1047,2025-07-02,65.5,65.5,65.1,65.3
1046,2025-07-01,66.0,66.1,65.5,65.5
1045,2025-06-30,66.1,66.4,66.1,66.1
1044,2025-06-27,66.0,66.3,65.9,66.3
1043,2025-06-26,66.3,66.4,66.1,66.1
1042,2025-06-25,65.9,66.3,65.9,66.3
1041,2025-06-24,65.1,66.0,65.1,65.9
1040,2025-06-23,64.9,65.3,64.7,65.2
1039,2025-06-20,65.2,65.3,65.0,65.0
1038,2025-06-19,65.0,65.3,64.9,65.2
1037,2025-06-18,65.0,65.2,64.9,65.0
1036,2025-06-17,64.9,65.2,64.9,65.1
1035,2025-06-16,64.3,64.6,64.3,64.6
1034,2025-06-13,64.1,64.3,63.8,64.3
1033,2025-06-12,63.8,65.8,63.7,64.6
1032,2025-06-11,63.8,63.9,62.7,63.7
1031,2025-06-10,63.4,63.9,63.3,63.9
1030,2025-06-09,63.6,63.6,63.3,63.4
1029,2025-06-06,63.9,64.0,63.5,63.5
1028,2025-06-05,63.9,63.9,63.6,63.7
1027,2025-06-04,64.1,64.3,63.0,63.8
1026,2025-06-03,63.3,64.1,63.3,64.1
1025,2025-06-02,63.3,63.3,62.8,63.3
1024,2025-05-30,62.2,63.0,62.2,63.0
1023,2025-05-29,61.5,62.0,60.2,62.0
1022,2025-05-28,61.1,61.5,61.1,61.5
1021,2025-05-27,60.9,61.3,60.9,61.2
1020,2025-05-26,61.0,61.0,60.6,60.7
1019,2025-05-23,62.8,62.8,60.8,60.9
1018,2025-05-22,64.5,64.5,62.6,62.7
1017,2025-05-21,62.4,65.7,62.4,65.2
1016,2025-05-20,63.6,63.6,62.0,62.4
1015,2025-05-19,64.1,64.1,61.0,63.5
1014,2025-05-16,63.5,63.7,62.0,63.4
1013,2025-05-15,65.2,65.2,63.0,63.3
1012,2025-05-14,66.1,66.1,64.0,64.9
1011,2025-05-13,66.1,66.5,66.0,66.0
1010,2025-05-12,66.1,66.4,66.1,66.2
1009,2025-05-09,66.6,66.8,66.2,66.2
1008,2025-05-08,66.5,66.9,66.5,66.6
1007,2025-05-07,66.7,66.8,66.5,66.6
1006,2025-05-06,66.7,66.9,66.7,66.8
1005,2025-05-05,66.7,66.8,66.6,66.7
1004,2025-04-29,66.7,66.8,66.7,66.7
1003,2025-04-28,66.8,66.9,66.8,66.8
1002,2025-04-25,64.5,67.6,64.5,67.0
1001,2025-04-24,65.6,65.6,65.0,65.0
1000,2025-04-23,65.8,65.8,65.7,65.7
999,2025-04-22,65.9,65.9,64.0,65.8
998,2025-04-21,66.0,66.0,60.2,65.9
997,2025-04-18,66.4,66.4,66.2,66.2
996,2025-04-17,66.7,66.7,66.5,66.6
995,2025-04-16,66.5,66.8,66.5,66.8
994,2025-04-15,67.6,67.6,66.5,66.5
993,2025-04-14,67.9,68.1,67.6,67.6
992,2025-04-11,67.6,67.8,67.6,67.8
991,2025-04-10,67.3,67.6,67.3,67.6
990,2025-04-09,67.4,67.4,67.2,67.2
989,2025-04-08,67.7,67.9,67.4,67.5
988,2025-04-04,68.0,68.0,67.8,67.9
987,2025-04-03,68.5,68.7,68.5,68.6
986,2025-04-02,66.1,68.6,65.9,68.6
985,2025-04-01,71.2,71.2,66.4,66.4
984,2025-03-31,71.7,71.7,71.4,71.4
983,2025-03-28,72.2,72.4,72.1,72.1
982,2025-03-27,73.6,73.6,69.3,72.7
981,2025-03-26,74.0,74.1,71.9,74.0
980,2025-03-25,75.5,75.5,74.3,74.3
979,2025-03-24,76.2,76.3,75.9,75.9
978,2025-03-21,77.2,77.4,76.8,76.9
977,2025-03-20,76.5,77.3,76.5,77.1
976,2025-03-19,89.3,89.3,73.8,77.0
975,2025-03-18,81.2,81.2,81.2,81.2
974,2025-03-17,73.9,73.9,73.9,73.9
973,2025-03-14,67.0,67.3,67.0,67.2
972,2025-03-13,66.7,67.0,66.5,67.0
971,2025-03-12,65.5,71.9,65.5,67.0
970,2025-03-11,65.7,65.7,65.3,65.4
969,2025-03-10,65.5,65.7,65.4,65.5
968,2025-03-07,65.5,65.7,65.4,65.6
967,2025-03-06,65.3,65.6,65.3,65.6
966,2025-03-05,65.2,65.4,65.2,65.4
965,2025-03-04,65.4,65.6,65.2,65.3
964,2025-03-03,65.3,65.6,65.3,65.5
963,2025-02-28,65.3,65.5,65.1,65.2
962,2025-02-27,65.3,65.5,65.1,65.2
961,2025-02-26,65.2,65.5,65.2,65.4
960,2025-02-25,65.4,65.4,65.2,65.3
959,2025-02-24,65.3,65.5,65.2,65.4
958,2025-02-21,65.5,65.6,65.3,65.3
957,2025-02-20,65.4,65.5,65.4,65.5
956,2025-02-19,65.6,65.6,65.3,65.4
955,2025-02-18,65.5,65.7,65.3,65.7
954,2025-02-17,65.4,65.7,65.4,65.6
953,2025-02-14,65.3,65.5,65.1,65.5
952,2025-02-13,65.4,65.5,65.3,65.3
951,2025-02-12,65.4,65.6,65.4,65.5
