,Date,Open,High,Low,Close,Volume
4499,2025-10-24,3.6,3.7,3.6,3.6,8100
4498,2025-10-23,3.7,3.7,3.6,3.7,27300
4497,2025-10-22,3.7,3.7,3.6,3.7,8300
4496,2025-10-21,3.7,3.7,3.7,3.7,1000
4495,2025-10-20,3.7,3.7,3.6,3.7,7300
4494,2025-10-17,3.6,3.6,3.6,3.6,6600
4493,2025-10-16,3.6,3.6,3.6,3.6,5600
4492,2025-10-15,3.7,3.7,3.7,3.7,3500
4491,2025-10-14,3.7,3.7,3.7,3.7,2500
4490,2025-10-13,3.7,3.8,3.7,3.8,500
4489,2025-10-10,3.7,3.8,3.7,3.8,2000
4488,2025-10-09,3.8,3.8,3.8,3.8,100
4487,2025-10-08,3.8,3.8,3.7,3.8,14100
4486,2025-10-07,3.7,3.7,3.7,3.7,2000
4485,2025-10-06,3.5,3.8,3.5,3.7,29200
4484,2025-10-01,3.8,3.8,3.7,3.8,2200
4483,2025-09-30,3.7,3.8,3.7,3.8,4100
4482,2025-09-26,3.8,3.8,3.8,3.8,1400
4481,2025-09-25,3.8,3.8,3.8,3.8,100
4480,2025-09-24,3.8,3.8,3.8,3.8,5300
4479,2025-09-19,3.9,3.9,3.8,3.8,200
4478,2025-09-18,3.8,3.8,3.8,3.8,3900
4477,2025-09-17,3.8,3.8,3.8,3.8,3500
4476,2025-09-16,3.8,3.8,3.7,3.8,400
4475,2025-09-15,3.9,3.9,3.8,3.8,300
4474,2025-09-12,3.8,3.8,3.8,3.8,1200
4473,2025-09-11,3.8,3.8,3.8,3.8,5600
4472,2025-09-10,3.8,3.9,3.8,3.9,7800
4471,2025-09-09,3.8,3.8,3.8,3.8,3300
4470,2025-09-08,3.8,3.8,3.7,3.8,41900
4469,2025-09-05,3.8,3.8,3.8,3.8,63700
4468,2025-09-04,3.8,3.8,3.8,3.8,39600
4467,2025-09-03,3.8,3.8,3.8,3.8,2900
4466,2025-08-29,3.8,3.8,3.8,3.8,34400
4465,2025-08-28,3.8,3.8,3.7,3.8,15500
4464,2025-08-27,3.9,3.9,3.7,3.8,24500
4463,2025-08-26,3.8,3.8,3.8,3.8,17900
4462,2025-08-25,3.9,3.9,3.7,3.8,8000
4461,2025-08-22,4.0,4.0,3.8,3.8,40700
4460,2025-08-21,3.9,3.9,3.8,3.8,17900
4459,2025-08-20,4.0,4.0,3.9,3.9,63200
4458,2025-08-19,4.0,4.1,4.0,4.0,87900
4457,2025-08-18,3.9,4.0,3.9,3.9,45700
4456,2025-08-15,3.8,4.0,3.8,3.9,8800
4455,2025-08-14,4.0,4.0,3.9,3.9,51300
4454,2025-08-13,4.0,4.1,3.9,4.0,19400
4453,2025-08-12,4.1,4.1,3.9,4.0,18600
4452,2025-08-11,4.0,4.1,4.0,4.0,21400
4451,2025-08-08,4.0,4.1,3.9,4.0,57600
4450,2025-08-07,3.9,4.0,3.9,4.0,15300
4449,2025-08-06,4.0,4.0,3.9,3.9,19200
4448,2025-08-05,4.0,4.0,3.9,3.9,5500
4447,2025-08-04,4.0,4.0,4.0,4.0,1100
4446,2025-08-01,4.0,4.0,3.8,3.8,1500
4445,2025-07-31,4.0,4.0,4.0,4.0,9600
4444,2025-07-30,3.9,3.9,3.8,3.9,25100
4443,2025-07-29,4.0,4.2,3.9,3.9,84600
4442,2025-07-28,4.1,4.1,4.0,4.0,21400
4441,2025-07-25,4.1,4.1,4.0,4.0,6800
4440,2025-07-24,4.0,4.1,4.0,4.0,157100
4439,2025-07-23,4.1,4.1,3.9,3.9,49500
4438,2025-07-22,4.0,4.1,3.9,3.9,81100
4437,2025-07-21,3.8,4.0,3.8,3.9,116900
4436,2025-07-18,3.9,3.9,3.8,3.8,6900
4435,2025-07-17,3.8,3.9,3.8,3.9,1300
4434,2025-07-16,3.8,4.0,3.8,3.9,35200
4433,2025-07-15,3.8,3.8,3.8,3.8,25300
4432,2025-07-14,3.8,3.8,3.8,3.8,3300
4431,2025-07-11,3.8,3.9,3.8,3.8,5600
4430,2025-07-10,3.8,3.9,3.8,3.8,15600
4429,2025-07-09,3.8,3.8,3.8,3.8,11700
4428,2025-07-08,3.8,3.8,3.7,3.7,8000
4427,2025-07-07,3.7,3.7,3.7,3.7,2600
4426,2025-07-04,3.7,3.7,3.7,3.7,4100
4425,2025-07-03,3.7,3.7,3.7,3.7,9900
4424,2025-07-02,3.7,3.7,3.6,3.7,6800
4423,2025-07-01,3.7,3.7,3.7,3.7,5000
4422,2025-06-30,3.7,3.7,3.7,3.7,9600
4421,2025-06-27,3.7,3.7,3.7,3.7,2100
4420,2025-06-26,3.7,3.7,3.6,3.7,6600
4419,2025-06-25,3.7,3.7,3.7,3.7,7100
4418,2025-06-24,3.7,3.7,3.7,3.7,3900
4417,2025-06-23,3.8,3.8,3.7,3.7,57500
4416,2025-06-20,3.7,3.8,3.7,3.8,8900
4415,2025-06-18,3.8,3.8,3.7,3.7,24000
4414,2025-06-17,3.8,3.9,3.8,3.8,4200
4413,2025-06-16,3.8,3.8,3.7,3.8,32000
4412,2025-06-13,3.8,3.8,3.8,3.8,15900
4411,2025-06-12,3.8,3.9,3.8,3.9,10600
4410,2025-06-11,3.8,3.9,3.8,3.8,72900
4409,2025-06-10,3.8,3.8,3.8,3.8,1900
4408,2025-06-06,3.8,3.8,3.8,3.8,2100
4407,2025-06-05,3.8,3.9,3.7,3.8,31600
4406,2025-06-04,3.7,3.8,3.7,3.8,5000
4405,2025-06-03,3.7,3.8,3.7,3.7,18000
4404,2025-06-02,3.7,3.7,3.6,3.7,48300
4403,2025-05-30,3.8,3.8,3.6,3.7,140700
4402,2025-05-29,3.8,4.2,3.8,3.8,171000
4401,2025-05-28,3.9,3.9,3.8,3.8,126300
4400,2025-05-26,3.8,3.9,3.8,3.8,7000
4399,2025-05-21,3.9,3.9,3.9,3.9,100
4398,2025-05-20,3.8,3.8,3.8,3.8,14600
4397,2025-05-19,3.8,3.9,3.8,3.9,12200
4396,2025-05-16,3.8,3.9,3.8,3.9,28000
4395,2025-05-14,3.8,3.9,3.8,3.9,7100
4394,2025-05-13,3.8,3.9,3.8,3.9,30100
4393,2025-05-12,3.9,3.9,3.9,3.9,1200
4392,2025-05-09,3.8,3.9,3.8,3.8,9200
4391,2025-05-08,3.8,3.8,3.8,3.8,1400
4390,2025-05-07,3.8,3.8,3.8,3.8,1600
4389,2025-05-06,3.8,3.8,3.8,3.8,11500
4388,2025-05-05,3.7,3.7,3.7,3.7,2000
4387,2025-04-29,3.7,3.8,3.7,3.8,7300
4386,2025-04-28,3.8,3.8,3.7,3.8,6900
4385,2025-04-25,4.3,4.3,3.9,3.9,70000
4384,2025-04-24,3.6,4.0,3.6,4.0,298100
4383,2025-04-23,3.5,3.5,3.5,3.5,10800
4382,2025-04-22,3.4,3.4,3.4,3.4,54300
4381,2025-04-21,3.5,3.5,3.4,3.4,67500
4380,2025-04-18,3.5,3.6,3.5,3.6,38900
4379,2025-04-17,3.5,3.6,3.4,3.4,27700
4378,2025-04-16,3.5,3.6,3.5,3.6,3000
4377,2025-04-15,3.6,3.6,3.5,3.6,18600
4376,2025-04-14,3.6,3.7,3.6,3.7,39100
4375,2025-04-11,3.6,3.6,3.4,3.4,8800
4374,2025-04-10,3.6,3.6,3.6,3.6,7800
4373,2025-04-09,3.2,3.3,3.2,3.2,35700
4372,2025-04-08,3.3,3.3,3.3,3.3,8000
4371,2025-04-04,3.5,3.5,3.5,3.5,42200
4370,2025-04-03,3.8,3.8,3.6,3.7,17200
4369,2025-04-02,3.9,3.9,3.9,3.9,16600
4368,2025-04-01,4.0,4.0,3.9,3.9,1600
4367,2025-03-31,3.9,3.9,3.9,3.9,31500
4366,2025-03-28,3.9,3.9,3.9,3.9,40800
4365,2025-03-27,3.9,3.9,3.9,3.9,5800
4364,2025-03-26,4.0,4.0,4.0,4.0,200
4363,2025-03-25,3.9,3.9,3.9,3.9,48900
4362,2025-03-24,3.9,4.1,3.9,4.1,2700
4361,2025-03-21,4.0,4.0,4.0,4.0,13000
4360,2025-03-20,3.9,4.0,3.9,3.9,20700
4359,2025-03-19,3.9,4.0,3.9,4.0,4200
4358,2025-03-18,3.9,3.9,3.9,3.9,10100
4357,2025-03-17,3.9,3.9,3.8,3.9,4100
4356,2025-03-14,3.9,4.0,3.8,3.9,33100
4355,2025-03-13,3.9,3.9,3.8,3.8,20500
4354,2025-03-12,3.8,4.0,3.8,4.0,34200
4353,2025-03-11,3.8,3.9,3.8,3.8,8700
4352,2025-03-10,3.8,3.9,3.8,3.9,4200
4351,2025-03-07,3.9,3.9,3.8,3.8,26700
4350,2025-03-06,3.9,3.9,3.9,3.9,56800
4349,2025-03-05,4.0,4.0,4.0,4.0,3100
4348,2025-03-04,3.9,4.0,3.9,4.0,29400
4347,2025-03-03,4.0,4.0,4.0,4.0,20400
4346,2025-02-28,4.0,4.1,4.0,4.1,104800
4345,2025-02-27,4.1,4.1,4.0,4.0,45600
4344,2025-02-26,4.1,4.2,4.1,4.1,83700
4343,2025-02-25,4.0,4.0,4.0,4.0,4000
4342,2025-02-24,3.9,4.0,3.9,4.0,33400
4341,2025-02-21,3.9,4.0,3.9,3.9,30000
4340,2025-02-20,4.0,4.0,3.9,3.9,72300
4339,2025-02-19,4.0,4.0,3.9,4.0,31000
4338,2025-02-18,4.3,4.3,3.9,3.9,102100
4337,2025-02-17,3.8,4.3,3.8,4.3,200500
4336,2025-02-14,3.8,3.9,3.7,3.7,23600
4335,2025-02-13,3.7,3.8,3.6,3.8,33100
4334,2025-02-12,3.6,3.6,3.6,3.6,8900
4333,2025-02-11,3.8,3.8,3.7,3.7,15000
4332,2025-02-10,3.6,3.7,3.6,3.7,21000
4331,2025-02-07,3.6,3.7,3.6,3.6,31300
4330,2025-02-06,3.6,3.6,3.6,3.6,7900
4329,2025-02-05,3.6,3.6,3.6,3.6,300
4328,2025-02-03,3.6,3.6,3.5,3.5,23500
4327,2025-01-24,3.5,3.6,3.5,3.6,1700
4326,2025-01-23,3.5,3.5,3.5,3.5,18100
4325,2025-01-22,3.6,3.6,3.5,3.5,13400
4324,2025-01-21,3.3,3.5,3.0,3.5,27800
4323,2025-01-20,3.5,3.5,3.5,3.5,24800
4322,2025-01-17,3.4,3.5,3.4,3.5,1500
