,Date,Open,High,Low,Close
3761,2025-10-17,22.0,22.0,20.5,21.7
3760,2025-10-16,19.96,20.04,19.07,19.69
3759,2025-10-15,20.58,20.58,20.04,20.04
3758,2025-10-14,20.49,20.49,20.13,20.22
3757,2025-10-13,20.75,20.84,20.4,20.49
3756,2025-10-10,20.84,20.84,20.31,20.84
3755,2025-10-09,20.66,21.29,20.66,20.84
3754,2025-10-08,20.75,20.75,20.75,20.75
3753,2025-10-07,20.75,20.84,20.66,20.66
3752,2025-10-06,20.66,21.11,20.58,21.11
3751,2025-10-03,20.4,20.66,20.4,20.66
3750,2025-10-02,20.58,20.84,20.04,20.84
3749,2025-10-01,20.58,20.58,20.58,20.58
3748,2025-09-30,20.4,20.84,20.22,20.84
3747,2025-09-29,21.02,21.11,20.66,20.84
3746,2025-09-26,21.11,21.29,21.02,21.02
3745,2025-09-25,21.02,21.55,21.02,21.29
3744,2025-09-24,21.2,21.29,21.2,21.2
3743,2025-09-23,21.11,21.29,21.11,21.11
3742,2025-09-22,21.2,21.37,21.11,21.2
3741,2025-09-19,20.93,21.29,20.93,21.02
3740,2025-09-18,21.29,21.29,21.29,21.29
3739,2025-09-17,22.0,22.0,21.46,21.46
3738,2025-09-16,22.17,22.17,21.91,22.0
3737,2025-09-15,20.84,21.82,20.84,21.82
3736,2025-09-12,20.4,20.84,20.31,20.75
3735,2025-09-11,20.4,20.49,20.22,20.4
3734,2025-09-10,20.31,20.49,20.31,20.4
3733,2025-09-09,20.31,20.49,20.31,20.49
3732,2025-09-08,20.75,20.75,20.22,20.22
3731,2025-09-05,20.84,20.93,20.66,20.66
3730,2025-09-04,21.64,21.64,20.66,20.75
3729,2025-09-03,20.75,20.75,20.75,20.75
3728,2025-08-29,21.29,21.29,20.4,20.75
3727,2025-08-28,21.29,21.29,20.4,20.49
3726,2025-08-27,20.4,20.49,20.31,20.4
3725,2025-08-26,20.4,20.4,20.22,20.31
3724,2025-08-25,20.22,20.49,20.22,20.4
3723,2025-08-22,20.4,20.4,20.13,20.13
3722,2025-08-21,20.49,20.49,20.04,20.13
3721,2025-08-20,21.02,21.2,20.13,20.4
3720,2025-08-19,21.11,21.46,20.58,21.29
3719,2025-08-18,21.2,21.2,20.93,21.02
