,Date,Open,High,Low,Close
1909,2025-06-19,10.1,10.3,10.0,10.0
1908,2025-06-18,10.2,10.4,10.2,10.4
1907,2025-06-17,10.3,10.3,10.1,10.2
1906,2025-06-16,10.1,10.2,10.0,10.2
1905,2025-06-13,10.3,10.3,10.1,10.1
1904,2025-06-12,10.1,10.4,10.1,10.4
1903,2025-06-11,10.7,10.7,10.1,10.1
1902,2025-06-10,10.0,10.5,10.0,10.5
1901,2025-06-09,9.8,10.0,9.8,10.0
1900,2025-06-06,9.3,9.3,9.1,9.3
1899,2025-06-05,9.4,9.4,8.9,9.4
1898,2025-06-04,9.4,9.4,9.3,9.4
1897,2025-06-03,9.4,9.5,9.3,9.4
1896,2025-06-02,9.8,9.8,8.8,9.6
1895,2025-05-30,9.9,10.0,9.5,9.9
1894,2025-05-29,10.1,10.2,9.5,10.0
1893,2025-05-28,10.9,10.9,9.8,10.3
1892,2025-05-27,12.0,12.0,10.5,10.8
1891,2025-05-26,13.2,13.5,12.0,12.8
1890,2025-05-23,12.8,14.5,12.8,14.5
1889,2025-05-22,12.7,12.8,12.7,12.8
1888,2025-05-21,12.7,12.8,12.7,12.8
1887,2025-05-20,12.8,12.8,12.8,12.8
1886,2025-05-19,11.93,12.7,11.93,12.7
1885,2025-05-16,12.41,12.89,12.31,12.89
1884,2025-05-15,12.41,12.5,12.31,12.5
1883,2025-05-14,12.31,12.5,12.31,12.5
1882,2025-05-13,11.54,12.41,11.54,12.41
1881,2025-05-12,11.64,12.41,11.64,12.02
1880,2025-05-09,11.74,12.22,11.54,11.54
1879,2025-05-08,12.79,12.79,11.64,11.64
1878,2025-05-07,12.89,12.89,11.93,11.93
1877,2025-05-06,11.64,11.64,11.54,11.54
1876,2025-05-05,12.22,12.79,12.02,12.79
1875,2025-04-29,12.41,12.79,12.31,12.41
1874,2025-04-28,12.5,12.99,11.35,11.35
1873,2025-04-25,12.5,12.99,12.5,12.5
1872,2025-04-24,12.79,12.99,12.12,12.5
1871,2025-04-23,13.08,13.47,13.08,13.27
1870,2025-04-22,13.66,13.66,13.08,13.08
1869,2025-04-21,13.47,13.47,13.08,13.18
1868,2025-04-18,12.99,13.37,12.79,12.89
1867,2025-04-17,12.7,13.47,12.7,12.89
1866,2025-04-16,13.37,14.14,13.37,13.47
1865,2025-04-15,11.54,14.33,11.54,13.18
1864,2025-04-14,14.14,14.14,12.79,12.99
1863,2025-04-11,13.37,13.85,13.37,13.56
1862,2025-04-10,13.47,14.43,13.18,14.14
1861,2025-04-09,12.99,13.47,12.31,13.47
1860,2025-04-08,12.99,12.99,12.99,12.99
1859,2025-04-04,12.5,14.81,12.5,13.56
1858,2025-04-03,14.91,14.91,13.56,14.14
1857,2025-04-02,14.91,15.87,14.91,15.87
1856,2025-04-01,15.58,15.58,14.91,14.91
1855,2025-03-31,15.68,15.68,15.68,15.68
1854,2025-03-28,15.97,15.97,15.68,15.68
1853,2025-03-27,15.87,16.35,15.87,15.97
1852,2025-03-26,15.87,16.26,15.68,15.87
1851,2025-03-25,14.52,15.39,14.43,15.39
1850,2025-03-24,14.52,14.52,14.43,14.43
1849,2025-03-21,14.43,14.52,14.43,14.43
1848,2025-03-20,14.43,14.91,14.43,14.52
1847,2025-03-19,15.87,15.87,15.68,15.68
1846,2025-03-18,15.87,15.97,15.87,15.97
1845,2025-03-17,16.35,16.54,15.78,15.87
1844,2025-03-14,14.91,16.35,14.91,16.35
1843,2025-03-13,14.91,14.91,14.91,14.91
1842,2025-03-12,13.18,13.18,13.08,13.08
1841,2025-03-11,14.91,14.91,14.91,14.91
1840,2025-03-10,15.87,15.87,14.52,14.81
1839,2025-03-07,16.26,16.26,16.26,16.26
1838,2025-03-06,16.35,16.35,14.62,14.62
1837,2025-03-05,14.33,16.26,14.33,14.72
1836,2025-03-04,14.33,14.33,14.33,14.33
1835,2025-03-03,13.95,14.91,13.95,14.14
1834,2025-02-28,14.91,15.2,14.52,15.2
1833,2025-02-27,14.43,14.43,14.43,14.43
1832,2025-02-26,16.93,16.93,16.93,16.93
1831,2025-02-25,16.93,16.93,16.93,16.93
1830,2025-02-24,15.87,15.87,14.62,14.62
1829,2025-02-21,17.03,17.03,16.93,16.93
1828,2025-02-20,15.39,15.39,14.52,14.62
1827,2025-02-19,14.91,14.91,14.43,14.43
1826,2025-02-18,14.52,15.1,14.52,15.1
1825,2025-02-17,14.52,14.52,14.43,14.43
1824,2025-02-14,13.66,13.66,13.66,13.66
1823,2025-02-13,13.85,13.85,13.56,13.56
1822,2025-02-12,15.01,15.01,14.81,14.81
1821,2025-02-11,14.43,15.58,14.43,15.58
1820,2025-02-10,14.04,14.04,13.47,13.95
1819,2025-02-07,13.95,14.43,13.47,14.43
1818,2025-02-06,12.99,13.47,12.99,13.47
1817,2025-02-05,12.89,12.89,12.89,12.89
1816,2025-02-04,12.79,12.89,12.79,12.89
1815,2025-02-03,12.7,12.7,12.7,12.7
1814,2025-01-24,12.41,13.47,12.41,13.08
1813,2025-01-23,11.83,12.41,11.83,12.41
1812,2025-01-22,11.64,11.64,11.64,11.64
1811,2025-01-21,11.54,11.54,11.25,11.54
1810,2025-01-20,11.06,11.06,11.06,11.06
1809,2025-01-17,11.06,11.06,11.06,11.06
1808,2025-01-16,11.06,11.06,11.06,11.06
1807,2025-01-15,11.06,11.06,11.06,11.06
1806,2025-01-14,11.06,11.06,11.06,11.06
1805,2025-01-13,12.7,12.7,12.7,12.7
1804,2025-01-10,11.06,11.06,11.06,11.06
1803,2025-01-09,11.06,11.06,11.06,11.06
1802,2025-01-08,11.06,11.06,11.06,11.06
1801,2025-01-07,11.06,11.06,11.06,11.06
1800,2025-01-06,11.06,11.06,11.06,11.06
1799,2025-01-03,10.97,11.06,10.97,11.06
1798,2025-01-02,11.06,11.06,11.06,11.06
1797,2024-12-31,12.31,12.31,12.31,12.31
1796,2024-12-30,12.31,12.31,12.31,12.31
1795,2024-12-27,12.31,12.31,12.31,12.31
1794,2024-12-26,12.31,12.31,12.31,12.31
1793,2024-12-25,12.31,12.31,12.31,12.31
1792,2024-12-24,12.5,12.5,12.5,12.5
1791,2024-12-23,12.5,12.5,12.5,12.5
1790,2024-12-20,11.54,11.54,11.54,11.54
1789,2024-12-19,11.54,11.54,11.54,11.54
1788,2024-12-18,11.54,11.54,11.54,11.54
1787,2024-12-17,11.45,11.45,11.45,11.45
1786,2024-12-16,11.54,11.54,11.45,11.45
1785,2024-12-13,12.02,12.02,12.02,12.02
1784,2024-12-12,11.25,11.25,11.25,11.25
1783,2024-12-11,11.25,11.25,11.25,11.25
1782,2024-12-10,11.25,11.25,11.25,11.25
1781,2024-12-09,11.16,11.16,11.16,11.16
