,Date,Open,High,Low,Close
4414,2025-10-17,3.0,3.3,3.0,3.3
4413,2025-09-26,2.9,2.9,2.9,2.9
4412,2025-09-12,2.9,2.9,2.9,2.9
4411,2025-09-05,2.9,2.9,2.9,2.9
4410,2025-08-29,2.8,2.8,2.8,2.8
4409,2025-08-22,2.8,2.8,2.8,2.8
4408,2025-08-15,2.9,3.2,2.9,3.2
4407,2025-08-08,2.8,2.8,2.8,2.8
4406,2025-08-01,2.7,2.7,2.7,2.7
4405,2025-07-25,2.4,2.8,2.4,2.8
4404,2025-07-18,2.8,2.8,2.8,2.8
4403,2025-06-27,2.8,2.8,2.8,2.8
4402,2025-06-20,2.8,2.8,2.8,2.8
4401,2025-06-13,2.8,2.8,2.8,2.8
4400,2025-06-06,2.7,2.9,2.6,2.9
4399,2025-05-30,2.7,2.7,2.7,2.7
4398,2025-05-09,3.0,3.0,3.0,3.0
4397,2025-04-25,2.9,3.0,2.9,3.0
4396,2025-04-04,2.9,2.9,2.9,2.9
4395,2025-03-28,2.9,2.9,2.9,2.9
4394,2025-03-21,3.2,3.2,2.9,2.9
4393,2025-03-14,2.9,2.9,2.9,2.9
4392,2025-03-07,2.9,2.9,2.9,2.9
4391,2025-02-21,3.0,3.0,3.0,3.0
4390,2025-01-24,2.8,2.9,2.8,2.9
4389,2025-01-03,2.9,2.9,2.9,2.9
4388,2024-12-27,2.9,2.9,2.9,2.9
4387,2024-12-20,2.9,2.9,2.9,2.9
4386,2024-11-22,2.9,2.9,2.9,2.9
4385,2024-11-15,2.9,2.9,2.9,2.9
4384,2024-11-08,2.8,2.9,2.8,2.9
4383,2024-10-11,3.2,3.2,3.2,3.2
4382,2024-10-04,3.2,3.2,3.2,3.2
4381,2024-09-06,3.6,3.6,3.6,3.6
4380,2024-08-30,3.6,3.6,3.1,3.1
4379,2024-08-23,3.2,3.2,3.2,3.2
4378,2024-07-26,2.8,2.8,2.8,2.8
4377,2024-07-25,2.8,2.8,2.8,2.8
4376,2024-07-24,2.8,2.8,2.8,2.8
4375,2024-07-23,2.8,2.8,2.8,2.8
4374,2024-07-22,2.8,2.8,2.8,2.8
4373,2024-07-19,2.8,2.8,2.8,2.8
4372,2024-07-18,3.1,3.1,3.1,3.1
4371,2024-07-17,3.1,3.1,3.1,3.1
4370,2024-07-16,3.1,3.1,3.1,3.1
4369,2024-07-15,3.1,3.1,3.1,3.1
4368,2024-07-12,3.1,3.1,3.1,3.1
4367,2024-07-11,3.1,3.1,3.1,3.1
4366,2024-07-10,3.1,3.1,3.1,3.1
4365,2024-07-09,3.1,3.1,3.1,3.1
4364,2024-07-08,3.1,3.1,3.1,3.1
