,Date,Open,High,Low,Close,Volume
4414,2025-10-17,3.0,3.3,3.0,3.3,1400
4413,2025-09-26,2.9,2.9,2.9,2.9,1100
4412,2025-09-12,2.9,2.9,2.9,2.9,1000
4411,2025-09-05,2.9,2.9,2.9,2.9,100
4410,2025-08-29,2.8,2.8,2.8,2.8,700
4409,2025-08-22,2.8,2.8,2.8,2.8,1200
4408,2025-08-15,2.9,3.2,2.9,3.2,1200
4407,2025-08-08,2.8,2.8,2.8,2.8,900
4406,2025-08-01,2.7,2.7,2.7,2.7,500
4405,2025-07-25,2.4,2.8,2.4,2.8,1700
4404,2025-07-18,2.8,2.8,2.8,2.8,1400
4403,2025-06-27,2.8,2.8,2.8,2.8,8000
4402,2025-06-20,2.8,2.8,2.8,2.8,6000
4401,2025-06-13,2.8,2.8,2.8,2.8,3000
4400,2025-06-06,2.7,2.9,2.6,2.9,2100
4399,2025-05-30,2.7,2.7,2.7,2.7,100
4398,2025-05-09,3.0,3.0,3.0,3.0,300
4397,2025-04-25,2.9,3.0,2.9,3.0,1400
4396,2025-04-04,2.9,2.9,2.9,2.9,100
4395,2025-03-28,2.9,2.9,2.9,2.9,7000
4394,2025-03-21,3.2,3.2,2.9,2.9,300
4393,2025-03-14,2.9,2.9,2.9,2.9,100
4392,2025-03-07,2.9,2.9,2.9,2.9,4100
4391,2025-02-21,3.0,3.0,3.0,3.0,100
4390,2025-01-24,2.8,2.9,2.8,2.9,1400
4389,2025-01-03,2.9,2.9,2.9,2.9,1000
4388,2024-12-27,2.9,2.9,2.9,2.9,2200
4387,2024-12-20,2.9,2.9,2.9,2.9,300
4386,2024-11-22,2.9,2.9,2.9,2.9,2300
4385,2024-11-15,2.9,2.9,2.9,2.9,100
4384,2024-11-08,2.8,2.9,2.8,2.9,28100
4383,2024-10-11,3.2,3.2,3.2,3.2,1200
4382,2024-10-04,3.2,3.2,3.2,3.2,6400
4381,2024-09-06,3.6,3.6,3.6,3.6,1000
4380,2024-08-30,3.6,3.6,3.1,3.1,1700
4379,2024-08-23,3.2,3.2,3.2,3.2,200
4378,2024-07-26,2.8,2.8,2.8,2.8,1400
4377,2024-07-25,2.8,2.8,2.8,2.8,0
4376,2024-07-24,2.8,2.8,2.8,2.8,0
4375,2024-07-23,2.8,2.8,2.8,2.8,0
4374,2024-07-22,2.8,2.8,2.8,2.8,0
4373,2024-07-19,2.8,2.8,2.8,2.8,300
4372,2024-07-18,3.1,3.1,3.1,3.1,0
4371,2024-07-17,3.1,3.1,3.1,3.1,0
4370,2024-07-16,3.1,3.1,3.1,3.1,0
4369,2024-07-15,3.1,3.1,3.1,3.1,0
4368,2024-07-12,3.1,3.1,3.1,3.1,0
4367,2024-07-11,3.1,3.1,3.1,3.1,0
4366,2024-07-10,3.1,3.1,3.1,3.1,0
4365,2024-07-09,3.1,3.1,3.1,3.1,0
4364,2024-07-08,3.1,3.1,3.1,3.1,0
4363,2024-07-05,3.1,3.1,3.1,3.1,0
4362,2024-07-04,3.1,3.1,3.1,3.1,0
4361,2024-07-03,3.1,3.1,3.1,3.1,0
4360,2024-07-02,3.1,3.1,3.1,3.1,0
4359,2024-07-01,3.1,3.1,3.1,3.1,0
4358,2024-06-28,3.1,3.1,3.1,3.1,100
4357,2024-06-27,3.5,3.5,3.5,3.5,0
4356,2024-06-26,3.5,3.5,3.5,3.5,0
4355,2024-06-25,3.5,3.5,3.5,3.5,0
4354,2024-06-24,3.5,3.5,3.5,3.5,0
4353,2024-06-21,3.3,3.6,3.3,3.6,1200
4352,2024-06-20,3.3,3.3,3.3,3.3,0
4351,2024-06-19,3.3,3.3,3.3,3.3,0
4350,2024-06-18,3.3,3.3,3.3,3.3,0
4349,2024-06-17,3.3,3.3,3.3,3.3,0
4348,2024-06-14,3.3,3.3,3.3,3.3,0
4347,2024-06-13,3.3,3.3,3.3,3.3,0
4346,2024-06-12,3.3,3.3,3.3,3.3,0
4345,2024-06-11,3.3,3.3,3.3,3.3,0
4344,2024-06-10,3.3,3.3,3.3,3.3,0
4343,2024-06-07,3.3,3.4,3.3,3.4,1000
4342,2024-06-06,3.2,3.2,3.2,3.2,0
