,Date,Open,High,Low,Close
3763,2025-10-14,14.0,14.1,14.0,14.0
3762,2025-10-08,14.0,14.0,14.0,14.0
3761,2025-10-06,14.0,14.0,14.0,14.0
3760,2025-09-26,14.0,14.0,14.0,14.0
3759,2025-08-12,14.5,14.5,14.5,14.5
3758,2025-08-06,14.0,14.0,13.2,13.2
3757,2025-08-05,14.5,14.5,14.5,14.5
3756,2025-08-04,14.9,14.9,14.0,14.0
3755,2025-07-21,15.4,15.4,15.4,15.4
3754,2025-07-18,14.0,14.0,14.0,14.0
3753,2025-07-17,14.0,14.0,14.0,14.0
3752,2025-07-16,15.0,15.0,15.0,15.0
3751,2025-06-17,15.6,15.6,15.6,15.6
3750,2025-06-16,15.0,15.0,15.0,15.0
3749,2025-06-12,15.0,15.0,15.0,15.0
3748,2025-06-04,14.8,15.0,14.8,15.0
3747,2025-06-03,14.9,14.9,14.9,14.9
3746,2025-06-02,14.0,14.9,14.0,14.9
3745,2025-05-28,14.0,14.0,14.0,14.0
3744,2025-04-28,14.0,14.0,14.0,14.0
3743,2025-04-24,14.4,14.4,14.4,14.4
3742,2025-04-23,13.1,13.1,13.1,13.1
3741,2025-04-22,14.4,14.4,14.4,14.4
3740,2025-04-21,14.5,14.5,14.2,14.3
3739,2025-04-18,14.3,14.3,14.3,14.3
3738,2025-03-27,15.6,15.6,15.6,15.6
3737,2025-03-25,15.6,15.6,15.6,15.6
3736,2025-02-26,15.6,15.6,15.6,15.6
3735,2025-02-21,15.6,15.6,15.6,15.6
3734,2025-02-17,15.6,15.6,15.6,15.6
3733,2025-02-13,15.2,15.2,15.2,15.2
3732,2025-02-07,15.2,15.2,15.2,15.2
3731,2025-02-06,15.2,15.6,15.2,15.6
3730,2025-02-05,15.5,15.5,15.2,15.2
3729,2025-01-24,15.2,15.2,15.2,15.2
3728,2025-01-23,15.1,15.1,15.1,15.1
3727,2025-01-22,15.0,15.0,15.0,15.0
3726,2025-01-14,15.7,15.7,14.4,14.4
3725,2025-01-13,14.3,14.3,14.3,14.3
3724,2024-12-31,15.0,15.0,15.0,15.0
3723,2024-12-24,15.7,15.7,15.7,15.7
3722,2024-12-23,16.0,16.0,14.3,14.3
3721,2024-12-16,15.5,15.5,15.5,15.5
3720,2024-12-11,15.1,15.1,15.1,15.1
3719,2024-12-04,16.7,16.7,15.1,15.1
3718,2024-12-02,15.2,15.2,15.2,15.2
3717,2024-11-28,14.7,14.7,14.7,14.7
3716,2024-11-27,13.4,13.4,13.4,13.4
3715,2024-11-22,14.5,14.5,14.5,14.5
3714,2024-11-19,14.5,14.5,14.5,14.5
3713,2024-11-18,14.5,14.5,14.1,14.1
3712,2024-11-15,14.1,14.1,14.1,14.1
3711,2024-11-14,14.8,14.8,14.8,14.8
3710,2024-11-11,15.5,15.5,14.2,14.2
3709,2024-11-06,14.7,14.7,14.1,14.1
3708,2024-11-05,15.4,15.4,14.7,14.7
3707,2024-11-04,14.9,14.9,14.0,14.0
3706,2024-11-01,13.6,13.6,13.6,13.6
3705,2024-10-31,14.6,14.6,14.6,14.6
3704,2024-10-28,16.0,16.0,16.0,16.0
3703,2024-10-24,16.3,16.3,16.0,16.0
3702,2024-10-23,16.9,16.9,16.9,16.9
3701,2024-10-22,16.9,16.9,16.9,16.9
3700,2024-10-21,16.9,16.9,16.9,16.9
3699,2024-10-18,16.9,16.9,16.9,16.9
3698,2024-10-17,16.9,16.9,16.9,16.9
3697,2024-10-16,16.9,16.9,16.9,16.9
3696,2024-10-15,16.9,16.9,16.9,16.9
3695,2024-10-14,16.9,16.9,16.9,16.9
3694,2024-10-11,17.0,17.0,16.7,16.9
3693,2024-10-10,16.5,16.5,16.05,16.5
3692,2024-10-09,16.5,16.5,16.23,16.5
3691,2024-10-08,16.59,17.57,16.59,17.57
3690,2024-10-07,16.68,16.68,16.68,16.68
3689,2024-10-04,16.68,16.68,16.5,16.68
3688,2024-10-03,16.86,16.86,16.59,16.59
3687,2024-10-02,15.52,15.52,15.52,15.52
3686,2024-10-01,15.52,15.52,15.52,15.52
3685,2024-09-30,15.52,15.52,15.52,15.52
3684,2024-09-27,15.52,15.52,15.52,15.52
3683,2024-09-26,15.7,15.7,15.52,15.52
3682,2024-09-25,15.7,15.7,15.7,15.7
3681,2024-09-24,15.7,15.7,15.7,15.7
3680,2024-09-23,17.39,17.39,17.39,17.39
3679,2024-09-20,17.39,17.39,17.39,17.39
3678,2024-09-19,17.39,17.39,17.39,17.39
3677,2024-09-18,17.39,17.39,17.39,17.39
3676,2024-09-17,17.39,17.39,17.39,17.39
3675,2024-09-16,17.39,17.39,17.39,17.39
3674,2024-09-13,17.39,17.39,17.39,17.39
3673,2024-09-12,17.39,17.39,17.39,17.39
3672,2024-09-11,17.39,17.39,17.39,17.39
3671,2024-09-10,17.39,17.39,17.39,17.39
3670,2024-09-09,17.39,17.39,17.39,17.39
3669,2024-09-06,17.39,17.39,17.39,17.39
3668,2024-09-05,17.39,17.39,17.39,17.39
3667,2024-09-04,17.39,17.39,17.39,17.39
3666,2024-08-30,17.39,17.39,17.39,17.39
3665,2024-08-29,17.39,17.39,17.39,17.39
3664,2024-08-28,17.39,17.39,17.39,17.39
3663,2024-08-27,17.39,17.39,17.39,17.39
3662,2024-08-26,15.88,15.88,15.88,15.88
3661,2024-08-23,15.88,15.88,15.88,15.88
3660,2024-08-22,15.88,15.88,15.88,15.88
3659,2024-08-21,15.88,15.88,15.88,15.88
3658,2024-08-20,15.88,15.88,15.88,15.88
3657,2024-08-19,15.88,15.88,15.88,15.88
3656,2024-08-16,15.88,15.88,15.88,15.88
3655,2024-08-15,15.88,15.88,15.88,15.88
3654,2024-08-14,15.88,15.88,15.88,15.88
3653,2024-08-13,15.61,15.61,15.61,15.61
3652,2024-08-12,15.52,15.52,15.52,15.52
3651,2024-08-09,15.43,15.43,15.43,15.43
3650,2024-08-08,14.27,14.27,14.27,14.27
3649,2024-08-07,14.27,14.27,14.27,14.27
3648,2024-08-06,14.27,14.27,14.27,14.27
3647,2024-08-05,14.27,14.27,14.27,14.27
3646,2024-08-02,14.27,14.27,14.27,14.27
3645,2024-08-01,14.27,14.27,14.27,14.27
3644,2024-07-31,14.27,14.27,14.27,14.27
3643,2024-07-30,14.27,14.27,14.27,14.27
3642,2024-07-29,14.27,14.27,14.27,14.27
3641,2024-07-26,14.27,14.27,14.27,14.27
3640,2024-07-25,14.27,14.27,14.27,14.27
3639,2024-07-24,14.18,14.18,14.18,14.18
3638,2024-07-23,14.18,14.18,14.18,14.18
3637,2024-07-22,14.18,14.18,14.18,14.18
3636,2024-07-19,14.18,14.18,14.18,14.18
3635,2024-07-18,14.18,14.18,14.18,14.18
3634,2024-07-17,14.18,14.18,14.18,14.18
3633,2024-07-16,14.18,14.18,14.18,14.18
3632,2024-07-15,14.18,14.18,14.18,14.18
3631,2024-07-12,14.18,14.18,14.18,14.18
3630,2024-07-11,14.18,14.18,14.18,14.18
3629,2024-07-10,14.18,14.18,14.18,14.18
3628,2024-07-09,14.18,14.18,14.18,14.18
3627,2024-07-08,15.16,15.16,15.16,15.16
3626,2024-07-05,15.16,15.16,15.16,15.16
3625,2024-07-04,15.34,15.34,15.34,15.34
3624,2024-07-03,15.16,15.16,15.16,15.16
3623,2024-07-02,15.16,15.16,15.16,15.16
3622,2024-07-01,15.34,15.34,15.34,15.34
3621,2024-06-28,15.34,15.34,15.34,15.34
3620,2024-06-27,15.16,15.34,15.16,15.34
3619,2024-06-26,15.16,15.16,15.16,15.16
3618,2024-06-25,15.16,15.16,15.16,15.16
3617,2024-06-24,14.98,15.16,14.98,15.16
3616,2024-06-21,14.98,14.98,14.98,14.98
3615,2024-06-20,15.16,15.16,15.16,15.16
3614,2024-06-19,14.81,14.81,14.81,14.81
3613,2024-06-18,14.98,14.98,14.98,14.98
