,Date,Open,High,Low,Close
4682,2025-10-17,25.7,25.7,25.6,25.6
4681,2025-10-16,25.7,25.7,25.7,25.7
4680,2025-10-14,25.6,26.0,25.6,26.0
4679,2025-10-13,26.0,26.0,25.8,25.8
4678,2025-10-10,26.2,26.2,26.2,26.2
4677,2025-10-08,26.2,26.2,26.2,26.2
4676,2025-10-07,25.6,26.0,25.6,26.0
4675,2025-10-06,25.6,25.6,25.5,25.5
4674,2025-10-03,25.55,25.55,25.55,25.55
4673,2025-10-02,25.55,25.55,25.5,25.55
4672,2025-10-01,25.6,25.6,25.6,25.6
4671,2025-09-30,25.8,25.8,25.5,25.5
4670,2025-09-29,26.0,26.0,25.9,25.9
4669,2025-09-26,25.9,25.9,25.8,25.9
4668,2025-09-25,26.0,26.0,25.85,25.9
4667,2025-09-24,25.9,25.9,25.85,25.9
4666,2025-09-23,25.9,26.0,25.85,26.0
4665,2025-09-22,26.0,26.0,25.9,25.9
4664,2025-09-19,26.0,26.0,25.9,26.0
4663,2025-09-18,26.0,26.0,25.9,26.0
4662,2025-09-17,26.0,26.35,25.9,26.0
4661,2025-09-16,26.1,26.25,26.0,26.0
4660,2025-09-15,26.1,26.8,26.1,26.25
4659,2025-09-12,26.0,26.2,26.0,26.0
4658,2025-09-11,26.4,26.4,26.0,26.0
4657,2025-09-10,26.2,26.35,25.9,26.05
4656,2025-09-09,26.0,26.4,25.8,26.4
4655,2025-09-08,26.25,26.25,26.0,26.0
4654,2025-09-05,26.25,26.25,26.25,26.25
4653,2025-09-04,26.25,26.25,26.15,26.25
4652,2025-09-03,26.4,26.5,26.1,26.3
4651,2025-08-29,26.1,26.4,26.1,26.4
4650,2025-08-28,26.0,26.5,26.0,26.0
4649,2025-08-27,26.0,26.6,26.0,26.6
4648,2025-08-26,26.5,26.85,26.0,26.0
4647,2025-08-25,25.6,26.9,24.5,26.9
4646,2025-08-22,26.1,26.1,25.9,25.9
4645,2025-08-21,26.0,26.15,26.0,26.1
4644,2025-08-20,26.8,26.8,26.3,26.3
4643,2025-08-19,26.9,26.9,26.0,26.8
4642,2025-08-18,27.3,27.3,26.9,26.9
4641,2025-08-15,27.0,27.0,26.25,26.25
4640,2025-08-14,27.0,27.0,25.8,27.0
4639,2025-08-13,27.0,27.0,27.0,27.0
4638,2025-08-12,26.52,27.29,26.42,27.0
4637,2025-08-11,26.61,26.95,26.04,26.52
4636,2025-08-08,27.1,27.1,26.61,26.61
4635,2025-08-07,25.94,26.9,25.94,26.61
4634,2025-08-06,26.04,27.53,25.84,25.84
