,Date,Open,High,Low,Close
4000,2025-10-17,24.0,24.0,24.0,24.0
3999,2025-10-16,24.0,24.0,24.0,24.0
3998,2025-10-15,24.5,24.5,24.0,24.0
3997,2025-09-25,24.5,24.5,24.5,24.5
3996,2025-09-22,27.5,27.5,25.0,25.0
3995,2025-09-09,25.0,25.0,25.0,25.0
3994,2025-09-08,25.8,25.8,25.8,25.8
3993,2025-09-04,23.5,23.5,23.5,23.5
3992,2025-09-03,23.9,23.9,23.9,23.9
3991,2025-08-28,21.9,21.9,21.9,21.9
3990,2025-08-27,20.0,20.0,20.0,20.0
3989,2025-08-04,18.2,18.2,18.2,18.2
3988,2025-07-31,16.6,16.6,16.6,16.6
3987,2025-07-30,18.2,18.2,18.2,18.2
3986,2025-07-29,19.9,19.9,19.9,19.9
3985,2025-07-22,18.1,18.1,18.1,18.1
3984,2025-07-17,23.6,23.6,19.6,19.6
3983,2025-07-15,21.5,21.5,21.5,21.5
3982,2025-07-14,19.9,19.9,19.9,19.9
3981,2025-07-02,18.1,18.1,18.1,18.1
3980,2025-06-27,19.8,19.8,19.8,19.8
3979,2025-06-23,18.0,18.0,18.0,18.0
3978,2025-06-19,23.4,23.4,19.6,19.7
3977,2025-06-18,21.3,21.3,21.3,21.3
3976,2025-06-17,19.4,19.4,19.4,19.4
3975,2025-05-28,19.1,19.1,17.7,17.7
3974,2025-05-20,19.1,19.1,19.1,19.1
3973,2025-05-15,17.4,17.4,17.4,17.4
3972,2025-05-14,17.4,17.4,17.4,17.4
3971,2025-05-13,17.4,17.4,17.4,17.4
3970,2025-05-12,17.4,17.4,17.4,17.4
3969,2025-05-09,18.7,18.7,18.7,18.7
3968,2025-05-08,20.2,20.2,20.2,20.2
3967,2025-05-07,20.2,20.2,20.2,20.2
3966,2025-05-06,24.2,24.3,20.2,20.2
3965,2025-05-05,22.1,22.1,22.1,22.1
3964,2025-04-29,20.1,20.1,20.1,20.1
3963,2025-04-28,20.1,20.1,20.1,20.1
3962,2025-04-25,20.1,20.1,20.1,20.1
3961,2025-04-24,20.1,20.1,20.1,20.1
3960,2025-04-23,20.1,20.1,20.1,20.1
3959,2025-04-22,22.03,22.03,22.03,22.03
3958,2025-04-21,22.03,22.03,22.03,22.03
3957,2025-04-18,21.94,22.03,21.94,22.03
3956,2025-04-17,20.1,20.1,20.1,20.1
3955,2025-04-16,20.1,20.1,20.1,20.1
3954,2025-04-15,20.1,20.1,20.1,20.1
3953,2025-04-14,22.03,22.03,22.03,22.03
3952,2025-04-11,22.03,22.03,22.03,22.03
3951,2025-04-10,22.03,22.03,22.03,22.03
3950,2025-04-09,22.03,22.03,22.03,22.03
3949,2025-04-08,22.03,22.03,22.03,22.03
3948,2025-04-04,22.03,22.03,22.03,22.03
3947,2025-04-03,22.03,22.03,22.03,22.03
3946,2025-04-02,22.03,22.03,22.03,22.03
3945,2025-04-01,22.03,22.03,22.03,22.03
3944,2025-03-31,22.03,22.03,22.03,22.03
3943,2025-03-28,22.03,22.03,22.03,22.03
3942,2025-03-27,22.03,22.03,22.03,22.03
3941,2025-03-26,22.03,22.03,22.03,22.03
3940,2025-03-25,21.74,21.74,21.74,21.74
3939,2025-03-24,21.74,21.74,21.74,21.74
3938,2025-03-21,21.74,21.74,21.74,21.74
3937,2025-03-20,21.55,23.09,21.55,21.65
3936,2025-03-19,23.87,23.87,23.87,23.87
3935,2025-03-18,21.84,21.84,21.84,21.84
3934,2025-03-17,20.0,20.0,20.0,20.0
3933,2025-03-14,20.1,20.1,20.0,20.0
3932,2025-03-13,20.0,20.0,20.0,20.0
3931,2025-03-12,21.94,21.94,21.94,21.94
3930,2025-03-11,22.22,22.22,22.22,22.22
3929,2025-03-10,22.22,22.22,22.22,22.22
3928,2025-03-07,22.9,22.9,22.22,22.22
3927,2025-03-06,22.8,22.8,22.8,22.8
3926,2025-03-05,25.32,25.32,25.32,25.32
3925,2025-03-04,20.58,23.09,20.58,23.09
3924,2025-03-03,22.71,22.71,22.71,22.71
3923,2025-02-28,21.26,21.26,21.26,21.26
3922,2025-02-27,23.19,23.19,23.19,23.19
3921,2025-02-26,23.19,23.19,23.19,23.19
3920,2025-02-25,23.19,23.19,23.19,23.19
3919,2025-02-24,23.19,23.19,23.19,23.19
3918,2025-02-21,24.06,24.06,23.19,23.19
3917,2025-02-20,22.03,22.03,21.94,21.94
3916,2025-02-19,20.49,20.49,20.49,20.49
3915,2025-02-18,20.87,20.87,20.49,20.49
3914,2025-02-17,20.39,20.49,20.39,20.49
3913,2025-02-14,20.29,20.29,20.29,20.29
3912,2025-02-13,20.29,20.29,20.29,20.29
3911,2025-02-12,20.29,20.29,20.29,20.29
3910,2025-02-11,20.1,20.1,20.1,20.1
3909,2025-02-10,20.1,20.1,20.1,20.1
3908,2025-02-07,20.29,20.29,20.1,20.1
3907,2025-02-06,18.84,18.84,18.84,18.84
3906,2025-02-05,18.84,18.84,18.84,18.84
3905,2025-02-04,18.84,18.84,18.84,18.84
3904,2025-02-03,18.84,18.84,18.84,18.84
3903,2025-01-24,18.84,18.84,18.84,18.84
3902,2025-01-23,18.84,18.84,18.84,18.84
3901,2025-01-22,18.84,18.84,18.84,18.84
3900,2025-01-21,18.84,18.84,18.84,18.84
3899,2025-01-20,18.84,18.84,18.84,18.84
3898,2025-01-17,18.84,18.84,18.84,18.84
3897,2025-01-16,18.84,18.84,18.84,18.84
3896,2025-01-15,18.84,18.84,18.84,18.84
3895,2025-01-14,18.84,18.84,18.84,18.84
3894,2025-01-13,18.84,18.84,18.84,18.84
3893,2025-01-10,18.94,18.94,18.94,18.94
3892,2025-01-09,18.94,18.94,18.94,18.94
3891,2025-01-08,18.94,18.94,18.94,18.94
3890,2025-01-07,20.68,20.68,20.68,20.68
3889,2025-01-06,20.68,20.68,20.68,20.68
3888,2025-01-03,20.68,20.68,20.68,20.68
3887,2025-01-02,20.68,20.68,20.68,20.68
3886,2024-12-31,19.91,20.68,19.91,20.68
3885,2024-12-30,18.84,18.84,18.84,18.84
3884,2024-12-27,22.61,22.61,18.84,18.84
3883,2024-12-26,20.58,20.58,20.58,20.58
3882,2024-12-25,20.58,20.58,20.58,20.58
3881,2024-12-24,20.58,20.58,20.58,20.58
3880,2024-12-23,20.58,20.58,20.58,20.58
3879,2024-12-20,20.58,20.58,20.58,20.58
3878,2024-12-19,20.58,20.58,20.58,20.58
3877,2024-12-18,20.58,20.58,20.58,20.58
3876,2024-12-17,20.58,20.58,20.58,20.58
3875,2024-12-16,19.81,19.81,19.81,19.81
3874,2024-12-13,19.81,19.81,19.81,19.81
3873,2024-12-12,19.81,19.81,19.81,19.81
3872,2024-12-11,19.81,19.81,19.81,19.81
3871,2024-12-10,19.81,19.81,19.81,19.81
3870,2024-12-09,20.58,20.58,20.58,20.58
3869,2024-12-06,20.58,20.58,20.58,20.58
3868,2024-12-05,20.58,20.58,20.58,20.58
3867,2024-12-04,20.58,20.58,20.58,20.58
3866,2024-12-03,20.58,20.58,20.58,20.58
3865,2024-12-02,18.84,18.84,18.84,18.84
3864,2024-11-29,18.84,18.84,18.84,18.84
3863,2024-11-28,18.84,18.84,18.84,18.84
3862,2024-11-27,18.84,18.84,18.84,18.84
3861,2024-11-26,18.84,18.84,18.84,18.84
3860,2024-11-25,18.26,18.26,18.26,18.26
3859,2024-11-22,18.26,18.26,18.26,18.26
3858,2024-11-21,18.26,18.26,18.26,18.26
3857,2024-11-20,18.26,18.26,18.26,18.26
3856,2024-11-19,18.26,18.26,18.26,18.26
3855,2024-11-18,18.26,18.26,18.26,18.26
3854,2024-11-15,18.26,18.26,18.26,18.26
3853,2024-11-14,18.26,18.26,18.26,18.26
3852,2024-11-13,18.26,18.26,18.26,18.26
3851,2024-11-12,18.26,18.26,18.26,18.26
3850,2024-11-11,19.33,19.33,19.33,19.33
3849,2024-11-08,19.33,19.33,19.33,19.33
3848,2024-11-07,19.33,19.33,19.33,19.33
3847,2024-11-06,19.33,19.33,19.33,19.33
3846,2024-11-05,19.33,19.33,19.33,19.33
3845,2024-11-04,19.33,19.33,19.33,19.33
3844,2024-11-01,19.42,19.42,19.42,19.42
3843,2024-10-31,16.14,19.42,16.14,19.42
3842,2024-10-30,17.68,17.68,17.68,17.68
3841,2024-10-29,17.68,17.68,17.68,17.68
3840,2024-10-28,17.68,17.68,17.68,17.68
3839,2024-10-25,19.62,19.62,19.62,19.62
3838,2024-10-24,19.62,19.62,19.62,19.62
3837,2024-10-23,19.62,19.62,19.62,19.62
3836,2024-10-22,19.62,19.62,19.62,19.62
3835,2024-10-21,19.62,19.62,19.62,19.62
3834,2024-10-18,19.62,19.62,19.62,19.62
3833,2024-10-17,19.62,19.62,19.62,19.62
3832,2024-10-16,19.62,19.62,19.62,19.62
3831,2024-10-15,19.62,19.62,19.62,19.62
3830,2024-10-14,19.62,19.62,19.62,19.62
3829,2024-10-11,19.62,19.62,19.62,19.62
3828,2024-10-10,19.62,19.62,19.62,19.62
3827,2024-10-09,19.62,19.62,19.62,19.62
3826,2024-10-08,19.62,19.62,19.62,19.62
3825,2024-10-07,19.62,19.62,19.62,19.62
3824,2024-10-04,19.62,19.62,19.62,19.62
3823,2024-10-03,19.62,19.62,19.62,19.62
3822,2024-10-02,19.62,19.62,19.62,19.62
3821,2024-10-01,17.88,17.88,17.88,17.88
3820,2024-09-30,19.33,19.33,19.33,19.33
3819,2024-09-27,19.33,19.33,19.33,19.33
3818,2024-09-26,19.33,19.33,19.33,19.33
3817,2024-09-25,19.33,19.33,19.33,19.33
3816,2024-09-24,19.71,19.71,19.33,19.33
3815,2024-09-23,19.71,19.71,19.71,19.71
3814,2024-09-20,20.0,20.0,19.71,19.71
3813,2024-09-19,20.29,20.29,20.29,20.29
3812,2024-09-18,20.87,20.87,17.68,20.78
3811,2024-09-17,19.13,19.13,19.13,19.13
3810,2024-09-16,19.33,19.33,19.13,19.13
3809,2024-09-13,21.26,21.26,21.26,21.26
3808,2024-09-12,21.26,21.26,21.26,21.26
3807,2024-09-11,21.26,21.26,21.26,21.26
3806,2024-09-10,21.26,21.26,21.26,21.26
3805,2024-09-09,21.26,21.26,21.26,21.26
3804,2024-09-06,19.71,21.26,19.33,21.26
3803,2024-09-05,21.16,21.16,21.16,21.16
3802,2024-09-04,19.71,19.81,19.71,19.81
3801,2024-08-30,18.07,18.07,18.07,18.07
3800,2024-08-29,16.43,16.43,16.43,16.43
3799,2024-08-28,16.43,16.43,16.43,16.43
3798,2024-08-27,16.43,16.43,16.43,16.43
3797,2024-08-26,16.43,16.43,16.43,16.43
3796,2024-08-23,18.17,18.17,18.17,18.17
3795,2024-08-22,18.17,18.17,18.17,18.17
3794,2024-08-21,20.1,20.1,20.1,20.1
3793,2024-08-20,20.49,20.49,20.49,20.49
3792,2024-08-19,20.49,20.49,20.49,20.49
3791,2024-08-16,20.49,20.49,20.49,20.49
3790,2024-08-15,20.49,20.49,20.49,20.49
3789,2024-08-14,20.49,20.49,20.49,20.49
3788,2024-08-13,20.49,20.49,20.49,20.49
3787,2024-08-12,18.84,18.84,18.84,18.84
3786,2024-08-09,18.84,18.84,18.84,18.84
3785,2024-08-08,18.84,18.84,18.84,18.84
3784,2024-08-07,18.84,18.84,18.84,18.84
3783,2024-08-06,17.2,17.2,17.2,17.2
3782,2024-08-05,18.94,18.94,18.94,18.94
3781,2024-08-02,18.94,18.94,18.94,18.94
3780,2024-08-01,18.94,18.94,18.94,18.94
3779,2024-07-31,18.94,18.94,18.94,18.94
3778,2024-07-30,17.3,17.3,17.3,17.3
3777,2024-07-29,17.3,17.3,17.3,17.3
3776,2024-07-26,17.3,17.3,17.3,17.3
3775,2024-07-25,17.3,17.3,17.3,17.3
3774,2024-07-24,17.3,17.3,17.3,17.3
3773,2024-07-23,17.3,17.3,17.3,17.3
3772,2024-07-22,17.3,17.3,17.3,17.3
3771,2024-07-19,17.3,17.3,17.3,17.3
3770,2024-07-18,18.65,18.65,18.65,18.65
3769,2024-07-17,18.65,18.65,18.65,18.65
3768,2024-07-16,18.65,18.65,18.65,18.65
3767,2024-07-15,19.62,19.62,19.62,19.62
3766,2024-07-12,19.62,19.62,19.62,19.62
3765,2024-07-11,20.0,21.74,18.84,21.74
3764,2024-07-10,20.1,20.1,20.1,20.1
3763,2024-07-09,20.1,20.1,20.1,20.1
3762,2024-07-08,19.13,19.13,18.36,18.36
3761,2024-07-05,19.04,20.29,19.04,20.29
3760,2024-07-04,20.87,20.87,20.87,20.87
3759,2024-07-03,20.87,20.87,20.87,20.87
3758,2024-07-02,20.78,20.78,18.84,19.62
3757,2024-07-01,19.04,19.04,19.04,19.04
3756,2024-06-28,19.04,19.04,19.04,19.04
3755,2024-06-27,19.33,19.71,19.04,19.04
3754,2024-06-26,19.91,19.91,19.71,19.71
3753,2024-06-25,20.29,20.29,20.29,20.29
3752,2024-06-24,20.29,20.29,20.29,20.29
3751,2024-06-21,20.29,20.29,20.29,20.29
3750,2024-06-20,18.75,18.75,18.75,18.75
3749,2024-06-19,18.75,18.75,18.75,18.75
3748,2024-06-18,18.75,18.75,18.75,18.75
3747,2024-06-17,17.1,17.1,17.1,17.1
3746,2024-06-14,18.17,18.17,18.17,18.17
3745,2024-06-13,18.17,18.17,18.17,18.17
3744,2024-06-12,18.17,18.17,18.17,18.17
3743,2024-06-11,18.17,18.17,18.17,18.17
3742,2024-06-10,18.17,18.17,18.17,18.17
3741,2024-06-07,19.33,19.33,19.33,19.33
3740,2024-06-06,19.33,19.33,19.33,19.33
3739,2024-06-05,19.81,19.81,19.81,19.81
3738,2024-06-04,19.81,19.81,19.81,19.81
3737,2024-06-03,19.81,19.81,19.81,19.81
3736,2024-05-31,19.04,20.29,19.04,20.29
3735,2024-05-30,18.46,18.46,18.46,18.46
3734,2024-05-29,18.46,18.46,18.46,18.46
3733,2024-05-28,19.42,19.42,19.42,19.42
3732,2024-05-27,19.42,19.42,19.42,19.42
3731,2024-05-24,19.42,19.42,19.42,19.42
3730,2024-05-23,19.81,19.81,19.33,19.42
3729,2024-05-22,20.97,20.97,20.97,20.97
3728,2024-05-21,20.97,20.97,20.97,20.97
3727,2024-05-20,20.97,20.97,20.97,20.97
3726,2024-05-17,20.97,20.97,20.97,20.97
3725,2024-05-16,20.97,20.97,20.97,20.97
3724,2024-05-15,19.81,20.97,19.81,20.97
3723,2024-05-14,21.55,21.55,21.55,21.55
3722,2024-05-13,21.55,21.55,21.55,21.55
3721,2024-05-10,21.55,21.55,21.55,21.55
3720,2024-05-09,19.71,21.55,19.71,21.55
3719,2024-05-08,22.95,22.95,19.34,19.71
3718,2024-05-07,21.47,21.47,21.47,21.47
3717,2024-05-06,21.47,21.47,21.47,21.47
3716,2024-05-03,19.62,21.47,19.62,21.47
3715,2024-05-02,19.62,19.62,19.62,19.62
3714,2024-04-26,21.93,21.93,21.75,21.75
3713,2024-04-25,22.95,22.95,22.95,22.95
3712,2024-04-24,22.95,22.95,22.95,22.95
3711,2024-04-23,22.95,22.95,22.95,22.95
3710,2024-04-22,22.95,22.95,22.95,22.95
3709,2024-04-19,21.19,21.19,21.19,21.19
3708,2024-04-17,18.51,22.12,18.51,21.19
3707,2024-04-16,20.17,20.17,20.17,20.17
3706,2024-04-15,20.17,20.17,20.17,20.17
3705,2024-04-12,22.4,22.4,22.4,22.4
3704,2024-04-11,22.4,22.4,22.4,22.4
3703,2024-04-10,24.8,24.8,24.8,24.8
3702,2024-04-09,24.8,24.8,24.8,24.8
3701,2024-04-08,22.67,22.67,22.67,22.67
3700,2024-04-05,20.82,20.82,20.82,20.82
3699,2024-04-04,18.97,18.97,18.97,18.97
3698,2024-04-03,17.31,17.31,17.31,17.31
3697,2024-04-02,15.73,15.73,15.73,15.73
3696,2024-04-01,18.51,18.51,15.73,15.73
3695,2024-03-29,16.84,16.84,16.84,16.84
3694,2024-03-28,16.84,16.84,16.84,16.84
3693,2024-03-27,16.84,16.84,16.84,16.84
3692,2024-03-26,19.71,19.71,18.14,18.14
3691,2024-03-25,17.95,17.95,17.95,17.95
3690,2024-03-22,19.16,19.16,19.16,19.16
3689,2024-03-21,19.16,19.16,19.16,19.16
3688,2024-03-20,19.16,19.16,19.16,19.16
3687,2024-03-19,19.16,19.16,19.16,19.16
3686,2024-03-18,19.16,19.16,19.16,19.16
3685,2024-03-15,19.16,19.16,19.16,19.16
3684,2024-03-14,17.49,17.49,17.49,17.49
3683,2024-03-13,15.92,15.92,15.92,15.92
3682,2024-03-12,15.92,15.92,15.92,15.92
3681,2024-03-11,15.92,15.92,15.92,15.92
3680,2024-03-08,15.92,15.92,15.92,15.92
3679,2024-03-07,15.92,15.92,15.92,15.92
3678,2024-03-06,15.92,15.92,15.92,15.92
3677,2024-03-05,15.92,15.92,15.92,15.92
3676,2024-03-04,14.53,14.53,14.53,14.53
3675,2024-03-01,14.53,14.53,14.53,14.53
3674,2024-02-29,14.53,14.53,14.53,14.53
3673,2024-02-28,14.53,14.53,14.53,14.53
3672,2024-02-27,14.53,14.53,14.53,14.53
3671,2024-02-26,14.53,14.53,14.53,14.53
3670,2024-02-23,14.53,14.53,14.53,14.53
3669,2024-02-22,14.53,14.53,14.53,14.53
3668,2024-02-21,14.53,14.53,14.53,14.53
3667,2024-02-20,14.53,14.53,14.53,14.53
3666,2024-02-19,14.53,14.53,14.53,14.53
3665,2024-02-16,14.53,14.53,14.53,14.53
3664,2024-02-15,14.53,14.53,14.53,14.53
3663,2024-02-07,14.53,14.53,14.53,14.53
3662,2024-02-06,14.53,14.53,14.53,14.53
3661,2024-02-05,14.53,14.53,14.53,14.53
3660,2024-02-02,14.53,14.53,14.53,14.53
3659,2024-02-01,14.53,14.53,14.53,14.53
3658,2024-01-31,14.53,14.53,14.53,14.53
3657,2024-01-30,14.53,14.53,14.53,14.53
3656,2024-01-29,14.53,14.53,14.53,14.53
3655,2024-01-26,14.53,14.53,14.53,14.53
