,Date,Open,High,Low,Close
3996,2025-10-14,28.0,28.0,28.0,28.0
3995,2025-10-10,28.0,28.0,28.0,28.0
3994,2025-10-06,30.0,30.0,30.0,30.0
3993,2025-09-15,30.2,30.2,30.2,30.2
3992,2025-09-09,27.5,27.5,27.4,27.5
3991,2025-08-25,27.5,27.5,27.5,27.5
3990,2025-08-21,27.0,27.0,27.0,27.0
3989,2025-08-15,29.5,29.5,29.0,29.0
3988,2025-08-14,29.5,29.5,29.5,29.5
3987,2025-08-06,28.7,28.7,28.7,28.7
3986,2025-07-18,27.7,27.7,27.7,27.7
3985,2025-07-17,27.7,27.7,27.7,27.7
3984,2025-07-16,25.7,25.7,25.7,25.7
3983,2025-07-15,25.7,25.7,25.7,25.7
3982,2025-07-14,25.7,25.7,25.7,25.7
3981,2025-07-11,25.7,25.7,25.7,25.7
3980,2025-07-10,25.7,25.7,25.7,25.7
3979,2025-07-09,25.7,25.7,25.7,25.7
3978,2025-07-08,25.7,25.7,25.7,25.7
3977,2025-07-07,25.9,25.9,25.7,25.7
3976,2025-07-04,23.56,23.56,23.56,23.56
3975,2025-07-03,23.56,23.56,23.56,23.56
3974,2025-07-02,23.56,23.56,23.56,23.56
3973,2025-07-01,21.42,21.42,21.42,21.42
3972,2025-06-30,21.42,21.42,21.42,21.42
3971,2025-06-27,21.42,21.42,21.42,21.42
3970,2025-06-26,21.42,21.42,21.42,21.42
3969,2025-06-25,21.42,21.42,21.42,21.42
3968,2025-06-24,21.42,21.42,21.42,21.42
3967,2025-06-23,21.42,21.42,21.42,21.42
3966,2025-06-20,21.61,21.61,21.42,21.42
3965,2025-06-19,23.66,23.66,23.66,23.66
3964,2025-06-18,23.66,23.66,23.66,23.66
3963,2025-06-17,23.66,23.66,23.66,23.66
3962,2025-06-16,26.28,26.28,26.28,26.28
3961,2025-06-13,26.28,26.28,26.28,26.28
3960,2025-06-12,26.28,26.28,26.28,26.28
3959,2025-06-11,26.28,26.28,26.28,26.28
3958,2025-06-10,25.9,25.9,25.9,25.9
3957,2025-06-09,25.9,25.9,25.9,25.9
3956,2025-06-06,23.56,23.56,23.56,23.56
3955,2025-06-05,23.56,23.56,23.56,23.56
3954,2025-06-04,23.56,23.56,23.56,23.56
3953,2025-06-03,23.56,23.56,23.56,23.56
3952,2025-06-02,23.56,23.56,23.56,23.56
3951,2025-05-30,23.56,23.56,23.56,23.56
3950,2025-05-29,23.56,23.56,23.56,23.56
3949,2025-05-28,21.42,21.42,21.42,21.42
3948,2025-05-27,21.42,21.42,21.42,21.42
3947,2025-05-26,21.12,21.12,21.12,21.12
3946,2025-05-23,21.12,21.12,21.12,21.12
3945,2025-05-22,23.85,23.85,21.12,21.12
3944,2025-05-21,23.36,23.36,23.36,23.36
3943,2025-05-20,23.36,23.36,23.36,23.36
3942,2025-05-19,23.36,23.36,23.36,23.36
3941,2025-05-16,23.36,23.36,23.36,23.36
3940,2025-05-15,23.36,23.36,23.36,23.36
3939,2025-05-14,25.31,25.31,23.36,23.36
3938,2025-05-13,25.31,25.31,25.31,25.31
3937,2025-05-12,25.31,25.31,25.31,25.31
3936,2025-05-09,27.26,27.26,27.26,27.26
3935,2025-05-08,30.18,30.18,30.18,30.18
3934,2025-05-07,30.18,30.18,30.18,30.18
3933,2025-05-06,30.18,30.18,30.18,30.18
3932,2025-05-05,30.18,30.18,30.18,30.18
3931,2025-04-29,30.18,30.18,30.18,30.18
3930,2025-04-28,30.18,30.18,30.18,30.18
3929,2025-04-25,30.18,30.18,30.18,30.18
3928,2025-04-24,30.18,30.18,30.18,30.18
3927,2025-04-23,30.18,30.18,30.18,30.18
3926,2025-04-22,30.18,30.18,30.18,30.18
3925,2025-04-21,30.18,30.18,30.18,30.18
3924,2025-04-18,30.18,30.18,30.18,30.18
3923,2025-04-17,30.18,30.18,30.18,30.18
3922,2025-04-16,30.18,30.18,30.18,30.18
3921,2025-04-15,30.18,30.18,30.18,30.18
3920,2025-04-14,30.18,30.18,30.18,30.18
3919,2025-04-11,29.2,29.2,29.2,29.2
3918,2025-04-10,29.2,29.2,29.2,29.2
3917,2025-04-09,29.2,29.2,29.2,29.2
3916,2025-04-08,29.2,29.2,29.2,29.2
3915,2025-04-04,29.2,29.2,29.2,29.2
3914,2025-04-03,29.2,29.2,29.2,29.2
3913,2025-04-02,29.2,29.2,29.2,29.2
3912,2025-04-01,29.2,29.2,29.2,29.2
3911,2025-03-31,29.2,29.2,29.2,29.2
3910,2025-03-28,29.2,29.2,29.2,29.2
3909,2025-03-27,29.2,29.2,29.2,29.2
3908,2025-03-26,30.18,30.18,30.18,30.18
3907,2025-03-25,30.18,30.18,30.18,30.18
3906,2025-03-24,30.18,30.18,30.18,30.18
3905,2025-03-21,30.18,30.18,30.18,30.18
3904,2025-03-20,30.18,30.18,30.18,30.18
3903,2025-03-19,30.18,30.18,30.18,30.18
3902,2025-03-18,33.49,33.49,33.49,33.49
3901,2025-03-17,33.49,33.49,33.49,33.49
3900,2025-03-14,33.49,33.49,33.49,33.49
3899,2025-03-13,33.49,33.49,33.49,33.49
3898,2025-03-12,33.49,33.49,33.49,33.49
3897,2025-03-11,33.59,33.59,33.59,33.59
3896,2025-03-10,34.07,34.07,34.07,34.07
3895,2025-03-07,35.05,35.05,35.05,35.05
3894,2025-03-06,35.05,35.05,35.05,35.05
3893,2025-03-05,35.05,35.05,35.05,35.05
3892,2025-03-04,35.05,35.05,35.05,35.05
3891,2025-03-03,35.05,35.05,35.05,35.05
3890,2025-02-28,35.05,35.05,35.05,35.05
3889,2025-02-27,35.05,35.05,35.05,35.05
3888,2025-02-26,35.05,35.05,35.05,35.05
3887,2025-02-25,32.61,32.61,32.61,32.61
3886,2025-02-24,32.61,32.61,32.61,32.61
3885,2025-02-21,32.61,32.61,32.61,32.61
3884,2025-02-20,32.61,32.61,32.61,32.61
3883,2025-02-19,32.61,32.61,32.61,32.61
3882,2025-02-18,32.9,32.9,32.9,32.9
3881,2025-02-17,33.49,33.49,33.49,33.49
3880,2025-02-14,33.49,33.49,33.49,33.49
3879,2025-02-13,33.49,33.49,33.49,33.49
3878,2025-02-12,33.49,33.49,33.49,33.49
3877,2025-02-11,33.49,33.49,33.49,33.49
3876,2025-02-10,34.07,34.07,34.07,34.07
3875,2025-02-07,34.07,34.07,34.07,34.07
3874,2025-02-06,34.07,34.07,34.07,34.07
3873,2025-02-05,34.07,34.07,34.07,34.07
3872,2025-02-04,34.07,34.07,34.07,34.07
3871,2025-02-03,34.07,34.07,34.07,34.07
3870,2025-01-24,34.07,34.07,34.07,34.07
3869,2025-01-23,34.07,34.07,34.07,34.07
3868,2025-01-22,34.07,34.07,34.07,34.07
3867,2025-01-21,34.07,34.07,34.07,34.07
3866,2025-01-20,34.07,34.07,34.07,34.07
3865,2025-01-17,34.07,34.07,34.07,34.07
3864,2025-01-16,34.07,34.07,34.07,34.07
3863,2025-01-15,31.05,31.05,31.05,31.05
3862,2025-01-14,31.05,31.05,31.05,31.05
3861,2025-01-13,31.05,31.05,31.05,31.05
3860,2025-01-10,31.05,31.05,31.05,31.05
3859,2025-01-09,31.05,31.05,31.05,31.05
3858,2025-01-08,31.05,31.05,31.05,31.05
3857,2025-01-07,31.54,31.54,31.54,31.54
3856,2025-01-06,31.54,31.54,31.54,31.54
3855,2025-01-03,31.54,31.54,31.54,31.54
3854,2025-01-02,35.05,35.05,35.05,35.05
3853,2024-12-31,35.05,35.05,35.05,35.05
3852,2024-12-30,35.05,35.05,35.05,35.05
3851,2024-12-27,35.05,35.05,35.05,35.05
3850,2024-12-26,35.05,35.05,35.05,35.05
3849,2024-12-25,35.05,35.05,35.05,35.05
3848,2024-12-24,35.05,35.05,35.05,35.05
3847,2024-12-23,35.05,35.05,35.05,35.05
3846,2024-12-20,35.05,35.05,35.05,35.05
3845,2024-12-19,35.05,35.05,35.05,35.05
3844,2024-12-18,35.05,35.05,35.05,35.05
3843,2024-12-17,35.05,35.05,35.05,35.05
3842,2024-12-16,35.05,35.05,35.05,35.05
3841,2024-12-13,35.05,35.05,35.05,35.05
3840,2024-12-12,35.05,35.05,35.05,35.05
3839,2024-12-11,35.05,35.05,35.05,35.05
3838,2024-12-10,35.05,35.05,35.05,35.05
3837,2024-12-09,35.05,35.05,35.05,35.05
