,Date,Open,High,Low,Close
3173,2025-10-17,4.24,4.24,4.12,4.18
3172,2025-10-16,4.17,4.17,4.0,4.16
3171,2025-10-15,4.29,4.29,4.15,4.18
3170,2025-10-14,4.34,4.34,4.1,4.18
3169,2025-10-13,4.25,4.25,4.07,4.19
3168,2025-10-10,4.36,4.36,4.0,4.28
3167,2025-10-09,4.18,4.4,4.17,4.27
3166,2025-10-08,4.19,4.19,4.16,4.16
3165,2025-10-07,4.17,4.18,4.12,4.16
3164,2025-10-06,4.16,4.19,4.15,4.17
3163,2025-10-03,4.18,4.18,4.13,4.16
3162,2025-10-02,4.17,4.29,4.14,4.18
3161,2025-10-01,4.11,4.18,4.08,4.15
3160,2025-09-30,4.05,4.11,4.04,4.11
3159,2025-09-29,4.12,4.13,4.12,4.13
3158,2025-09-26,4.19,4.19,3.95,4.13
3157,2025-09-25,4.16,4.17,4.1,4.17
3156,2025-09-24,4.18,4.18,4.12,4.14
3155,2025-09-23,4.19,4.19,4.1,4.12
3154,2025-09-22,4.1,4.13,4.1,4.12
3153,2025-09-19,4.1,4.12,4.1,4.12
3152,2025-09-18,4.06,4.16,4.06,4.12
3151,2025-09-17,4.16,4.17,4.1,4.12
3150,2025-09-16,4.17,4.19,4.11,4.13
3149,2025-09-15,4.23,4.23,4.1,4.17
3148,2025-09-12,4.03,4.14,4.03,4.13
3147,2025-09-11,4.17,4.17,4.01,4.1
3146,2025-09-10,4.15,4.15,4.1,4.1
3145,2025-09-09,4.14,4.14,4.07,4.1
3144,2025-09-08,4.18,4.18,4.1,4.14
3143,2025-09-05,4.1,4.23,4.1,4.16
3142,2025-09-04,4.19,4.29,4.1,4.16
3141,2025-09-03,4.1,4.11,4.06,4.1
3140,2025-08-29,4.09,4.1,4.07,4.1
3139,2025-08-28,4.19,4.19,4.0,4.06
3138,2025-08-27,4.08,4.08,3.95,4.08
3137,2025-08-26,4.1,4.1,3.92,4.08
3136,2025-08-25,4.11,4.11,3.92,4.06
3135,2025-08-22,4.1,4.11,4.0,4.1
3134,2025-08-21,4.15,4.19,4.11,4.12
3133,2025-08-20,4.17,4.17,4.05,4.13
3132,2025-08-19,4.15,4.15,4.05,4.12
3131,2025-08-18,4.1,4.21,4.1,4.15
3130,2025-08-15,4.23,4.24,4.03,4.14
3129,2025-08-14,4.1,4.22,4.1,4.21
3128,2025-08-13,4.07,4.23,4.07,4.1
3127,2025-08-12,4.1,4.19,4.07,4.07
3126,2025-08-11,3.99,4.08,3.99,4.08
3125,2025-08-08,3.98,4.04,3.95,3.99
3124,2025-08-07,3.98,4.0,3.92,3.99
3123,2025-08-06,3.97,4.02,3.94,3.98
3122,2025-08-05,3.9,3.98,3.9,3.94
3121,2025-08-04,3.91,3.95,3.88,3.9
3120,2025-08-01,3.9,3.92,3.87,3.88
3119,2025-07-31,3.9,3.96,3.89,3.9
3118,2025-07-30,3.9,3.92,3.84,3.9
3117,2025-07-29,3.91,4.09,3.86,3.91
3116,2025-07-28,3.87,3.9,3.87,3.9
3115,2025-07-25,3.85,3.88,3.81,3.87
3114,2025-07-24,3.82,3.86,3.82,3.84
3113,2025-07-23,3.82,3.82,3.81,3.82
3112,2025-07-22,3.81,3.83,3.81,3.82
3111,2025-07-21,3.85,3.88,3.81,3.88
3110,2025-07-18,3.86,3.89,3.81,3.85
3109,2025-07-17,3.85,3.9,3.82,3.86
3108,2025-07-16,3.85,3.85,3.81,3.82
3107,2025-07-15,3.86,3.89,3.81,3.85
3106,2025-07-14,3.98,3.98,3.8,3.86
3105,2025-07-11,3.89,3.9,3.8,3.86
3104,2025-07-10,3.94,3.94,3.84,3.87
3103,2025-07-09,3.84,3.87,3.81,3.86
3102,2025-07-08,3.82,3.85,3.8,3.84
3101,2025-07-07,3.89,3.89,3.89,3.89
3100,2025-07-04,3.93,3.93,3.78,3.89
3099,2025-07-03,3.86,3.86,3.86,3.86
3098,2025-07-02,3.84,3.85,3.81,3.85
3097,2025-07-01,3.82,3.86,3.81,3.86
3096,2025-06-30,3.97,3.97,3.81,3.86
3095,2025-06-27,3.88,4.08,3.81,3.89
3094,2025-06-26,3.83,3.86,3.78,3.84
3093,2025-06-25,3.85,3.88,3.75,3.84
3092,2025-06-24,3.79,3.86,3.79,3.85
3091,2025-06-23,3.86,3.86,3.86,3.86
3090,2025-06-20,3.87,3.87,3.87,3.87
3089,2025-06-19,3.76,3.81,3.76,3.81
3088,2025-06-18,3.81,3.83,3.76,3.81
3087,2025-06-17,3.8,3.85,3.8,3.81
3086,2025-06-16,3.83,3.84,3.54,3.8
3085,2025-06-13,3.81,3.81,3.79,3.81
3084,2025-06-12,3.82,3.82,3.79,3.81
3083,2025-06-11,3.81,3.89,3.81,3.89
3082,2025-06-10,3.81,3.9,3.81,3.9
3081,2025-06-09,3.81,3.95,3.79,3.92
3080,2025-06-06,3.81,3.82,3.81,3.81
3079,2025-06-05,3.8,3.88,3.8,3.86
3078,2025-06-04,3.89,3.89,3.8,3.8
3077,2025-06-03,3.82,3.88,3.81,3.86
3076,2025-06-02,3.83,3.83,3.81,3.82
3075,2025-05-30,3.81,3.9,3.79,3.83
3074,2025-05-29,3.81,3.9,3.81,3.81
3073,2025-05-28,3.83,3.93,3.83,3.91
3072,2025-05-27,4.07,4.07,3.86,3.94
3071,2025-05-26,3.88,3.88,3.86,3.86
3070,2025-05-23,3.78,3.9,3.78,3.88
3069,2025-05-22,3.72,3.89,3.72,3.78
3068,2025-05-21,3.81,3.9,3.8,3.9
3067,2025-05-20,3.9,3.92,3.8,3.81
3066,2025-05-19,3.88,3.88,3.85,3.86
3065,2025-05-16,3.9,3.9,3.88,3.88
3064,2025-05-15,3.88,3.92,3.88,3.92
3063,2025-05-14,3.95,3.95,3.86,3.94
3062,2025-05-13,3.97,3.97,3.89,3.89
3061,2025-05-12,4.0,4.07,3.9,3.97
3060,2025-05-09,3.87,4.0,3.87,4.0
3059,2025-05-08,3.9,4.04,3.88,4.02
3058,2025-05-07,3.9,4.04,3.9,3.97
3057,2025-05-06,3.98,3.98,3.81,3.95
3056,2025-05-05,3.98,3.98,3.98,3.98
3055,2025-04-29,4.02,4.02,3.97,3.98
3054,2025-04-28,3.83,4.1,3.81,4.1
3053,2025-04-25,3.88,3.9,3.69,3.9
3052,2025-04-24,3.89,3.9,3.8,3.9
3051,2025-04-23,3.68,3.89,3.68,3.89
3050,2025-04-22,3.7,3.9,3.63,3.86
3049,2025-04-21,3.82,4.01,3.76,3.9
3048,2025-04-18,3.96,3.96,3.81,3.81
3047,2025-04-17,3.71,3.97,3.71,3.93
3046,2025-04-16,3.99,3.99,3.99,3.99
3045,2025-04-15,3.98,3.98,3.83,3.96
3044,2025-04-14,4.03,4.03,3.76,3.97
3043,2025-04-11,3.95,3.99,3.92,3.99
3042,2025-04-10,3.81,4.0,3.81,3.96
3041,2025-04-09,3.8,3.8,3.43,3.74
3040,2025-04-08,3.95,3.95,3.68,3.68
3039,2025-04-04,3.56,3.97,3.56,3.95
3038,2025-04-03,3.75,4.09,3.72,3.82
3037,2025-04-02,4.1,4.1,3.9,4.0
3036,2025-04-01,3.95,3.99,3.9,3.99
3035,2025-03-31,3.89,3.99,3.89,3.95
3034,2025-03-28,4.0,4.05,4.0,4.03
3033,2025-03-27,4.09,4.11,3.9,4.0
3032,2025-03-26,4.1,4.1,4.1,4.1
3031,2025-03-25,4.24,4.24,3.9,4.11
3030,2025-03-24,3.9,4.0,3.9,4.0
3029,2025-03-21,3.9,3.99,3.9,3.99
3028,2025-03-20,3.98,4.08,3.93,3.99
3027,2025-03-19,3.87,4.0,3.87,4.0
3026,2025-03-18,4.0,4.0,4.0,4.0
3025,2025-03-17,3.99,4.0,3.99,4.0
3024,2025-03-14,4.01,4.02,3.99,3.99
3023,2025-03-13,3.99,3.99,3.99,3.99
3022,2025-03-12,3.95,4.03,3.95,3.99
3021,2025-03-11,4.02,4.02,3.9,3.91
3020,2025-03-10,4.01,4.02,3.94,4.02
3019,2025-03-07,3.92,4.03,3.91,4.03
3018,2025-03-06,4.03,4.03,4.02,4.03
3017,2025-03-05,4.04,4.04,4.04,4.04
3016,2025-03-04,3.96,4.06,3.9,4.0
3015,2025-03-03,4.0,4.0,3.95,3.96
3014,2025-02-28,4.0,4.05,3.98,4.04
3013,2025-02-27,4.06,4.06,3.98,3.98
3012,2025-02-26,4.06,4.06,4.06,4.06
3011,2025-02-25,4.08,4.08,3.91,4.06
3010,2025-02-24,3.98,4.08,3.98,4.08
3009,2025-02-21,3.9,3.98,3.9,3.98
3008,2025-02-20,4.0,4.0,3.95,3.98
3007,2025-02-19,4.05,4.05,3.98,4.03
3006,2025-02-18,4.06,4.06,3.9,3.97
3005,2025-02-17,3.99,4.0,3.92,3.97
3004,2025-02-14,3.98,4.0,3.96,4.0
3003,2025-02-13,3.95,4.03,3.95,4.0
3002,2025-02-12,4.04,4.04,4.0,4.02
3001,2025-02-11,3.91,4.01,3.89,3.89
3000,2025-02-10,3.86,4.1,3.81,4.04
2999,2025-02-07,3.94,4.04,3.83,4.0
2998,2025-02-06,4.0,4.0,3.82,3.94
2997,2025-02-05,4.06,4.06,3.86,3.87
2996,2025-02-04,3.9,3.9,3.84,3.86
2995,2025-02-03,4.03,4.03,3.87,3.87
2994,2025-01-24,4.0,4.0,3.63,3.78
2993,2025-01-23,3.84,3.85,3.84,3.85
2992,2025-01-22,4.0,4.09,4.0,4.09
2991,2025-01-21,3.87,3.91,3.77,3.83
2990,2025-01-20,3.94,3.95,3.9,3.95
2989,2025-01-17,3.9,3.9,3.9,3.9
2988,2025-01-16,3.84,3.9,3.84,3.9
2987,2025-01-15,3.81,3.81,3.81,3.81
2986,2025-01-14,3.9,3.92,3.81,3.81
2985,2025-01-13,3.99,3.99,3.99,3.99
2984,2025-01-10,4.0,4.0,4.0,4.0
2983,2025-01-09,3.86,3.98,3.86,3.98
2982,2025-01-08,4.03,4.03,4.03,4.03
2981,2025-01-07,4.01,4.01,3.98,3.98
2980,2025-01-06,3.89,4.14,3.89,4.04
2979,2025-01-03,3.87,3.89,3.87,3.89
2978,2025-01-02,3.93,3.93,3.91,3.93
2977,2024-12-31,3.91,4.05,3.91,3.95
2976,2024-12-30,4.03,4.04,4.03,4.04
2975,2024-12-27,4.09,4.09,3.9,4.05
2974,2024-12-26,3.98,4.15,3.98,4.15
2973,2024-12-25,3.9,3.97,3.9,3.97
2972,2024-12-24,3.99,3.99,3.9,3.9
2971,2024-12-23,3.89,3.99,3.89,3.99
2970,2024-12-20,3.9,3.9,3.89,3.89
2969,2024-12-19,4.02,4.02,4.02,4.02
2968,2024-12-18,4.05,4.05,4.05,4.05
2967,2024-12-17,4.08,4.19,3.94,4.05
2966,2024-12-16,3.85,3.96,3.85,3.95
2965,2024-12-13,4.02,4.02,4.02,4.02
2964,2024-12-12,3.99,4.02,3.99,4.02
2963,2024-12-11,3.95,4.03,3.95,4.03
2962,2024-12-10,4.04,4.04,4.03,4.03
2961,2024-12-09,4.02,4.03,3.96,4.03
2960,2024-12-06,4.05,4.05,3.9,4.0
2959,2024-12-05,3.93,4.03,3.85,4.0
2958,2024-12-04,3.92,3.93,3.92,3.93
2957,2024-12-03,3.92,3.92,3.92,3.92
2956,2024-12-02,3.93,3.96,3.91,3.92
2955,2024-11-29,4.03,4.03,4.0,4.0
2954,2024-11-28,3.96,4.03,3.96,4.03
2953,2024-11-27,4.09,4.09,3.96,3.96
2952,2024-11-26,4.09,4.1,3.97,3.97
2951,2024-11-25,4.09,4.09,4.09,4.09
2950,2024-11-22,4.2,4.2,4.09,4.09
2949,2024-11-21,4.08,4.08,3.91,4.05
2948,2024-11-20,4.0,4.05,3.9,3.99
2947,2024-11-19,3.9,3.9,3.9,3.9
2946,2024-11-18,4.0,4.06,3.81,4.06
2945,2024-11-15,4.09,4.09,4.09,4.09
2944,2024-11-14,3.9,3.99,3.86,3.99
2943,2024-11-13,4.06,4.06,3.9,4.04
2942,2024-11-12,3.97,4.04,3.9,3.9
2941,2024-11-11,3.9,3.9,3.9,3.9
2940,2024-11-08,4.1,4.1,3.9,3.9
2939,2024-11-07,4.0,4.0,3.96,4.0
2938,2024-11-06,4.02,4.02,3.75,3.89
2937,2024-11-05,3.99,4.03,3.96,4.03
2936,2024-11-04,3.9,4.24,3.9,3.93
2935,2024-11-01,4.0,4.05,3.97,4.05
2934,2024-10-31,4.06,4.08,4.05,4.06
2933,2024-10-30,3.97,4.04,3.97,4.04
2932,2024-10-29,3.93,4.07,3.93,4.04
2931,2024-10-28,3.9,4.12,3.9,4.11
2930,2024-10-25,3.9,3.99,3.9,3.95
2929,2024-10-24,3.93,4.02,3.93,3.98
2928,2024-10-23,4.08,4.08,4.05,4.05
2927,2024-10-22,4.1,4.1,4.1,4.1
2926,2024-10-21,4.1,4.1,3.93,3.96
2925,2024-10-18,4.05,4.13,3.97,4.13
2924,2024-10-17,3.91,4.14,3.91,4.14
2923,2024-10-16,3.98,3.99,3.95,3.95
2922,2024-10-15,4.09,4.09,3.96,3.99
2921,2024-10-14,3.95,4.09,3.95,4.09
2920,2024-10-11,4.0,4.07,3.97,4.03
