,Date,Open,High,Low,Close,Volume
2962,2025-10-21,9.8,10.7,9.8,10.7,1800
2961,2025-10-10,11.5,11.5,11.5,11.5,200
2960,2025-10-06,11.5,11.5,11.4,11.5,800
2959,2025-09-30,11.5,11.5,11.5,11.5,100
2958,2025-09-29,11.2,11.2,11.2,11.2,300
2957,2025-09-24,11.2,11.2,11.2,11.2,400
2956,2025-09-22,11.3,11.3,11.0,11.0,2900
2955,2025-09-17,11.4,11.4,11.4,11.4,200
2954,2025-09-16,11.6,11.6,10.2,11.6,1700
2953,2025-09-15,11.3,11.3,10.1,10.1,15100
2952,2025-09-12,11.3,11.3,11.3,11.3,300
2951,2025-09-11,11.0,11.0,11.0,11.0,400
2950,2025-09-10,13.0,13.0,10.7,10.7,300
2949,2025-09-05,12.3,12.3,12.2,12.2,200
2948,2025-09-04,12.3,12.3,12.3,12.3,100
2947,2025-09-03,10.7,10.7,10.7,10.7,100
2946,2025-08-26,10.7,10.7,10.7,10.7,1600
2945,2025-08-25,12.5,12.5,12.5,12.5,0
2944,2025-08-22,12.5,12.5,12.5,12.5,0
2943,2025-08-21,12.5,12.5,12.5,12.5,0
2942,2025-08-20,12.5,12.5,12.5,12.5,0
2941,2025-08-19,12.5,12.5,12.5,12.5,0
2940,2025-08-18,12.5,12.5,12.5,12.5,103
2939,2025-08-15,13.2,13.2,12.5,12.5,1700
2938,2025-08-14,11.7,11.7,11.7,11.7,2
2937,2025-08-13,11.7,11.7,11.7,11.7,100
2936,2025-08-12,11.8,11.8,11.8,11.8,100
2935,2025-08-11,11.8,11.8,11.8,11.8,210
2934,2025-08-08,10.36,10.55,10.26,10.26,19000
2933,2025-08-07,10.64,10.64,10.64,10.64,10
2932,2025-08-06,10.64,10.64,10.64,10.64,5400
2931,2025-08-05,10.55,10.55,10.55,10.55,600
2930,2025-08-04,11.89,11.89,11.89,11.89,0
2929,2025-08-01,11.89,11.89,11.8,11.8,209
2928,2025-07-31,10.55,10.55,10.55,10.55,0
2927,2025-07-30,10.55,10.55,10.55,10.55,0
2926,2025-07-29,10.55,10.55,10.55,10.55,0
2925,2025-07-28,10.55,10.55,10.55,10.55,901
2924,2025-07-25,11.51,11.51,11.51,11.51,104
2923,2025-07-24,12.66,12.66,12.66,12.66,6
2922,2025-07-23,12.66,12.66,12.66,12.66,0
2921,2025-07-22,12.66,12.66,12.66,12.66,10
2920,2025-07-21,12.66,12.66,12.66,12.66,0
2919,2025-07-18,12.66,12.66,12.66,12.66,100
2918,2025-07-17,11.03,11.03,11.03,11.03,300
2917,2025-07-16,11.32,11.32,11.32,11.32,800
2916,2025-07-15,11.32,11.32,11.32,11.32,200
2915,2025-07-14,11.32,11.32,11.32,11.32,104
2914,2025-07-11,11.41,11.41,11.41,11.41,345
2913,2025-07-10,10.64,11.99,10.64,10.74,8500
2912,2025-07-09,10.64,10.64,10.64,10.64,350
2911,2025-07-08,10.45,11.99,10.45,11.99,700
2910,2025-07-07,10.45,10.45,10.45,10.45,80
2909,2025-07-04,10.45,10.45,10.45,10.45,0
