,Date,Open,High,Low,Close
2183,2025-10-17,19.5,19.5,19.5,19.5
2182,2025-10-16,19.5,19.5,19.5,19.5
2181,2025-10-15,20.1,20.1,20.1,20.1
2180,2025-10-14,19.2,19.2,17.4,17.4
2179,2025-10-10,19.3,19.3,19.3,19.3
2178,2025-10-09,20.3,20.3,20.3,20.3
2177,2025-10-07,19.4,19.4,19.4,19.4
2176,2025-10-01,19.9,19.9,17.7,19.8
2175,2025-09-30,19.7,20.9,19.7,20.9
2174,2025-09-29,20.9,20.9,20.0,20.0
2173,2025-09-26,18.0,18.9,18.0,18.9
2172,2025-09-24,18.9,19.4,18.9,19.4
2171,2025-09-23,18.6,18.9,18.6,18.9
2170,2025-09-22,18.3,18.7,18.3,18.7
2169,2025-09-19,17.0,18.3,17.0,18.3
2168,2025-09-18,19.2,19.2,19.2,19.2
2167,2025-09-17,17.8,18.0,17.8,17.9
2166,2025-09-16,17.9,17.9,15.3,15.3
2165,2025-09-15,17.9,17.9,17.9,17.9
2164,2025-09-12,20.2,20.2,20.2,20.2
2163,2025-09-11,18.0,18.0,17.3,17.3
2162,2025-09-10,17.7,17.7,17.7,17.7
2161,2025-09-09,17.0,17.0,17.0,17.0
2160,2025-09-08,18.0,18.0,17.1,17.1
2159,2025-09-05,17.7,17.8,17.7,17.8
2158,2025-09-04,20.0,20.0,17.5,17.5
2157,2025-09-03,17.6,18.9,17.5,17.6
2156,2025-08-29,19.5,19.5,19.5,19.5
2155,2025-08-28,17.5,17.5,17.5,17.5
2154,2025-08-27,18.4,18.4,18.0,18.3
2153,2025-08-26,15.2,18.4,15.2,18.4
2152,2025-08-25,16.0,16.0,16.0,16.0
2151,2025-08-20,17.5,17.5,17.5,17.5
2150,2025-08-19,18.0,19.5,17.1,17.1
2149,2025-08-18,19.8,19.8,19.8,19.8
2148,2025-08-15,19.8,19.8,19.8,19.8
2147,2025-08-14,20.0,20.0,19.8,19.8
2146,2025-08-13,18.1,18.1,18.0,18.0
2145,2025-08-12,19.9,19.9,19.4,19.4
2144,2025-08-11,19.4,19.9,19.4,19.9
2143,2025-08-08,19.0,19.0,18.5,18.5
2142,2025-08-07,18.8,18.8,18.5,18.5
2141,2025-08-06,18.8,18.8,18.8,18.8
2140,2025-08-05,19.1,19.2,18.8,19.0
2139,2025-08-04,19.0,20.0,18.5,19.0
2138,2025-08-01,18.5,20.8,18.5,18.6
2137,2025-07-31,18.5,18.5,18.5,18.5
2136,2025-07-30,19.5,19.5,17.9,19.5
2135,2025-07-29,19.6,19.6,19.0,19.0
2134,2025-07-28,19.6,20.0,19.6,20.0
2133,2025-07-25,20.0,20.0,18.2,19.0
2132,2025-07-24,21.4,21.4,19.1,20.0
2131,2025-07-23,19.6,19.6,19.0,19.0
2130,2025-07-22,19.8,20.5,19.8,20.5
2129,2025-07-21,21.0,21.5,19.9,20.5
2128,2025-07-18,21.8,22.4,21.8,21.8
2127,2025-07-17,20.8,21.5,17.6,21.5
2126,2025-07-16,21.0,21.0,18.9,18.9
2125,2025-07-15,21.5,21.5,18.2,18.2
2124,2025-07-14,19.9,20.0,18.1,18.1
2123,2025-07-11,20.0,20.0,17.8,17.8
2122,2025-07-10,17.6,20.0,17.6,20.0
2121,2025-07-09,19.9,19.9,17.5,17.5
2120,2025-07-08,19.5,19.5,19.5,19.5
2119,2025-07-07,19.5,19.5,19.5,19.5
2118,2025-07-04,21.5,21.5,17.1,17.1
2117,2025-07-03,18.7,19.9,16.4,19.9
2116,2025-07-02,17.6,19.2,16.9,19.2
2115,2025-07-01,16.4,18.7,16.4,16.8
2114,2025-06-30,16.3,18.3,16.3,18.3
2113,2025-06-27,18.2,18.2,16.2,17.0
2112,2025-06-26,18.3,18.3,18.3,18.3
2111,2025-06-25,18.0,18.1,18.0,18.0
2110,2025-06-24,16.43,18.0,16.43,18.0
2109,2025-06-23,16.33,16.43,16.33,16.43
2108,2025-06-20,16.23,16.33,14.95,16.33
2107,2025-06-19,14.95,16.52,14.16,16.52
2106,2025-06-18,15.93,16.23,15.93,16.23
2105,2025-06-17,15.34,16.82,14.85,14.85
2104,2025-06-16,15.34,15.93,15.34,15.93
2103,2025-06-13,15.64,16.82,15.15,16.82
2102,2025-06-12,15.54,16.72,15.54,16.23
2101,2025-06-11,16.82,17.11,15.34,15.44
2100,2025-06-10,15.64,17.21,15.25,17.21
2099,2025-06-09,16.62,17.51,16.62,17.51
2098,2025-06-06,16.23,16.23,14.95,14.95
2097,2025-06-05,15.74,16.82,15.74,16.82
2096,2025-06-04,15.05,17.21,15.05,17.21
2095,2025-06-03,14.95,15.25,14.95,15.05
2094,2025-06-02,15.84,15.84,15.84,15.84
2093,2025-05-30,15.74,15.84,15.74,15.84
2092,2025-05-29,16.52,16.52,15.74,15.74
2091,2025-05-28,16.33,16.43,14.56,14.56
2090,2025-05-27,14.36,14.36,14.36,14.36
2089,2025-05-26,15.84,15.93,14.95,15.05
2088,2025-05-23,14.75,16.43,14.75,16.33
2087,2025-05-22,14.56,14.75,13.97,14.75
2086,2025-05-21,15.64,15.64,14.16,14.56
2085,2025-05-20,13.08,16.62,13.08,14.75
2084,2025-05-19,14.75,14.75,14.75,14.75
2083,2025-05-16,15.74,15.74,14.36,14.36
2082,2025-05-15,15.44,15.44,15.44,15.44
2081,2025-05-14,16.52,16.72,16.52,16.62
2080,2025-05-13,16.62,16.62,16.23,16.23
2079,2025-05-12,14.46,14.46,14.46,14.46
2078,2025-05-09,14.85,14.85,13.97,14.85
2077,2025-05-08,12.98,12.98,12.98,12.98
2076,2025-05-07,15.74,15.74,13.97,14.26
2075,2025-05-06,15.15,16.62,15.15,16.62
2074,2025-05-05,12.89,15.74,12.89,14.46
2073,2025-04-29,15.25,15.25,13.48,15.05
2072,2025-04-28,12.1,15.25,12.1,15.25
2071,2025-04-25,13.77,13.77,13.77,13.77
2070,2025-04-24,12.69,13.77,12.69,13.77
2069,2025-04-23,12.39,14.66,12.39,14.66
2068,2025-04-22,13.57,13.57,13.57,13.57
2067,2025-04-21,13.08,13.08,13.08,13.08
2066,2025-04-18,13.77,13.77,13.77,13.77
2065,2025-04-17,14.56,14.66,14.56,14.66
2064,2025-04-16,13.67,13.67,13.67,13.67
2063,2025-04-15,13.38,13.38,13.38,13.38
2062,2025-04-14,13.48,13.48,13.38,13.38
2061,2025-04-11,14.75,14.75,14.66,14.75
2060,2025-04-10,14.36,15.15,14.36,15.15
2059,2025-04-09,14.46,14.46,14.46,14.46
2058,2025-04-08,14.85,14.85,12.3,12.3
2057,2025-04-04,12.2,14.75,12.2,14.75
2056,2025-04-03,13.38,13.38,13.08,13.08
2055,2025-04-02,14.95,14.95,14.95,14.95
2054,2025-04-01,14.95,14.95,14.95,14.95
2053,2025-03-31,14.85,14.85,14.75,14.75
2052,2025-03-28,15.74,15.74,14.85,14.85
2051,2025-03-27,15.05,15.74,15.05,15.74
2050,2025-03-26,17.41,17.41,17.41,17.41
2049,2025-03-25,16.82,17.51,15.05,15.05
2048,2025-03-24,15.25,15.25,15.25,15.25
2047,2025-03-21,15.44,15.44,15.05,15.25
2046,2025-03-20,17.61,17.61,17.61,17.61
2045,2025-03-19,17.61,17.61,17.61,17.61
2044,2025-03-18,15.84,17.9,15.34,17.9
2043,2025-03-17,17.51,18.2,17.51,18.2
2042,2025-03-14,15.93,17.7,15.93,17.61
2041,2025-03-13,14.85,18.1,14.85,15.25
2040,2025-03-12,16.43,17.21,16.43,17.21
2039,2025-03-11,15.84,16.43,15.84,16.43
2038,2025-03-10,15.34,15.84,15.25,15.84
2037,2025-03-07,15.34,17.61,14.46,16.03
2036,2025-03-06,15.05,17.7,15.05,17.7
2035,2025-03-05,17.61,18.49,14.56,14.95
2034,2025-03-04,16.43,18.49,16.43,18.49
2033,2025-03-03,15.84,18.2,15.84,17.31
