,Date,Open,High,Low,Close
1588,2025-10-17,54.0,54.5,53.5,53.6
1587,2025-10-16,54.0,54.5,53.7,54.0
1586,2025-10-15,55.3,55.3,53.9,54.0
1585,2025-10-14,55.6,55.6,54.6,55.1
1584,2025-10-13,55.3,56.2,54.7,55.3
1583,2025-10-10,55.2,56.2,55.2,55.5
1582,2025-10-09,54.9,55.5,54.6,55.5
1581,2025-10-08,55.6,55.7,54.6,54.9
1580,2025-10-07,56.0,56.0,54.8,54.9
1579,2025-10-06,54.2,55.8,54.2,55.8
1578,2025-10-03,55.2,55.2,53.8,53.9
1577,2025-10-02,56.4,56.4,54.7,54.8
1576,2025-10-01,55.5,56.0,55.2,55.5
1575,2025-09-30,56.6,56.6,54.7,55.2
1574,2025-09-29,57.4,57.6,56.0,56.0
1573,2025-09-26,57.8,58.2,57.4,57.5
1572,2025-09-25,58.0,58.1,57.5,57.7
1571,2025-09-24,57.6,57.9,57.0,57.3
1570,2025-09-23,58.0,58.6,57.3,57.6
1569,2025-09-22,57.8,58.2,57.4,57.6
1568,2025-09-19,58.7,59.0,57.5,57.5
1567,2025-09-18,59.0,59.0,58.2,58.7
1566,2025-09-17,60.0,60.2,58.5,58.7
1565,2025-09-16,61.3,61.4,59.8,60.2
1564,2025-09-15,60.0,61.0,59.4,61.0
1563,2025-09-12,58.4,59.7,58.4,59.2
1562,2025-09-11,58.0,58.6,57.1,58.2
1561,2025-09-10,58.9,59.1,57.8,58.0
1560,2025-09-09,59.5,60.1,58.6,58.7
1559,2025-09-08,61.2,61.6,59.5,59.5
1558,2025-09-05,61.2,63.2,61.1,61.1
1557,2025-09-04,60.0,61.4,60.0,60.8
1556,2025-09-03,58.9,60.0,58.8,59.7
1555,2025-08-29,60.0,60.0,58.9,58.9
1554,2025-08-28,59.8,60.4,59.4,59.7
1553,2025-08-27,59.0,59.9,58.8,59.2
1552,2025-08-26,57.8,59.0,57.3,58.6
1551,2025-08-25,58.9,60.5,57.8,57.8
1550,2025-08-22,62.0,62.0,58.6,58.7
1549,2025-08-21,63.0,64.6,61.5,62.3
1548,2025-08-20,64.4,64.5,62.5,62.9
1547,2025-08-19,64.4,64.9,64.2,64.4
1546,2025-08-18,64.2,65.5,64.0,64.4
1545,2025-08-15,66.5,66.7,64.3,64.4
1544,2025-08-14,67.5,67.6,66.2,66.7
1543,2025-08-13,66.8,68.7,66.6,67.5
1542,2025-08-12,67.8,67.8,65.9,66.5
1541,2025-08-11,65.7,68.0,65.5,67.0
1540,2025-08-08,67.4,67.4,64.8,65.7
1539,2025-08-07,66.5,67.3,65.8,66.4
1538,2025-08-06,64.5,64.9,63.7,64.4
