,Date,Open,High,Low,Close
2077,2025-10-17,37.1,37.1,37.0,37.0
2076,2025-10-15,37.1,37.1,37.1,37.1
2075,2025-10-14,37.3,37.3,35.5,35.5
2074,2025-10-10,37.3,37.3,37.3,37.3
2073,2025-09-26,37.3,37.3,37.3,37.3
2072,2025-09-23,37.3,37.3,37.3,37.3
2071,2025-09-22,37.3,37.3,37.3,37.3
2070,2025-09-19,37.3,37.3,37.2,37.2
2069,2025-09-18,37.3,37.3,37.3,37.3
2068,2025-09-15,37.3,37.3,37.3,37.3
2067,2025-09-10,37.3,37.3,37.3,37.3
2066,2025-09-09,37.3,37.3,37.3,37.3
2065,2025-09-05,37.4,37.4,37.4,37.4
2064,2025-09-03,37.3,37.5,37.3,37.5
2063,2025-08-25,37.3,37.3,37.3,37.3
2062,2025-08-22,36.9,36.9,36.9,36.9
2061,2025-08-20,36.9,36.9,36.9,36.9
2060,2025-08-19,36.9,36.9,36.9,36.9
2059,2025-08-15,37.0,37.0,36.8,36.8
2058,2025-08-13,37.2,37.2,37.2,37.2
2057,2025-08-12,37.2,37.2,37.2,37.2
2056,2025-08-11,37.2,37.2,37.2,37.2
2055,2025-08-08,37.3,38.0,37.3,38.0
2054,2025-08-07,38.8,38.8,37.0,37.0
2053,2025-08-06,37.0,37.0,37.0,37.0
2052,2025-08-05,37.0,37.0,37.0,37.0
2051,2025-08-04,34.0,37.0,34.0,37.0
2050,2025-08-01,38.6,38.6,38.6,38.6
2049,2025-07-31,41.0,41.0,37.8,37.8
2048,2025-07-30,37.5,38.0,37.5,38.0
2047,2025-07-29,37.65,37.65,36.12,37.65
2046,2025-07-28,37.82,37.82,37.82,37.82
2045,2025-07-25,37.82,37.82,37.82,37.82
2044,2025-07-24,37.4,38.08,37.4,38.08
2043,2025-07-23,35.87,35.87,35.7,35.7
2042,2025-07-22,35.7,35.87,35.7,35.87
2041,2025-07-21,35.44,35.7,35.1,35.7
2040,2025-07-18,35.61,35.61,35.53,35.53
2039,2025-07-17,36.55,36.55,34.0,36.46
2038,2025-07-16,36.46,36.55,36.46,36.55
2037,2025-07-15,33.15,33.57,33.15,33.57
2036,2025-07-14,37.31,37.31,37.31,37.31
2035,2025-07-11,37.31,37.31,37.31,37.31
2034,2025-07-10,37.31,37.31,37.31,37.31
2033,2025-07-09,37.31,37.31,37.31,37.31
2032,2025-07-08,33.49,33.49,33.49,33.49
2031,2025-07-07,33.49,33.49,33.49,33.49
2030,2025-07-04,32.89,32.89,32.72,32.72
2029,2025-07-03,33.49,33.49,33.4,33.4
2028,2025-07-02,33.57,33.57,33.49,33.49
2027,2025-07-01,33.15,33.15,33.15,33.15
2026,2025-06-30,32.89,32.89,32.89,32.89
2025,2025-06-27,33.49,33.49,32.3,32.3
2024,2025-06-26,33.23,33.23,33.23,33.23
2023,2025-06-25,33.32,33.66,33.15,33.15
2022,2025-06-24,33.74,33.74,33.57,33.57
2021,2025-06-23,33.66,33.66,33.66,33.66
2020,2025-06-20,33.66,33.83,32.89,32.89
2019,2025-06-19,33.91,33.91,33.91,33.91
2018,2025-06-18,32.89,33.4,32.89,33.4
2017,2025-06-17,35.61,35.61,32.72,32.72
2016,2025-06-16,32.81,32.81,32.81,32.81
2015,2025-06-13,38.59,38.59,38.59,38.59
2014,2025-06-12,38.59,38.59,38.59,38.59
2013,2025-06-11,33.66,33.66,33.66,33.66
2012,2025-06-10,33.66,33.66,33.49,33.49
2011,2025-06-09,31.79,33.83,31.79,32.21
2010,2025-06-06,33.91,33.91,33.91,33.91
2009,2025-06-05,34.34,34.34,34.34,34.34
2008,2025-06-04,34.34,34.34,34.34,34.34
2007,2025-06-03,33.91,33.91,32.81,32.81
2006,2025-06-02,33.15,34.34,33.15,34.34
2005,2025-05-30,34.34,34.34,34.34,34.34
2004,2025-05-29,36.46,36.46,32.98,32.98
2003,2025-05-28,35.02,35.02,35.02,35.02
2002,2025-05-27,37.23,37.23,34.59,34.59
2001,2025-05-26,35.61,35.61,35.61,35.61
2000,2025-05-23,32.38,35.27,32.38,35.27
1999,2025-05-22,35.53,35.53,35.53,35.53
1998,2025-05-21,35.53,35.53,35.53,35.53
