,Date,Open,High,Low,Close,Volume
4703,2025-10-24,19.0,19.0,18.3,18.8,34100
4702,2025-10-23,18.0,18.5,18.0,18.5,47000
4701,2025-10-22,17.5,17.8,17.4,17.7,20800
4700,2025-10-21,17.5,17.5,17.0,17.4,41200
4699,2025-10-20,17.9,17.9,16.6,16.6,59200
4698,2025-10-17,18.0,18.0,17.8,18.0,12400
4697,2025-10-16,17.8,18.0,17.7,18.0,22200
4696,2025-10-15,17.9,17.9,17.6,17.6,18300
4695,2025-10-14,18.0,18.0,17.8,17.8,44200
4694,2025-10-13,18.0,18.1,18.0,18.1,42800
4693,2025-10-10,18.0,18.2,18.0,18.2,63500
4692,2025-10-09,18.0,18.2,18.0,18.1,32300
4691,2025-10-08,18.2,18.4,17.9,18.0,54300
4690,2025-10-07,18.2,18.3,17.9,18.0,55500
4689,2025-10-06,18.2,18.4,18.2,18.2,19900
4688,2025-10-03,18.6,18.6,18.2,18.2,44000
4687,2025-10-02,18.6,18.6,18.4,18.4,40700
4686,2025-10-01,18.9,18.9,18.6,18.6,54900
4685,2025-09-30,19.0,19.0,18.5,18.7,69600
4684,2025-09-29,18.9,19.0,18.7,18.8,38500
4683,2025-09-26,19.3,19.3,19.0,19.0,32400
4682,2025-09-25,19.2,19.2,19.1,19.1,63700
4681,2025-09-24,19.3,19.3,19.0,19.2,30800
4680,2025-09-23,19.3,19.3,19.1,19.2,14400
4679,2025-09-22,18.1,19.0,18.1,19.0,69400
4678,2025-09-19,19.2,19.2,18.6,18.6,88000
4677,2025-09-18,19.1,19.6,19.0,19.0,116100
4676,2025-09-17,19.8,19.9,19.0,19.1,140000
4675,2025-09-16,20.8,20.8,19.7,19.7,216300
4674,2025-09-15,21.0,21.4,20.5,20.5,99800
4673,2025-09-12,20.4,21.2,20.4,21.0,69900
4672,2025-09-11,20.9,20.9,20.2,20.3,38000
4671,2025-09-10,20.9,21.4,20.7,20.9,45200
4670,2025-09-09,21.2,21.8,20.7,20.8,37900
4669,2025-09-08,22.1,22.1,21.1,21.1,116000
4668,2025-09-05,23.0,23.0,22.0,22.2,178000
4667,2025-09-04,22.8,23.4,22.6,23.1,74900
4666,2025-09-03,23.0,23.1,22.6,22.7,75300
4665,2025-08-29,22.9,23.3,22.9,23.0,73500
4664,2025-08-28,23.3,23.3,22.8,23.0,42600
4663,2025-08-27,22.9,23.3,22.9,23.3,40700
4662,2025-08-26,22.7,23.3,22.6,22.9,177400
4661,2025-08-25,23.4,23.5,22.7,23.2,52600
4660,2025-08-22,24.0,24.0,22.1,23.5,173000
4659,2025-08-21,24.7,25.0,23.8,24.3,108800
4658,2025-08-20,25.0,25.4,23.8,24.5,215000
4657,2025-08-19,27.0,27.0,24.0,25.1,225000
4656,2025-08-18,23.2,25.3,23.2,25.3,258200
4655,2025-08-15,22.1,23.6,21.6,23.0,183100
4654,2025-08-14,23.0,23.0,21.3,22.1,174700
4653,2025-08-13,22.4,23.0,21.9,22.5,77500
4652,2025-08-12,22.3,22.4,21.8,22.2,125300
4651,2025-08-11,22.3,22.7,22.2,22.2,38600
4650,2025-08-08,23.5,23.5,22.0,22.2,215300
4649,2025-08-07,23.4,23.6,23.1,23.5,64100
4648,2025-08-06,22.8,23.4,22.4,23.4,67800
4647,2025-08-05,23.4,23.8,21.7,22.6,308700
4646,2025-08-04,24.3,24.4,23.2,23.4,304800
4645,2025-08-01,25.0,26.9,24.2,24.4,274400
4644,2025-07-31,24.5,24.5,24.0,24.5,856900
4643,2025-07-30,22.3,22.3,22.3,22.3,98800
4642,2025-07-29,20.3,20.3,20.3,20.3,181900
4641,2025-07-28,18.2,18.7,17.8,18.5,413200
4640,2025-07-25,18.2,18.2,17.8,18.0,167900
4639,2025-07-24,18.2,18.2,18.0,18.1,122800
4638,2025-07-23,18.6,18.6,18.1,18.2,49900
4637,2025-07-22,17.9,18.3,17.7,18.2,200200
4636,2025-07-21,17.9,18.1,17.8,17.9,40300
4635,2025-07-18,17.9,18.1,17.8,18.1,37900
4634,2025-07-17,18.0,18.2,17.8,17.8,90200
4633,2025-07-16,18.0,18.0,17.8,17.9,43200
4632,2025-07-15,18.0,18.2,18.0,18.0,49400
4631,2025-07-14,18.3,18.3,17.9,18.0,25800
4630,2025-07-11,18.2,18.5,18.2,18.3,70300
4629,2025-07-10,18.3,18.4,18.1,18.2,24600
4628,2025-07-09,18.4,18.4,18.2,18.2,50245
4627,2025-07-08,18.5,18.5,18.2,18.4,9100
4626,2025-07-07,18.3,18.5,18.3,18.5,52506
4625,2025-07-04,17.9,18.3,17.9,18.3,160401
4624,2025-07-03,18.1,18.2,17.8,17.9,30101
4623,2025-07-02,18.0,18.1,17.9,18.1,111004
4622,2025-07-01,18.2,18.2,17.7,18.2,40200
4621,2025-06-30,18.1,18.4,17.7,18.3,59005
4620,2025-06-27,18.5,18.8,18.1,18.1,95742
4619,2025-06-26,18.83,18.91,17.92,17.92,140605
4618,2025-06-25,17.5,18.99,17.5,18.83,432101
4617,2025-06-24,18.16,18.25,17.42,17.5,98200
4616,2025-06-23,18.16,18.16,17.67,17.83,101002
4615,2025-06-20,18.83,18.83,17.83,18.16,83843
4614,2025-06-19,17.92,19.24,17.92,18.74,187502
4613,2025-06-18,17.67,17.83,17.5,17.5,31530
4612,2025-06-17,17.33,18.0,17.17,17.83,46315
4611,2025-06-16,17.42,17.42,17.09,17.33,83400
4610,2025-06-13,17.09,17.5,17.09,17.42,39603
4609,2025-06-12,17.58,17.58,17.33,17.5,35100
4608,2025-06-11,17.42,17.58,17.42,17.58,21049
4607,2025-06-10,17.58,17.58,17.42,17.42,38617
4606,2025-06-09,17.67,17.75,17.42,17.5,26014
4605,2025-06-06,17.92,18.0,17.58,17.58,69600
4604,2025-06-05,17.75,17.92,17.58,17.83,45534
4603,2025-06-04,17.92,17.92,17.58,17.92,75567
4602,2025-06-03,18.33,18.33,17.67,17.75,129700
4601,2025-06-02,18.16,18.58,18.0,18.33,63062
4600,2025-05-30,18.25,18.33,18.16,18.16,39636
4599,2025-05-29,18.5,18.5,18.25,18.41,34300
4598,2025-05-28,18.58,18.74,18.33,18.5,55008
4597,2025-05-27,18.25,18.66,18.16,18.5,82010
4596,2025-05-26,18.41,18.41,18.0,18.16,79261
4595,2025-05-23,18.5,18.5,18.16,18.41,45800
4594,2025-05-22,18.41,18.41,18.16,18.41,112069
4593,2025-05-21,18.74,18.74,18.41,18.5,41401
4592,2025-05-20,18.33,19.08,18.25,18.66,84500
4591,2025-05-19,18.58,18.58,18.25,18.25,133000
