,Date,Open,High,Low,Close
4809,2025-10-17,71.3,71.3,68.3,69.4
4808,2025-10-16,66.3,70.8,66.1,70.8
4807,2025-10-15,66.3,66.6,65.2,66.2
4806,2025-10-14,68.9,69.0,66.3,66.3
4805,2025-10-13,66.9,68.5,66.5,68.0
4804,2025-10-10,67.8,68.0,67.2,67.4
4803,2025-10-09,66.5,67.6,66.0,67.5
4802,2025-10-08,69.2,69.2,66.0,67.0
4801,2025-10-07,67.9,69.9,66.5,67.0
4800,2025-10-06,67.4,68.9,67.3,67.8
4799,2025-10-03,68.8,69.1,67.0,67.3
4798,2025-10-02,68.0,71.8,68.0,68.6
4797,2025-10-01,68.9,68.9,67.0,67.9
4796,2025-09-30,71.0,71.5,67.3,67.3
4795,2025-09-29,71.4,73.0,71.0,71.0
4794,2025-09-26,72.6,73.8,71.0,71.0
4793,2025-09-25,71.3,74.5,71.3,72.6
4792,2025-09-24,71.0,74.4,71.0,71.0
4791,2025-09-23,70.7,73.0,70.7,72.2
4790,2025-09-22,75.6,75.7,73.0,73.0
4789,2025-09-19,79.0,79.0,76.0,76.0
4788,2025-09-18,77.4,80.0,76.0,78.9
4787,2025-09-17,76.5,80.9,75.1,77.7
4786,2025-09-16,84.8,84.8,78.0,78.1
4785,2025-09-15,78.0,81.3,78.0,81.3
4784,2025-09-12,70.7,76.0,70.7,76.0
4783,2025-09-11,72.0,72.0,66.1,71.1
4782,2025-09-10,71.8,73.0,67.7,71.0
4781,2025-09-09,73.7,73.7,69.8,72.0
4780,2025-09-08,71.2,74.5,71.2,73.8
4779,2025-09-05,66.9,70.9,66.9,70.9
4778,2025-09-04,65.6,67.0,65.3,66.3
4777,2025-09-03,67.9,67.9,65.2,66.2
4776,2025-08-29,64.9,66.0,64.8,65.9
4775,2025-08-28,67.8,67.8,64.1,65.2
4774,2025-08-27,66.8,66.8,64.5,65.8
4773,2025-08-26,62.2,63.9,61.9,62.6
4772,2025-08-25,64.9,64.9,61.9,63.0
4771,2025-08-22,61.0,66.0,60.4,64.9
4770,2025-08-21,61.5,63.5,61.5,61.7
4769,2025-08-20,66.5,66.5,61.0,62.6
4768,2025-08-19,71.5,71.5,65.5,65.5
4767,2025-08-18,69.5,71.0,68.0,68.0
