,Date,Open,High,Low,Close,Volume
3761,2025-10-24,41.85,42.0,41.25,42.0,45700
3760,2025-10-23,41.0,42.3,40.95,41.95,56800
3759,2025-10-22,40.55,41.1,40.45,41.1,43000
3758,2025-10-21,39.65,40.45,39.65,40.3,27900
3757,2025-10-20,40.3,40.35,39.55,39.55,13700
3756,2025-10-17,40.15,40.5,39.6,40.3,5300
3755,2025-10-16,39.85,40.0,39.8,40.0,2800
3754,2025-10-15,40.0,40.0,39.85,39.85,400
3753,2025-10-14,40.0,40.05,39.6,39.6,4800
3752,2025-10-13,39.65,40.2,39.3,39.65,15500
3751,2025-10-10,39.65,39.65,39.65,39.65,3900
3750,2025-10-09,39.7,40.15,39.7,39.95,6800
3749,2025-10-08,40.0,40.0,39.6,39.9,11700
3748,2025-10-07,39.6,40.2,39.6,39.6,21700
3747,2025-10-06,40.3,40.35,39.6,39.6,15300
3746,2025-10-03,39.55,40.25,39.5,40.05,38800
3745,2025-10-02,40.0,40.2,39.45,40.15,17700
3744,2025-10-01,39.6,40.15,39.45,40.15,7700
3743,2025-09-30,39.7,40.3,39.3,40.2,24900
3742,2025-09-26,40.2,40.35,39.6,40.3,27800
3741,2025-09-25,40.3,40.35,40.3,40.35,2900
3740,2025-09-24,40.3,40.35,39.65,40.3,33300
3739,2025-09-23,39.95,40.35,39.65,40.25,10400
3738,2025-09-22,39.6,40.35,39.45,40.0,49000
3737,2025-09-19,39.75,39.85,39.55,39.85,14400
3736,2025-09-18,39.7,39.7,39.5,39.5,2600
3735,2025-09-17,39.8,40.05,39.5,39.7,11100
3734,2025-09-16,39.6,39.6,39.5,39.5,6100
3733,2025-09-15,39.55,39.85,39.55,39.6,6100
3732,2025-09-12,39.0,39.55,39.0,39.45,8600
3731,2025-09-11,39.25,39.75,39.25,39.25,4100
3730,2025-09-10,39.2,39.6,39.15,39.2,25300
3729,2025-09-09,39.0,39.3,39.0,39.1,6100
3728,2025-09-08,39.15,39.45,38.85,39.0,32600
3727,2025-09-05,39.5,39.5,39.25,39.25,14200
3726,2025-09-04,39.55,39.6,39.05,39.55,56600
3725,2025-09-03,39.3,39.6,39.0,39.55,5900
3724,2025-08-29,39.45,39.5,39.35,39.4,11300
3723,2025-08-28,39.2,39.5,39.1,39.4,2800
3722,2025-08-27,39.5,39.65,39.3,39.6,1600
3721,2025-08-26,39.3,39.65,39.0,39.5,26350
3720,2025-08-25,39.2,39.6,39.1,39.3,20516
3719,2025-08-22,39.45,39.45,39.1,39.2,30368
3718,2025-08-21,39.7,39.75,39.4,39.65,29646
3717,2025-08-20,39.7,39.95,39.0,39.7,74403
3716,2025-08-19,39.8,40.05,39.75,39.95,57765
3715,2025-08-18,40.3,40.35,39.75,40.1,30573
3714,2025-08-15,40.6,40.8,39.95,40.0,36741
3713,2025-08-14,39.95,40.8,39.9,40.8,78468
3712,2025-08-13,40.45,40.49,39.97,40.4,37741
3711,2025-08-12,40.54,40.64,39.87,40.54,22349
3710,2025-08-11,40.73,40.97,40.59,40.59,65130
3709,2025-08-08,40.59,40.68,40.45,40.64,22550
3708,2025-08-07,40.54,40.54,40.3,40.4,5237
3707,2025-08-06,40.4,40.59,39.87,40.54,41453
3706,2025-08-05,40.45,40.45,40.21,40.21,11233
3705,2025-08-04,40.26,40.54,40.21,40.4,59708
3704,2025-08-01,40.35,40.45,40.16,40.35,26808
3703,2025-07-31,40.3,40.35,39.87,40.35,14737
3702,2025-07-30,40.21,40.59,39.59,40.3,23400
3701,2025-07-29,40.4,40.4,40.21,40.21,27520
3700,2025-07-28,40.49,40.54,40.16,40.54,28594
3699,2025-07-25,40.78,40.78,40.35,40.59,1420
3698,2025-07-24,40.45,40.88,40.16,40.78,13701
3697,2025-07-23,40.21,40.73,40.21,40.73,15751
3696,2025-07-22,40.02,40.59,40.02,40.59,17564
3695,2025-07-21,40.16,40.16,39.3,40.02,20800
3694,2025-07-18,39.54,40.16,39.45,40.16,32900
3693,2025-07-17,39.73,40.02,39.64,40.02,11310
3692,2025-07-16,39.97,40.3,39.73,39.83,16557
3691,2025-07-15,40.11,40.16,39.83,39.97,23770
3690,2025-07-14,39.16,40.16,39.16,40.11,30951
3689,2025-07-11,39.54,39.73,39.54,39.73,5302
3688,2025-07-10,39.06,39.54,39.02,39.54,25249
3687,2025-07-09,39.06,39.06,38.92,39.06,43328
3686,2025-07-08,38.92,39.3,38.92,39.06,29930
3685,2025-07-07,38.73,39.02,38.73,38.78,15808
