,Date,Open,High,Low,Close
3557,2025-03-11,8.0,8.0,8.0,8.0
3556,2025-02-19,8.0,8.0,8.0,8.0
3555,2025-01-06,8.0,8.0,8.0,8.0
3554,2025-01-02,8.0,8.0,8.0,8.0
3553,2024-12-20,8.0,8.0,8.0,8.0
3552,2024-12-17,8.0,8.0,8.0,8.0
3551,2024-12-13,8.0,8.0,8.0,8.0
3550,2024-07-25,8.0,8.0,8.0,8.0
3549,2024-07-24,8.0,8.0,8.0,8.0
3548,2024-07-23,8.0,8.0,8.0,8.0
3547,2024-07-22,8.0,8.0,8.0,8.0
3546,2024-07-19,8.0,8.0,8.0,8.0
3545,2024-07-18,8.0,8.0,8.0,8.0
3544,2024-07-17,8.0,8.0,8.0,8.0
3543,2024-07-16,8.0,8.0,8.0,8.0
3542,2024-07-15,8.0,8.0,8.0,8.0
3541,2024-07-12,8.0,8.0,8.0,8.0
3540,2024-07-11,8.0,8.0,8.0,8.0
3539,2024-07-10,8.0,8.0,8.0,8.0
3538,2024-07-09,8.0,8.0,8.0,8.0
3537,2024-07-08,8.0,8.0,8.0,8.0
3536,2024-07-05,8.0,8.0,8.0,8.0
3535,2024-07-04,8.0,8.0,8.0,8.0
3534,2024-07-03,8.0,8.0,8.0,8.0
3533,2024-07-02,8.0,8.0,8.0,8.0
3532,2024-07-01,8.0,8.0,8.0,8.0
3531,2024-06-28,8.0,8.0,8.0,8.0
3530,2024-06-27,8.0,8.0,8.0,8.0
3529,2024-06-26,8.0,8.0,8.0,8.0
3528,2024-06-25,8.0,8.0,8.0,8.0
3527,2024-06-24,8.0,8.0,8.0,8.0
3526,2024-06-21,8.0,8.0,8.0,8.0
3525,2024-06-20,8.0,8.0,8.0,8.0
3524,2024-06-19,8.0,8.0,8.0,8.0
3523,2024-06-18,8.0,8.0,8.0,8.0
3522,2024-06-17,8.0,8.0,8.0,8.0
3521,2024-06-14,8.0,8.0,8.0,8.0
3520,2024-06-13,8.0,8.0,8.0,8.0
3519,2024-06-12,8.0,8.0,8.0,8.0
3518,2024-06-11,8.0,8.0,8.0,8.0
3517,2024-06-10,8.0,8.0,8.0,8.0
3516,2024-06-07,8.0,8.0,8.0,8.0
3515,2024-06-06,8.0,8.0,8.0,8.0
3514,2024-06-05,8.0,8.0,8.0,8.0
3513,2024-06-04,8.0,8.0,8.0,8.0
3512,2024-06-03,8.0,8.0,8.0,8.0
3511,2024-05-31,8.0,8.0,8.0,8.0
3510,2024-05-30,8.0,8.0,8.0,8.0
3509,2024-05-29,8.0,8.0,8.0,8.0
3508,2024-05-28,8.0,8.0,8.0,8.0
3507,2024-05-27,8.0,8.0,8.0,8.0
3506,2024-05-24,8.0,8.0,8.0,8.0
3505,2024-05-23,8.0,8.0,8.0,8.0
3504,2024-05-22,8.0,8.0,8.0,8.0
3503,2024-05-21,8.0,8.0,8.0,8.0
3502,2024-05-20,8.0,8.0,8.0,8.0
3501,2024-05-17,8.0,8.0,8.0,8.0
3500,2024-05-16,8.0,8.0,8.0,8.0
3499,2024-05-15,8.0,8.0,8.0,8.0
3498,2024-05-14,8.0,8.0,8.0,8.0
3497,2024-05-13,8.0,8.0,8.0,8.0
3496,2024-05-10,8.0,8.0,8.0,8.0
3495,2024-05-09,8.0,8.0,8.0,8.0
3494,2024-05-08,8.0,8.0,8.0,8.0
3493,2024-05-07,8.0,8.0,8.0,8.0
3492,2024-05-06,8.0,8.0,8.0,8.0
3491,2024-05-03,8.0,8.0,8.0,8.0
3490,2024-05-02,8.0,8.0,8.0,8.0
3489,2024-04-26,8.0,8.0,8.0,8.0
3488,2024-04-25,8.0,8.0,8.0,8.0
3487,2024-04-24,8.0,8.0,8.0,8.0
3486,2024-04-23,8.0,8.0,8.0,8.0
3485,2024-04-22,8.0,8.0,8.0,8.0
3484,2024-04-19,8.0,8.0,8.0,8.0
3483,2024-04-17,8.4,8.4,8.4,8.4
3482,2024-04-16,8.4,8.4,8.4,8.4
3481,2024-04-15,8.4,8.4,8.4,8.4
3480,2024-04-12,8.4,8.4,8.4,8.4
3479,2024-04-11,8.4,8.4,8.4,8.4
3478,2024-04-10,8.4,8.4,8.4,8.4
3477,2024-04-09,8.4,8.4,8.4,8.4
3476,2024-04-08,8.4,8.4,8.4,8.4
3475,2024-04-05,8.4,8.4,8.4,8.4
3474,2024-04-04,8.4,8.4,8.4,8.4
3473,2024-04-03,8.4,8.4,8.4,8.4
3472,2024-04-02,8.4,8.4,8.4,8.4
3471,2024-04-01,8.4,8.4,8.4,8.4
